HCH_012_218_000135	李騰芳亦上書錫爵。
HCH_012_218_000136	錫爵請下廷議，不許。
HCH_012_218_000137	請面對，不報。
HCH_012_218_000138	乃自劾三誤，乞罷斥。
HCH_012_218_000139	帝亦迫公議，追寢前命，命少俟二三年議行。
HCH_012_218_000140	錫爵旋請速決，且曰：「曩元子初生，業為頒詔肆赦，詔書稱『祗承宗社』，明以皇太子待之矣。今復何疑而弗決哉？」
HCH_012_218_000141	不報。
HCH_012_218_000142	七月，彗星見，有詔修省。
HCH_012_218_000143	錫爵因請延見大臣。
HCH_012_218_000144	又言：「彗漸近紫微，宜慎起居之節，寬左右之刑，寡嗜欲以防疾，散積聚以廣恩。」
HCH_012_218_000145	逾月，復言：「慧已入紫微，非區區用人行政所能消弭，惟建儲一事可以禳之。蓋天王之象曰帝星，太子之象曰前星。今前星既耀而不早定，故致此災。誠速行冊立，天變自弭。」
HCH_012_218_000146	帝皆報聞，仍持首春待期之說。
HCH_012_218_000147	錫爵答奏復力言之，又連章懇請。
HCH_012_218_000148	十一月，皇太后生辰，帝御門受賀畢，獨召錫爵暖閣，勞之曰：「卿扶母來京，誠忠孝兩全。」
HCH_012_218_000149	錫爵叩頭謝，因力請早定國本。
HCH_012_218_000150	帝曰：「中宮有出，奈何？」
HCH_012_218_000151	對曰：「此說在十年前猶可，今元子已十三，尚何待？況自古至今，豈有子弟十三歲猶不讀書者？」
HCH_012_218_000152	帝頗感動。
HCH_012_218_000153	錫爵因請頻召對，保聖躬。
HCH_012_218_000154	退復上疏力請，且曰：「外廷以固寵陰謀歸之皇貴妃，恐鄭氏舉族不得安。惟陛下深省。」
HCH_012_218_000155	帝得疏，心益動，手詔諭錫爵：「卿每奏必及皇貴妃，何也？彼數勸朕，朕以祖訓後妃不得與外事，安敢輒從。」
HCH_012_218_000156	錫爵上言：「今與皇長子相形者，惟皇貴妃子，天下不疑皇貴妃而誰疑？皇貴妃不引為己責而誰責？祖訓不與外事者，不與外廷用人行政之事也。若冊立，乃陛下家事，而皇三子又皇貴妃親子，陛下得不與皇貴妃謀乎？且皇貴妃久侍聖躬，至親且賢，外廷紛紛，莫不歸怨，臣所不忍聞。臣六十老人，力捍天下之口，歸功皇貴妃，陛下尚以為疑。然則必如群少年盛氣以攻皇貴妃，而陛下反快於心乎？」
HCH_012_218_000157	疏入，帝頷之。
HCH_012_218_000158	誌臯、位亦力請。
HCH_012_218_000159	居數日，遂有出閣之命。
HCH_012_218_000160	而帝令廣市珠玉珍寶，供出閣儀物，計直三十餘萬。
HCH_012_218_000161	戶部尚書楊俊民等以故事爭，給事中王德完等又力諫。
HCH_012_218_000162	帝遂手詔諭爵，欲易期。
HCH_012_218_000163	錫爵婉請，乃不果易。
HCH_012_218_000164	明年二月，出閣禮成，俱如東宮儀，中外為慰。
HCH_012_218_000165	錫爵在閣時，嘗請罷江南織造，停江西陶器，減雲南貢金，出內帑振河南饑，帝皆無忤，眷禮逾前後諸輔臣。
HCH_012_218_000166	其救李沂，力爭不宜用廷杖，尤為世所稱。
