NER OUTPUT VALIDATION REPORT
Generated at: 2026-07-17T01:04:56
Scan root   : C:\Users\NguyenToan\OneDrive\Documents\dataset\NLP_corpus_project
Log file    : C:\Users\NguyenToan\OneDrive\Documents\dataset\NLP_corpus_project\check_ner_report.log
TSV files   : 795
====================================================================================================

COMPLETE UNITS
====================================================================================================
[OK] HCH_010\HCH_010_087 | sentences=151
[OK] HCH_010\HCH_010_088 | sentences=191
[OK] HCH_010\HCH_010_089 | sentences=121
[OK] HCH_010\HCH_010_090 | sentences=79
[OK] HCH_010\HCH_010_091 | sentences=91
[OK] HCH_010\HCH_010_092 | sentences=83
[OK] HCH_010\HCH_010_093 | sentences=152
[OK] HCH_010\HCH_010_094 | sentences=117
[OK] HCH_010\HCH_010_095 | sentences=107
[OK] HCH_010\HCH_010_096 | sentences=196
[OK] HCH_010\HCH_010_097 | sentences=108
[OK] HCH_010\HCH_010_098 | sentences=95
[OK] HCH_010\HCH_010_099 | sentences=119
[OK] HCH_010\HCH_010_100 | sentences=99
[OK] HCH_010\HCH_010_101 | sentences=64
[OK] HCH_010\HCH_010_102 | sentences=96
[OK] HCH_010\HCH_010_103 | sentences=136
[OK] HCH_010\HCH_010_104 | sentences=74
[OK] HCH_010\HCH_010_105 | sentences=167
[OK] HCH_010\HCH_010_106 | sentences=47
[OK] HCH_010\HCH_010_107 | sentences=73
[OK] HCH_010\HCH_010_108 | sentences=66
[OK] HCH_010\HCH_010_109 | sentences=54
[OK] HCH_010\HCH_010_110 | sentences=138
[OK] HCH_010\HCH_010_111 | sentences=90
[OK] HCH_010\HCH_010_112 | sentences=135
[OK] HCH_010\HCH_010_113 | sentences=148
[OK] HCH_010\HCH_010_114 | sentences=91
[OK] HCH_010\HCH_010_115 | sentences=308
[OK] HCH_010\HCH_010_116 | sentences=286
[OK] HCH_011\HCH_011_001 | sentences=171
[OK] HCH_011\HCH_011_002 | sentences=349
[OK] HCH_011\HCH_011_003 | sentences=580
[OK] HCH_011\HCH_011_004 | sentences=119
[OK] HCH_011\HCH_011_005 | sentences=472
[OK] HCH_011\HCH_011_006 | sentences=120
[OK] HCH_011\HCH_011_007 | sentences=141
[OK] HCH_011\HCH_011_008 | sentences=111
[OK] HCH_011\HCH_011_009 | sentences=185
[OK] HCH_011\HCH_011_010 | sentences=289
[OK] HCH_011\HCH_011_011 | sentences=186
[OK] HCH_011\HCH_011_012 | sentences=238
[OK] HCH_011\HCH_011_013 | sentences=187
[OK] HCH_011\HCH_011_014 | sentences=101
[OK] HCH_011\HCH_011_015 | sentences=85
[OK] HCH_011\HCH_011_016 | sentences=146
[OK] HCH_011\HCH_011_017 | sentences=145
[OK] HCH_011\HCH_011_018 | sentences=223
[OK] HCH_011\HCH_011_019 | sentences=116
[OK] HCH_011\HCH_011_020 | sentences=158
[OK] HCH_011\HCH_011_021 | sentences=397
[OK] HCH_011\HCH_011_022 | sentences=352
[OK] HCH_011\HCH_011_023 | sentences=150
[OK] HCH_011\HCH_011_024 | sentences=126
[OK] HCH_011\HCH_011_025 | sentences=100
[OK] HCH_011\HCH_011_026 | sentences=210
[OK] HCH_011\HCH_011_027 | sentences=188
[OK] HCH_011\HCH_011_028 | sentences=260
[OK] HCH_011\HCH_011_029 | sentences=177
[OK] HCH_011\HCH_011_030 | sentences=148
[OK] HCH_011\HCH_011_031 | sentences=59
[OK] HCH_011\HCH_011_032 | sentences=162
[OK] HCH_011\HCH_011_033 | sentences=198
[OK] HCH_011\HCH_011_034 | sentences=122
[OK] HCH_011\HCH_011_035 | sentences=164
[OK] HCH_011\HCH_011_036 | sentences=155
[OK] HCH_011\HCH_011_037 | sentences=113
[OK] HCH_011\HCH_011_038 | sentences=106
[OK] HCH_011\HCH_011_039 | sentences=215
[OK] HCH_011\HCH_011_040 | sentences=152
[OK] HCH_011\HCH_011_041 | sentences=330
[OK] HCH_011\HCH_011_042 | sentences=109
[OK] HCH_011\HCH_011_043 | sentences=129
[OK] HCH_011\HCH_011_044 | sentences=166
[OK] HCH_011\HCH_011_045 | sentences=216
[OK] HCH_011\HCH_011_046 | sentences=146
[OK] HCH_011\HCH_011_047 | sentences=259
[OK] HCH_011\HCH_011_048 | sentences=277
[OK] HCH_011\HCH_011_049 | sentences=220
[OK] HCH_011\HCH_011_050 | sentences=328
[OK] HCH_011\HCH_011_051 | sentences=375
[OK] HCH_011\HCH_011_052 | sentences=114
[OK] HCH_011\HCH_011_053 | sentences=289
[OK] HCH_011\HCH_011_054 | sentences=722
[OK] HCH_011\HCH_011_055 | sentences=134
[OK] HCH_011\HCH_011_056 | sentences=394
[OK] HCH_012\HCH_012_001 | sentences=363
[OK] HCH_012\HCH_012_002 | sentences=484
[OK] HCH_012\HCH_012_003 | sentences=412
[OK] HCH_012\HCH_012_004 | sentences=203
[OK] HCH_012\HCH_012_005 | sentences=201
[OK] HCH_012\HCH_012_006 | sentences=334
[OK] HCH_012\HCH_012_007 | sentences=283
[OK] HCH_012\HCH_012_008 | sentences=140
[OK] HCH_012\HCH_012_009 | sentences=277
[OK] HCH_012\HCH_012_010 | sentences=306
[OK] HCH_012\HCH_012_011 | sentences=259
[OK] HCH_012\HCH_012_012 | sentences=182
[OK] HCH_012\HCH_012_013 | sentences=207
[OK] HCH_012\HCH_012_014 | sentences=186
[OK] HCH_012\HCH_012_015 | sentences=332
[OK] HCH_012\HCH_012_016 | sentences=353
[OK] HCH_012\HCH_012_017 | sentences=441
[OK] HCH_012\HCH_012_018 | sentences=367
[OK] HCH_012\HCH_012_019 | sentences=149
[OK] HCH_012\HCH_012_020 | sentences=415
[OK] HCH_012\HCH_012_021 | sentences=366
[OK] HCH_012\HCH_012_022 | sentences=267
[OK] HCH_012\HCH_012_023 | sentences=355
[OK] HCH_012\HCH_012_024 | sentences=313
[OK] HCH_012\HCH_012_025 | sentences=422
[OK] HCH_012\HCH_012_026 | sentences=1063
[OK] HCH_012\HCH_012_027 | sentences=513
[OK] HCH_012\HCH_012_028 | sentences=868
[OK] HCH_012\HCH_012_029 | sentences=506
[OK] HCH_012\HCH_012_030 | sentences=930
[OK] HCH_012\HCH_012_031 | sentences=463
[OK] HCH_012\HCH_012_032 | sentences=128
[OK] HCH_012\HCH_012_033 | sentences=162
[OK] HCH_012\HCH_012_034 | sentences=17
[OK] HCH_012\HCH_012_035 | sentences=335
[OK] HCH_012\HCH_012_036 | sentences=287
[OK] HCH_012\HCH_012_037 | sentences=405
[OK] HCH_012\HCH_012_038 | sentences=140
[OK] HCH_012\HCH_012_039 | sentences=4
[OK] HCH_012\HCH_012_040 | sentences=1983
[OK] HCH_012\HCH_012_041 | sentences=1545
[OK] HCH_012\HCH_012_042 | sentences=1690
[OK] HCH_012\HCH_012_043 | sentences=1825
[OK] HCH_012\HCH_012_044 | sentences=1740
[OK] HCH_012\HCH_012_045 | sentences=1699
[OK] HCH_012\HCH_012_046 | sentences=1639
[OK] HCH_012\HCH_012_047 | sentences=462
[OK] HCH_012\HCH_012_048 | sentences=270
[OK] HCH_012\HCH_012_049 | sentences=367
[OK] HCH_012\HCH_012_050 | sentences=335
[OK] HCH_012\HCH_012_051 | sentences=301
[OK] HCH_012\HCH_012_052 | sentences=204
[OK] HCH_012\HCH_012_053 | sentences=513
[OK] HCH_012\HCH_012_054 | sentences=568
[OK] HCH_012\HCH_012_055 | sentences=532
[OK] HCH_012\HCH_012_056 | sentences=427
[OK] HCH_012\HCH_012_057 | sentences=266
[OK] HCH_012\HCH_012_058 | sentences=221
[OK] HCH_012\HCH_012_059 | sentences=302
[OK] HCH_012\HCH_012_060 | sentences=462
[OK] HCH_012\HCH_012_061 | sentences=400
[OK] HCH_012\HCH_012_062 | sentences=874
[OK] HCH_012\HCH_012_063 | sentences=643
[OK] HCH_012\HCH_012_064 | sentences=117
[OK] HCH_012\HCH_012_065 | sentences=334
[OK] HCH_012\HCH_012_066 | sentences=354
[OK] HCH_012\HCH_012_067 | sentences=425
[OK] HCH_012\HCH_012_068 | sentences=289
[OK] HCH_012\HCH_012_069 | sentences=334
[OK] HCH_012\HCH_012_070 | sentences=328
[OK] HCH_012\HCH_012_071 | sentences=324
[OK] HCH_012\HCH_012_072 | sentences=801
[OK] HCH_012\HCH_012_073 | sentences=586
[OK] HCH_012\HCH_012_074 | sentences=1038
[OK] HCH_012\HCH_012_075 | sentences=706
[OK] HCH_012\HCH_012_076 | sentences=436
[OK] HCH_012\HCH_012_077 | sentences=276
[OK] HCH_012\HCH_012_078 | sentences=311
[OK] HCH_012\HCH_012_079 | sentences=311
[OK] HCH_012\HCH_012_080 | sentences=468
[OK] HCH_012\HCH_012_081 | sentences=459
[OK] HCH_012\HCH_012_082 | sentences=397
[OK] HCH_012\HCH_012_083 | sentences=365
[OK] HCH_012\HCH_012_084 | sentences=311
[OK] HCH_012\HCH_012_085 | sentences=389
[OK] HCH_012\HCH_012_086 | sentences=254
[OK] HCH_012\HCH_012_087 | sentences=341
[OK] HCH_012\HCH_012_088 | sentences=391
[OK] HCH_012\HCH_012_089 | sentences=385
[OK] HCH_012\HCH_012_090 | sentences=166
[OK] HCH_012\HCH_012_091 | sentences=337
[OK] HCH_012\HCH_012_092 | sentences=447
[OK] HCH_012\HCH_012_093 | sentences=466
[OK] HCH_012\HCH_012_094 | sentences=409
[OK] HCH_012\HCH_012_095 | sentences=269
[OK] HCH_012\HCH_012_096 | sentences=70
[OK] HCH_012\HCH_012_097 | sentences=142
[OK] HCH_012\HCH_012_098 | sentences=65
[OK] HCH_012\HCH_012_099 | sentences=32
[OK] HCH_012\HCH_012_100 | sentences=17
[OK] HCH_012\HCH_012_103 | sentences=8
[OK] HCH_012\HCH_012_104 | sentences=18
[OK] HCH_012\HCH_012_105 | sentences=20
[OK] HCH_012\HCH_012_106 | sentences=414
[OK] HCH_012\HCH_012_107 | sentences=7
[OK] HCH_012\HCH_012_108 | sentences=12
[OK] HCH_012\HCH_012_109 | sentences=16
[OK] HCH_012\HCH_012_111 | sentences=12
[OK] HCH_012\HCH_012_113 | sentences=524
[OK] HCH_012\HCH_012_114 | sentences=414
[OK] HCH_012\HCH_012_115 | sentences=174
[OK] HCH_012\HCH_012_116 | sentences=559
[OK] HCH_012\HCH_012_117 | sentences=536
[OK] HCH_012\HCH_012_118 | sentences=631
[OK] HCH_012\HCH_012_119 | sentences=524
[OK] HCH_012\HCH_012_120 | sentences=352
[OK] HCH_012\HCH_012_121 | sentences=402
[OK] HCH_012\HCH_012_122 | sentences=154
[OK] HCH_012\HCH_012_123 | sentences=489
[OK] HCH_012\HCH_012_124 | sentences=276
[OK] HCH_012\HCH_012_125 | sentences=424
[OK] HCH_012\HCH_012_126 | sentences=679
[OK] HCH_012\HCH_012_127 | sentences=124
[OK] HCH_012\HCH_012_128 | sentences=415
[OK] HCH_012\HCH_012_129 | sentences=449
[OK] HCH_012\HCH_012_130 | sentences=687
[OK] HCH_012\HCH_012_131 | sentences=511
[OK] HCH_012\HCH_012_132 | sentences=357
[OK] HCH_012\HCH_012_133 | sentences=629
[OK] HCH_012\HCH_012_134 | sentences=410
[OK] HCH_012\HCH_012_135 | sentences=267
[OK] HCH_012\HCH_012_136 | sentences=302
[OK] HCH_012\HCH_012_137 | sentences=555
[OK] HCH_012\HCH_012_138 | sentences=485
[OK] HCH_012\HCH_012_139 | sentences=262
[OK] HCH_012\HCH_012_140 | sentences=284
[OK] HCH_012\HCH_012_141 | sentences=444
[OK] HCH_012\HCH_012_142 | sentences=390
[OK] HCH_012\HCH_012_143 | sentences=442
[OK] HCH_012\HCH_012_144 | sentences=336
[OK] HCH_012\HCH_012_145 | sentences=589
[OK] HCH_012\HCH_012_146 | sentences=443
[OK] HCH_012\HCH_012_147 | sentences=386
[OK] HCH_012\HCH_012_148 | sentences=448
[OK] HCH_012\HCH_012_149 | sentences=280
[OK] HCH_012\HCH_012_150 | sentences=406
[OK] HCH_012\HCH_012_151 | sentences=356
[OK] HCH_012\HCH_012_152 | sentences=404
[OK] HCH_012\HCH_012_153 | sentences=388
[OK] HCH_012\HCH_012_154 | sentences=672
[OK] HCH_012\HCH_012_155 | sentences=601
[OK] HCH_012\HCH_012_156 | sentences=455
[OK] HCH_012\HCH_012_157 | sentences=572
[OK] HCH_012\HCH_012_158 | sentences=517
[OK] HCH_012\HCH_012_159 | sentences=684
[OK] HCH_012\HCH_012_160 | sentences=427
[OK] HCH_012\HCH_012_161 | sentences=618
[OK] HCH_012\HCH_012_162 | sentences=567
[OK] HCH_012\HCH_012_163 | sentences=366
[OK] HCH_012\HCH_012_164 | sentences=592
[OK] HCH_012\HCH_012_165 | sentences=401
[OK] HCH_012\HCH_012_166 | sentences=516
[OK] HCH_012\HCH_012_167 | sentences=329
[OK] HCH_012\HCH_012_168 | sentences=516
[OK] HCH_012\HCH_012_169 | sentences=227
[OK] HCH_012\HCH_012_170 | sentences=261
[OK] HCH_012\HCH_012_171 | sentences=588
[OK] HCH_012\HCH_012_172 | sentences=741
[OK] HCH_012\HCH_012_173 | sentences=670
[OK] HCH_012\HCH_012_174 | sentences=585
[OK] HCH_012\HCH_012_175 | sentences=418
[OK] HCH_012\HCH_012_176 | sentences=612
[OK] HCH_012\HCH_012_177 | sentences=657
[OK] HCH_012\HCH_012_178 | sentences=503
[OK] HCH_012\HCH_012_179 | sentences=352
[OK] HCH_012\HCH_012_180 | sentences=808
[OK] HCH_012\HCH_012_181 | sentences=509
[OK] HCH_012\HCH_012_182 | sentences=470
[OK] HCH_012\HCH_012_183 | sentences=476
[OK] HCH_012\HCH_012_184 | sentences=410
[OK] HCH_012\HCH_012_185 | sentences=483
[OK] HCH_012\HCH_012_186 | sentences=841
[OK] HCH_012\HCH_012_187 | sentences=584
[OK] HCH_012\HCH_012_188 | sentences=759
[OK] HCH_012\HCH_012_189 | sentences=471
[OK] HCH_012\HCH_012_190 | sentences=448
[OK] HCH_012\HCH_012_191 | sentences=476
[OK] HCH_012\HCH_012_192 | sentences=460
[OK] HCH_012\HCH_012_193 | sentences=580
[OK] HCH_012\HCH_012_194 | sentences=687
[OK] HCH_012\HCH_012_195 | sentences=300
[OK] HCH_012\HCH_012_196 | sentences=638
[OK] HCH_012\HCH_012_197 | sentences=468
[OK] HCH_012\HCH_012_198 | sentences=745
[OK] HCH_012\HCH_012_199 | sentences=529
[OK] HCH_012\HCH_012_200 | sentences=713
[OK] HCH_012\HCH_012_201 | sentences=509
[OK] HCH_012\HCH_012_202 | sentences=708
[OK] HCH_012\HCH_012_203 | sentences=683
[OK] HCH_012\HCH_012_204 | sentences=583
[OK] HCH_012\HCH_012_205 | sentences=622
[OK] HCH_012\HCH_012_206 | sentences=673
[OK] HCH_012\HCH_012_207 | sentences=468
[OK] HCH_012\HCH_012_208 | sentences=560
[OK] HCH_012\HCH_012_209 | sentences=795
[OK] HCH_012\HCH_012_210 | sentences=634
[OK] HCH_012\HCH_012_211 | sentences=682
[OK] HCH_012\HCH_012_212 | sentences=779
[OK] HCH_012\HCH_012_213 | sentences=652
[OK] HCH_012\HCH_012_214 | sentences=415
[OK] HCH_012\HCH_012_215 | sentences=375
[OK] HCH_012\HCH_012_216 | sentences=711
[OK] HCH_012\HCH_012_217 | sentences=422
[OK] HCH_012\HCH_012_218 | sentences=532
[OK] HCH_012\HCH_012_219 | sentences=340
[OK] HCH_012\HCH_012_220 | sentences=653
[OK] HCH_012\HCH_012_221 | sentences=488
[OK] HCH_012\HCH_012_222 | sentences=682
[OK] HCH_012\HCH_012_223 | sentences=472
[OK] HCH_012\HCH_012_224 | sentences=584
[OK] HCH_012\HCH_012_225 | sentences=359
[OK] HCH_012\HCH_012_226 | sentences=547
[OK] HCH_012\HCH_012_227 | sentences=563
[OK] HCH_012\HCH_012_228 | sentences=335
[OK] HCH_012\HCH_012_229 | sentences=377
[OK] HCH_012\HCH_012_230 | sentences=346
[OK] HCH_012\HCH_012_231 | sentences=523
[OK] HCH_012\HCH_012_232 | sentences=284
