HCH_010_013_000239	戊子，女直遣使來貢。
HCH_010_013_000240	己丑，詔南京決滯囚。
HCH_010_013_000241	乙未，免流民稅。
HCH_010_013_000242	二月丙申朔，如長春宮。
HCH_010_013_000243	戊戌，勸品部富民出錢以贍貧民。
HCH_010_013_000244	庚子，徙梁門、遂城、泰州、北平民於內地。
HCH_010_013_000245	丙午，夏國遣使來貢。
HCH_010_013_000246	甲寅，問安皇太后。
HCH_010_013_000247	丙辰，韓德威奏破党項捷。
HCH_010_013_000248	丁巳，詔品部曠地令民耕種。
HCH_010_013_000249	三月乙丑朔，党項來貢。
HCH_010_013_000250	戊辰，募民耕灤州荒地，免其租賦十年。
HCH_010_013_000251	己巳，夏國破宋兵，遣使來告。
HCH_010_013_000252	己卯，封夏國王李繼遷為西平王。
HCH_010_013_000253	壬午，通括宮分人戶，免南京逋稅及義倉粟。
HCH_010_013_000254	甲申，河西党項乞內附。
HCH_010_013_000255	庚寅，兀惹烏昭度以地遠，乞歲時免進鷹、馬、貂皮，詔以生辰、正旦貢如舊，餘免。
HCH_010_013_000256	癸巳，宋主炅殂，子恒嗣位。
HCH_010_013_000257	甲午，皇太妃獻西邊捷。
HCH_010_013_000258	夏四月乙未朔，罷奚五部歲貢摐。
HCH_010_013_000259	戊戌，錄囚。
HCH_010_013_000260	壬寅，發義倉粟振南京諸縣民。
HCH_010_013_000261	丙午，廣德軍節度使韓德凝有善政，秩滿，其民請留，從之。
HCH_010_013_000262	己酉，幸南京。
HCH_010_013_000263	丁巳，致奠於太宗皇帝廟。
HCH_010_013_000264	己未，如炭山清暑。
HCH_010_013_000265	五月甲子朔，日有食之。
HCH_010_013_000266	己巳，詔平州決滯獄。
HCH_010_013_000267	是月，敵烈八部殺詳穩以叛，蕭撻凜追擊，獲部族之半。
HCH_010_013_000268	六月丙申，鐵驪來貢。
HCH_010_013_000269	壬子，夏國遣使來謝封冊。
HCH_010_013_000270	秋七月戊辰，党項來貢。
HCH_010_013_000271	辛未，禁吐谷渾別部鬻馬於宋。
HCH_010_013_000272	丙子，高麗遣韓彥敬奉幣吊越國公主之喪。
HCH_010_013_000273	辛卯，詔南京疾決獄訟。
HCH_010_013_000274	八月丁酉，獵於平地松林，皇太后誡曰：「前聖有言：欲不可縱。吾兒為天下主，馳騁田獵，萬一有銜橛之變，適遣予憂。其深戒之！」
HCH_010_013_000275	九月丙寅，罷東邊戍卒。
HCH_010_013_000276	庚午，幸饒州，致奠太祖廟。
HCH_010_013_000277	戊子，蕭撻凜奏討阻卜捷。
HCH_010_013_000278	冬十月壬辰朔，駐蹕駝山，罷奚王諸部貢物。
HCH_010_013_000279	乙未，賜宿衛時服。
HCH_010_013_000280	丁酉，禁諸山寺毋濫度僧尼。
HCH_010_013_000281	戊戌，馳東京道魚濼之禁。
HCH_010_013_000282	戊申，以上京獄訟繁冗，詰其主者。
HCH_010_013_000283	辛酉，錄囚。
HCH_010_013_000284	十一月壬戌朔，錄囚，丙戌，幸顯州。
HCH_010_013_000285	戊子，謁顯陵。
HCH_010_013_000286	庚寅，謁乾陵。
HCH_010_013_000287	是月，高麗王治薨，侄誦遣王同潁來告。
HCH_010_013_000288	十二月乙巳，鉤魚土河。
HCH_010_013_000289	己酉，駐蹕駝山。
HCH_010_013_000290	壬子，夏國遣使來貢。
HCH_010_013_000291	甲寅，遣使祭高麗王治，詔其侄權知國事。
HCH_010_013_000292	丙辰，錄囚。
HCH_010_013_000293	是年，放進士陳鼎等二人。
HCH_010_013_000294	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
