HCH_012_043_000297	又北有米倉關巡檢司。
HCH_012_043_000298	本治小巴山之巔，尋徙大巴山下，後廢。
HCH_012_043_000299	東北距府三百五十里。
HCH_012_043_000300	領縣二：通江州東少北。
HCH_012_043_000301	元至正四年置，屬府。
HCH_012_043_000302	正德九年改屬州。
HCH_012_043_000303	舊治在趙口坪，洪武中，徙於今治。
HCH_012_043_000304	東有得漢山。
HCH_012_043_000305	南有巴江。
HCH_012_043_000306	又有宕水，在縣西壁山下，亦曰諾水，流入巴江。
HCH_012_043_000307	東北有濛壩、北有羊圈山二巡檢司。
HCH_012_043_000308	又東北有桐柏關，相對樗林關。
HCH_012_043_000309	南江州北。
HCH_012_043_000310	正德十一年置。
HCH_012_043_000311	北有兩角山。
HCH_012_043_000312	南有難江，源出南鄭縣米倉山，下流入巴江。
HCH_012_043_000313	西北有大壩巡檢司。
HCH_012_043_000314	順慶府元順慶路。
HCH_012_043_000315	洪武中，爲府。
HCH_012_043_000316	領州二，縣八。
HCH_012_043_000317	西南距布政司六百里。
HCH_012_043_000318	南充倚。
HCH_012_043_000319	北有北津渡，縣舊治也。
HCH_012_043_000320	洪武中，徙今治。
HCH_012_043_000321	南有清居山。
HCH_012_043_000322	西有大、小方山。
HCH_012_043_000323	東有嘉陵江。
HCH_012_043_000324	西有曲水，又有流溪水，東有清水溪，又有大斗溪，俱流注於嘉陵江。
HCH_012_043_000325	又西有昆井，產鹽。
HCH_012_043_000326	府境州縣多鹽井。
HCH_012_043_000327	北有北津渡巡檢司。
HCH_012_043_000328	西充府西北。
HCH_012_043_000329	洪武十年五月省入南充縣。
HCH_012_043_000330	十三年十一月復置。
HCH_012_043_000331	南有南岷山，上有九井、十三峯。
HCH_012_043_000332	西有西溪，即流溪也。
HCH_012_043_000333	蓬州元屬順慶路。
HCH_012_043_000334	洪武中，以州治相如縣省入。
HCH_012_043_000335	東南有云山。
HCH_012_043_000336	西有嘉陵江。
HCH_012_043_000337	東北有巴江。
HCH_012_043_000338	西南距府百四十里。
HCH_012_043_000339	領縣二：營山州東少北。
HCH_012_043_000340	洪武十年五月省入蓬州。
HCH_012_043_000341	十三年十一月復置。
HCH_012_043_000342	東北有大、小蓬山。
HCH_012_043_000343	東有巴江。
HCH_012_043_000344	儀隴州北少東。
HCH_012_043_000345	洪武十年五月省入蓬州。
HCH_012_043_000346	十三年十一月復置。
HCH_012_043_000347	西有伏虞山。
HCH_012_043_000348	北有金城山，一名金粟山。
HCH_012_043_000349	東有巴江。
HCH_012_043_000350	北有鰲水，流入嘉陵江。
HCH_012_043_000351	廣安州元廣安府，屬順慶路。
HCH_012_043_000352	洪武四年降爲州，來屬。
HCH_012_043_000353	十年五月以州治渠江縣省入。
HCH_012_043_000354	東北有篆江，即巴江，合渠江之下流也。
HCH_012_043_000355	江中有三十六灘，亦名洄水。
HCH_012_043_000356	又北有濃水，南流合於環水，至州南合洄水，並注合州之嘉陵江。
HCH_012_043_000357	西北距府二百十里。
HCH_012_043_000358	領縣四：嶽池州西北。
HCH_012_043_000359	東有嶽池水。
HCH_012_043_000360	渠州東北。
HCH_012_043_000361	元渠州，屬順慶路。
HCH_012_043_000362	至元二十六年五月省州治流江縣入焉。
HCH_012_043_000363	洪武九年四月降爲縣。
HCH_012_043_000364	東北有八濛山。
HCH_012_043_000365	東有宕渠山，有渠江，下流合巴江。
HCH_012_043_000366	又北有衛渠關，正德中置。
HCH_012_043_000367	鄰水州東少南。
HCH_012_043_000368	成化元年七月置。
HCH_012_043_000369	東南有鄰山，產鐵。
HCH_012_043_000370	有鄰水，下流入大江，縣以此名。
HCH_012_043_000371	大竹州東少北。
HCH_012_043_000372	元屬渠州。
HCH_012_043_000373	洪武九年來屬。
HCH_012_043_000374	西有九盤山。
HCH_012_043_000375	東有東流溪，下流合於渠江。
HCH_012_043_000376	夔州府元夔州路，屬四川南道宣慰司。
HCH_012_043_000377	洪武四年爲府。
HCH_012_043_000378	九年四月降爲州，屬重慶府。
HCH_012_043_000379	十年五月直隸布政司。
HCH_012_043_000380	十三年十一月復爲府。
HCH_012_043_000381	領州一，縣十二。
HCH_012_043_000382	西距布政司千九百里。
HCH_012_043_000383	奉節倚。
HCH_012_043_000384	洪武九年四月省。
HCH_012_043_000385	十三年十一月復置。
HCH_012_043_000386	東北有赤甲山。
HCH_012_043_000387	東有白帝山，又有白鹽山。
HCH_012_043_000388	南濱江。
HCH_012_043_000389	東出爲瞿唐峽，峽口曰灩澦堆。
HCH_012_043_000390	又西有南鄉峽、虎鬚灘，東有龍脊灘，皆江流至險處。
HCH_012_043_000391	又東有大瀼水、東瀼水，俱流入江。
HCH_012_043_000392	南有尖山、又有金子山二巡檢司。
HCH_012_043_000393	又東有瞿唐關。
HCH_012_043_000394	東南有江關。
HCH_012_043_000395	南有八陣磧，磧旁有鹽泉。
HCH_012_043_000396	巫山府東。
HCH_012_043_000397	東有巫山，亦曰巫峽，大江經其中，東入湖廣巴東縣界。
HCH_012_043_000398	東有大寧河，又有萬流溪，皆流入大江。
HCH_012_043_000399	大昌府東。
HCH_012_043_000400	洪武十三年十一月置。
HCH_012_043_000401	西有千頃池。
HCH_012_043_000402	又有當陽鎮巡檢司。
HCH_012_043_000403	大寧府東北。
HCH_012_043_000404	元大寧州。
HCH_012_043_000405	洪武九年降爲縣。
HCH_012_043_000406	北有寶源山，有石穴，鹽泉出焉。
HCH_012_043_000407	又有馬連溪，亦曰昌溪。
HCH_012_043_000408	東北有袁溪巡檢司。
HCH_012_043_000409	北有青崖關。
HCH_012_043_000410	雲陽府西。
HCH_012_043_000411	元雲陽州。
HCH_012_043_000412	洪武六年十二月降爲縣。
HCH_012_043_000413	南濱江。
HCH_012_043_000414	東有湯溪，源自湖廣竹山，流經此，至奉節湯口入江。
HCH_012_043_000415	西有檀溪，上承巴渠水，入於湯水。
HCH_012_043_000416	北有鹽井。
HCH_012_043_000417	又西北有五溪、北有鐵檠二巡檢司。
HCH_012_043_000418	萬府西少南。
HCH_012_043_000419	元萬州。
HCH_012_043_000420	洪武六年十二月降爲縣。
HCH_012_043_000421	南濱江。
HCH_012_043_000422	西有苧溪。
HCH_012_043_000423	東有彭溪。
HCH_012_043_000424	又西有武寧縣，洪武四年省，有武寧巡檢司。
HCH_012_043_000425	又西南有銅羅關巡檢司。
HCH_012_043_000426	又西北有西柳關。
HCH_012_043_000427	開府西少北。
HCH_012_043_000428	元開州。
HCH_012_043_000429	洪武六年八月置，九月降爲縣。
HCH_012_043_000430	南有開江，彭溪之上流，有清江自縣東流合焉，亦曰疊江。
HCH_012_043_000431	又南有墊江，一名濁水，亦合流於開江。
HCH_012_043_000432	梁山府西。
HCH_012_043_000433	元梁山州，治梁山縣。
HCH_012_043_000434	洪武六年十二月省州，存縣。
HCH_012_043_000435	十年五月改屬忠州，後來屬。
HCH_012_043_000436	北有高梁山，又有高都山。
HCH_012_043_000437	西南有桂溪，南有蟠龍溪，下流俱入於江。
HCH_012_043_000438	新寧元屬達州。
HCH_012_043_000439	洪武三年改屬重慶府。
HCH_012_043_000440	十年五月省入梁山縣。
HCH_012_043_000441	十三年十一月復置，來屬。
HCH_012_043_000442	東有霧山，開江出焉。
HCH_012_043_000443	又東有豆山關。
HCH_012_043_000444	建始府東南。
HCH_012_043_000445	元屬施州。
HCH_012_043_000446	洪武中來屬。
HCH_012_043_000447	西有石乳山，產麩金，上有石乳關，與湖廣施州衛界。
HCH_012_043_000448	南有清江，自施州衛流入，又東入湖廣巴東縣界。
HCH_012_043_000449	達州元治通川縣。
HCH_012_043_000450	洪武九年四月降爲縣，省通川縣入焉。
HCH_012_043_000451	正德九年復升爲州。
HCH_012_043_000452	西有石城山。
HCH_012_043_000453	東有渠江，通川江之下流，西南入渠縣界，合於巴江，中有南昌灘，有土副巡檢司。
HCH_012_043_000454	又西有鐵山關。
HCH_012_043_000455	東北有深溪關。
HCH_012_043_000456	東南距府八百里。
HCH_012_043_000457	領縣二：東鄉州東少北。
HCH_012_043_000458	成化元年七月置。
HCH_012_043_000459	通川江在城東。
HCH_012_043_000460	太平州東北。
HCH_012_043_000461	正德十年析東鄉縣地置。
HCH_012_043_000462	東北有萬頃池，渠江、通川江出焉，下流爲渠江。
HCH_012_043_000463	北有北江，又北入陝西紫陽縣界，名任河，入於漢江，東北有明通巡檢司。
HCH_012_043_000464	重慶府元重慶路，屬四川南道宣慰司。
HCH_012_043_000465	洪武中，爲府。
HCH_012_043_000466	領州三，縣十七。
HCH_012_043_000467	西北距布政司五百五十里。
HCH_012_043_000468	巴倚。
HCH_012_043_000469	東有塗山。
HCH_012_043_000470	大江經城南，又東經明月峽，至城東，與涪江合。
HCH_012_043_000471	西北有魚鹿峽，涪江所經。
HCH_012_043_000472	東南有丹溪，東北有交龍溪，俱流入大江。
HCH_012_043_000473	東有大紅江巡檢司。
HCH_012_043_000474	西有佛圖關。
HCH_012_043_000475	西南有二郎關。
HCH_012_043_000476	東有銅鑼關。
HCH_012_043_000477	又南有南坪關。
HCH_012_043_000478	江津府西南。
HCH_012_043_000479	北濱大江。
HCH_012_043_000480	東南有僰溪口，僰溪入江處，有清平巡檢司。
HCH_012_043_000481	壁山成化十九年三月析巴縣地置。
HCH_012_043_000482	大江在南。
HCH_012_043_000483	涪江在北。
HCH_012_043_000484	又北有壁山巡檢司。
HCH_012_043_000485	永川府西少南。
HCH_012_043_000486	洪武六年十二月置。
HCH_012_043_000487	榮昌府西少南。
HCH_012_043_000488	洪武六年十二月置。
HCH_012_043_000489	西有雒江，即中水。
HCH_012_043_000490	西北有昌寧縣，明玉珍置，洪武七年省。
HCH_012_043_000491	大足明玉珍置，屬合州。
HCH_012_043_000492	洪武四年改屬府。
HCH_012_043_000493	東有米糧關。
HCH_012_043_000494	北有化龍關。
HCH_012_043_000495	安居成化十七年九月析銅梁、遂寧二縣地置。
HCH_012_043_000496	東有安居溪，一名瓊江，下流入涪江。
HCH_012_043_000497	綦江府南少東。
HCH_012_043_000498	元綦江長官司，屬播州。
HCH_012_043_000499	明玉珍改爲縣。
HCH_012_043_000500	洪武中來屬。
HCH_012_043_000501	南有綦江，即僰溪之上流，一名東溪，有東溪巡檢司，後徙縣南之趕水鎮。
HCH_012_043_000502	又南有三溪渡，有綦市關。
HCH_012_043_000503	南川府東南。
HCH_012_043_000504	洪武十年五月省入綦江縣。
HCH_012_043_000505	十三年十一月復置。
HCH_012_043_000506	南有南江，北流爲綦江，中有龍牀灘，在縣北。
HCH_012_043_000507	又東有四十八渡水，流入南江。
HCH_012_043_000508	又南有馬勁關、雀子崗關。
HCH_012_043_000509	北有冷水關。
HCH_012_043_000510	長壽府東少北。
HCH_012_043_000511	洪武六年九月置，屬涪州，尋改屬府。
HCH_012_043_000512	北濱大江。
HCH_012_043_000513	南有樂溫山，下有樂溫灘，大江所經。
HCH_012_043_000514	又東有桃花溪。
HCH_012_043_000515	黔江府東。
HCH_012_043_000516	元屬紹慶府。
HCH_012_043_000517	洪武五年十二月省入彭水縣。
HCH_012_043_000518	十一年九月置黔江守禦千戶所。
HCH_012_043_000519	十四年九月復置縣，來屬。
HCH_012_043_000520	南有黔江，源出貴州思州府界，正流自涪江合大江，支流經此，下流爲湖廣施州衛之清江。
HCH_012_043_000521	又東有石勝關，又有石牙關。
HCH_012_043_000522	西有白巖關。
HCH_012_043_000523	東南有老鷹關，與湖廣施州界。
HCH_012_043_000524	合州府北。
HCH_012_043_000525	元治石照縣。
HCH_012_043_000526	明玉珍省縣入焉。
HCH_012_043_000527	東有釣魚山，嘉陵江經其北，涪江經其南。
HCH_012_043_000528	又東北有嘉渠口，嘉陵江與渠江合流處，經城東南，涪江自西流合焉，亦曰三江口，並流而南，入於大江。
HCH_012_043_000529	南距府百五十里。
HCH_012_043_000530	領縣二：銅梁州南。
HCH_012_043_000531	北有涪江。
HCH_012_043_000532	定遠州北。
HCH_012_043_000533	有舊城。
HCH_012_043_000534	今城本廟兒壩，嘉靖三十年徙此。
