HCH_012_021_000317	三月庚寅，復加天下田賦。
HCH_012_021_000318	夏四月癸丑，皇后王氏崩。
HCH_012_021_000319	戊午，帝不豫，召見方從哲於弘德殿。
HCH_012_021_000320	秋七月壬辰，大漸，召英國公張惟賢，大學士方從哲，尚書周嘉謨、李汝華、黃嘉善、張問達、黃克纘，侍郎孫如游於弘德殿，勉諸臣勤職。
HCH_012_021_000321	丙申，崩，年五十有八。
HCH_012_021_000322	遺詔罷一切榷稅併新增織造諸項。
HCH_012_021_000323	九月甲申，上尊諡，廟號神宗，葬定陵。
HCH_012_021_000324	光宗崇天契道英睿恭純憲文景武淵仁懿孝貞皇帝，諱常洛，神宗長子也。
HCH_012_021_000325	母恭妃王氏。
HCH_012_021_000326	萬曆十年八月生。
HCH_012_021_000327	神宗御殿受賀，告祭郊廟社稷，頒詔天下，上兩宮徽號。
HCH_012_021_000328	未幾，鄭貴妃生子常洵，有寵。
HCH_012_021_000329	儲位久不定，廷臣交章固請，皆不聽。
HCH_012_021_000330	二十九年十月，乃立為皇太子。
HCH_012_021_000331	三十一年，獲妖書，言神宗欲易太子，指斥鄭貴妃。
HCH_012_021_000332	神宗怒。
HCH_012_021_000333	捕逮株連者甚眾，最後得皦生光者，磔之，獄乃解。
HCH_012_021_000334	四十一年六月，姦人王曰乾上變，告孔學等為巫蠱，將謀不利於東宮，語連鄭貴妃、福王，事具葉向高傳。
HCH_012_021_000335	四十三年夏五月己酉，薊州男子張差持梃入慈慶宮，事復連貴妃內璫。
HCH_012_021_000336	太子請以屬吏。
HCH_012_021_000337	獄具，戮差於市，斃內璫二人於禁中。
HCH_012_021_000338	自是遂有「梃擊」之案。
HCH_012_021_000339	四十八年七月，神宗崩。
HCH_012_021_000340	丁酉，太子遵遺詔發帑金百萬犒邊，盡罷天下礦稅，起建言得罪諸臣。
HCH_012_021_000341	己亥，再發帑金百萬充邊賞。
HCH_012_021_000342	八月丙午朔，即皇帝位。
HCH_012_021_000343	大赦天下，以明年為泰昌元年。
HCH_012_021_000344	蠲直省被災租賦。
HCH_012_021_000345	己酉，吏部侍郎史繼偕、南京禮部侍郎沈㴶為禮部尚書兼東閣大學士，預機務。
HCH_012_021_000346	遼東大旱。
HCH_012_021_000347	庚申，蘭州黃河清，凡三日。
HCH_012_021_000348	甲子，禮部侍郎何宗彥、劉一燝、韓爌為禮部尚書兼東閣大學士，預機務。
HCH_012_021_000349	乙丑，南京禮部尚書朱國祚為禮部尚書兼東閣大學士，預機務。
HCH_012_021_000350	召葉向高。
HCH_012_021_000351	遣使恤刑。
HCH_012_021_000352	丙寅，帝不豫。
HCH_012_021_000353	戊辰，召對英國公張惟賢、大學士方從哲等十有三人於乾清宮，命皇長子出見。
HCH_012_021_000354	甲戌，大漸，復召從哲等受顧命。
HCH_012_021_000355	是日，鴻臚寺官李可灼進紅丸。
HCH_012_021_000356	九月乙亥朔，崩於乾清宮，在位一月，年三十有九。
HCH_012_021_000357	熹宗即位，從廷臣議，改萬曆四十八年八月後為泰昌元年。
HCH_012_021_000358	冬十月，上尊諡，廟號光宗，葬慶陵。
HCH_012_021_000359	贊曰：神宗冲齡踐阼，江陵秉政，綜核名實，國勢幾於富強。
HCH_012_021_000360	繼乃因循牽制，晏處深宮，綱紀廢弛，君臣否隔。
HCH_012_021_000361	於是小人好權趨利者馳騖追逐，與名節之士為仇讎，門戶紛然角立。
HCH_012_021_000362	馴至悊、愍，邪黨滋蔓。
HCH_012_021_000363	在廷正類無深識遠慮以折其機牙，而不勝忿激，交相攻訐。
HCH_012_021_000364	以致人主蓄疑，賢姦雜用，潰敗決裂，不可振救。
HCH_012_021_000365	故論者謂明之亡，實亡於神宗，豈不諒歟。
HCH_012_021_000366	光宗潛德久彰，海內屬望，而嗣服一月，天不假年，措施未展，三案搆爭，黨禍益熾，可哀也夫。
