HCH_012_006_000226	三月丁卯，清遠侯王友督中軍，安遠伯柳升副之，寧遠侯何福、武安侯鄭亨督左、右哨，寧陽侯陳懋、廣恩伯劉才督左、右掖，都督劉江督前哨。
HCH_012_006_000227	甲戌，次鳴鑾戍。
HCH_012_006_000228	乙亥，誓師。
HCH_012_006_000229	夏四月庚申，次威虜鎮，以橐駞所載水給衞士，視軍士皆食，始進膳。
HCH_012_006_000230	五月丁卯，更名臚朐河曰飲馬。
HCH_012_006_000231	甲戌，聞本雅失里西奔，遂渡飲馬河追之。
HCH_012_006_000232	己卯，及於斡難河，大敗之，本雅失里以七騎遁。
HCH_012_006_000233	丙戌，還次飲馬河，詔移師征阿魯台。
HCH_012_006_000234	丁亥，回回哈剌馬牙殺都指揮劉秉謙，據肅州衞以叛，千戶朱迪等討平之。
HCH_012_006_000235	六月甲辰，阿魯台偽降，命諸將嚴陣以待，果悉眾來犯。
HCH_012_006_000236	帝自將精騎迎擊，大敗之，追北百餘里。
HCH_012_006_000237	丁未，又敗之。
HCH_012_006_000238	己酉，班師。
HCH_012_006_000239	秋七月丁卯，次開平。
HCH_012_006_000240	帝在軍，念士卒艱苦，每蔬食，是日宴賚，始復常膳。
HCH_012_006_000241	西寧侯宋琥鎮甘肅。
HCH_012_006_000242	辛巳，振安慶、徽州、鳳陽、鎮江饑。
HCH_012_006_000243	壬午，至北京，御奉天殿受朝賀。
HCH_012_006_000244	甲午，論功行賞有差。
HCH_012_006_000245	八月壬寅，進封柳升安遠侯。
HCH_012_006_000246	乙卯，何福自殺。
HCH_012_006_000247	庚申，河溢開封。
HCH_012_006_000248	九月己巳，幸天壽山。
HCH_012_006_000249	冬十月丁酉，發北京。
HCH_012_006_000250	是月，倭寇福州。
HCH_012_006_000251	十一月甲戌，至京師。
HCH_012_006_000252	十二月癸巳，阿魯台遣使貢馬。
HCH_012_006_000253	戊午，陳季擴乞降，以為交阯右布政使，季擴不受命。
HCH_012_006_000254	是年，失捏干寇黃河東岸，寧夏都指揮王俶敗沒。
HCH_012_006_000255	浡泥、呂宋、馮嘉施蘭、蘇門答剌、榜葛剌入貢。
HCH_012_006_000256	占城貢象。
HCH_012_006_000257	琉球山南、爪哇、暹羅貢馬。
HCH_012_006_000258	琉球中山入貢者三。
HCH_012_006_000259	九年春正月甲戌，大祀天地於南郊。
HCH_012_006_000260	丙子，柳升鎮寧夏。
HCH_012_006_000261	己卯，張輔為征虜副將軍，會沐晟討交阯。
HCH_012_006_000262	丙戌，豐城侯李彬、平江伯陳瑄率浙江、福建兵捕海寇。
HCH_012_006_000263	二月辛亥，陳瑛有罪，下獄死。
HCH_012_006_000264	丙辰，詔赦交阯。
HCH_012_006_000265	丁巳，倭陷昌化千戶所。
HCH_012_006_000266	己未，工部尚書宋禮開會通河。
HCH_012_006_000267	三月甲子，賜蕭時中等進士及第、出身有差。
HCH_012_006_000268	壬午，浚祥符縣黃河故道。
HCH_012_006_000269	戊子，劉江鎮遼東。
HCH_012_006_000270	夏六月乙巳，鄭和還自西洋。
HCH_012_006_000271	是月，下交阯右參議解縉於獄。
HCH_012_006_000272	秋七月丙子，張輔敗賊於月常江。
HCH_012_006_000273	九月戊寅，諭法司，凡死罪必五覆奏。
HCH_012_006_000274	壬午，命屯田軍以公事妨農務者，免徵子粒，著為令。
HCH_012_006_000275	冬十月乙未，寬北京謫徙軍民賦役。
HCH_012_006_000276	癸卯，封哈密兔力帖木兒為忠義王。
HCH_012_006_000277	乙巳，復修太祖實錄。
HCH_012_006_000278	十一月戊午，蠲陝西逋賦。
HCH_012_006_000279	癸亥，張輔敗賊於生厥江。
HCH_012_006_000280	丁卯，立皇長孫瞻基為皇太孫。
HCH_012_006_000281	壬申，韓觀為征夷副將軍，改鎮交阯，都指揮葛森鎮廣西。
HCH_012_006_000282	丙子，敕法司決遣罪囚毋淹滯。
HCH_012_006_000283	是月，遣使督瘞戰場暴骨。
HCH_012_006_000284	十二月壬辰，敕宥福餘、朵顏、泰寧三衞罪，令入貢。
HCH_012_006_000285	閏月丁巳，命府部諸臣陳軍民利弊。
HCH_012_006_000286	是年，浙江、湖廣、河南、順天、揚州水，河南、陝西疫，遣使振之。
HCH_012_006_000287	滿剌加王來朝。
