HCH_009_029_000139	至位，北向立，樂止。
HCH_009_029_000140	搢笏，盥手，帨手，執笏，詣壇，樂作《肅甯之曲》。
HCH_009_029_000141	凡初獻升降，皆作《肅甯之曲》。
HCH_009_029_000142	升自卯階，至壇，樂止。
HCH_009_029_000143	詣皇地祇神座前，北向立，樂作《靜甯之曲》。
HCH_009_029_000144	搢笏，跪。
HCH_009_029_000145	太祝加玉於幣，西向跪以授初獻。
HCH_009_029_000146	初獻受玉幣奠訖，執笏，俯伏，興，再拜，訖，樂止。
HCH_009_029_000147	次詣配位神座前，東向立，樂作《億甯之曲》，奠幣如上儀，樂止。
HCH_009_029_000148	降自卯陛，樂作，復位，樂止。
HCH_009_029_000149	初獻將奠配位之幣，贊者引第一等分獻官詣盥洗位，搢笏，盥手，帨手，執笏，由卯陛詣神州地祇神座前，搢笏，跪。
HCH_009_029_000150	太祝以玉幣授分獻官，分獻官受玉幣，奠訖，執笏，俯伏，興，再拜，訖，退。
HCH_009_029_000151	初，第一分獻官將升，贊者引第二分獻官詣盥洗位，盥手、帨手，執笏，各由其陛升，唯不由午陛，詣於首位神座前，奠幣如上儀。
HCH_009_029_000152	余以次祝史、齋郎助奠訖，各引還位。
HCH_009_029_000153	初獻奠幣將畢，祝史奉毛血豆，各由午陛升，諸太祝迎於壇上，進奠於正、配位神座前，太祝與祝史俱退，立於尊所。
HCH_009_029_000154	進熟：初獻既升奠玉幣。
HCH_009_029_000155	有司先陳牛鼎二、羊鼎二、豕鼎二於神廚，各在鑊右。
HCH_009_029_000156	太官帥進饌者詣廚，以匕升牛、羊、豕，自鑊實於各鼎。
HCH_009_029_000157	牛、羊、豕各肩、臂、臑、肫、胳、正脊一、橫脊一、長脅一、短脅一、代脅一，皆二骨以並，冪之。
HCH_009_029_000158	祝史以扃各對舉鼎，有司執匕以從，陳於饌幔內。
HCH_009_029_000159	從祀之俎實以羊，更陳於饌幔內。
HCH_009_029_000160	光祿卿實以籩豆簠簋。
HCH_009_029_000161	籩實以粉餈，豆實以糝食，簠實以稷，簋實以黍。
HCH_009_029_000162	實訖，去鼎之扃冪，匕加於鼎。
HCH_009_029_000163	太官令以匕升牛羊豕，載於俎，肩臂臑在上端，肫胳在下端，脊脅在中。
HCH_009_029_000164	俟初獻還位，樂止。
HCH_009_029_000165	禮直官引司徒出詣饌所，同薦籩豆簠簋俎。
HCH_009_029_000166	齋郎各奉皇地祇配位之饌，升自卯陛，諸太祝各迎於壇上。
HCH_009_029_000167	司徒詣皇地祇神座前，搢笏，奉籩豆簠簋，次奉俎，北向跪奠，訖，執笏，俯伏，興，設籩於糗餌之前，豆於醓醢之前，簠簋在登前，俎在籩前。
HCH_009_029_000168	次於卯陛奉配位之饌，東向跪奠於神座前，並如上儀。
HCH_009_029_000169	各降自卯陛，還位。
HCH_009_029_000170	太官令又同齋郎奉神州地祇之饌，升自卯陛，太祝迎於壇陛之道間，奠於神座前，在籩前，訖，樂止。
HCH_009_029_000171	太官令進饌者降自卯陛，還位。
HCH_009_029_000172	禮直官引初獻官詣盥洗位，樂作。
HCH_009_029_000173	至位，樂止。
HCH_009_029_000174	北向立，搢笏，盥手、帨手，執笏，詣爵洗位。
HCH_009_029_000175	至位，北向立，搢笏，洗爵，拭爵以授執事者。
HCH_009_029_000176	執笏，詣壇，樂作。
HCH_009_029_000177	升自卯陛，至壇上，樂止。
HCH_009_029_000178	詣皇地祇酌尊所，西向立。
HCH_009_029_000179	執事者以爵授初獻。
HCH_009_029_000180	初獻搢笏，執爵。
HCH_009_029_000181	司尊舉冪，良醖令跪酌太尊之泛齊，酌訖，初獻以爵授執事者，執笏，詣皇地祇神座前，北向立，搢笏，跪。
HCH_009_029_000182	執事者以爵授初獻，初獻執爵，三祭酒于茅苴，奠爵，三獻奠爵，皆執事者受以興。
HCH_009_029_000183	執笏，俯伏，興，少退，跪，樂止。
HCH_009_029_000184	舉祝官跪，對舉祝版。
HCH_009_029_000185	讀祝，太祝東向跪，讀祝訖，俯伏，興。
HCH_009_029_000186	舉祝奠版於案，再拜，興。
HCH_009_029_000187	次詣配位酌尊所，執事者以爵授初獻，初獻搢笏，執爵。
HCH_009_029_000188	司尊舉冪，良醖令跪酌著尊之泛齊，樂作太簇宮《保甯之曲》。
HCH_009_029_000189	初獻以爵授執事者，執笏，詣配位神座前，東向立，搢笏，跪。
HCH_009_029_000190	執事者以爵授初獻，初獻執爵，三奠酒于茅苴。
HCH_009_029_000191	奠爵，執笏，俯伏，興。
HCH_009_029_000192	少退，跪，樂止。
HCH_009_029_000193	讀祝，訖，樂作，就拜，興，拜，興。
HCH_009_029_000194	降自卯陛，讀祝、舉祝官俱從，樂作，復位，樂止。
HCH_009_029_000195	次引亞獻詣盥洗位，北向立，搢笏，盥手，帨手。
HCH_009_029_000196	執笏，詣爵洗位，北向立，搢笏，洗爵，拭爵授執事者。
HCH_009_029_000197	執笏，升自卯陛，詣皇地祇酌尊所，西向立。
HCH_009_029_000198	執事者以爵授亞獻。
HCH_009_029_000199	亞獻搢笏執爵，司尊舉冪，良醖令酌著尊之醴齊，酌訖，以爵授執事者，執笏，詣皇地祇神座前，北向立，搢笏、跪。
HCH_009_029_000200	執事以爵授亞獻，亞獻執爵，三祭酒于茅苴，奠爵，執笏，俯伏，興，少退，再拜。
HCH_009_029_000201	次詣配位酌獻如上儀，唯酌犧尊為異。
HCH_009_029_000202	樂止，降復位。
HCH_009_029_000203	次引終獻詣盥洗位，盥手，帨手，洗爵，拭爵，以爵授執事者，升壇。
HCH_009_029_000204	正位，酌犧尊之盎齊，配位，酌象尊之醴齊，奠獻並如亞獻之儀。
HCH_009_029_000205	禮畢，降復位。
HCH_009_029_000206	初，終獻將升，贊者引第一等分獻官詣盥洗位，搢笏，盥手，帨手，洗爵，拭爵，以爵授執事者。
HCH_009_029_000207	執笏，詣神州地祇酌尊所，搢笏，執事者以爵授獻官。
HCH_009_029_000208	獻官執爵，執事者酌太尊之泛齊，酌訖，以爵授執事者。
HCH_009_029_000209	進詣神座前，搢笏，跪，執事者以爵授獻官，獻官執爵，三祭酒于茅苴，奠爵，俯伏，興，少退，跪，再拜，訖，還位。
HCH_009_029_000210	初，第一等分獻官將升，贊者分引第二等分獻官詣盥洗位，搢笏，盥手，帨手，執笏詣酌尊所，執事以爵授分獻官，分獻酌以授執事者，進詣首位神座前，奠獻並如上儀。
HCH_009_029_000211	祝史、齋郎以次助奠，訖，各引還位。
HCH_009_029_000212	諸獻俱畢，諸太祝進徹籩豆，籩豆各一，少移故處。
HCH_009_029_000213	樂作《豐甯之曲》，卒徹、樂止。
HCH_009_029_000214	奉禮官
HCH_009_029_000215	贊曰：「賜胙。」
