HCH_009_040_000176	太祖，《大定之曲》：天生聰明，俾乂蒸人。
HCH_009_040_000177	惟此二國，為我驅民。
HCH_009_040_000178	撻彼威武，萬邦鹹賓。
HCH_009_040_000179	明昭大報，推而配神。
HCH_009_040_000180	太宗，《大惠之曲》：維清緝熙，於昭明德。
HCH_009_040_000181	我其收之，駿奔萬國。
HCH_009_040_000182	南郊肇修，大典增飾。
HCH_009_040_000183	清廟吉蠲，純禧申錫。
HCH_009_040_000184	睿宗，《大和之曲》：維時祖功，肇開神基。
HCH_009_040_000185	昭哉聖考，其德增輝。
HCH_009_040_000186	上動天監，明命攸歸。
HCH_009_040_000187	謀貽翼子，無疆之辭。
HCH_009_040_000188	文舞退，武舞進，宮縣《肅甯之曲》：先皇開基，比跡殷湯，功加天下，武德彌光。
HCH_009_040_000189	容舞象成，干戈戚揚。
HCH_009_040_000190	於昭報本，懷哉不忘。
HCH_009_040_000191	亞終獻，宮縣《肅甯之曲》：于皇宗祊，朝獻維時。
HCH_009_040_000192	芬芬酒醴，棣棣威儀。
HCH_009_040_000193	誠則有餘，神之格思。
HCH_009_040_000194	神孫千億，神其相之。
HCH_009_040_000195	皇帝飲福，登歌夾鐘宮《福甯之曲》：皇皇穆穆，丕承丕基。
HCH_009_040_000196	躬親於禋，載肅載祗。
HCH_009_040_000197	對越在天，神歆其誠。
HCH_009_040_000198	於以飲酒，如川之增。
HCH_009_040_000199	徹豆，登歌夾鐘宮《豐甯之曲》：物維其時，既豐且旨。
HCH_009_040_000200	苾苾德馨，或將或肆。
HCH_009_040_000201	神之居歆，洽於百禮。
HCH_009_040_000202	于萬斯年，穰穰介祉。
HCH_009_040_000203	送神，宮縣黃鐘宮《來甯之曲》：濟濟多儀，皇皇雅奏。
HCH_009_040_000204	獻終反爵，薦餘徹豆。
HCH_009_040_000205	神監昭回，有秩斯祐。
HCH_009_040_000206	無疆之福，申錫厥後。
HCH_009_040_000207	昭德皇后別廟，郊祀前薦享，登歌樂曲。
HCH_009_040_000208	初獻盥洗，夷則宮《肅甯之曲》：神無常享，時歆精誠。
HCH_009_040_000209	惟誠惟潔，感通神明。
HCH_009_040_000210	先事盥滌，注茲清冷。
HCH_009_040_000211	巾篚既奠，尊彝薦馨。
HCH_009_040_000212	初獻升、降殿，中呂宮《嘉甯之曲》：有來肅肅，登降以敬。
HCH_009_040_000213	粲粲袨服，鏘鏘佩聲。
HCH_009_040_000214	金石節奏，既協且平。
HCH_009_040_000215	其儀不忒，乃終有慶。
HCH_009_040_000216	司徒奉俎，奏夷則宮《豐甯之曲》：馨我黍稷，潔我牲牷。
HCH_009_040_000217	降升有節，薦是吉蠲。
HCH_009_040_000218	工祝致告，威儀肅然。
HCH_009_040_000219	神之吊矣，元吉其旋。
HCH_009_040_000220	酌獻，奏夷則宮《儀坤之曲》：伣天之妹，坤德利貞。
HCH_009_040_000221	圓丘有事，先薦以誠。
HCH_009_040_000222	我酒既旨，我肴既盈。
HCH_009_040_000223	神其居饗，福祿來成。
HCH_009_040_000224	徹豆，奏中呂宮《豐甯之曲》：明昭祀事，舊典無違。
HCH_009_040_000225	樂既雲闋，神其聿歸。
HCH_009_040_000226	禮之克成，神保斯饗。
HCH_009_040_000227	于萬斯年，迓續丕貺。
HCH_009_040_000228	祫禘有司攝事。
HCH_009_040_000229	初獻盥洗，宮縣無射宮《肅甯之曲》：祀事之大，齊栗為先。
HCH_009_040_000230	潔精以獻，沃盥於前。
HCH_009_040_000231	既灌以升，乃薦豆籩。
HCH_009_040_000232	神其感格，歆于吉蠲。
HCH_009_040_000233	升自西階，登歌奏夾鐘宮《嘉甯之曲》：國有太宮，合食以禮。
HCH_009_040_000234	躋階肅肅，降陛濟濟。
HCH_009_040_000235	鏘然純音，節乃容止。
HCH_009_040_000236	神之格思，永綏福履。
HCH_009_040_000237	時享，攝事登歌樂章。
HCH_009_040_000238	初獻盥洗，無射宮《肅甯之曲》：酌彼行潦，維挹其請。
HCH_009_040_000239	潔齊以祀，祀事昭明。
HCH_009_040_000240	顯允辟公，沃盥乃升。
HCH_009_040_000241	神之至止，歆於克誠。
HCH_009_040_000242	初獻升殿，夾鐘宮《嘉甯之曲》：濟濟在庭，祗薦有序。
HCH_009_040_000243	雍容令儀，旋規折矩。
HCH_009_040_000244	爰徂於基，鳴佩接武。
HCH_009_040_000245	敬恭神明，來寧來處。
HCH_009_040_000246	昭德皇后時享，登歌樂章。
HCH_009_040_000247	初獻盥洗，無射宮《肅甯之曲》：時祀有章，禮備樂舉。
HCH_009_040_000248	爰潔其盥，亦豐其俎。
HCH_009_040_000249	俯仰升降，中規中矩。
HCH_009_040_000250	神其來格，百神是與。
HCH_009_040_000251	初獻升殿，夾鐘宮《嘉甯之曲》：假哉神宮，神宮有侐。
HCH_009_040_000252	惟時吉蠲，登降翼翼。
HCH_009_040_000253	歌鐘鏘煌，笙磬翕繹。
HCH_009_040_000254	於昭肅恭，靈釐來格。
HCH_009_040_000255	司徒奉俎，無射宮《豐甯之曲》：宮庭枚枚，鐘磬喤喤。
HCH_009_040_000256	既儀圭鬯，既奠惣薌。
HCH_009_040_000257	齊莊奉饋，籩豆大房。
HCH_009_040_000258	靈之右饗，流慶無疆。
HCH_009_040_000259	酌獻，無射宮《儀坤之曲》：於皇坤德，作合乾儀。
HCH_009_040_000260	塗山懿範，京室芳徽，容聲如在，典祀惟時。
HCH_009_040_000261	神其克享，薦祉來宜。
HCH_009_040_000262	亞終獻，無射宮《儀坤之曲》：嘉羞實俎，高張在庭。
HCH_009_040_000263	申獻合禮終獻改申為三，坤德儀刑。
HCH_009_040_000264	神其是聽，用鬯清明。
HCH_009_040_000265	清明既鬯，來享來寧。
HCH_009_040_000266	徹豆，夾鐘宮《豐甯之曲》：禮成於終，神心禗禗。
HCH_009_040_000267	惣蕭發馨，樂闕獻已。
HCH_009_040_000268	徒馭孔多，靈輿載轙。
HCH_009_040_000269	青玄悠悠，歸且億矣。
HCH_009_040_000270	宣孝太子別廟，登歌樂章。
HCH_009_040_000271	初獻升殿，夾鐘宮《承安之曲》：有腯斯牲，有馨斯齊。
HCH_009_040_000272	美哉洋洋，升降以禮。
HCH_009_040_000273	禮容既莊，樂亦諧止。
HCH_009_040_000274	神之格思，式歆明祀。
HCH_009_040_000275	酌獻，無射宮《和甯之曲》：於惟光靈，孝德昭宣。
HCH_009_040_000276	高麗有奕，來甯來燕。
HCH_009_040_000277	于薦惟祫，既時既蠲。
HCH_009_040_000278	從我烈祖，載享億年。
HCH_009_040_000279	亞終獻，《和甯之曲》：金石和奏，豆籩惟豐。
HCH_009_040_000280	祠宮奉事，齊敬精衷。
HCH_009_040_000281	笙吟伊浦，鶴駐緱峰。
HCH_009_040_000282	是保是饗，靈德無窮。
HCH_009_040_000283	徹豆，夾鐘宮《和安之曲》：寢成奕奕，今茲其時。
HCH_009_040_000284	明稱肇祀，將禮之儀。
HCH_009_040_000285	侯安以懌，羞嘉且時。
HCH_009_040_000286	樂闋獻已，神其饗思。
HCH_009_040_000287	大定三年十月，追上睿宗冊寶，應鐘宮《顯甯之曲》：天開休運。
HCH_009_040_000288	積仁而昌。
HCH_009_040_000289	命茲昭考，敢忘顯揚。
HCH_009_040_000290	上儀肇舉，涓日之良。
HCH_009_040_000291	來格來享，惠我無疆。
HCH_009_040_000292	大定十九年，升祔熙宗冊寶樂曲：恢大帝業，敉寧多方。
HCH_009_040_000293	懿德茂烈，金書發揚。
HCH_009_040_000294	肇舉上儀，涓擇吉日。
HCH_009_040_000295	鴻名赫赫，與天無極。
HCH_009_040_000296	上冊寶，宮縣《靜甯之曲》：日卜其吉，承祀孔肅。
HCH_009_040_000297	廣號追崇，孝心克篤。
HCH_009_040_000298	於乎悠哉，來思晬穆。
HCH_009_040_000299	寶冊既陳，委于宗祝。
HCH_009_040_000300	皇帝降殿，宮縣《鴻甯之曲》：繼世隆昌，臨朝靜默。
HCH_009_040_000301	追諡鴻名，發輝潛德。
HCH_009_040_000302	玉質金章，煌煌簡冊。
HCH_009_040_000303	涓辰展儀，永傳無極。
HCH_009_040_000304	大定七年正月，上冊寶，皇帝將升御座，宮縣奏太蔟宮《泰甯之曲》：德隆帝位，承天而興。
HCH_009_040_000305	侯邦來庭，民居安寧。
HCH_009_040_000306	歸美以報，傳之無極。
HCH_009_040_000307	鴻名徽稱，壽時萬億。
HCH_009_040_000308	冊寶入門，奏《天保報上之曲》：四方既平，功歸聖明。
HCH_009_040_000309	定功巍巍，丕享鴻名。
HCH_009_040_000310	股肱良哉，揄揚元首。
HCH_009_040_000311	儲精優遊，南山等壽。
HCH_009_040_000312	奉冊寶官將複班位，奏《歸美揚功之曲》：聖德高明，萬邦鹹休。
