HCH_012_120_000125	翌日，賊跡而執之，遂遇害。
HCH_012_120_000126	兩承奉伏屍哭，賊捽之去。
HCH_012_120_000127	承奉呼曰：「王死某不願生，乞一棺收王骨，棆粉無所恨。」
HCH_012_120_000128	賊義而許之。
HCH_012_120_000129	桐棺一寸，載以斷車，兩人即其旁自縊死。
HCH_012_120_000130	王妃鄒氏及世子由崧走懷慶。
HCH_012_120_000131	賊火王宮，三日不絕。
HCH_012_120_000132	事聞，帝震悼，輟朝三日，令河南有司改殯。
HCH_012_120_000133	十六年秋七月，由崧襲封，帝親擇宮中寶玉帶賜之。
HCH_012_120_000134	明年三月，京師失守，由崧與潞王常淓俱避賊至淮安。
HCH_012_120_000135	四月，鳳陽總督馬士英等迎由崧入南京。
HCH_012_120_000136	五月庚寅，稱監國。
HCH_012_120_000137	以兵部尚書史可法、戶部尚書高弘圖及士英俱為大學士，士英仍督鳳陽軍務。
HCH_012_120_000138	壬寅自立於南京，偽號弘光。
HCH_012_120_000139	史可法督師江北。
HCH_012_120_000140	召士英入，分淮、揚、鳳、廬為四鎮，以總兵官黃得功、劉良佐、劉澤清、高傑領之。
HCH_012_120_000141	由崧性闇弱，湛於酒色聲伎，委任士英及士英黨阮大鋮，擢至兵部尚書，巡閱江防。
HCH_012_120_000142	二人日以鬻官爵、報私憾為事。
HCH_012_120_000143	事詳諸臣傳中。
HCH_012_120_000144	未幾，有王之明者，詐稱莊烈帝太子，下之獄。
HCH_012_120_000145	又有婦童氏，自稱由崧妃，亦下獄。
HCH_012_120_000146	於是中外嘩然。
HCH_012_120_000147	明年三月，寧南侯左良玉舉兵武昌，以救太子誅士英為名，順流東下。
HCH_012_120_000148	阮大鋮、黃得功等帥師禦之。
HCH_012_120_000149	而我大清兵以是年五月己丑渡江。
HCH_012_120_000150	辛卯夜，由崧走太平，蓋趨得功軍也。
HCH_012_120_000151	壬辰，士英挾由崧母妃奔杭州。
HCH_012_120_000152	癸巳，由崧至蕪湖。
HCH_012_120_000153	丙申，大兵至南京城北，文武官出降。
HCH_012_120_000154	丙午，執由崧至南京。
HCH_012_120_000155	九月甲寅，以歸京師。
HCH_012_120_000156	沅懷王常治，神宗第四子。
HCH_012_120_000157	生一歲殤。
HCH_012_120_000158	瑞王常浩，神宗第五子。
HCH_012_120_000159	初，太子未立，有三王並封之旨，蓋謂光宗、福王及常浩也。
HCH_012_120_000160	尋以群臣爭，遂寢。
HCH_012_120_000161	二十九年，東宮立，與福、惠、桂三王同日封。
HCH_012_120_000162	常洵以長，先之藩。
HCH_012_120_000163	常浩年已二十有五，尚末選婚。
HCH_012_120_000164	群臣交章言，率不報，而日索部帑為婚費，贏十八萬，藏宮中，且言冠服不能備。
HCH_012_120_000165	天啟七年之藩漢中。
HCH_012_120_000166	崇禎時，流寇劇，封地當賊沖。
HCH_012_120_000167	七年上書言：「臣托先帝骨肉，獲奉西藩，未期年而寇至。比西賊再渡河，闌入漢興，破洵陽，逼興安，紫陽、平利、白河相繼陷沒。督臣洪承疇單騎裹甲出入萬山，賊始敗遁。臣捐犒軍振饑銀七千餘兩。此時撫臣練國事移兵商、洛，按臣範復粹馳赴漢中，近境稍寧。既而鳳縣再陷，蜀賊入秦州，楚賊上興安。六月遂犯郡界，幸諸將憑江力拒，賊方稍退。臣在萬山絕谷中，賊四面至，覆亡無日。臣肺腑至親，藩封最僻，而於寇盜至迫，惟陛下哀憐。」
HCH_012_120_000168	常浩在宮中，衣服禮秩降等，好佛不近女色。
HCH_012_120_000169	及寇逼秦中，將吏不能救，乞師於蜀。
HCH_012_120_000170	總兵官侯良柱援之，遂奔重慶。
HCH_012_120_000171	隴西士大夫多挈家以從。
HCH_012_120_000172	十七年，張獻忠陷重慶，被執，遇害。
HCH_012_120_000173	時天無雲而雷者三，從死者甚眾。
HCH_012_120_000174	惠王常潤，神宗第六子。
HCH_012_120_000175	福王之藩，內廷蓄積為空。
HCH_012_120_000176	中官藉諸王冠婚，索部帑以實宮中，所需輒數十萬，珠寶稱是。
HCH_012_120_000177	戶部不能給。
HCH_012_120_000178	常潤與弟常瀛年二十，皆未選婚。
HCH_012_120_000179	其後兵事亟，始滅殺成禮。
HCH_012_120_000180	天啟七年之藩荊州。
HCH_012_120_000181	崇禎十五年十二月，李自成再破夷陵、荊門，常潤走湘潭，自成入荊州據之。
HCH_012_120_000182	常潤之渡湘也，遇風於陵陽磯，宮人多漂沒，身僅以免，就吉王於長沙。
HCH_012_120_000183	十六年八月，張獻忠陷長沙，常潤走衡州，就桂王。
HCH_012_120_000184	衡州繼陷，與吉王、桂王走永州。
HCH_012_120_000185	巡按御史劉熙祚遣人護三王入廣西，以身當賊。
HCH_012_120_000186	永州陷，熙祚死之。
HCH_012_120_000187	桂端王常瀛，神宗第七子。
HCH_012_120_000188	天啟七年之藩衡州。
HCH_012_120_000189	崇禎十六年，衡州陷，與吉、惠二王同走廣西，居梧州。
HCH_012_120_000190	大清順治二年，大兵平江南，福王就擒。
HCH_012_120_000191	在籍尚書陳子壯等將奉常瀛監國，會唐王自立於福建，遂寢。
HCH_012_120_000192	是年，薨於蒼梧。
HCH_012_120_000193	世子已先卒，次子安仁王由𣜬亦未幾卒。
HCH_012_120_000194	次由榔，崇禎時，封永明王。
HCH_012_120_000195	三年八月，大兵取汀州，執唐王聿鍵。
HCH_012_120_000196	於是兩廣總督丁魁楚、廣西巡撫瞿式耜、巡按王化澄與舊臣呂大器等共推由榔監國。
HCH_012_120_000197	母妃王氏曰：「吾兒不勝此，願更擇可者。」
HCH_012_120_000198	魁楚等意益堅，合謀迎於梧。
HCH_012_120_000199	十月十四日監國肇慶，以魁楚、大器、式耜為大學士，余授官有差。
HCH_012_120_000200	是月大兵取贛州，內侍王坤倉卒奉由榔仍走梧州，式耜等力爭，乃回肇慶。
HCH_012_120_000201	十一月，唐王弟聿𨮁自閩浮海至粵。
HCH_012_120_000202	時閩舊臣蘇觀生撤兵奔廣州，與布政使顧元鏡、總兵官林察等謀立聿𨮁，偽號紹武，與由榔相拒。
HCH_012_120_000203	是月由榔亦自立於肇慶，偽號永歷，遣兵部侍郎林佳鼎討聿𨮁。
HCH_012_120_000204	會大兵由福建取廣州，執聿𨮁，觀生自縊，祭酒梁朝鐘、太僕卿霍子衡等俱死。
HCH_012_120_000205	肇慶大震，王坤復奉由榔走梧州。
HCH_012_120_000206	明年二月，由平樂、潯州走桂林。
HCH_012_120_000207	魁楚棄由榔，走岑溪，降於大軍。
HCH_012_120_000208	既而平樂不守，由榔大恐。
HCH_012_120_000209	會武岡總兵官劉承胤以兵至全州，王坤請赴之。
HCH_012_120_000210	式耜力諫。
HCH_012_120_000211	不聽。
HCH_012_120_000212	乃以式耜及總兵官焦璉留守桂林，封陳邦傳為思恩侯，守昭平，遂趨承胤軍中。
HCH_012_120_000213	三月封承胤安國公，錦衣指揮馬吉翔等為伯。
HCH_012_120_000214	承胤挾由榔歸武岡，改曰奉天府，政事皆決焉。
HCH_012_120_000215	是時，長沙、衡、永皆不守，湖廣總督何騰蛟與侍郎嚴起恒走白牙市。
HCH_012_120_000216	六月，由榔遣官召騰蛟至，密使除承胤，顧承胤勢盛，騰蛟復還白牙。
HCH_012_120_000217	大兵由寶慶趨武岡，馬吉翔等挾由榔走靖州，承胤舉城降。
HCH_012_120_000218	由榔又奔柳州。
HCH_012_120_000219	道出古泥。
HCH_012_120_000220	總兵官侯性、太監龐天壽帥舟師來迎。
HCH_012_120_000221	會天雨饑餓，性供帳甚備。
HCH_012_120_000222	九月，土舍覃鳴珂作亂，大掠城中，矢及由榔舟。
HCH_012_120_000223	先是，大兵趨桂林，焦璉拒守甚力，又廣州有警，大兵東向，桂林稍安。
HCH_012_120_000224	既而湖南十三鎮將郝永忠、盧鼎等俱奔赴桂林，騰蛟亦至，與式耜議分地給諸將，使各自為守。
HCH_012_120_000225	璉已先復陽朔、平樂，陳邦傳復潯州，合兵復梧州，廣西全省略定。
HCH_012_120_000226	十二月，由榔返桂林。
