HCH_012_148_000133	二人力言：「陛下恤民命以綏荒服，不為無名。漢棄珠厓，前史以為美談，不為示弱，許之便。」
HCH_012_148_000134	尋命擇使交阯者。
HCH_012_148_000135	蹇義薦伏伯安口辨。
HCH_012_148_000136	士奇曰：「言不忠信，雖蠻貊之邦不可行。伯安小人，往且辱國。」
HCH_012_148_000137	帝是之，別遣使。
HCH_012_148_000138	於是棄交阯，罷兵，歲省軍興巨萬。
HCH_012_148_000139	五年春，帝奉皇太后謁陵，召英國公張輔、尚書蹇義及士奇、榮、幼孜、溥，朝太后於行殿。
HCH_012_148_000140	太后慰勞之。
HCH_012_148_000141	帝又語士奇曰：「太后為朕言，先帝在青宮，惟卿不憚觸忤，先帝能從，以不敗事。又誨朕當受直言。」
HCH_012_148_000142	士奇對曰：「此皇太后盛德之言，願陛下念之。」
HCH_012_148_000143	尋敕鴻臚寺。
HCH_012_148_000144	士奇老有疾，趨朝或後，毋論奏。
HCH_012_148_000145	帝嘗微行，夜幸士奇宅。
HCH_012_148_000146	士奇倉皇出迎，頓首曰：「陛下奈何以社稷宗廟之身自輕？」
HCH_012_148_000147	帝曰：「朕欲與卿一言，故來耳。」
HCH_012_148_000148	後數日，獲二盜，有異謀。
HCH_012_148_000149	帝召士奇，告之故。
HCH_012_148_000150	且曰：「今而後知卿之愛朕也。」
HCH_012_148_000151	帝以四方屢水旱，召士奇議下詔寬恤，免災傷租稅及官馬虧額者。
HCH_012_148_000152	士奇因請並蠲逋賦薪芻錢，減官田額，理冤滯，汰工役，以廣德意。
HCH_012_148_000153	民大悅。
HCH_012_148_000154	逾二年，帝謂士奇曰：「恤民詔下已久，今更有可恤者乎？」
HCH_012_148_000155	士奇曰：「前詔減官田租，戶部征如故。」
HCH_012_148_000156	帝怫然曰：「今首行之，廢格者論如法。」
HCH_012_148_000157	士奇復請撫逃民，察墨吏，舉文學、武勇之士，令極刑家子孫皆得仕進。
HCH_012_148_000158	又請廷臣三品以上及二司官，各舉所知，備方面郡守選。
HCH_012_148_000159	皆報可。
HCH_012_148_000160	當是時，帝勵精圖治，士奇等同心輔佐，海內號為治平。
HCH_012_148_000161	帝乃仿古君臣豫游事，每歲首，賜百官旬休。
HCH_012_148_000162	車駕亦時幸西苑萬歲山，諸學士皆從。
HCH_012_148_000163	賦詩賡和，從容問民間疾苦。
HCH_012_148_000164	有所論奏，帝皆虛懷聽納。
HCH_012_148_000165	帝之初即位也，內閣臣七人。
HCH_012_148_000166	陳山、張瑛以東宮舊恩入，不稱，出為他官。
HCH_012_148_000167	黃淮以疾致仕。
HCH_012_148_000168	金幼孜卒。
HCH_012_148_000169	閣中惟士奇、榮、溥三人。
HCH_012_148_000170	榮疏闓果毅，遇事敢為。
HCH_012_148_000171	數從成祖北征，能知邊將賢否、厄塞險易遠近、敵情順逆。
HCH_012_148_000172	然頗通饋遺，邊將歲時致良馬。
HCH_012_148_000173	帝頗知之，以問士奇。
HCH_012_148_000174	士奇力言：「榮曉暢邊務，臣等不及，不宜以小眚介意。」
HCH_012_148_000175	帝笑曰：「榮嘗短卿及原吉，卿乃為之地耶？」
HCH_012_148_000176	士奇曰：「願陛下以曲容臣者容榮。」
HCH_012_148_000177	帝意乃解。
HCH_012_148_000178	其後，語稍稍聞，榮以此愧士奇，相得甚歡。
HCH_012_148_000179	帝亦益親厚之，先後所賜珍果、牢醴、金綺衣、幣、書器無算。
HCH_012_148_000180	宣宗崩，英宗即位，方九齡。
HCH_012_148_000181	軍國大政關白太皇太后。
HCH_012_148_000182	太后推心任士奇、榮、溥三人，有事遣中使詣閣諮議，然後裁決。
HCH_012_148_000183	三人者亦自信，侃侃行意。
HCH_012_148_000184	士奇首請練士卒，嚴邊防，設南京參贊機務大臣，分遣文武鎮撫江西、湖廣、河南、山東，罷偵事校尉。
HCH_012_148_000185	又請以次蠲租稅，慎刑獄，嚴核百司。
HCH_012_148_000186	皆允行。
HCH_012_148_000187	正統之初，朝政清明，士奇等之力也。
HCH_012_148_000188	三年，《宣宗實錄》成，進少師。
HCH_012_148_000189	四年乞致仕。
HCH_012_148_000190	不允。
HCH_012_148_000191	敕歸省墓。
HCH_012_148_000192	未幾，還。
HCH_012_148_000193	是時中官王振有寵於帝，漸預外庭事，導帝以嚴御下，大臣往往下獄。
HCH_012_148_000194	靖江王佐敬私饋榮金。
HCH_012_148_000195	榮先省墓，歸不之知。
HCH_012_148_000196	振欲藉以傾榮，士奇力解之，得已。
HCH_012_148_000197	榮尋卒，士奇、溥益孤。
HCH_012_148_000198	其明年遂大興師征麓川，帑藏耗費，士馬物故者數萬。
HCH_012_148_000199	又明年，太皇太后崩，振勢益盛，大作威福，百官小有牴牾，輒執而系之。
HCH_012_148_000200	廷臣人人惴恐，士奇亦弗能制也。
HCH_012_148_000201	士奇既耄，子稷傲很，嘗侵暴殺人。
HCH_012_148_000202	言官交章劾稷。
HCH_012_148_000203	朝議不即加法，封其狀示士奇。
HCH_012_148_000204	復有人發稷橫虐數十事，遂下之理。
HCH_012_148_000205	士奇以老疾在告。
HCH_012_148_000206	天子恐傷士奇意，降詔慰勉。
HCH_012_148_000207	士奇感泣，憂不能起。
HCH_012_148_000208	九年三月卒，年八十。
HCH_012_148_000209	贈太師，諡文貞。
HCH_012_148_000210	有司乃論殺稷。
HCH_012_148_000211	初，正統初，士奇言瓦剌漸強，將為邊患，而邊軍缺馬，恐不能御。
HCH_012_148_000212	請於附近太僕寺關領，西番貢馬亦悉給之。
HCH_012_148_000213	士奇歿未幾，也先果入寇，有土木之難，識者思其言。
HCH_012_148_000214	又雅善知人，好推轂寒士，所薦達有初未識面者。
HCH_012_148_000215	而于謙、周忱、況鍾之屬，皆用士奇薦，居官至一二十年，廉能冠天下，為世名臣云。
HCH_012_148_000216	次子�，以廕補尚寶丞。
HCH_012_148_000217	成化中，進太常少卿，掌司事。
HCH_012_148_000218	楊榮，字勉仁，建安人，初名子榮。
HCH_012_148_000219	建文二年進士。
HCH_012_148_000220	授編修。
HCH_012_148_000221	成祖初入京，榮迎謁馬首曰：「殿下先謁陵乎，先即位乎？」
HCH_012_148_000222	成祖遽趣駕謁陵。
HCH_012_148_000223	自是遂受知。
HCH_012_148_000224	既即位，簡入文淵閣，為更名榮。
HCH_012_148_000225	同值七人，榮最少，警敏。
HCH_012_148_000226	一日晚，寧夏報被圍。
HCH_012_148_000227	召七人，皆已出，獨榮在，帝示以奏。
HCH_012_148_000228	榮曰：「寧夏城堅，人皆習戰，奏上已十餘日，圍解矣。」
HCH_012_148_000229	夜半，果奏圍解。
HCH_012_148_000230	帝謂榮曰：「何料之審也！」
HCH_012_148_000231	江西盜起，遣使撫諭，而令都督韓觀將兵繼其後。
HCH_012_148_000232	賊就撫奏至，帝欲賜敕勞觀。
HCH_012_148_000233	榮曰：「計發奏時，觀尚未至，不得論功。」
HCH_012_148_000234	帝益重之，再遷至侍講。
HCH_012_148_000235	太子立，進右諭德，仍兼前職，與在直諸臣同賜二品服。
HCH_012_148_000236	評議諸司事宜，稱旨，復賜衣幣。
HCH_012_148_000237	帝威嚴，與諸大臣議事未決，或至發怒。
