HCH_013_071_000180	給事陳良訓、魏大中、許譽卿、劉茂、傅櫆、陳熙昌、周之綱、杜三英、楊夢袞、顧其仁、胡永順、朱大典、陳奇瑜、熊奮渭、李精白、孫紹沆、陳維新、楊維新，御史袁化中、周宗建、劉芳、劉廷佐、李應昇、房壯麗、劉環、胡良機、喻思洵、林汝翥、胡士奇、謝奇舉、洪如鐘、黃尊素、梁元柱、李光春、張鑛、翟學程、劉之侍、周汝弼、李喬崙、劉其忠、宋政南，科道徐憲卿、趙應期，兵部尚書趙彥，詹事翁正春等，卿寺朱欽相、胡世賞，吏部郎中鄒維漣，撫寧侯朱國弼等，不下百餘疏，先後申奏，或專或合，無不危悚激切。
HCH_013_071_000181	俱不聽。
HCH_013_071_000182	南京兵部尚書陳道亨已引疾，杜門不與公事，及見楊漣參疏，忽奮擊扼腕曰：「國家安危，誠在此舉！吾備位大臣，不言，誰爲言者！」
HCH_013_071_000183	卽日出署，合部院九卿諸大臣公疏以上，凡千言，指陳剴切。
HCH_013_071_000184	疏入，嚴旨切責。
HCH_013_071_000185	道亨歎曰：「此何時？尚可在公卿間耶！」
HCH_013_071_000186	乃具疏力辭而去。
HCH_013_071_000187	屯田司郎中萬燝先授營繕司主事，管寶源局，疏請內監廢銅，忤忠賢意。
HCH_013_071_000188	至是，燝復上疏曰：「忠賢原名進忠，今改名忠賢，當亦顧名而思忠賢之義乎？夫以忠賢珠玉盈笥，金銀滿屋，何求不得，何欲不遂！以此破廢銅器，無足入其目，當其心，而亦必一手握定者，其設心以爲不若是，無以操天下之利權；旣操天下之利權，何難攬天下之政權。奸雄用意最深，蓄謀甚毒，臣有以窺其微矣。」
HCH_013_071_000189	疏入，忠賢矯旨杖燝於午門外。
HCH_013_071_000190	羣閹至燝寓，捽之而出，辱毆於道，燝幾危。
HCH_013_071_000191	及至闕受杖，忠賢命立斃之。
HCH_013_071_000192	先是，御史林汝翥，葉向高鄕人也，忠賢欲借之以傾向高。
HCH_013_071_000193	會汝翥巡城，有火者曹大、傅國興挾人命劫財，鬬於塗。
HCH_013_071_000194	汝翥欲參之，皆願受杖免參。
HCH_013_071_000195	汝翥信其無他也，卽杖之。
HCH_013_071_000196	數日後，萬燝禍作，忽中旨逮汝翥廷杖，汝翥懼出亡。
HCH_013_071_000197	羣閹疑向高匿之，百餘人直入其寓，辱及婦女，嫚駡坐索。
HCH_013_071_000198	向高奏之，置不問。
HCH_013_071_000199	至七月，林汝翥自詣遵化軍門獄。
HCH_013_071_000200	蓋汝翥懼未受廷杖，先殞命於中涓之私毆，故逸出都門，詣遵化撫臣獄，求爲代題。
HCH_013_071_000201	各道潘雲翼等疏救，不聽，執前旨如故。
HCH_013_071_000202	已而被杖創甚，幾斃。
HCH_013_071_000203	向高奏曰：「楊漣一人之言，容有過激，未幾而諸疏繼至矣，又未幾而臺省九卿復有公疏，舉朝鬨然，卽臣等亦被其指摘。甚者疑其爲忠賢畫策，當與焦芳同傳矣。臣地居密勿，不敢自同於廷臣，卽受疑受謗，情固甘之。惟是皇上念忠賢，則當求所以保全之；而今日保全忠賢之計，莫如聽其自請，且歸私第，遠勢避嫌，以釋中外之心，使天下曉然知忠賢之無他，其於轉禍爲福，直俄頃間耳。至內操一事，祖宗朝所無，聚數千之甲兵於宮廷肘腋間，在今日雖無可慮，他日終屬隱憂。」
HCH_013_071_000204	疏上，溫旨復，悉數忠賢勤勞，責羣臣附和。
HCH_013_071_000205	詔錦衣衞杖汪文言，革爲民。
HCH_013_071_000206	大學士葉向高予告回籍。
HCH_013_071_000207	向高初相時，猶可展布，自忠賢專擅，同官顧秉謙、魏廣微希意阿旨，向高強半註籍，疏三十上。
HCH_013_071_000208	至是，以御史林汝翥逸出，羣閹圍第，決意去。
HCH_013_071_000209	初，廣微以己意用墨筆點縉紳一册，分差等，目爲邪人。
HCH_013_071_000210	其人則葉向高、韓爌、何如寵、錢謙益、成基命、繆昌期、姚希孟、陳子壯、侯恪、趙南星、高攀龍、楊漣、左光斗、魏大中、黃尊素、周宗建、李應昇等約六七十人。
HCH_013_071_000211	密達於忠賢，以漸擯斥。
HCH_013_071_000212	復手書所欲起用之人黃克纘、王紹徽、王永光、徐大化、霍維華、阮大鋮等五十六人，指爲正人，以次點用。
HCH_013_071_000213	至是向高去，秉謙居首揆。
HCH_013_071_000214	吏部謝陞起用，至京，見時政日非，勉終一選歸，且以書規廣微，中旨大拂廣微之意。
HCH_013_071_000215	史記事、黃汝亨各有書以大義告廣微，咸拒不納。
HCH_013_071_000216	八月，署國子監祭酒禮部右侍郎蔡毅中，監丞金維基，博士門洞開、鄧光舒、王裕心，助敎張翰南、徐伯徵、姚士儒、孫世裕、董天胤，學正王永興、蔣紹煃，學錄聶雲翔、杜士基，典簿萬民憼，典籍陳烈公，疏劾魏忠賢。
HCH_013_071_000217	上不問。
HCH_013_071_000218	毅中旣與璫忤，四疏請告，亦不許。
HCH_013_071_000219	九月，左都御史高攀龍疏參貪污御史崔呈秀。
HCH_013_071_000220	革職聽勘。
HCH_013_071_000221	冬十月朔，有事太廟，上冕而升，百執事咸集，大學士魏廣微不至，迨飲福受胙，禮且告畢，踉蹌入班拜跪。
HCH_013_071_000222	吏科給事魏大中劾之曰：「皇上升殿頒來歲之曆，四方萬國，誰不俯首奉行，其矯命雄行，獨奢、安耳。廣微執政重臣，何以驁焉不拜正朔也？皇上於一日間行二大禮，頒朔不至，享廟則後至，其無禮於皇上，亦已甚矣！」
HCH_013_071_000223	廣微上疏自理，且乞骸。
HCH_013_071_000224	溫旨留之。
HCH_013_071_000225	廣微恨大中甚。
HCH_013_071_000226	御史李應昇上言：「閣臣魏廣微疏辨，自謂罪止失儀。夫行禮誤錯，始謂失儀。謹按《大明律》，失誤朝賀者，笞四十；祭奠失誤者，杖一百。廣微尚可靦焉入中書之堂乎？國家設立言官，稱耳目近臣，言及乘輿，則天子改容，事關廊廟，則宰相待罪。廣微父允貞嘗爲言官，公正發憤，得罪閣臣以去，聲施至今，廣微獨不念乎？奈何比之路馬，斥之此輩！夫不與此輩爲伍者，必另有一輩爲緣。方今聖天子在上，賢公卿在下，廣微有何疚心之事，清夜抱慙，每見指摘，輒自張皇，若十手十目之暴其隱也？廣微當退讀父書，保其家聲，毋倚三窟，與言官爲難，異日亦可見乃父於地下。」
HCH_013_071_000227	上切責之。
HCH_013_071_000228	降吏科都給事魏大中、吏部員外夏嘉遇、御史陳九疇三級，調外。
HCH_013_071_000229	吏部尚書趙南星、左都御史高攀龍乞罷，許之。
HCH_013_071_000230	大學士韓爌力爭，不報。
HCH_013_071_000231	南星等狼狽去國。
HCH_013_071_000232	削吏部左侍郎陳于庭、右都御史楊漣、左僉都御史左光斗籍。
HCH_013_071_000233	趙南星之去也，銓部以陳于庭代署，西臺以楊漣代署，俱留中。
HCH_013_071_000234	及會推冢宰，漣以註籍不與。
HCH_013_071_000235	其所會推喬允升、馮從吾、汪應蛟，上仍以南星私人責之，并責楊漣、袁化中，一時盡去，部署皆空。
HCH_013_071_000236	降御史房可壯三級，吏科許譽卿、沈惟炳，河南道御史袁化中各一級，降吏部文選司郎中張光前三級，俱調外。
HCH_013_071_000237	光前甫入署二旬，因南星等後先奉旨去，乃上疏曰：「臣若緘默不言，爲苟免之計，是賣友也。賣友之人，卽是欺君之人。臣豈敢蹈欺君賣友，令皇甫規笑人千載之上哉！」
HCH_013_071_000238	冬十二月，復逮汪文言。
HCH_013_071_000239	五年春正月，起崔呈秀復爲御史。
