HCH_012_094_000085	尚書鄭三俊乃引數事以奏，言：「謹按洪武二十三年十二月癸未，太祖諭刑部尚書楊靖，『自今惟犯十惡並殺人者論死，餘死罪皆令輸粟北邊以自贖』。永樂四年十一月，法司進月繫囚數，凡數百人，大辟僅十之一。成祖諭呂震曰：「此等既非死罪，而久繋不決，天氣冱寒，必有聽其冤死者。』凡雜犯死罪下約二百，悉準贖發遣。九年十一月，刑科曹潤等言：「昔以天寒，審釋輕囚。今囚或淹一年以上，且一月間瘐死者九百三十餘人，獄吏之毒所不忍言。』成祖召法司切責，遂詔：「徒流以下三日內決放，重罪當繋者恤之，無令死於饑寒。』十二年十一月，復令以疑獄名上，親閱之。宣德四年十月，以皇太子千秋節，減雜犯死罪以下，宥笞杖及枷鐐者。嗣後，世宗、神宗或以災異修刑，或以覃恩佈德。寒審雖無近例，而先朝寬大，皆所宜取法者。」奏上，帝納其言。然永樂十一年十月，遣副都御史李慶齎璽書，命皇太子錄南京囚，贖雜犯死罪以下。宣德四年冬，以天氣冱寒，敕南北刑官悉錄繫囚以聞，不分輕重。因謂夏原吉等曰：「堯、舜之世，民不犯法，成、康之時，刑措不用，皆君臣同德所致。朕德薄，卿等其勉力匡扶，庶無愧古人。」此寒審最著者，三俊亦不暇詳也。在外恤刑會審之例，定於成化時。初，太祖患刑獄壅蔽，
HCH_012_094_000086	分遣御史林願、石恆等治各道囚，而敕諭之。
HCH_012_094_000087	宣宗夜讀《周官·立政》：「式敬爾由獄，以長我王國。」
HCH_012_094_000088	慨然興歎，以為立國基命在於此。
HCH_012_094_000089	乃敕三法司：「朕體上帝好生之心，惟刑是恤。令爾等詳覆天下重獄，而犯者遠在千萬里外，需次當決，豈能無冤？」
HCH_012_094_000090	因遣官審錄之。
HCH_012_094_000091	正統六年四月，以災異頻見，敕遣三法司官詳審天下疑獄。
HCH_012_094_000092	於是御史張驥、刑部郎林厚、大理寺正李從智等十三人同奉敕往，而復以刑部侍郎何文淵、大理卿王文、巡撫侍郎周忱、刑科給事中郭瑾審兩京刑獄，亦賜敕。
HCH_012_094_000093	後評事馬豫言：「臣奉敕審刑，竊見各處捉獲強盜，多因仇人指攀，拷掠成獄，不待詳報，死傷者甚多。今後宜勿聽妄指，果有贓證，御史、按察司會審，方許論決。若未審錄有傷死者，毋得準例升賞。」
HCH_012_094_000094	是年，出死囚以下無數。
HCH_012_094_000095	九年，山東副使王裕言：「囚獄當會審，而御史及三司官或逾年一會，囚多瘐死。往者常遣御史會按察司詳審，釋遣甚眾。今莫若罷會審之例，而行詳審之法，敕遣按察司官一員，專審諸獄。」
HCH_012_094_000096	部持舊制不可廢。
HCH_012_094_000097	帝命審例仍舊，復如詳審例，選按察司官一員與巡按御史同審。
HCH_012_094_000098	失出者姑勿問，涉贓私者究如律。
HCH_012_094_000099	成化元年，南京戶部侍郎陳翼因災異復請如正統例。
HCH_012_094_000100	部議以諸方多事，不行。
HCH_012_094_000101	八年，乃分遣刑部郎中劉秩等十四人會巡按御史及三司官審錄，敕書鄭重遣之。
HCH_012_094_000102	十二年，大學士商輅言：「自八年遣官後，五年於茲，乞更如例行。」
HCH_012_094_000103	帝從其請。
HCH_012_094_000104	至十七年，定在京五年大審。
HCH_012_094_000105	即於是年遣部寺官分行天下，會同巡按御史行事。
HCH_012_094_000106	於是恤刑者至，則多所放遣。
HCH_012_094_000107	嘉靖四十三年，定坐贓不及百兩，產絕者免監追。
HCH_012_094_000108	萬曆四年，敕雜犯死罪準徒五年者，並兩犯徒律應總徒四年者，各減一年，其他徒流等罪俱減等。
HCH_012_094_000109	皆由恤刑者奏定。
HCH_012_094_000110	所生全者益多矣。
HCH_012_094_000111	初，正統十一年，遣刑部郎中郭恂、員外郎陸瑜審南、北直隸獄囚，文職五品以下有罪，許執問。
HCH_012_094_000112	嘉靖間制，審錄官一省事竣，總計前後所奏，依準改駁多寡，通行考覈。
HCH_012_094_000113	改駁數多者聽劾。
HCH_012_094_000114	故恤刑之權重，而責亦匪輕。
HCH_012_094_000115	此中外法司審錄之大較也。
HCH_012_094_000116	凡刑部問發罪囚，所司通將所問囚數，不問罪名輕重，分南北人各若干，送山東司，呈堂奏聞，謂之歲報。
HCH_012_094_000117	每月以見監罪囚奏聞，謂之月報。
HCH_012_094_000118	其做工、運炭等項，每五日開送工科，填寫精微冊，月終分六科輪報之。
HCH_012_094_000119	凡法官治囚，皆有成法，提人勘事，必齎精微批文。
HCH_012_094_000120	京外官五品以上有犯必奏聞請旨，不得擅勾問罪。
HCH_012_094_000121	在八議者，實封以聞。
HCH_012_094_000122	民間獄訟，非通政司轉達於部，刑部不得聽理。
HCH_012_094_000123	誣告者反坐，越訴者笞，擊登聞鼓不實者杖。
HCH_012_094_000124	訐告問官，必核實乃逮問。
HCH_012_094_000125	至罪囚打斷起發有定期，刑具有定器，停刑有定月日，檢驗屍傷有定法，恤囚有定規，籍沒亦有定物，惟復仇者無明文。
HCH_012_094_000126	弘治元年，刑部尚書何喬新言：「舊制提人，所在官司必驗精微批文，與符號相合，然後發遣。此祖宗杜漸防微深意也。近者中外提人，止憑駕帖，既不用符，真偽莫辨，奸人矯命，何以拒之？請給批文如故。」
HCH_012_094_000127	帝曰：「此祖宗舊例，不可廢。」
HCH_012_094_000128	命復行之。
HCH_012_094_000129	然旗校提人，率齎駕帖。
HCH_012_094_000130	嘉靖元年，錦衣衛千戶白壽等齎駕帖詣科，給事中劉濟謂當以御批原本送科，使知其事。
HCH_012_094_000131	兩人相爭並列，上命檢成、弘事例以聞。
HCH_012_094_000132	濟復言，自天順時例即如此。
HCH_012_094_000133	帝入壽言，責濟以狀對，亦無以罪也。
HCH_012_094_000134	天啟時，魏忠賢用駕帖提周順昌諸人，竟激蘇州之變。
HCH_012_094_000135	兩畿決囚，亦必驗精微批。
HCH_012_094_000136	嘉靖二十一年，恤刑主事戴楩、吳元璧、呂顒等行急失與內號相驗，比至，與原給外號不合，為巡按御史所糾，納贖還職。
HCH_012_094_000137	成化時，六品以下官有罪，巡按御史輒令府官提問。
HCH_012_094_000138	陝西巡撫項忠言：「祖制，京外五品以上官有犯奏聞，不得擅勾問。今巡按輒提問六品官，甚乖律意，當聞於朝，命御史、按察司提問為是。」
HCH_012_094_000139	乃下部議，從之。
HCH_012_094_000140	凡罪在八議者，實封奏聞請旨，惟十惡不用此例。
HCH_012_094_000141	所屬官為上司非理淩虐，亦聽實封徑奏。
HCH_012_094_000142	軍官犯罪，都督府請旨。
HCH_012_094_000143	諸司事涉軍官及呈告軍官不法者，俱密以實封奏，無得擅勾問。
HCH_012_094_000144	嘉靖中，順天巡按御史鄭存仁檄府縣，凡法司有所追取，不得輒發。
HCH_012_094_000145	尚書鄭曉考故事，民間詞訟非自通政司轉達，不得聽。
HCH_012_094_000146	而諸司有應問罪人，必送刑部，各不相侵。
HCH_012_094_000147	曉乃言：「刑部追取人，府縣不當卻。存仁違制，宜罪。」
HCH_012_094_000148	存仁亦執自下而上之律，論曉欺罔。
HCH_012_094_000149	乃命在外者屬有司，在京者屬刑部。
HCH_012_094_000150	然自曉去位，民間詞訟，五城御史輒受之，不復遵祖制矣。
HCH_012_094_000151	洪武時，有告謀反者勘問不實，刑部言當抵罪。
HCH_012_094_000152	帝以問秦裕伯。
HCH_012_094_000153	對曰：「元時若此者罪止杖一百，蓋以開來告之路也。」
HCH_012_094_000154	帝曰：「奸徒不抵，善人被誣者多矣。自今告謀反不實者，抵罪。」
HCH_012_094_000155	學正孫詢訐稅使孫必貴為胡黨，又訐元參政黎銘常自稱老豪傑，謗訕朝廷。
HCH_012_094_000156	帝以告訐非儒者所為，置不問。
HCH_012_094_000157	永樂間定制，誣三四人杖徒，五六人流三千里，十人以上者淩遲，家屬徙化外。
HCH_012_094_000158	洪武末年，小民多越訴京師，及按其事，往往不實，乃嚴越訴之禁。
HCH_012_094_000159	命老人理一鄉詞訟，會裏胥決之，事重者始白於官，然卒不能止，越訴者日多。
HCH_012_094_000160	乃用重法，戍之邊。
HCH_012_094_000161	宣德時，越訴得實者免罪，不實仍戍邊。
HCH_012_094_000162	景泰中，不問虛實，皆發口外充軍，後不以為例也。
HCH_012_094_000163	登聞鼓，洪武元年置於午門外，一御史日監之，非大冤及機密重情不得擊，擊即引奏。
HCH_012_094_000164	後移置長安右門外，六科、錦衣衛輪收以聞。
HCH_012_094_000165	旨下，校尉領駕帖，送所司問理，矇蔽阻遏者罪。
