HCH_015_017_000098	晉武帝給安平獻王孚雲母輦。
HCH_015_017_000099	晉中朝又有香衣輦，江左唯御所乘。
HCH_015_017_000100	卧輦。
HCH_015_017_000101	校飾如坐輦，不甚服用。
HCH_015_017_000102	漆畫輪車，金塗校飾如輦，微有減降。
HCH_015_017_000103	金塗鐺，縱容後輠師子副也。
HCH_015_017_000104	御爲羣公舉哀臨哭所乘。
HCH_015_017_000105	皇后太子妃亦乘之。
HCH_015_017_000106	漆畫牽車，小形如輿車，金塗縱容後路師子輠，鐵鐺，錦衣。
HCH_015_017_000107	廂裏隱膝後戶牙蘭，轅枕梢，幰竿戍棟樑，皆金塗校飾。
HCH_015_017_000108	御及皇太子所乘，卽古之羊車也。
HCH_015_017_000109	晉泰始中，中護軍羊琇乘羊車，爲司隷校尉劉毅所奏。
HCH_015_017_000110	武帝詔曰：「羊車雖無制，非素者所服，免官。」
HCH_015_017_000111	《衞玠傳》云：「總角乘羊車，市人聚觀。」
HCH_015_017_000112	今不駕羊，猶呼牽此車者爲羊車云。
HCH_015_017_000113	輿車，形如軺車，柒畫，金校飾，錦衣。
HCH_015_017_000114	兩廂後戶隱膝牙蘭，皆瑇瑁帖，刀格，鏤面花釘。
HCH_015_017_000115	幰竿成校棟樑，下施八棡，金塗沓，兆牀副。
HCH_015_017_000116	人舉之。
HCH_015_017_000117	一曰小輿，小行幸乘之。
HCH_015_017_000118	皇太子亦得於宮內乘之。
HCH_015_017_000119	衣書十二乘，澬榆轂輪，箕子壁，綠油衣，廂外綠紗萌，油幢絡，通幰，竿刺代棟樑，柮檽真形龍牽，支子花。
HCH_015_017_000120	轅後伏神抗、承泥、沓，金塗校具。
HCH_015_017_000121	古副車之象也。
HCH_015_017_000122	今亦曰五時副車。
HCH_015_017_000123	青萌車，是謂潝幔車。
HCH_015_017_000124	油絡畫安車，公主、王妃、三公特進夫人所乘。
HCH_015_017_000125	漢制，皇后貴人紫罽軿車。
HCH_015_017_000126	晉皇后乘雲母油畫安車，駕六，以兩轅安車駕五爲副。
HCH_015_017_000127	公主畫安車駕六，以兩轅安車駕三爲副。
HCH_015_017_000128	公主畫安車駕三，三夫人青交絡安車駕三，皆以紫絳罽軿車駕三爲副。
HCH_015_017_000129	九嬪世婦軿車駕二，王公妃特進夫人皁交絡爲副。
HCH_015_017_000130	漢賤軺車而貴軿車，晉賤輜軿而貴軺車，皆行禮所乘。
HCH_015_017_000131	黃屋車，建碧旂九旒，九旒，鸞輅也。
HCH_015_017_000132	《漢輿服志》云：「金根車，蓋黃繒爲裏，謂之黃屋。」
HCH_015_017_000133	今金、玉輅皆以黃地錦，唯此車以黃繒。
HCH_015_017_000134	皆金塗校具，黃隱隨陰，青毛羽，二十八爪支子花，絳系絡。
HCH_015_017_000135	九命上公所乘。
HCH_015_017_000136	青蓋安車，朱轓漆班輪，駕一，左右騑，通幰車爲副，諸王禮行所乘。
HCH_015_017_000137	凡車有轓者謂之軒。
HCH_015_017_000138	皁蓋安車，朱轓漆班輪，駕一，通幰牛車爲副，三公禮行所乘。
HCH_015_017_000139	安車，黑耳皁蓋馬車，朱轓，駕一，牛車爲副，國公列侯禮行所乘。
HCH_015_017_000140	馬車，駕一，九卿、領、護、二衞、驍游、四軍、五校從郊陵所乘。
HCH_015_017_000141	晉制，三公下至九卿，又各安車黑耳一乘，公駕三，特進駕二，卿駕一，復各軺車施黑耳後戶皁輪一乘。
HCH_015_017_000142	油絡軺車，尚書令、僕射、中書監、令、尚書、侍中、常侍、中黃門、中書、散騎侍郎，皆駕一牛，朝直所乘。
HCH_015_017_000143	晉制，尚書令施黑耳後戶皁輪，僕射、中書監、令直施後戶皁輪，尚書無後戶，皆漆輪轂，今猶然。
HCH_015_017_000144	安車，赤屏，駕一，又軺車，施後戶，爲副，太子二傅禮行所乘。
HCH_015_017_000145	四望車，通幰，油幢絡，班柒輪轂。
HCH_015_017_000146	亦曰皁輪，以加禮貴臣。
HCH_015_017_000147	晉武詔給魏舒陽燧四望小車。
HCH_015_017_000148	三望車，制度如四望。
HCH_015_017_000149	或謂之夾望，亦以加禮貴臣。
HCH_015_017_000150	次四望。
HCH_015_017_000151	油幢絡車，制似三望而減。
HCH_015_017_000152	王公加禮者之常乘，次三望。
HCH_015_017_000153	平乘車，竹箕子壁仰，榆爲輪，通幰竿刺代棟樑，柮檽真形龍牽，金塗支子花紐，轅頭後梢沓伏神承泥。
HCH_015_017_000154	庶人亦然，但不通幰。
HCH_015_017_000155	三公諸王所乘。
HCH_015_017_000156	自四望至平乘，皆銅校飾。
HCH_015_017_000157	轀輬車。
HCH_015_017_000158	四輪，飾如金根。
HCH_015_017_000159	四角龍首，施組銜璧，垂五采，析羽葆流蘇，前後雲氣錯畫帷裳，以素爲池而黼黻。
HCH_015_017_000160	駕四白駱馬，太僕執轡。
HCH_015_017_000161	貴臣薨，亦如之，羽飾駕御，微有減降。
HCH_015_017_000162	《虞書》曰：「予欲觀古人之象，日、月、星辰、山、龍、華蟲作繢，宗彝、藻、火、粉米、黼、黻絺繡，以五采章施于五色。」
HCH_015_017_000163	天子服備日、月以下，公山、龍以下，侯伯華蟲以下，子男藻、火以下，卿大夫粉米以下。
HCH_015_017_000164	天子六冕，王后六服，著在周官。
HCH_015_017_000165	公侯以下，咸有名則，佩玉組綬，竝具禮文，後代沿革，見《漢志晉服制令》，其冠十三品，見蔡邕《獨斷》，竝不復具詳。
HCH_015_017_000166	宋明帝泰始四年，更制五輅，議脩五冕，朝會饗獵，各有所服，事見《宋注》。
HCH_015_017_000167	舊相承三公以下冕七旒，青玉珠，卿大夫以下五旒，黑玉珠。
HCH_015_017_000168	永明六年，太常丞何諲之議，案《周禮》命數，改三公八旒，卿六旒。
HCH_015_017_000169	尚書令王儉議，依漢三公服，山、龍九章，卿華蟲七章。
HCH_015_017_000170	從之。
HCH_015_017_000171	平冕黑介幘，今謂平天冠。
HCH_015_017_000172	皁表朱緣裏，廣七尺，長尺二寸，垂珠十二旒，以朱組爲纓，如其綬色。
HCH_015_017_000173	衣皁上絳下，裳前三幅，後四幅。
HCH_015_017_000174	衣畫而裳繡，爲日、月、星辰、山、龍、華蟲、藻、火、粉米、黼、黻十二章。
HCH_015_017_000175	素帶廣四寸，朱裏，以朱綠裨飾其側，要中以朱，垂以綠，垂三尺。
HCH_015_017_000176	中衣，以絳緣其領袖，赤皮韍，絳袴袜，赤舄，郊廟臨朝所服也。
HCH_015_017_000177	漢世冕用白玉珠爲旒。
HCH_015_017_000178	魏明帝好婦人飾，改以珊瑚珠。
HCH_015_017_000179	晉初仍舊，後乃改。
HCH_015_017_000180	江左以美玉難得，遂用琫珠，世謂之白琁珠。
