HCH_009_114_000156	時粘古之兄瑗為鄧州節度使、兼行樞密院事，其子與粘古之子並從駕為衛士。
HCH_009_114_000157	適朝廷將召鄧兵入援，粘古因與華謀同之鄧，且拉其二子以往，上覺之，獨命華行，而粘古改之徐州。
HCH_009_114_000158	華既至鄧，以事久不濟，淹留於館，遂若無意於世者。
HCH_009_114_000159	會瑗以鄧入宋，華亦從至襄陽，宋署為制幹，又改均州提督。
HCH_009_114_000160	後范用吉殺均之長吏。
HCH_009_114_000161	送款於北朝，遂因而北歸。
HCH_009_114_000162	士大夫以華夙儒貴顯，國危不能以義自處為貶云。
HCH_009_114_000163	用吉者，本姓孛術魯，名久住。
HCH_009_114_000164	初歸入宋，謁制置趙範，將以計動其心，故更姓名范用吉。
HCH_009_114_000165	趙怒其觸諱，斥之，用吉猶應對如故。
HCH_009_114_000166	趙良久方悟，且利其事與己符，遂擢置左右，凡所言動，略不加疑，遂易其姓曰花，使為太尉，改鎮均州。
HCH_009_114_000167	未幾，納款於北。
HCH_009_114_000168	後以家人誣以欲叛，為同列所害。
HCH_009_114_000169	贊曰：白華以儒者習吏事，以經生知兵，其所論建，屢中事機，然三軍敗衄之餘，士氣不作，其言果可行乎。
HCH_009_114_000170	從瑗歸宋，聲名掃地，則猶得列于金臣之傳者，援蜀譙周等例云。
HCH_009_114_000171	斜卯愛實，字正之，策論進士也。
HCH_009_114_000172	正大間，累官翰林直學士，兼左司郎中。
HCH_009_114_000173	天興元年正月，聞大兵將至，以點檢夾穀撒合為總帥，率步騎三萬巡河渡，命宿直將軍內族長樂權近侍局使，監其軍。
HCH_009_114_000174	行至封丘而還。
HCH_009_114_000175	入自梁門，樞密副使合喜遇之，笑語撒合曰：「吾言信矣，當為我作主人。」
HCH_009_114_000176	蓋世俗酬謝之意也。
HCH_009_114_000177	明日，大兵遂合，朝廷置而不問。
HCH_009_114_000178	於是愛實上言曰：「撒合統兵三萬，本欲乘大兵遠至，喘息未定而擊之。出京才數十里，不逢一人騎，已畏縮不敢進。設遇大兵，其肯用命乎？乞斬二人以肅軍政。」
HCH_009_114_000179	不報。
HCH_009_114_000180	蓋合喜輩以京師倚此一軍為命，初不敢俾之出戰，特以外議哄然，故暫出以應之云。
HCH_009_114_000181	衛紹、鎬厲二王家屬，皆以兵防護，且設官提控，巡警之嚴過於獄犴。
HCH_009_114_000182	至是，衛紹宅二十年，鎬厲宅四十年。
HCH_009_114_000183	正大間，朝臣屢有言及者，不報。
HCH_009_114_000184	愛實乃上言曰：「二族衰微，無異匹庶，假欲為不善，孰與同惡？男女婚嫁，人之大欲，豈有幽囚終世，永無伉儷之望，在他人尚且不忍，況骨肉乎！」
HCH_009_114_000185	哀宗感其言，始聽自便。
HCH_009_114_000186	未幾，有青城之難。
HCH_009_114_000187	愛實憤時相非其人，嘗歷數曰：「平章白撒固權市恩，擊丸外百無一能。丞相賽不菽麥不分，更謂乏材，亦不至此人為相。參政兼樞密副使赤盞合喜粗暴，一馬軍之材止矣，乃令兼將相之權。右丞顏盞世魯居相位已七八年，碌碌無補，備員而已。患難之際，倚注此類，欲冀中興，難矣。」
HCH_009_114_000188	於是世魯罷相，賽不乞致仕，而白撒、合喜不恤也。
HCH_009_114_000189	是年四月，京城罷攻，大兵退。
HCH_009_114_000190	既而以害唐慶事，和議遂絕。
HCH_009_114_000191	於是再簽民兵為守禦備。
HCH_009_114_000192	八月，括京城粟，以轉運使完顏珠顆、張俊民、曳剌克忠等置局，以推舉為名，珠顆諭民曰：「汝等當從實推唱，果如一旦糧盡，令汝妻子作軍食，復能吝否？」
HCH_009_114_000193	既而罷括粟令，復以進獻取之。
HCH_009_114_000194	前御史大夫內族合周復冀進用，建言京城括粟可得百餘萬石。
HCH_009_114_000195	朝廷信之，命權參知政事，與左丞李蹊總其事。
HCH_009_114_000196	先令各家自實，壯者存石有三斗，幼者半之，仍書其數門首，敢有匿者以升斗論罪。
HCH_009_114_000197	京城三十六坊，各選深刻者主之，內族完顏久住尤酷暴。
HCH_009_114_000198	有寡婦二口，實豆六斗，內有蓬子約三升，久住笑曰：「吾得之矣。」
HCH_009_114_000199	執而以令於眾。
HCH_009_114_000200	婦泣訴曰：「妾夫死于兵，姑老不能為養，故雜蓬粃以自食耳，非敢以為軍儲也。且三升，六斗之餘。」
HCH_009_114_000201	不從，竟死杖下。
HCH_009_114_000202	京師聞之股栗，盡投其餘於糞溷中。
HCH_009_114_000203	或白于李蹊，蹊顰蹙曰：「白之參政。」
HCH_009_114_000204	其人即白合周，周曰：「人云『花又不損，蜜又得成』。予謂花不損，何由成蜜？且京師危急，今欲存社稷耶？存百姓耶？」
HCH_009_114_000205	當時皆莫敢言，愛實遂上奏，大概言：「罷括粟，則改虐政為仁政，散怨氣為和氣。」
HCH_009_114_000206	不報。
HCH_009_114_000207	時所括不能三萬斛，而京城益蕭然矣。
HCH_009_114_000208	自是之後，死者相枕，貧富束手待斃而已。
HCH_009_114_000209	上聞之，命出太倉米作粥以食餓者，愛實聞之歎曰：「與其食之，寧如勿奪。」
HCH_009_114_000210	為奉御把奴所告。
HCH_009_114_000211	又近侍干預朝政，愛實上章諫曰：「今近侍權太重，將相大臣不敢與之相抗。自古僕禦之臣不過供給指使而已，雖名僕臣，亦必選擇正人。今不論賢否，惟以世胄或吏員為之。夫給使令之材，使預社稷大計，此輩果何所知乎。」
HCH_009_114_000212	章既上，近侍數人泣訴上前曰：「愛實以臣等為奴隸，置至尊何地耶！」
HCH_009_114_000213	上益怒，送有司。
HCH_009_114_000214	近侍局副使李大節從容開釋，乃赦之，出為中京留守，後不知所終。
HCH_009_114_000215	合周者，一名永錫。
HCH_009_114_000216	貞祐中，為元帥左監軍，失援中都，宣宗削除官爵，杖之八十。
HCH_009_114_000217	已而復用。
HCH_009_114_000218	四年，以御史大夫權尚書右丞，總兵陝西。
HCH_009_114_000219	合周留澠池數日，進及京兆，而大兵已至，合周竟不出兵，遂失潼關。
