HCH_012_124_000093	還，未幾死。
HCH_012_124_000094	太祖以是心敬擴廓。
HCH_012_124_000095	一日，大會諸將，問曰：「天下奇男子誰也？」
HCH_012_124_000096	皆對曰：「常遇春將不過萬人，橫行無敵，真奇男子。」
HCH_012_124_000097	太祖笑曰：「遇春雖人傑，吾得而臣之。吾不能臣王保保，其人奇男子也。」
HCH_012_124_000098	竟冊其妹為秦王妃。
HCH_012_124_000099	張昶仕明，累官中書省參知政事，有才辨，明習故事，裁決如流，甚見信任。
HCH_012_124_000100	自以故元臣，心嘗戀戀。
HCH_012_124_000101	會太祖縱降人北還，昶附私書訪其子存亡。
HCH_012_124_000102	楊憲得書稿以聞，下吏按問。
HCH_012_124_000103	昶大書牘背曰：「身在江南，心思塞北。」
HCH_012_124_000104	太祖乃殺之。
HCH_012_124_000105	而擴廓幕下士不屈節縱出塞者，有蔡子英。
HCH_012_124_000106	子英，永寧人，元至正中進士。
HCH_012_124_000107	察罕開府河南，辟參軍事，累薦至行省參政。
HCH_012_124_000108	元亡，從擴廓走定西。
HCH_012_124_000109	明兵克定西，擴廓軍敗，子英單騎走關中，亡入南山。
HCH_012_124_000110	太祖聞其名，使人繪形求得之，傳詣京師。
HCH_012_124_000111	至江濱，亡去，變姓名，賃舂。
HCH_012_124_000112	久之，復被獲。
HCH_012_124_000113	械過洛陽，見湯和，長揖不拜。
HCH_012_124_000114	抑之跪，不肯。
HCH_012_124_000115	和怒，爇火焚其須，不動。
HCH_012_124_000116	其妻適在洛，請與相見，子英避不肯見。
HCH_012_124_000117	至京，太祖命脫械以禮遇之，授以官，不受。
HCH_012_124_000118	退而上書曰：「陛下乘時應運，削平群雄，薄海內外，莫不賓貢。臣鼎魚漏網，假息南山。曩者見獲，復得脫亡。七年之久，重煩有司追跡。而陛下以萬乘之尊，全匹夫之節，不降天誅，反療其疾，易冠裳，賜酒饌，授以官爵，陛下之量包乎天地矣。臣感恩無極，非不欲自竭犬馬，但名義所存，不敢輒渝初志。自惟身本韋布，智識淺陋，過蒙主將知薦，仕至七命，躍馬食肉十有五年，愧無尺寸以報國士之遇。及國家破亡，又復失節，何面目見天下士。管子曰：「禮義廉恥，國之四維。』今陛下創業垂統，正當挈持大經大法，垂示子孫臣民。奈何欲以無禮義、寡廉恥之俘囚，廁諸維新之朝、賢士大夫之列哉！臣日夜思維，咎往昔之不死，至於今日，分宜自裁。陛下待臣以恩禮，臣固不敢賣死立名，亦不敢偷生苟祿。若察臣之愚，全臣之志，禁錮海南，畢其餘命，則雖死之日，猶生之年。或王蠋閉戶以自縊，李芾闔門以自屠，彼非惡榮利而樂死亡，顧義之所在，雖湯鑊有不得避也。渺焉之軀，上愧古人，死有餘恨，惟陛下裁察。」帝覽其書，益重之，館之儀曹。忽一夜大哭不止。人問其故，曰：「無他，思舊君耳。」帝知不可奪，洪武九年十二月命有司送出塞，令從故主于和林。陳友定，一名有定，字安國，福清人，徙居汀之清流。
HCH_012_124_000119	世業農。
HCH_012_124_000120	為人沉勇，喜遊俠。
HCH_012_124_000121	鄉里皆畏服。
HCH_012_124_000122	至正中，汀州府判蔡公安至清流募民兵討賊，友定應募。
HCH_012_124_000123	公安與語，奇之，使掌所募兵，署為黃土砦巡檢。
HCH_012_124_000124	以討平諸山寨功，遷清流縣尹。
HCH_012_124_000125	陳友諒遣其將鄧克明等陷汀、邵，略杉關。
HCH_012_124_000126	行省授友定汀州路總管禦之。
HCH_012_124_000127	戰于黃土，大捷，走克明。
HCH_012_124_000128	逾年，克明復取汀州，急攻建寧。
HCH_012_124_000129	守將完者帖木兒檄友定入援，連破賊，悉復所失郡縣。
HCH_012_124_000130	行省上其功第一，進參知政事。
HCH_012_124_000131	已，置分省于延平，以友定為平章，於是友定盡有福建八郡之地。
HCH_012_124_000132	友定以農家子起傭伍，目不知書。
HCH_012_124_000133	及據八郡，數招致文學知名士，如閩縣鄭定、廬州王翰之屬，留置幕下。
HCH_012_124_000134	粗涉文史，習為五字小詩，皆有意理。
HCH_012_124_000135	然頗任威福，所屬違令者輒承制誅竄不絕。
HCH_012_124_000136	漳州守將羅良不平，以書責之曰：「郡縣者，國家之土地。官司者，人主之臣役。而廥廩者，朝廷之外府也。今足下視郡縣如室家，驅官僚如圉僕，擅廥廩如私藏，名雖報國，實有鷹揚跋扈之心。不知足下欲為郭子儀乎，抑為曹孟德乎？」
HCH_012_124_000137	友定怒，竟以兵誅良。
HCH_012_124_000138	而福清宣慰使陳瑞孫、崇安令孔楷、建陽人詹翰拒友定不從，皆被殺。
HCH_012_124_000139	於是友定威震八閩，然事元未嘗失臣節。
HCH_012_124_000140	是時張士誠據浙西，方國珍據浙東，名為附元，歲漕粟大都輒不至。
HCH_012_124_000141	而友定歲輸粟數十萬石，海道遼遠，至者嘗十三四。
HCH_012_124_000142	順帝嘉之，下詔褒美。
HCH_012_124_000143	太祖既定婺州，與友定接境。
HCH_012_124_000144	友定侵處州。
HCH_012_124_000145	參政胡深擊走之，遂下浦城，克松溪，獲友定將張子玉，與硃亮祖進攻建寧，破其二柵。
HCH_012_124_000146	友定遣阮德柔以兵四萬屯錦江，繞出深後，斷其歸路，而自帥牙將賴政等以銳師搏戰，德柔自後夾擊。
HCH_012_124_000147	深兵敗，被執死。
HCH_012_124_000148	太祖既平方國珍，即發兵伐友定。
HCH_012_124_000149	將軍胡廷美、何文輝由江西趨杉關，湯和、廖永忠由明州海道取福州，李文忠由浦城取建寧，而別遣使至延平，招諭友定。
HCH_012_124_000150	友定置酒大會諸將及賓客，殺明使者，瀝其血酒甕中，與眾酌飲之。
HCH_012_124_000151	酒酣，誓於眾曰：「吾曹並受元厚恩，有不以死拒者，身磔，妻子戮。」
HCH_012_124_000152	遂往視福州，環城作壘。
HCH_012_124_000153	距壘五十步，輒築一台，嚴兵為拒守計。
HCH_012_124_000154	已而聞杉關破，急分軍為二，以一軍守福，而自帥一軍守延平，以相掎角。
HCH_012_124_000155	及湯和等舟師抵福之五虎門，平章曲出引兵逆戰敗，明兵緣南台蟻附登城。
HCH_012_124_000156	守將遁去，參政尹克仁、宣政使朵耳麻不屈死，僉院柏帖木兒積薪樓下，殺妻妾及二女，縱火自焚死。
HCH_012_124_000157	廷美克建甯，湯和進攻延平。
HCH_012_124_000158	友定欲以持久困之，諸將請出戰，不許。
HCH_012_124_000159	數請不已，友定疑所部將叛，殺蕭院判。
HCH_012_124_000160	軍士多出降者。
HCH_012_124_000161	會軍器局災，城中礮聲震地，明師知有變，急攻城。
HCH_012_124_000162	友定呼其屬訣曰：「大事已去，吾一死報國，諸君努力。」
HCH_012_124_000163	因退入省堂，衣冠北面再拜，仰藥死。
HCH_012_124_000164	所部爭開城門納明師。
HCH_012_124_000165	師入，趨視之，猶未絕也。
HCH_012_124_000166	舁出水東門，適天大雷雨，友定復蘇。
HCH_012_124_000167	械送京師。
HCH_012_124_000168	入見，帝詰之。
HCH_012_124_000169	友定曆聲曰：「國破家亡，死耳，尚何言。」
HCH_012_124_000170	遂並其子海殺之。
HCH_012_124_000171	海，一名宗海，工騎射，亦喜禮文士。
HCH_012_124_000172	友定既被執，自將樂歸於軍門，至是從死。
HCH_012_124_000173	元末所在盜起，民間起義兵保障鄉里，稱元帥者不可勝數，元輒因而官之。
HCH_012_124_000174	其後或去為盜，或事元不終，惟友定父子死義，時人稱完節焉。
HCH_012_124_000175	友定既死，興化、泉州皆望風納疑。
HCH_012_124_000176	獨漳州路達魯花赤迭裏彌實具公服，北面再拜，引斧斫印章，以佩刀剚喉而死。
HCH_012_124_000177	時雲「閩有三忠」，謂友定、柏帖木兒、迭裏彌實也。
HCH_012_124_000178	鄭定，字孟宣。
HCH_012_124_000179	好擊劍，為友定記室。
HCH_012_124_000180	及敗，浮海入交、廣間。
HCH_012_124_000181	久之，還居長樂。
HCH_012_124_000182	洪武末，累官至國子助教。
HCH_012_124_000183	王翰，字用文，仕元為潮州路總管。
HCH_012_124_000184	友定敗，為黃冠，棲永泰山中者十載。
HCH_012_124_000185	太祖聞其賢，強起之，自刎死，有子偁知名。
HCH_012_124_000186	為友定所辟者，又有伯顏子中。
HCH_012_124_000187	子中，其先西域人，後仕江西，因家焉。
HCH_012_124_000188	子中明《春秋》，五舉有司不第，行省辟授東湖書院山長，遷建昌教授。
HCH_012_124_000189	子中雖儒生，慷慨喜談兵。
HCH_012_124_000190	江西盜起，授分省都事，使守贛州，而陳友諒兵已破贛。
HCH_012_124_000191	子中倉卒募吏民，與鬥城下，不勝，脫身間道走閩。
HCH_012_124_000192	陳友定素知之，辟授行省員外郎。
HCH_012_124_000193	出奇計，以友定兵復建昌，浮海如元都獻捷。
HCH_012_124_000194	累遷吏部侍郎。
HCH_012_124_000195	持節發廣東何真兵救閩，至則真已降于廖永忠。
HCH_012_124_000196	子中跳墜馬，折一足，致軍前。
HCH_012_124_000197	永忠欲脅降之，不屈。
HCH_012_124_000198	永忠義而舍之。
HCH_012_124_000199	乃變姓名，冠黃冠，遊行江湖間。
HCH_012_124_000200	太祖求之不得，簿錄其妻子，子中竟不出。
HCH_012_124_000201	嘗齎鴆自隨，久之事浸解，乃還鄉里。
HCH_012_124_000202	洪武十二年詔郡縣舉元遺民。
HCH_012_124_000203	布政使沈立本密言子中於朝，以幣聘。
HCH_012_124_000204	使者至，子中太息曰：「死晚矣。」
HCH_012_124_000205	為歌七章，哭其祖父師友，飲鴆而死。
HCH_012_124_000206	當元亡時，守土臣仗節死者甚眾。
HCH_012_124_000207	明兵克太平，總管靳義赴水死。
HCH_012_124_000208	攻集慶，行台御史大夫福壽戰敗，嬰城固守。
HCH_012_124_000209	城破，猶督兵巷戰，坐伏龜樓指揮。
HCH_012_124_000210	左右或勸之遁，福壽叱而射之，遂死於兵。
HCH_012_124_000211	參政伯家奴、達魯花赤達尼達思等皆戰死。
HCH_012_124_000212	克鎮江，守將段武、平章定定戰死。
HCH_012_124_000213	克甯國，百戶張文貴殺妻妾自刎死。
HCH_012_124_000214	克徽州，萬戶吳訥戰敗自殺。
HCH_012_124_000215	克婺州，浙東廉訪使楊惠、婺州達魯花赤僧住戰死。
HCH_012_124_000216	克衢州，總管馬浩赴水死。
HCH_012_124_000217	石抺宜孫守處州，其母與弟厚孫先為明兵所獲，令為書招之。
HCH_012_124_000218	不聽。
HCH_012_124_000219	比克處，宜孫戰敗，走建寧，收集士卒，欲復處州。
HCH_012_124_000220	攻慶元，為耿再成所敗，還走建寧。
HCH_012_124_000221	半道遇鄉兵，被殺，部將李彥文葬之龍泉。
HCH_012_124_000222	太祖嘉其忠，遣使致祭，復其處州生祠。
HCH_012_124_000223	又祠福壽于應天，余闕于安慶，李黼于江州。
HCH_012_124_000224	闕、黼事具《元史》。
HCH_012_124_000225	其後大軍北克益都，平章普顏不花不屈死。
HCH_012_124_000226	克東昌，平章申榮自經死。
HCH_012_124_000227	真定路達魯花赤鈒納錫彰聞王師取元都，朝服登城西崖，北面再拜，投崖死。
HCH_012_124_000228	克奉元，西台御史桑哥失裏與妻子俱投崖死，左丞拜泰古逃入終南山，郎中王可仰藥死，檢校阿失不花自經死。
