HCH_012_164_000117	仁宗初，上疏言：「西域貢使多商人假托，無賴小人投為從者，乘傳役人，運貢物至京師，賞賚優厚。番人慕利，貢無虛月，致民失業妨農。比其使還，多賫貨物，車運至百餘輛。丁男不足，役及婦女。所至辱驛官，鞭夫隸，無敢與較者。乞敕陜西行都司，惟哈密諸國王遣使入貢者，許令來京，止正副使得乘驛馬，陜人庶少蘇。至西域所產，惟馬切邊需，應就給甘肅軍士。其碙砂、梧桐、鹼之類，皆無益國用，請一切勿受，則來者自稀，浮費益省。」
HCH_012_164_000118	帝以示尚書呂震，且讓之曰：「驥嘗奉使，悉西事。卿西人，顧不悉邪？驥言是，其即議行。」
HCH_012_164_000119	後遷右通政，與李琦、羅汝敬撫諭交阯，不辱命。
HCH_012_164_000120	使還，尋卒。
HCH_012_164_000121	黃澤，閩縣人。
HCH_012_164_000122	永樂十年進士。
HCH_012_164_000123	擢河南左參政。
HCH_012_164_000124	南陽多流民，拊循使復業。
HCH_012_164_000125	嘗率丁役至北京，周恤備至。
HCH_012_164_000126	久之，調湖廣。
HCH_012_164_000127	仁宗即位，入覲，言時政，多見采。
HCH_012_164_000128	宣宗立，下詔求言。
HCH_012_164_000129	澤上疏言正心、恤民、敬天、納諫、練兵、重農、止貢獻、明賞罰、遠嬖幸、汰冗官十事。
HCH_012_164_000130	其言遠嬖幸曰：「刑余之人，其情幽陰，其慮險譎。大奸似忠，大詐似信，大巧似愚。一與之親，如飲醇酒，不知其醉；如噬甘臘，不知其毒。寵之甚易，遠之甚難。是以古者宦寺不使典兵幹政，所以防患於未萌也。涓涓弗塞，將為江河。此輩宜一切疏遠，勿使用事。漢、唐已事，彰彰可監。」
HCH_012_164_000131	當成祖時，宦官稍稍用事，宣宗浸以親幸。
HCH_012_164_000132	澤於十事中此為尤切。
HCH_012_164_000133	帝雖嘉嘆，不能用也。
HCH_012_164_000134	其後設內書堂，而中人多通書曉文義。
HCH_012_164_000135	宦寺之盛，自宣宗始。
HCH_012_164_000136	宣德三年擢浙江布政使。
HCH_012_164_000137	復上言平陽、麗水等七縣銀冶宜罷，並請盡罷諸坑冶，語甚切。
HCH_012_164_000138	帝嘆息曰：「民困若此，朕何由知？遣官驗視，酌議以聞。」
HCH_012_164_000139	澤在官有政績，然多暴怒，鹽運使丁鎡不避道，撻之，為所奏。
HCH_012_164_000140	巡按御史馬謹亦劾澤九載秩滿，自出行縣，斂白金三千兩償官物，且越境過家。
