HCH_009_008_000097	又曰：「昨夕苦暑，朕通宵不寐，因念小民比屋卑隘，何以安處？」
HCH_009_008_000098	七月乙酉，平章政事移剌道，參知政事張仲愈皆罷。
HCH_009_008_000099	御史大夫張汝霖坐失糾舉，降授棣州防禦使。
HCH_009_008_000100	八月乙未，觀稼於東郊。
HCH_009_008_000101	以女直字《孝經》千部付點檢司分賜護衛親軍。
HCH_009_008_000102	癸卯，還都。
HCH_009_008_000103	乙巳，大名府猛安人馬和尚謀叛，伏誅。
HCH_009_008_000104	括定猛安謀克戶口田土牛具。
HCH_009_008_000105	以戶部尚書程輝為參知政事。
HCH_009_008_000106	九月己巳，以同僉大宗正事方等為賀宋生日使，宿直將軍完顏斜裏虎為夏國生日使。
HCH_009_008_000107	譯經所進所譯《易》、《書》、《論語》、《孟子》、《老子》、《楊子》、《文中子》、《劉子》及《新唐書》。
HCH_009_008_000108	上謂宰臣曰：「朕所以令譯《五經》者，正欲女直人知仁義道德所在耳！」
HCH_009_008_000109	命頒行之。
HCH_009_008_000110	辛未，秋獵。
HCH_009_008_000111	十月癸巳，還都。
HCH_009_008_000112	庚戌，幸東宮，賜皇孫吾都補洗兒禮。
HCH_009_008_000113	己未，慶雲見。
HCH_009_008_000114	辛酉，太白晝見。
HCH_009_008_000115	十一月壬戌朔，日有食之。
HCH_009_008_000116	丙寅，平章政事蒲察通罷。
HCH_009_008_000117	丁卯，歲星晝見。
HCH_009_008_000118	壬申，以樞密副使崇尹為平章政事。
HCH_009_008_000119	閏月甲午，上謂宰臣曰：「帝王之政，固以寬慈為德，然如梁武帝專務寬慈，以至綱紀大壞。朕嘗思之，賞罰不濫，即是寬政也，余複何為？」
HCH_009_008_000120	以尚書左丞襄為平章政事，右丞張汝弼為左丞，參知政事粘割斡特剌為右丞，禮部尚書張汝霖為參知政事。
HCH_009_008_000121	以西京留守婆廬火等為賀宋正旦使。
HCH_009_008_000122	制外任官嘗為宰執者，凡吏牘上省部，依親王例，免書名。
HCH_009_008_000123	戊午，歲星晝見。
HCH_009_008_000124	上謂宰臣曰：「女直進士可依漢兒進士補省令史。夫儒者操行清潔，非禮不行。以吏出身者，自幼為吏，習其貪墨，至於為官，習性不能遷改。政道興廢，實由於此。」
HCH_009_008_000125	庚申，尚書省左司員外郎徐偉奏事，上謂宰臣曰：「斯人純而幹，有司郎中郭邦傑直而頗躁。」
HCH_009_008_000126	十二月癸酉，上謂宰臣曰：「海陵自以失道，恐上京宗室起而圖之，故不問疏近，並徙之南。豈非以漢光武、宋康王之疏庶得繼大統，故有是心。過慮若此，何其謬也。」
HCH_009_008_000127	乙酉，高麗以母喪來告。
HCH_009_008_000128	丁亥，以真定尹烏古論元忠複為尚書右丞相。
HCH_009_008_000129	二十四年正月辛卯朔，宋、夏遣使來賀。
HCH_009_008_000130	徐州進芝草十有八莖，真定進嘉禾二本，六莖，異畝同穎。
HCH_009_008_000131	戊戌，如長春宮春水。
HCH_009_008_000132	二月壬申，還都。
HCH_009_008_000133	癸酉，上曰：「朕將往上京。念本朝風俗重端午節，比及端午到上京，則燕勞鄉間宗室父老。」
HCH_009_008_000134	甲戌，制一品職事官庶孽子承廕，更不引見。
HCH_009_008_000135	丙戌，以東上閣門使完顏進兒等為高麗敕祭使，西上閣門使大仲尹為慰問使，虞王府長史永明為起複使，以器物局使皞為橫賜夏國使。
HCH_009_008_000136	三月庚寅朔，萬春節，宋、夏遣使來賀。
HCH_009_008_000137	甲午，以上將如上京，尚書省奏定「皇太子守國諸儀」。
HCH_009_008_000138	丙申，尚書省進「皇太子守國寶」，上召皇太子授之，且諭之曰：「上京祖宗興王之寺，欲與諸王一到，或留三二年，以汝守國。譬之農家種田，商人營財，但能不墜父業，即為克家子，況社稷任重，尤宜畏慎。常時觀汝甚謹，今日能紓朕優，乃見中心孝也。」
HCH_009_008_000139	皇太子再三辭讓，以不諳政務，乞備扈從。
HCH_009_008_000140	上曰：「政事無甚難，但用心公正，毋納讒邪，久之自熟。」
HCH_009_008_000141	皇太子流涕，左右皆為之感動。
HCH_009_008_000142	皇太子乃受寶。
HCH_009_008_000143	丁酉，如山陵。
HCH_009_008_000144	己亥，還都。
HCH_009_008_000145	壬寅，如上京。
HCH_009_008_000146	皇太子允恭守國。
HCH_009_008_000147	癸卯，宰執以下奉辭於通州。
HCH_009_008_000148	上謂宰執曰：「卿輩皆故老，皇太子守國，宜悉心輔之，以副朕意。」
HCH_009_008_000149	又謂樞密使徒單克寧曰：「朕巡省之後，脫或有事，卿必親之。毋忽細微，大難圖也。」
HCH_009_008_000150	又顧六部官曰：「朕聞省部文字多以小不合而駁之，苟求自便，致累歲不能結絕，朕甚惡之。自今可行則行，可罷則罷，毋使在下有滯留之歎！」
HCH_009_008_000151	時諸王皆從，以趙王永中留輔太子。
HCH_009_008_000152	四月己未朔，太白晝見。
HCH_009_008_000153	咸平尹移剌道薨。
HCH_009_008_000154	庚申，次廣寧府。
HCH_009_008_000155	丙寅，次東京。
HCH_009_008_000156	丁卯，朝謁孝甯宮。
HCH_009_008_000157	給複東京百里內夏秋稅租一年。
HCH_009_008_000158	在城隨關年七十者補一官。
HCH_009_008_000159	曲赦百里內犯徒二年以下罪。
HCH_009_008_000160	乙酉，觀漁于混同江。
HCH_009_008_000161	五月己丑，至上京，居於光興宮。
HCH_009_008_000162	庚寅，朝謁于慶元宮。
HCH_009_008_000163	戊戌，宴于皇武殿。
HCH_009_008_000164	上謂宗戚曰：「朕思故鄉，積有日矣，今既至此，可極歡飲，君臣同之。」
HCH_009_008_000165	賜諸王妃、主，宰執百官命婦各有差。
HCH_009_008_000166	宗戚皆沾醉起舞，竟日乃罷。
HCH_009_008_000167	六月辛酉，幸按出虎水臨漪亭。
HCH_009_008_000168	壬戌，閱馬於綠野澱。
HCH_009_008_000169	七月乙未，上謂宰臣曰：「天子巡狩當舉善罰惡。凡士民之孝弟淵睦者舉而用之，其不顧廉恥無行之人則教戒之，不悛者則加懲罰。」
HCH_009_008_000170	丙午，獵於勃野澱。
HCH_009_008_000171	乙卯，上謂宰臣曰：「今時之人，有罪不問，既過之後則謂不知。有罪必責，則謂每事尋罪。風俗之薄如此。不以文德感化，不能複于古也。卿等以德輔佐，當使複還古風。」
HCH_009_008_000172	八月癸亥，乙太府監張大節等為賀宋生日使，侍御史遙裏特末哥為夏國生日使。
HCH_009_008_000173	乙亥，詔免上京今年市稅。
HCH_009_008_000174	九月甲辰，歲星晝見。
HCH_009_008_000175	十月丁卯，獵於近郊。
HCH_009_008_000176	十一月辛卯，還宮。
HCH_009_008_000177	甲午，詔以上京天寒地遠，宋正旦、生日，高麗、夏國生日，並不須遣使，令有司報諭。
HCH_009_008_000178	丙午尚書省奏徙速頻、胡裏改三猛安二十四謀克以實上京。
HCH_009_008_000179	十二月丙辰，獵於近郊。
HCH_009_008_000180	己卯，還宮。
HCH_009_008_000181	二十五年正月乙酉朔。
HCH_009_008_000182	丁亥，宴妃嬪、親王、公主、文武從官於光德殿，宗室、宗婦及五品以上命婦，與坐者千七百餘人，賞賚有差。
HCH_009_008_000183	二月癸酉，以東平尹鳥古論思列怨望，殺之。
HCH_009_008_000184	丁丑，如春水。
HCH_009_008_000185	四月己未，至自春水。
HCH_009_008_000186	癸亥，幸皇武殿擊球，許士民縱觀。
HCH_009_008_000187	甲子，詔於速頻、胡裏改兩路猛安下選三十謀克為三猛安，移置於率督畔窟之地，以實上京。
HCH_009_008_000188	壬申，曲赦會寧府仍放免今年租稅，百姓年七十以上者補一官。
HCH_009_008_000189	甲戌，以會寧府官一人兼大宗正丞，以治宗室之政。
HCH_009_008_000190	上謂群臣曰：「上京風物朕自樂之，每奏還都，輒用感愴。祖宗舊邦，不忍舍去，萬歲之後，當置朕于太祖之側，卿等無忘朕言。」
HCH_009_008_000191	丁丑，宴宗室、宗婦于皇武殿，大功親賜官三階，小功二階，緦麻一階，年高屬近者加宣武將軍。
HCH_009_008_000192	及封宗女，賜銀、絹各有差。
HCH_009_008_000193	曰：「朕尋常不飲酒，今日甚欲成醉，此樂亦不易得也！」
HCH_009_008_000194	宗室婦女及群臣故老以次起舞，進酒。
HCH_009_008_000195	上曰：「吾來數月，未有一人歌本曲者，吾為汝等歌之。」
HCH_009_008_000196	命宗室弟敘坐殿下者皆坐殿上，聽上自歌。
HCH_009_008_000197	其詞道王業之艱難，及繼述之不易，至「慨想祖宗，宛然如睹」，慷慨悲激，不能成聲，歌畢泣下。
HCH_009_008_000198	右丞相元忠率群臣、宗戚捧觴上壽，皆稱萬歲。
HCH_009_008_000199	於是，諸夫人更歌本曲，如私家之會。
HCH_009_008_000200	既醉，上複續調，至一鼓乃罷。
HCH_009_008_000201	己卯，發上京。
HCH_009_008_000202	庚辰，宗室戚屬奉辭。
HCH_009_008_000203	上曰：「朕久思故鄉，甚欲留一二歲，京師天下根本，不能久於此也。太平歲久，國無征徭，汝等皆奢縱，往往貧乏，朕甚憐之。當務儉約，無忘祖先艱難。」
HCH_009_008_000204	因泣數行下，宗室戚屬皆感泣而退。
