HCH_009_085_000246	上賜手詔曰：「卿親實肺腑，夙著忠純，侍顯考于春宮，曲盡友于之愛，洎沖人之繼統，愈明忠赤之心，艱難之中，多所裨益。朕心簡在，毫楮莫窮，用是起之苫塊之中，授以維城之任。自典籓服，歲月薦更，蕞爾趙邦，知驥足之難展，眇哉鎮府，固牛刀之莫施。方思驛召以赴朝，何意遽罹于國憲。偶因時獵，頗擾部民，法所不寬，憲台聞上。朕尚含容累月，未忍即行，雖欲遂於私恩，竟莫違于公議，解卿前職，即乃世封。噫，祖宗立法，非一人之敢私；骨肉至親，豈千里而能間。以此退閑之小誡，欲成終始之洪恩。《經》云：「在上不驕，高而不危。』是以知節慎者修身之本，驕矜者敗德之源。朕每自勵，今以戒卿。昔東平樂善，能成不朽之名，梁孝奢淫，卒致憂疑之悔。前人所行，可為龜鑑。卿兼資文武，多藝多才，履道而行，何施不可。如能德業日新，無慮牽複之晚。朕素不工詞翰，臨文草草，直寫所懷，冀不以辭害意也。」未幾，授沁南軍節度使。三年，改判咸平府事，未赴，移判太原府事。上以永成誕日，親為詩以賜，有「美譽自應輝玉牒，忠誠不待啟金滕」之語，當世榮之。七年，改判平陽府事。承安改元，以覃恩進封豫。明年冬，進馬八十疋，以資守禦之備。上賜詔獎諭曰：「卿夙有雋望，時惟茂親，
HCH_009_085_000247	通達古今，砥礪忠義。
HCH_009_085_000248	方分憂於外服，來輸駿於上閑，欲助邊防，以增武備。
HCH_009_085_000249	惟盡心于體國，乃因物以見誠。
HCH_009_085_000250	載念懇勤，良深嘉獎。
HCH_009_085_000251	五年，再任。
HCH_009_085_000252	俄召還，以疾不能入見。
HCH_009_085_000253	上親幸其第臨視。
HCH_009_085_000254	泰和四年，薨。
HCH_009_085_000255	訃聞，上為之震悼，賻贈甚厚，諡曰忠獻。
HCH_009_085_000256	永成自幼喜讀書，晚年所學益醇，每暇日引文士相與切磋，接之以禮，未嘗見驕色。
HCH_009_085_000257	自號曰「樂善居士」，有文集行於世雲。
HCH_009_085_000258	夔王允升，改名永升，本名斜不出，一名鶴壽。
HCH_009_085_000259	大定十一年，封徐王，進封虞王。
HCH_009_085_000260	二十六年，加開府儀同三司。
HCH_009_085_000261	明年，判吏部尚書，授山東西路按必出虎必剌猛安。
HCH_009_085_000262	章宗即位，加恩宗室，徙封隋王，除定武軍節度使。
HCH_009_085_000263	明昌二年，改封曹王。
HCH_009_085_000264	久之，改封宛王。
HCH_009_085_000265	衛紹王即位，徙今封。
HCH_009_085_000266	貞祐元年九月，宣宗以允升年高，素羸疾，詔宮中聽扶杖。
HCH_009_085_000267	尋薨。
HCH_009_085_000268	既殯，燒飯，上親臨奠。
HCH_009_085_000269	贊曰：世宗保全宗室，無所不至，雖矯海陵之失，亦由天資仁厚而然也。
HCH_009_085_000270	其子永中、永蹈皆死章宗之手，其理蓋有不可詰者。
HCH_009_085_000271	章宗無後，則厥報不爽矣。
