HCH_012_205_000175	當大立時，倭患已息，而坐惡少年鼓噪為亂，竟罷職。
HCH_012_205_000176	無一不得罪去者。
HCH_012_205_000177	胡宗憲，字汝貞，績溪人。
HCH_012_205_000178	嘉靖十七年進士。
HCH_012_205_000179	歷知益都、余姚二縣。
HCH_012_205_000180	擢御史，巡按宣、大。
HCH_012_205_000181	詔徙大同左衛軍於陽和、獨石，卒聚而嘩。
HCH_012_205_000182	宗憲單騎慰諭，許勿徙，乃定。
HCH_012_205_000183	三十三年，出按浙江。
HCH_012_205_000184	時歙人汪直據五島煽諸倭入寇，而徐海、陳東、麻葉等巢柘林、乍浦、川沙窪，日擾郡邑。
HCH_012_205_000185	帝命張經為總督，李天寵撫浙江，又命侍郎趙文華督察軍務。
HCH_012_205_000186	文華恃嚴嵩內援，恣甚。
HCH_012_205_000187	經、天寵不附也，獨宗憲附之。
HCH_012_205_000188	文華大悅，因相與力排二人。
HCH_012_205_000189	倭寇嘉興，守憲中以毒酒，死數百人。
HCH_012_205_000190	及經破王江涇，宗憲與有力。
HCH_012_205_000191	文華盡掩經功歸宗憲，經遂得罪。
HCH_012_205_000192	尋又陷天寵，即超擢宗憲右僉都御史代之。
HCH_012_205_000193	時柘林諸倭移屯陶宅，勢稍殺。
HCH_012_205_000194	會蘇、松巡撫曹邦輔殲倭滸墅，文華欲攘功不得，大恨，遂進剿陶宅殘寇。
HCH_012_205_000195	宗憲與共，將銳卒四千，營磚橋，約邦輔夾擊。
HCH_012_205_000196	倭殊死戰，宗憲兵死者千餘。
HCH_012_205_000197	文華令副使劉燾攻之，復大敗。
HCH_012_205_000198	而倭犯浙東諸州縣，殺文武吏甚眾。
HCH_012_205_000199	宗憲乃與文華定招撫計。
HCH_012_205_000200	文華還朝，盛毀總督楊宜，而薦宗憲，遂以為兵部右侍郎代宜。
HCH_012_205_000201	初，宗憲令客蔣洲、陳可願諭日本國王，遇汪直養子滶於五島，邀使見直。
HCH_012_205_000202	直初誘倭入犯，倭大獲利，各島由此日至。
HCH_012_205_000203	既而多殺傷，有全島無一歸者，死者家怨直。
HCH_012_205_000204	直乃與滶及葉碧川、王清溪、謝和等據五島自保。
HCH_012_205_000205	島人呼為老船主。
HCH_012_205_000206	宗憲與直同鄉里，欲招致之，釋直母妻於金華獄，資給甚厚。
HCH_012_205_000207	洲等諭宗憲指。
HCH_012_205_000208	直心動，又知母妻無恙，大喜曰：「俞大猷絕我歸路，故至此。若貸罪許市，吾亦欲歸耳。但日本國王已死，各島不相攝，須次第諭之。」
HCH_012_205_000209	因留洲而遣滶等護可願歸。
HCH_012_205_000210	宗憲厚遇滶，令立功。
HCH_012_205_000211	滶遂破倭舟山，再破之列表。
HCH_012_205_000212	宗憲請於朝，賜滶等金幣，縱之歸。
HCH_012_205_000213	滶大喜，以徐海入犯來告。
HCH_012_205_000214	亡何，海果引大隅、薩摩二島倭分掠瓜洲、上海、慈溪，自引萬餘人攻乍浦，陳東、麻葉與俱。
HCH_012_205_000215	宗憲壁塘棲，與巡撫阮鶚相犄角。
HCH_012_205_000216	會海趨皂林，鶚遣遊擊宗禮擊海於崇德三里橋，三戰三捷。
HCH_012_205_000217	既而敗死，鶚走桐鄉。
HCH_012_205_000218	禮，常熟人，由世千戶歷署都督僉事。
HCH_012_205_000219	驍健敢戰。
HCH_012_205_000220	練卒三千連破倭，至是敗歿。
HCH_012_205_000221	贈都督同知，謚忠壯，賜祠皂林。
HCH_012_205_000222	鶚既入桐鄉，賊乘勝圍之。
HCH_012_205_000223	宗憲計曰：「與鶚俱陷無益也。」
HCH_012_205_000224	遂還杭州，遣指揮夏正等持滶書要海降。
HCH_012_205_000225	海驚曰：「老船主亦降乎？」
HCH_012_205_000226	時海病創，意頗動，因曰：「兵三路進，不由我一人也。」
HCH_012_205_000227	正曰：「陳東已他有約，所慮獨公耳。」
HCH_012_205_000228	海遂疑東。
HCH_012_205_000229	而東知海營有宗憲使者，大驚，由是有隙。
HCH_012_205_000230	正乘間說下海。
HCH_012_205_000231	海遣使來謝，索財物，宗憲報如其請。
HCH_012_205_000232	海乃歸俘二百人，解桐鄉圍。
HCH_012_205_000233	東留攻一日，亦去，復巢乍浦。
HCH_012_205_000234	鶚知不能當海，乃東渡錢塘禦他賊。
HCH_012_205_000235	初，海入犯，焚其舟，示士卒無還心。
HCH_012_205_000236	至是，宗憲使人語海曰：「若已內附，而吳淞江方有賊，何不擊之以立功？且掠其舸，為緩急計。」
HCH_012_205_000237	海以為然，逆擊之朱涇，斬三十餘級。
HCH_012_205_000238	宗憲令大猷潛焚其舟。
HCH_012_205_000239	海心怖，以弟洪來質，獻所戴飛魚冠、堅甲、名劍及他玩好。
HCH_012_205_000240	宗憲因厚遇洪，諭海縛陳東、麻葉，許以世爵。
HCH_012_205_000241	海果縛葉以獻。
HCH_012_205_000242	宗憲解其縛，令以書致東圖海，而陰泄其書於海。
HCH_012_205_000243	海怒。
HCH_012_205_000244	海妾受宗憲賂，亦說海。
HCH_012_205_000245	於是海復以計縛東來獻，帥其眾五百人去乍浦，別營梁莊。
HCH_012_205_000246	官軍焚乍浦巢，斬首三百餘級，焚溺死稱是。
HCH_012_205_000247	海遂刻日請降，先期猝至，留甲士平湖城外，率酋長百餘，胄而入。
HCH_012_205_000248	文華等懼，欲勿許，宗憲強許之。
HCH_012_205_000249	海叩首伏罪，宗憲摩海頂，慰諭之。
HCH_012_205_000250	海自擇沈莊屯其眾。
HCH_012_205_000251	沈莊者東西各一，以河為塹。
HCH_012_205_000252	宗憲居海東莊，以西莊處東黨。
HCH_012_205_000253	令東致書其黨曰：「督府檄海，夕擒若屬矣。」
HCH_012_205_000254	東黨懼，乘夜將攻海。
HCH_012_205_000255	海挾兩妾走，間道中槊。
HCH_012_205_000256	明日，官軍圍之，海投水死。
HCH_012_205_000257	會盧鏜亦擒辛五郎至。
HCH_012_205_000258	辛五郎者，大隅島主弟也。
HCH_012_205_000259	遂俘洪、東、葉、五郎及海首獻京師。
HCH_012_205_000260	帝大悅，行告廟禮，加宗憲右都御史，賜金幣加等。
HCH_012_205_000261	海余黨奔舟山。
