HCH_011_006_000073	丁巳，以郢州刺史徐度爲領軍將軍。
HCH_011_006_000074	冬十一月乙卯，起雲龍、神虎門。
HCH_011_006_000075	十二月壬申，進太尉、鎮南將軍蕭勃爲太保、驃騎將軍。
HCH_011_006_000076	以新除左衛將軍歐陽頠爲安南將軍、衡州刺史。
HCH_011_006_000077	壬午，平南將軍劉法瑜進號安南將軍。
HCH_011_006_000078	甲午，以前壽昌令劉叡爲汝陰王，前鎮西法曹、行參軍蕭紞爲巴陵王，奉宋、齊二代后。
HCH_011_006_000079	二年春正月壬寅，詔曰：「夫子降靈體喆，經仁緯義，允光素王，載闡玄功，仰之者彌高，誨之者不倦。立忠立孝，德被蒸民，制禮作樂，道冠羣后。雖泰山頹峻，一簣不遺，而泗水餘瀾，千載猶在。自皇圖屯阻，祀薦不脩，奉聖之門，胤嗣殲滅，敬神之寢，簠簋寂寥。永言聲烈，實兼欽愴。外可搜舉魯國之族，以爲奉聖後；並繕廟堂，供備祀典，四時薦秩，一皆遵舊。」
HCH_011_006_000080	是日，又詔「諸州各置中正，依舊訪舉。不得輒承單狀序官，皆須中正押上，然後量授。詳依品制，務使精實。其荊、雍、青、兗雖暫爲隔閡，衣冠多寓淮海，猶宜不廢司存。會計罷州，尚爲大郡，人士殷曠，可別置邑居。至如分割郡縣，新號州牧，並系本邑，不勞兼置。其選中正，每求耆德，該悉以他官領之。」
HCH_011_006_000081	以車騎將軍、開府儀同三司王琳爲司空、驃騎大將軍。
HCH_011_006_000082	分尋陽、太原、齊昌、高唐、新蔡五郡，置西江州，卽於尋陽仍充州鎮。
HCH_011_006_000083	又詔「宗室在朝開國承家者，今猶稱世子，可悉聽襲本爵。」
HCH_011_006_000084	以尚書右僕射王通爲尚書左僕射。
HCH_011_006_000085	丁巳，鎮西將軍、益州刺史長沙王韶進號征南將軍。
HCH_011_006_000086	二月庚午，領軍將軍徐度入東關。
HCH_011_006_000087	太保、廣州刺史蕭勃舉兵反，遣偽帥歐陽頠、傅泰、勃從子孜爲前軍，南江州刺史余孝頃以兵會之。
HCH_011_006_000088	詔平西將軍周文育、平南將軍侯安都等率衆軍南討。
HCH_011_006_000089	戊子，徐度至合肥，燒齊船三千艘。
HCH_011_006_000090	癸巳，周文育軍于巴山生獲歐陽頠。
HCH_011_006_000091	三月庚子，文育前軍丁法洪于蹠口生俘傅泰。
HCH_011_006_000092	蕭孜、余孝頃軍退走。
HCH_011_006_000093	甲辰，以新除司空王琳爲湘、郢二州刺史。
HCH_011_006_000094	甲寅，德州刺史陳法武、前衡州刺史譚世遠於始興攻殺蕭勃。
