HCH_010_039_000153	晋国长公主以媵户置，军曰长庆，隶上京。
HCH_010_039_000154	复改军名。
HCH_010_039_000155	统县一：同昌县。
HCH_010_039_000156	兴中府。
HCH_010_039_000157	本霸州彰武军，节度。
HCH_010_039_000158	古孤竹国。
HCH_010_039_000159	汉柳城县地。
HCH_010_039_000160	慕容皝以柳城之北，龙山之南，福德之地，乃筑龙城，构宫庙，改柳城为龙城县，遂迁都，号曰和龙宫。
HCH_010_039_000161	慕容垂复居焉，后为北跋所灭。
HCH_010_039_000162	元魏取为辽西郡。
HCH_010_039_000163	隋平高保宁，置营州。
HCH_010_039_000164	炀帝废州置柳城郡。
HCH_010_039_000165	唐武德初改营州总管府，寻为都督府。
HCH_010_039_000166	万岁通天中，陷李万荣。
HCH_010_039_000167	神龙初，移府幽州。
HCH_010_039_000168	开元四年，复治柳城。
HCH_010_039_000169	八年，西徙渔阳。
HCH_010_039_000170	十年，还柳城。
HCH_010_039_000171	后为奚所据。
HCH_010_039_000172	太祖平奚及俘燕民，将建城，命韩知方择其处。
HCH_010_039_000173	乃完葺柳城，号霸州彰武军，节度。
HCH_010_039_000174	统和中，制置建、霸、宜、锦、白川等五州。
HCH_010_039_000175	寻落制置，隶积庆宫。
HCH_010_039_000176	后属兴圣宫。
HCH_010_039_000177	重熙十年升兴中府。
HCH_010_039_000178	有大华山、小华山、香高山、麝香崖，天授皇帝刻石在焉，驻龙峪、神射泉、小灵河。
HCH_010_039_000179	统州二、县四：兴中县。
HCH_010_039_000180	本汉柳城县地。
HCH_010_039_000181	太祖掠汉民居此，建霸城县。
HCH_010_039_000182	重熙中置府，更名。
HCH_010_039_000183	营丘县。
HCH_010_039_000184	析霸城置。
HCH_010_039_000185	象雷县。
HCH_010_039_000186	开泰二年以麦务川置。
HCH_010_039_000187	初隶中京。
HCH_010_039_000188	后属。
HCH_010_039_000189	闾山县。
HCH_010_039_000190	本汉且虑县。
HCH_010_039_000191	开泰二年以罗家军置。
HCH_010_039_000192	隶中京，后属。
HCH_010_039_000193	安德州，化平军，下，刺史。
HCH_010_039_000194	以霸州安德县置，来属。
HCH_010_039_000195	统县一：安德县。
HCH_010_039_000196	统和八年析霸城东南龙山徒河境户置。
HCH_010_039_000197	初隶乾州，更属霸州，置州来属。
HCH_010_039_000198	黔州，阜昌军，下，刺史。
HCH_010_039_000199	本汉辽西郡地。
HCH_010_039_000200	太祖平渤海，以所俘户居之，隶黑水河提辖司。
HCH_010_039_000201	安帝置州，析宜、霸二州汉户益之。
HCH_010_039_000202	初隶永兴宫，更隶中京，后置府，来属。
HCH_010_039_000203	统县一：盛吉县。
HCH_010_039_000204	太祖平渤海，俘兴州盛吉县民来居，因置县。
HCH_010_039_000205	宜州，崇义军，上，节度。
HCH_010_039_000206	本辽西累县地。
HCH_010_039_000207	东丹王每秋畋于此。
HCH_010_039_000208	兴宗以定州俘户建州。
HCH_010_039_000209	有坟山，松柏连亘百余里，禁樵采，浚河，累石为堤。
HCH_010_039_000210	隶积庆宫。
HCH_010_039_000211	统县二：弘政县。
HCH_010_039_000212	世宗以定州俘户置。
HCH_010_039_000213	民工织纴，多技巧。
HCH_010_039_000214	闻义县。
HCH_010_039_000215	世宗置。
HCH_010_039_000216	初隶海北州，后来属。
HCH_010_039_000217	锦州，临海军，中，节度。
HCH_010_039_000218	本汉辽东无虑县。
HCH_010_039_000219	慕容皝置西乐县。
HCH_010_039_000220	太祖以汉俘建州。
HCH_010_039_000221	有大胡僧山、小胡僧山、大查牙山、小查牙山、淘河岛。
HCH_010_039_000222	隶弘义宫。
HCH_010_039_000223	统州一、县二：永乐县。
HCH_010_039_000224	安昌县。
HCH_010_039_000225	岩州，保肃军，下，刺史。
HCH_010_039_000226	本汉海阳县地。
HCH_010_039_000227	太祖平渤海，迁汉户杂居兴州境，圣宗于此建城焉。
HCH_010_039_000228	隶弘义宫，来属。
HCH_010_039_000229	统县一：兴城县。
HCH_010_039_000230	川州，长宁军，中，节度。
HCH_010_039_000231	本唐青山州地。
HCH_010_039_000232	太祖弟明王安端置。
HCH_010_039_000233	会同三年，诏为白川州。
HCH_010_039_000234	安端子察割以大逆诛，没入，省曰川州。
HCH_010_039_000235	初隶崇德宫，统和中属文忠王府。
HCH_010_039_000236	统县三：弘理县。
HCH_010_039_000237	统和八年以诸宫提辖司户置。
HCH_010_039_000238	咸康县。
HCH_010_039_000239	宜民县。
HCH_010_039_000240	统和中置。
HCH_010_039_000241	建州，保静军，上，节度。
HCH_010_039_000242	唐武德中，置昌乐县。
HCH_010_039_000243	太祖完葺故垒，置州。
HCH_010_039_000244	汉乾祐元年，故石晋太后诣世宗，求于汉城侧耕垦自赡。
HCH_010_039_000245	许于建州南四十里给地五十顷，营构房室，创立宗庙。
HCH_010_039_000246	州在灵河之南，屡遭水害，圣宗迁于河北康崇州故城。
HCH_010_039_000247	初名武宁军，隶永兴宫，后属敦睦宫。
HCH_010_039_000248	统县二：永霸县。
HCH_010_039_000249	永康县。
HCH_010_039_000250	本唐昌黎县地。
HCH_010_039_000251	来州，归德军，下，节度。
HCH_010_039_000252	圣宗以女直五部岁饥来归，置州居之。
HCH_010_039_000253	初刺史，后升。
HCH_010_039_000254	隶永兴宫。
HCH_010_039_000255	有三州山、六州山、五脂山。
HCH_010_039_000256	统州二、县一：来宾县。
HCH_010_039_000257	本唐来远县地。
HCH_010_039_000258	隰州，平海军，下，刺史。
HCH_010_039_000259	慕容皝置集宁县。
HCH_010_039_000260	圣宗括帐户迁信州，大雪不能进，建城于此，置焉。
HCH_010_039_000261	隶兴圣宫，来属。
HCH_010_039_000262	统县一：海浜县。
HCH_010_039_000263	本汉县。
HCH_010_039_000264	濒海，地多碱卤，置盐场于此。
HCH_010_039_000265	迁州，兴善军，下，刺史。
HCH_010_039_000266	本汉阳乐县地。
HCH_010_039_000267	圣宗平大延琳，迁归州民置，来属。
HCH_010_039_000268	有箭笴山。
HCH_010_039_000269	统县一：迁民县。
HCH_010_039_000270	润州，海阳军，下，刺史。
HCH_010_039_000271	圣宗平大延琳，迁宁州之民居此，置州。
HCH_010_039_000272	统县一：海阳县。
HCH_010_039_000273	本汉阳乐县地，迁润州，本东京城内渤海民户，因叛，移于此。
HCH_010_039_000274	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
