HCH_012_197_000099	預修《武宗實錄》成，當進秩。
HCH_012_197_000100	內閣費宏以春由他官入，與檢討劉夔並擬按察僉事。
HCH_012_197_000101	夔亦故御史，以避兄侍郎龍改授者也。
HCH_012_197_000102	書大怒，疏言：「故事，無纂修書成出為外任者。」
HCH_012_197_000103	帝以書故留春，擢修撰，而夔亦留，擢編修。
HCH_012_197_000104	書由是怨宏，數詆諆。
HCH_012_197_000105	及書卒，帝念其議禮功，累進春翰林學士。
HCH_012_197_000106	嘉靖十二年由禮部右侍郎改吏部。
HCH_012_197_000107	詔舉堪翰林者，春欲召還故翰林楊惟聰、陳沂，尚書汪鋐不可，遂有隙。
HCH_012_197_000108	後鋐有所推舉，不與春議，春怒詬鋐。
HCH_012_197_000109	鋐訐春前附楊廷和排議禮諸臣，遂落職。
HCH_012_197_000110	卒於家。
HCH_012_197_000111	篆為戶科給事中。
HCH_012_197_000112	黔國公沐昆劾按察使沈恩等，篆與同官李長私語昆奏多誣，長即劾昆。
HCH_012_197_000113	武宗責長誣重臣，下詔獄。
HCH_012_197_000114	詞連篆，並系治謫外，篆得夷陵判官。
HCH_012_197_000115	世宗嗣位，復故官，未上卒。
HCH_012_197_000116	予祭，贈光祿少卿。
HCH_012_197_000117	霍韜，字渭先，南海人。
HCH_012_197_000118	舉正德九年會試第一。
HCH_012_197_000119	謁歸成婚，讀書西樵山，經史淹洽。
HCH_012_197_000120	世宗踐阼，除職方主事。
HCH_012_197_000121	楊廷和方柄政，韜上言：「閣臣職參機務，今止票擬，而裁決歸近習。輔臣失參贊之權，近習起幹政之漸。自今章奏，請召大臣面決施行，講官、臺諫，班列左右，眾議而公駁之。宰相得取善之名，內臣免招權之謗。」
HCH_012_197_000122	因言錦衣不當典刑獄，東廠不當預朝議，撫按兵備官不當以軍功授秩蔭，興府護衛軍不當盡取入京概授官職，御史謝源、伍希儒赴難有功不當罷黜，平逆藩功自安慶、南昌外，不當濫敘。
HCH_012_197_000123	帝嘉納之。
HCH_012_197_000124	及「大禮」議起，禮部尚書毛澄力持考孝宗，韜私為《大禮議》駁之。
HCH_012_197_000125	澄貽書相質難，韜三上書極辨其非。
HCH_012_197_000126	已，知澄意不可回，其年十月上疏曰：按廷議謂陛下宜以孝宗為父，興獻王為叔，別擇崇仁王子為獻王後，考之古禮則不合，質之聖賢之道則不通，揆之今日之事體則不順。
HCH_012_197_000127	考《儀禮·喪服》章雲「斬衰為所後者」。
HCH_012_197_000128	又雲「為人後者，為其父母報」。
HCH_012_197_000129	是於所後者，蓋無稱為父母之說，而於本生父母又無改稱伯叔父母之雲也。
HCH_012_197_000130	漢儒不明其義，謬為邪說曰「為人後者為之子」。
HCH_012_197_000131	果如其言，則漢宣帝當為昭帝後矣。
HCH_012_197_000132	然昭帝從祖也，宣帝從孫也，孫將謂祖為父，可乎？
HCH_012_197_000133	唐宣宗當為武宗後矣，然武宗侄也，宣宗叔也，叔反謂侄為父，可乎？
HCH_012_197_000134	吳諸樊兄弟四人以國相授受，蓋叠相為後矣，是兄弟自具高曾祖考也，而可乎？
HCH_012_197_000135	故曰考之古禮則不合也。
HCH_012_197_000136	天下者，天下之天下，非一人所得私也。
HCH_012_197_000137	宋人之告其君曰：「仁宗於宗室中特簡聖明，授以大業，陛下所以負扆端冕，富有四海，子孫萬世相承，皆先帝之德。」
HCH_012_197_000138	蓋謂仁宗以天下授英宗，宜舍本生父母而以仁宗為父母也。
