HCH_009_009_000131	辛丑，沁州、丹州進嘉禾。
HCH_009_009_000132	丁未，次寶坻。
HCH_009_009_000133	庚戌，中侍石抹阿古誤帶刀入禁門，罪應死，詔杖八十。
HCH_009_009_000134	癸丑，至自寶坻。
HCH_009_009_000135	十一月己未，朝于隆慶宮。
HCH_009_009_000136	辛酉，以右宣徽院使裴滿余慶等為賀宋正旦使。
HCH_009_009_000137	癸亥，上謂宰臣曰：「今之用人，太拘資歷。循資之法，起于唐代，如此何以得人？」
HCH_009_009_000138	平章政事汝霖對曰：「不拘資格，所以待非常之材。」
HCH_009_009_000139	上曰：「崔祐甫為相，未逾年薦八百人，豈皆非常之材歟？」
HCH_009_009_000140	甲子，諭尚書省曰：「太傅年高，每趨朝而又赴省，恐不易。自今旬休外，四日一居休，庶得調攝。常事他相理問，惟大事白之可也。」
HCH_009_009_000141	戊辰，諭尚書省，自今五品以上官各舉所知，歲限所舉之數，如不舉者坐以蔽賢之罪。
HCH_009_009_000142	仍依唐制，內五品以上官到任即舉自代，並從提刑司採訪之。
HCH_009_009_000143	己巳，初制轉遞文字法。
HCH_009_009_000144	壬申，朝于隆慶宮。
HCH_009_009_000145	乙亥，命參知政事移剌履提控刊修《遼史》。
HCH_009_009_000146	丁丑，以西上閣門使移剌邴為高麗生日使。
HCH_009_009_000147	御史台奏：「故事，台官不得與人相見。蓋為親王、宰執、形勢之家，恐有私徇。然無以訪知民間利病、官吏善惡。」
HCH_009_009_000148	詔自今許與四品以下官相見，三品以上如故。
HCH_009_009_000149	辛巳，詔有司，今後諸處或有饑饉，令總管、節度使或提刑司先行賑貸或賑濟，然後言上。
HCH_009_009_000150	十二月丙戌朔，朝于隆慶宮，是月凡五朝。
HCH_009_009_000151	詔罷鑄錢。
HCH_009_009_000152	丁亥，密州進白雉。
HCH_009_009_000153	壬辰，諭有司，女直人及百姓不得用網捕野物，及不得放群雕枉害物命，亦恐女直人廢射也。
HCH_009_009_000154	戊戌，複置北京、遼東鹽使司，仍罷西京、解鹽巡捕使。
HCH_009_009_000155	以河東南、北路提刑司言，賑寧化、保德、嵐州饑，其流移複業，給複一年。
HCH_009_009_000156	是日，禁宮中上直官及承應人毋得飲酒。
HCH_009_009_000157	乙巳，祭奠興陵。
HCH_009_009_000158	壬子，諭台臣曰：「提刑司所舉劾多小過，行則失大體，不行則恐有所沮，其以此意諭之。」
HCH_009_009_000159	甲寅，宋、高麗、夏遣使來賀正旦。
HCH_009_009_000160	是冬，無雪。
HCH_009_009_000161	明昌元年春正月丙辰朔，改元。
HCH_009_009_000162	以世宗喪，不受朝賀。
