HCH_012_077_000128	貴州田無頃畝尺籍，悉徵之土官。
HCH_012_077_000129	而諸處土田，日久頗淆亂，與黃冊不符。
HCH_012_077_000130	弘治十五年，天下土田止四百二十二萬八千五十八頃，官田視民田得七之一。
HCH_012_077_000131	嘉靖八年，霍韞奉命修會典，言：「自洪武迄弘治百四十年，天下額田已減強半，而湖廣、河南、廣東失額尤多。非撥給於王府，則欺隱於猾民。廣東無籓府，非欺隱即委棄於寇賊矣。司國計者，可不究心？」
HCH_012_077_000132	是時，桂萼、郭弘化、唐能、簡霄先後疏請核實田畝，而顧鼎臣請履畝丈量，丈量之議由此起。
HCH_012_077_000133	江西安福、河南裕州首行之，而法未詳具，人多疑憚。
HCH_012_077_000134	其後福建諸州縣，為經、緯二冊，其法頗詳。
HCH_012_077_000135	然率以地為主，田多者猶得上下其手。
HCH_012_077_000136	神宗初，建昌知府許孚遠為歸戶冊，則以田從人，法簡而密矣。
HCH_012_077_000137	萬曆六年，帝用大學士張居正議，天下田畝通行丈量，限三載竣事。
HCH_012_077_000138	用開方法，以徑圍乘除，畸零截補。
HCH_012_077_000139	於是豪猾不得欺隱，裏甲免賠累，而小民無虛糧。
HCH_012_077_000140	總計田數七百一萬三千九百七十六頃，視弘治時贏三百萬頃。
HCH_012_077_000141	然居正尚綜核，頗以溢額為功。
HCH_012_077_000142	有司爭改小弓以求田多，或掊克見田以充虛額。
HCH_012_077_000143	北直隸、湖廣、大同、宣府，遂先後按溢額田增賦云。
HCH_012_077_000144	屯田之制：曰軍屯，曰民屯。
HCH_012_077_000145	太祖初，立民兵萬戶府，寓兵於農，其法最善。
HCH_012_077_000146	又令諸將屯兵龍江諸處，惟康茂才績最，乃下令褒之，因以申飭將士。
HCH_012_077_000147	洪武三年，中書省請稅太原、朔州屯卒，命勿徵。
HCH_012_077_000148	明年，中書省言：「河南、山東、北平、陝西、山西及直隸淮安諸府屯田，凡官給牛種者十稅五，自備者十稅三。」
HCH_012_077_000149	詔且勿徵，三年後畝收租一斗。
HCH_012_077_000150	六年，太僕丞樑埜仙帖木爾言：「寧夏境內及四川西南至船城，東北至塔灘，相去八百里，土膏沃，宜招集流亡屯田。」
HCH_012_077_000151	從之。
HCH_012_077_000152	是時，遣鄧愈、湯和諸將屯陝西、彰德、汝甯、北平、永平，徙山西真定民屯鳳陽。
HCH_012_077_000153	又因海運餉遼有溺死者，遂益講屯政，天下衛所州縣軍民皆事墾闢矣。
HCH_012_077_000154	其制，移民就寬鄉，或召募或罪徙者為民屯，皆領之有司，而軍屯則領之衛所。
HCH_012_077_000155	邊地，三分守城，七分屯種。
HCH_012_077_000156	內地，二分守城，八分屯種。
HCH_012_077_000157	每軍受田五十畝為一分，給耕牛、農具，教樹植，復租賦，遣官勸輸，誅侵暴之吏。
HCH_012_077_000158	初畝稅一斗。
HCH_012_077_000159	三十五年定科則：軍田一分，正糧十二石，貯屯倉，聽本軍自支，餘糧為本衛所官軍俸糧。
HCH_012_077_000160	永樂初，定屯田官軍賞罰例：歲食米十二石外餘六石為率，多者賞鈔，缺者罰俸。
HCH_012_077_000161	又以田肥瘠不同，法宜有別，命官軍各種樣田，以其歲收之數相考較。
HCH_012_077_000162	太原左衛千戶陳淮所種樣田，每軍餘糧二十三石，帝命重賞之。
HCH_012_077_000163	寧夏總兵何福積谷尤多，賜敕褒美。
HCH_012_077_000164	戶部尚書鬱新言：「湖廣諸衛收糧不一種，請以米為準。凡粟穀穈黍大麥蕎穄二石，稻穀薥秫二石五斗，穇稗三石，皆準米一石。小麥芝麻豆與米等。」
HCH_012_077_000165	從之，著為令。
HCH_012_077_000166	又更定屯守之數。
HCH_012_077_000167	臨邊險要，守多於屯。
HCH_012_077_000168	地僻處及輸糧艱者，屯多於守，屯兵百名委百戶，三百名委千戶，五百名以上指揮提督之。
HCH_012_077_000169	屯設紅牌，列則例於上。
HCH_012_077_000170	年六十與殘疾及幼者，耕以自食，不限於例。
HCH_012_077_000171	屯軍以公事妨農務者，免徵子粒，且禁衛所差撥。
HCH_012_077_000172	於時，東自遼左，北抵宣、大，西至甘肅，南盡滇、蜀，極於交阯，中原則大河南北，在在興屯矣。
HCH_012_077_000173	宣宗之世，屢核各屯，以征戍罷耕及官豪勢要佔匿者，減餘糧之半。
HCH_012_077_000174	迤北來歸就屯之人，給車牛農器。
HCH_012_077_000175	分遼東各衛屯軍為三等，丁牛兼者為上，丁牛有一為中，俱無者為下。
HCH_012_077_000176	英宗免軍田正糧歸倉，止徵餘糧六石。
