HCH_012_151_000278	七年進尚書，扈從北京，兼掌行在吏部事。
HCH_012_151_000279	明年從北征，與學士胡廣、金幼孜、楊榮，侍郎金純並與機密。
HCH_012_151_000280	自後帝北巡，賓輒扈從。
HCH_012_151_000281	十九年，議親征。
HCH_012_151_000282	尚書夏原吉、吳中、呂震與賓共議，宜且休兵養民。
HCH_012_151_000283	未奏，會帝召賓，賓言糧餉不足，召原吉，亦以不給對。
HCH_012_151_000284	帝怒，遣原吉視糧開平，旋召還下獄。
HCH_012_151_000285	賓方提調靈濟宮。
HCH_012_151_000286	中使進香至，語賓以帝怒。
HCH_012_151_000287	賓懼，自縊死。
HCH_012_151_000288	帝實無意殺賓，聞賓死，乃益怒，戮其屍。
HCH_012_151_000289	吳中，字思正，武城人。
HCH_012_151_000290	洪武末，為營州後屯衛經歷。
HCH_012_151_000291	成祖取大寧，迎降。
HCH_012_151_000292	以轉餉捍禦功，累遷至右都御史。
HCH_012_151_000293	永樂五年，改工部尚書。
HCH_012_151_000294	從北征，艱歸。
HCH_012_151_000295	起復，改刑部。
HCH_012_151_000296	十九年，與夏原吉、方賓等同以言北征餉絀，忤旨繫獄。
HCH_012_151_000297	仁宗即位，出之，復其官，兼詹事，加太子少保。
HCH_012_151_000298	宣德元年從征樂安。
HCH_012_151_000299	三年坐以官木石遺中官楊慶作宅，下獄，落宮保，奪祿一年。
HCH_012_151_000300	正統六年，殿工成，進少師。
HCH_012_151_000301	明年卒，年七十。
HCH_012_151_000302	追封茌平伯，謚榮襄。
HCH_012_151_000303	中勤敏多計算。
HCH_012_151_000304	先後在工部二十餘年，北京宮殿，長、獻、景三陵，皆中所營造。
HCH_012_151_000305	職務填委，規畫井然。
HCH_012_151_000306	然不恤工匠，又湛於聲色，時論鄙之。
HCH_012_151_000307	劉觀，雄縣人。
HCH_012_151_000308	洪武十八年進士。
HCH_012_151_000309	授太谷縣丞，以薦擢監察御史。
HCH_012_151_000310	三十年遷署左僉都御史。
HCH_012_151_000311	坐事下獄，尋釋。
HCH_012_151_000312	出為嘉興知府，丁父憂去。
HCH_012_151_000313	永樂元年，擢雲南按察使，未行，拜戶部右侍郎。
HCH_012_151_000314	二年調左副都御史。
HCH_012_151_000315	時左都御史陳瑛殘刻，右都御史吳中寬和，觀委蛇二人間，務為容悅。
HCH_012_151_000316	四年，北京營造宮室，觀奉命采木浙江，未幾還。
HCH_012_151_000317	明年冬，帝以山西旱，命觀馳傳往，散遣采木軍民。
HCH_012_151_000318	六年，鄭賜卒，擢禮部尚書。
HCH_012_151_000319	十二月與刑部尚書呂震易官。
HCH_012_151_000320	坐事為皇太子譴責。
HCH_012_151_000321	帝在北京聞之，以大臣有小過，不宜遽折辱，特賜書諭太子。
HCH_012_151_000322	八年，都督僉事費瓛討涼州叛羌，命觀贊軍事。
HCH_012_151_000323	還，坐事，謫本部吏。
HCH_012_151_000324	十三年還職，改左都御史。
HCH_012_151_000325	十五年督浚河漕。
HCH_012_151_000326	十九年命巡撫陜西，考察官吏。
HCH_012_151_000327	仁宗嗣位，兼太子賓客，旋加太子少保，給二俸。
HCH_012_151_000328	時大理少卿弋謙數言事，帝厭其繁瑣。
HCH_012_151_000329	尚書呂震、大理卿虞謙希旨劾奏，觀復令十四道御史論其誣妄，以是為輿論所鄙。
HCH_012_151_000330	時未有官妓之禁。
HCH_012_151_000331	宣德初，臣僚宴樂，以奢相尚，歌妓滿前。
HCH_012_151_000332	觀私納賄賂，而諸御史亦貪縱無忌。
HCH_012_151_000333	三年六月朝罷，帝召大學士楊士奇、楊榮至文華門，諭曰：「祖宗時，朝臣謹飭。年來貪濁成風，何也？」
HCH_012_151_000334	士奇對曰：「永樂末已有之，今為甚耳。」
HCH_012_151_000335	榮曰：「永樂時，無逾方賓。」
HCH_012_151_000336	帝問：「今日誰最甚者？」
HCH_012_151_000337	榮對曰：「劉觀。」
HCH_012_151_000338	又問：「誰可代者？」
HCH_012_151_000339	士奇、榮薦通政使顧佐。
HCH_012_151_000340	帝乃出觀視河道，以佐為右都御史。
HCH_012_151_000341	於是御史張循理等交章劾觀，並其子輻諸贓汙不法事。
HCH_012_151_000342	帝怒，逮觀父子，以彈章示之。
HCH_012_151_000343	觀疏辯。
HCH_012_151_000344	帝益怒，出廷臣先後密奏，中有枉法受賕至千金者。
HCH_012_151_000345	觀引伏，遂下錦衣衛獄。
HCH_012_151_000346	明年將置重典。
HCH_012_151_000347	士奇、榮乞貸其死。
HCH_012_151_000348	乃謫輻戍遼東，而命觀隨往，觀竟客死。
HCH_012_151_000349	七年，士奇請命風憲官考察奏罷有司之貪汙者，帝曰：「然。向使不罷劉觀，風憲安得肅。」
HCH_012_151_000350	贊曰：成祖封茹常，以事太祖有功。
HCH_012_151_000351	然考之，未有所表見，意史軼之歟？
HCH_012_151_000352	嚴震直之於廣西，張紞之於雲南，治效卓然。
HCH_012_151_000353	王鈍、鄭賜為方伯、監司，聲績頗著。
HCH_012_151_000354	至其晚節，皆不克自振，惜夫。
HCH_012_151_000355	郭資、呂震之徒，有幹濟才，而操行無取。
HCH_012_151_000356	李至剛之險，吳中、劉觀之墨，又不足道矣。
