HCH_012_179_000176	尋以言官論救，改南京行人司副。
HCH_012_179_000177	居三年，母憂去。
HCH_012_179_000178	繼丁父憂，哀毀，喪除不復出。
HCH_012_179_000179	卜居定山二十餘年，學者稱「定山先生」。
HCH_012_179_000180	巡撫王恕嘗欲葺其廬，辭之。
HCH_012_179_000181	昶生平不尚著述，有自得，輒見之於詩。
HCH_012_179_000182	薦章十餘上，部檄屢趣，俱不赴。
HCH_012_179_000183	大學士邱濬素惡昶，語人曰：「率天下士背朝廷者，昶也。」
HCH_012_179_000184	弘治七年有薦昶者，奉詔起用。
HCH_012_179_000185	昶念濬當國，不出且得罪，強起入都。
HCH_012_179_000186	大學士徐溥語郎中邵寶曰：「定山故翰林，復之。」
HCH_012_179_000187	濬聞曰：「我不識所謂定山也。」
HCH_012_179_000188	乃復以為行人司副。
HCH_012_179_000189	俄遷南京吏部郎中。
HCH_012_179_000190	得風疾。
HCH_012_179_000191	明年乞身歸，部臣不為奏。
HCH_012_179_000192	又明年京祭，尚書倪嶽以老疾罷之。
HCH_012_179_000193	居二年卒，年六十三。
HCH_012_179_000194	天啟初，追謚文節。
HCH_012_179_000195	鄒智，字汝愚，合州人。
HCH_012_179_000196	年十二能文。
HCH_012_179_000197	家貧，讀書焚木葉繼晷者三年。
HCH_012_179_000198	舉成化二十二年鄉試第一。
HCH_012_179_000199	時帝益倦於政，而萬安、劉吉、尹直居政府，智憤之。
HCH_012_179_000200	道出三原，謁致仕尚書王恕，慨然曰：「治天下，在進君子退小人。方今小人在位，毒痡四海，而公顧屏棄田裏。智此行非為科名，欲上書天子，別白賢奸，拯斯民於塗炭耳。」
HCH_012_179_000201	恕奇其言，笑而不答。
HCH_012_179_000202	明年登進士。
HCH_012_179_000203	改庶吉士。
HCH_012_179_000204	遂上疏曰：陛下於輔臣，遇事必咨，殊恩異數必及，亦雲任矣。
HCH_012_179_000205	然或進退一人，處分一事，往往降中旨，使一二小人陰執其柄，是既任之而又疑之也。
HCH_012_179_000206	陛下豈不欲推誠待物哉？
HCH_012_179_000207	由其進身之初，多出私門，先有以致陛下之厭薄。
HCH_012_179_000208	及與議事，又唯諾惟謹，伈々伣々，若有所不敢，反不如一二俗吏足以任事。
HCH_012_179_000209	此陛下所為疑也，臣竊以為過矣。
HCH_012_179_000210	昔宋仁宗知夏竦懷詐則黜之，知呂夷簡能改過則容之；知杜衍、韓琦、範仲淹、富弼可任則不次擢之。
HCH_012_179_000211	故能北拒契丹，西臣元昊。
HCH_012_179_000212	未聞一任一疑，可以成天下事也。
HCH_012_179_000213	願陛下察孰為竦，孰為夷簡，而黜之容之，孰為衍、琦、仲淹、弼而擢之，日與講論治道，不使小人得參其間，則天工亮矣。
HCH_012_179_000214	臣又聞天下事惟輔臣得議，惟諫官得言。
HCH_012_179_000215	諫官雖卑，與輔臣等。
HCH_012_179_000216	乃今之諫官以軀體魁梧為美，以應對捷給為賢，以簿書刑獄為職業。
HCH_012_179_000217	不畏天變，不恤人窮。
HCH_012_179_000218	或以忠義激之，則曰：「吾非不欲言，言出則禍隨，其誰吾聽？」
HCH_012_179_000219	嗚呼！
HCH_012_179_000220	既不能盡言效職，而復引過以歸於上。
HCH_012_179_000221	有人心者固如是乎？
HCH_012_179_000222	臣願罷黜浮冗，廣求風節之臣。
HCH_012_179_000223	令仗下糾彈，入閣參議。
HCH_012_179_000224	或請對，或輪對，或非時召對，霽色接之，溫言導之，使得畢誠盡蘊，則天聽開矣。
HCH_012_179_000225	臣又聞汲黯在朝，淮南寢謀，君子之有益人國也大矣。
HCH_012_179_000226	以陛下之聰明，寧不知君子可任而故屈抑之哉？
HCH_012_179_000227	乃小人巧讒間以中傷之耳。
HCH_012_179_000228	今碩德如王恕，忠鯁如強珍，亮直剛方如章懋、林俊、張吉，皆一時人望，不宜貶錮，負上天生才之意。
HCH_012_179_000229	陛下誠召此數人，置要近之地，使各盡其平生，則天心協矣。
HCH_012_179_000230	臣又聞高皇帝制閽寺，惟給掃除，不及以政。
HCH_012_179_000231	近者舊章日壞，邪徑日開，人主大權盡出其手。
HCH_012_179_000232	內倚之為相，外倚之為將，藩方倚之為鎮撫，伶人賤工倚之以作奇技淫巧，法王佛子倚之以恣出入宮禁，此豈高皇帝所許哉！
HCH_012_179_000233	願陛下以宰相為股肱，以諫官為耳目，以正人君子為腹心，深思極慮，定宗社長久之計，則大綱正矣。
HCH_012_179_000234	然其本則在陛下明理何如耳。
HCH_012_179_000235	竊聞侍臣進講無反復論辨之功，陛下聽講亦無從容沃心之益。
HCH_012_179_000236	如此而欲明理以應事，臣不信也。
HCH_012_179_000237	願陛下念義理之難窮，惜日月之易邁，考之經史，驗之身心，使終歲無間，則聖學明而萬事畢治，豈特四事之舉措得其當已耶。
HCH_012_179_000238	疏入，不報。
HCH_012_179_000239	智既慷慨負奇，其時御史湯鼐、中書舍人吉人、進士李文祥亦並負意氣，智皆與之善。
HCH_012_179_000240	因相與品核公卿，裁量人物。
HCH_012_179_000241	未幾，孝宗嗣位，弊政多所更。
