HCH_012_194_000129	詔以地十頃給豹房，余令百戶趙愷等佃如故。
HCH_012_194_000130	奉詔上各宮莊田數，視舊籍不同，帝詰其故。
HCH_012_194_000131	交言：「舊籍多以奏請投獻，數多妄報也。新籍少，以奉命清核，田多除豁也。」
HCH_012_194_000132	帝意稍解，令考成、弘間籍以聞。
HCH_012_194_000133	交年已七十，連章乞罷。
HCH_012_194_000134	帝輒慰留，遣醫視療。
HCH_012_194_000135	請益力，乃許之。
HCH_012_194_000136	手詔加太子太保，馳驛。
HCH_012_194_000137	令子編修元侍行，有司時存問，給食米輿隸，復賜道里費。
HCH_012_194_000138	卒年八十，謚榮僖。
HCH_012_194_000139	交言論恂恂，不以勢位驕人。
HCH_012_194_000140	清慎恬愨，終始一致。
HCH_012_194_000141	初在南京，僚友以事簡多暇，相率談諧飲弈為樂，交默處一室，讀書不輟。
HCH_012_194_000142	或以為言，交曰：「對聖賢語，不愈於賓客、妻妾乎！」
HCH_012_194_000143	興獻王素愛重交，嘗割陽春臺東偏地益其宅。
HCH_012_194_000144	後中官言孫尚書侵地，世宗曰：「此先皇所賜，吾敢奪耶？」
HCH_012_194_000145	元，進士，終四川副使。
HCH_012_194_000146	謹厚有父風。
HCH_012_194_000147	林俊，字待用，莆田人。
HCH_012_194_000148	成化十四年進士。
HCH_012_194_000149	除刑部主事，進員外郎。
HCH_012_194_000150	性侃直，不隨俗浮湛。
HCH_012_194_000151	事涉權貴，尚書林聰輒屬俊治之。
HCH_012_194_000152	上疏請斬妖僧繼曉並罪中貴梁芳，帝大怒，下詔獄考訊。
HCH_012_194_000153	後府經歷張黻救之，並下獄。
HCH_012_194_000154	太監懷恩力救，俊得謫姚州判官，黻師宗知州。
HCH_012_194_000155	時言路久塞，兩人直聲震都下，為之語曰：「御史在刑曹，黃門出後府。」
HCH_012_194_000156	尋以正月朔星變，帝感悟，復俊官，改南京。
HCH_012_194_000157	弘治元年用薦擢雲南副使。
HCH_012_194_000158	鶴慶玄化寺稱有活佛，歲時集士女萬人，爭以金塗其面。
HCH_012_194_000159	俊命焚之，得金悉以償民逋。
HCH_012_194_000160	又毀淫祠三百六十區，皆撤其材修學宮。
HCH_012_194_000161	幹崖土舍刀怕愈欲奪從子宣撫官，劫其印數年。
HCH_012_194_000162	俊檄諭之，遂歸印。
HCH_012_194_000163	進按察使。
HCH_012_194_000164	五年調湖廣。
HCH_012_194_000165	以雨雪災異上疏陳時政得失。
