HCH_010_027_000111	秋七月癸巳，阻卜來貢。
HCH_010_027_000112	甲午，如黑嶺。
HCH_010_027_000113	庚子，獵鹿角山。
HCH_010_027_000114	冬十月乙亥，宋與夏通好，遣劉正符、曹穆來告。
HCH_010_027_000115	庚辰，以皇太叔、南京留守和魯斡兼惕隱，東京留守、越國王淳為南府宰相。
HCH_010_027_000116	十一月乙未，以謝家奴為南院大王，馬奴為奚六部大王。
HCH_010_027_000117	丙申，行柴冊禮。
HCH_010_027_000118	戊戌，大赦。
HCH_010_027_000119	以和魯斡為義和仁聖皇太叔，越國王淳進封魏國王，封皇子敖盧斡為晉王，習泥烈為饒樂郡王。
HCH_010_027_000120	己亥，謁太祖廟。
HCH_010_027_000121	甲辰，祠木葉山。
HCH_010_027_000122	十二月己巳，封耶律儼為漆水郡王，餘官進爵有差。
HCH_010_027_000123	七年春正月，鉤魚於鴨子河。
HCH_010_027_000124	二月，駐蹕大魚濼。
HCH_010_027_000125	夏六月，次散水原。
HCH_010_027_000126	秋七月，如黑嶺。
HCH_010_027_000127	冬十月，謁乾陵，獵醫巫閭山。
HCH_010_027_000128	是年，放進士李石等百人。
HCH_010_027_000129	八年春正月，如春州。
HCH_010_027_000130	夏四月丙申，封高麗王為三韓國公，贈其父為高麗國王。
HCH_010_027_000131	五月，清暑散水原。
HCH_010_027_000132	六月壬辰，西北路招討使蕭敵里率諸蕃來朝。
HCH_010_027_000133	丙申，射柳祈雨。
HCH_010_027_000134	壬寅，夏國王李乾順以成安公主生子，遣使來告。
HCH_010_027_000135	丁未，如黑嶺。
HCH_010_027_000136	秋七月戊辰，以雨罷獵。
HCH_010_027_000137	冬十二月己卯，高麗遣使來謝。
HCH_010_027_000138	九年春正月丙午朔，如鴨子河。
HCH_010_027_000139	二月，如春州。
HCH_010_027_000140	三月戊午，夏國以宋不歸地，遣使來告。
HCH_010_027_000141	夏四月壬午，五國部來貢。
HCH_010_027_000142	六月乙亥，清暑特禮嶺。
HCH_010_027_000143	秋七月，隕霜，傷稼。
HCH_010_027_000144	甲寅，獵于候里吉。
HCH_010_027_000145	八月丁酉，雪，罷獵。
HCH_010_027_000146	冬十月癸酉，望祠木葉山。
HCH_010_027_000147	丁丑，詔免今年租稅。
HCH_010_027_000148	十二月甲申，高麗遣使來貢。
HCH_010_027_000149	是年，放進士劉楨等九十人。
HCH_010_027_000150	十年春正月辛丑，預行立春禮。
HCH_010_027_000151	如鴨子河。
HCH_010_027_000152	二月庚午朔，駐蹕大魚濼。
HCH_010_027_000153	夏四月丙子，五國部長來貢。
HCH_010_027_000154	丙戌，預行再生禮。
HCH_010_027_000155	癸巳，獵於北山。
HCH_010_027_000156	六月甲戌，清暑玉丘。
HCH_010_027_000157	癸未，夏國遣李造福等來貢。
HCH_010_027_000158	甲午，阻卜來貢。
HCH_010_027_000159	秋七月辛丑，謁慶陵。
HCH_010_027_000160	閏月辛亥，謁懷陵。
HCH_010_027_000161	己未，謁祖陵。
HCH_010_027_000162	壬戌，皇太叔和魯斡薨。
HCH_010_027_000163	九月甲戌，免重九節禮。
HCH_010_027_000164	冬十月，駐蹕藕絲澱。
HCH_010_027_000165	十二月己酉，改明年元。
HCH_010_027_000166	是歲，大饑。
HCH_010_027_000167	天慶元年春正月，鉤魚於鴨子河。
HCH_010_027_000168	二月，如春州。
HCH_010_027_000169	三月乙亥，五國部長來貢。
