HCH_012_041_000001	山東《禹貢》青、兗二州地。
HCH_012_041_000224	洪武元年屬徐州。
HCH_012_041_000225	二年七月屬濟寧府。
HCH_012_041_000226	十八年來屬。
HCH_012_041_000227	泗河在東，即運道也。
HCH_012_041_000228	北有菏水，一名五丈溝，東入泗。
HCH_012_041_000229	又東有谷亭鎮，嘉靖九年，黃河決於此。
HCH_012_041_000230	又南有塌場口，洪武、永樂間，爲運道所經。
HCH_012_041_000231	單府西南。
HCH_012_041_000232	元單州，屬濟寧路。
HCH_012_041_000233	洪武元年省州治單父縣入州。
HCH_012_041_000234	二年七月乃降州爲縣，屬濟寧府。
HCH_012_041_000235	十八年來屬。
HCH_012_041_000236	舊城在南，正德十四年五月因河決改遷。
HCH_012_041_000237	南濱大河。
HCH_012_041_000238	城武府西南。
HCH_012_041_000239	元屬曹州。
HCH_012_041_000240	洪武四年屬濟寧府。
HCH_012_041_000241	十八年來屬。
HCH_012_041_000242	縣城，正德十四年五月因河決改遷。
HCH_012_041_000243	南有故黃河，即洪武間之運道也，弘治後堙。
HCH_012_041_000244	濟寧州元任城縣，爲濟州治。
HCH_012_041_000245	至正八年罷濟州，徙濟寧路治此。
HCH_012_041_000246	太祖吳元年爲濟寧府。
HCH_012_041_000247	十八年降爲州，以州治任城縣省入。
HCH_012_041_000248	南臨會通河。
HCH_012_041_000249	西有馬腸湖。
HCH_012_041_000250	又東南有魯橋鎮巡檢司。
HCH_012_041_000251	東距府六十里。
HCH_012_041_000252	領縣三：嘉祥州東。
HCH_012_041_000253	元屬單州。
HCH_012_041_000254	洪武二年來屬。
HCH_012_041_000255	南有塔山。
HCH_012_041_000256	東有會通河。
HCH_012_041_000257	北有故黃河，一名塔章河，即塌場口之上流也。
HCH_012_041_000258	鉅野州西北。
HCH_012_041_000259	元爲濟寧路治，至正八年徙路治任城縣，以縣屬焉。
HCH_012_041_000260	南有高平山。
HCH_012_041_000261	東有鉅野澤，元末爲黃河所決，遂涸。
HCH_012_041_000262	東南有會通河。
HCH_012_041_000263	西南有故黃河，弘治後堙。
HCH_012_041_000264	西有安興集巡檢司。
HCH_012_041_000265	鄆城州西北。
HCH_012_041_000266	西有灉水，又有故黃河，又有故濟水在西南。
HCH_012_041_000267	東平州元東平路，直隸中書省。
HCH_012_041_000268	太祖吳元年爲府。
HCH_012_041_000269	七年十一月降爲州，屬濟寧府，以州治須城縣省入。
HCH_012_041_000270	十八年改屬。
HCH_012_041_000271	北有瓠山。
HCH_012_041_000272	東北有危山。
HCH_012_041_000273	西南有安山，亦曰安民山。
HCH_012_041_000274	下有積水湖，一名安山湖。
HCH_012_041_000275	山南有安山鎮，會通河所經也。
HCH_012_041_000276	汶水在南，西流入安山湖。
