HCH_010_004_000146	甲午，燔柴，禮畢，祠于神帳。
HCH_010_004_000147	丙申，遣使使晉。
HCH_010_004_000148	丙辰，詔契丹人授漢官者從漢儀，聽與漢人婚姻。
HCH_010_004_000149	丁巳，詔燕京皇城西南堞建涼殿。
HCH_010_004_000150	是冬，駐蹕于傘淀。
HCH_010_004_000151	四年春正月壬戌，以乙室、品卑、突軌三部鰥寡不能自存者，官為之配。
HCH_010_004_000152	丙子，南唐遣使來貢。
HCH_010_004_000153	庚辰，涅剌、烏隗部獻党項俘獲數。
HCH_010_004_000154	己丑，詔定征党項功。
HCH_010_004_000155	二月丙申，皇太子獲白獐。
HCH_010_004_000156	甲辰，晉遣使進香藥。
HCH_010_004_000157	丙子，鐵驪來貢。
HCH_010_004_000158	丁巳，詔有司編《始祖奇首可汗事跡》。
HCH_010_004_000159	己未，晉遣楊彥詢來貢。
HCH_010_004_000160	且言鎮州安重榮跋扈狀，遂留不遣。
HCH_010_004_000161	是月，晉鎮州安重榮執遼使者拽剌。
HCH_010_004_000162	三月，特授回鶻使闊里于越，並賜旌旗、弓劍、衣馬，餘賜有差。
HCH_010_004_000163	癸酉，晉以許祀南郊，遣使來謝，進黃金十鎰。
HCH_010_004_000164	夏四月己卯，晉遣使進櫻桃。
HCH_010_004_000165	五月庚辰，吐谷渾夷離堇蘇等叛入晉。
HCH_010_004_000166	遣牒蠟往諭晉及太原守臣。
HCH_010_004_000167	六月辛卯，振武軍節度副使趙崇逐其節度使耶律畫里，以朔州叛，附晉。
HCH_010_004_000168	丙午，命宣徽使褭古只赴朔州，以兵圍其城，有晉使至，請開壁，即勿聽，驛送闕下。
HCH_010_004_000169	秋七月癸亥，南唐遣使奉蠟丸書。
HCH_010_004_000170	丙寅，褭古只奏請遣使至朔令降，守者猶堅壁弗納。
HCH_010_004_000171	且言晉有貢物。
HCH_010_004_000172	命即以所貢物賜攻城將校。
HCH_010_004_000173	己巳，有司奏神纛車有蜂巢成蜜，史占之，吉。
HCH_010_004_000174	壬申，晉遣使進水晶硯。
HCH_010_004_000175	八月癸巳，南唐奉蠟丸書。
HCH_010_004_000176	庚子，晉遣使進犀弓、竹矢。
HCH_010_004_000177	吳越王遣使奉蠟丸書。
HCH_010_004_000178	九月壬申，有星孛于晉分。
HCH_010_004_000179	丁丑，幸歸化州。
HCH_010_004_000180	冬十月辛丑，有司奏燕、薊大熟。
HCH_010_004_000181	癸卯，吳越王遣使來貢。
HCH_010_004_000182	十一月丙寅，晉以討安重榮來告。
HCH_010_004_000183	庚午，吐谷渾請降，遣使撫諭。
HCH_010_004_000184	阻卜來貢，以其物賜左右。
HCH_010_004_000185	丙子，鴨淥江女直來貢。
HCH_010_004_000186	壬午，以永寧、天授二節及正旦、重午、冬至、臘並受賀，著令。
HCH_010_004_000187	十二月戊子，晉遣使來告山南節度使安從進反。
HCH_010_004_000188	詔以便宜討之。
HCH_010_004_000189	庚寅，南唐遣使奉蠟丸書。
HCH_010_004_000190	戊戌，晉遣王升鸞來貢。
HCH_010_004_000191	戊申，晉以敗安重榮來告，遂遣楊彥詢歸。
HCH_010_004_000192	辛亥，晉遣使乞罷戍兵，詔惕隱朔古班師。
HCH_010_004_000193	甲寅，攻拔朔州，遣控鶴指揮使諧里勞軍。
HCH_010_004_000194	時褭古只戰歿城下，上怒，命誅城中丁壯，仍以叛民上戶三十為褭古只部曲。
HCH_010_004_000195	五年春正月丙辰朔，上在歸化州，御行殿受群臣朝。
HCH_010_004_000196	以諸道貢物進太后及賜宗室百僚。
HCH_010_004_000197	戊午，詔求直言，北王府郎君耶律海思應詔，召對稱旨，特授宣徽使。
HCH_010_004_000198	詔政事令僧隱等以契丹戶分屯南邊。
HCH_010_004_000199	戊辰，晉函安重榮首來獻。
HCH_010_004_000200	上數欲親討重榮，至是乃止。
HCH_010_004_000201	癸酉，遣使使晉。
HCH_010_004_000202	是月，晉以朔州平，遣使來賀，遂遣客省使耶律化哥使晉，並致生辰禮。
HCH_010_004_000203	二月壬辰，上將南幸，以諸路有未平者，召太子及群臣議，皆曰：「今襄、鎮、朔三州雖已平，然吐谷渾為安重榮所誘，猶未歸命，宜發兵討之，以警諸部。」
HCH_010_004_000204	上曰：「正與朕合。」
HCH_010_004_000205	遂詔以明王隈恩代于越信恩為西南路招討使以討之，且諭明王宜先練習邊事，而後之官。
HCH_010_004_000206	甲午，如南京。
HCH_010_004_000207	遣使使晉索吐谷渾叛者。
HCH_010_004_000208	乙未，鼻骨德來貢。
HCH_010_004_000209	三月乙卯朔，晉遣齊州防禦使宋暉業、翰林茶酒使張言來問起居。
HCH_010_004_000210	閏月，駐蹕陽門。
HCH_010_004_000211	夏四月甲寅朔，鐵驪來貢，以其物分賜群臣。
HCH_010_004_000212	丙子，晉遣使進射柳鞍馬。
HCH_010_004_000213	五月五日戊子，禁屠宰。
HCH_010_004_000214	六月癸丑朔，晉齊王重貴遣使來貢。
HCH_010_004_000215	丁巳，徒睹古、素撒來貢。
HCH_010_004_000216	乙丑，晉主敬瑭殂，子重貴立。
HCH_010_004_000217	戊辰，晉遣使告哀，輟朝七日。
HCH_010_004_000218	庚午，遣使往晉弔祭。
HCH_010_004_000219	丁丑，聞皇太后不豫，上馳入侍，湯藥必親嘗。
HCH_010_004_000220	仍告太祖廟，幸菩薩堂，飯僧五萬人。
HCH_010_004_000221	七月乃愈。
HCH_010_004_000222	秋七月庚寅，晉遣金吾衛大將軍梁言、判四方館事朱崇節來謝，書稱孫，不稱臣，遣客省使喬榮讓之。
HCH_010_004_000223	景延廣答曰：「先帝則聖朝所立，今主則我國自冊。為鄰為孫則可，奉表稱臣則不可。」
HCH_010_004_000224	榮還，具奏之，上始有南伐之意。
HCH_010_004_000225	辛卯，阻卜、鼻骨德、烏古來貢。
HCH_010_004_000226	將軍闥德里、蒲骨等率降將轄德至闕，並獻所獲。
HCH_010_004_000227	丁未，晉遣使以祖母哀來告。
HCH_010_004_000228	八月辛酉，女直、阻卜、烏古各貢方物。
HCH_010_004_000229	甲子，晉復襄州。
HCH_010_004_000230	戊辰，詔河東節度使劉知遠送叛臣烏古指揮使由燕京赴闕。
HCH_010_004_000231	癸酉，遣天城軍節度使蕭拜石弔祭于晉。
HCH_010_004_000232	九月壬辰，遣使賀晉帝嗣位。
HCH_010_004_000233	冬十月己巳，征諸道兵。
HCH_010_004_000234	遣將軍密骨德伐党項。
HCH_010_004_000235	十一月乙未，武定軍奏松生棗。
HCH_010_004_000236	十二月癸亥，晉遣使來謝。
HCH_010_004_000237	是冬，駐蹕赤城。
HCH_010_004_000238	六年春二月乙卯，晉遣使進先帝遺物。
HCH_010_004_000239	辛酉，晉遣使請居汴，從之。
HCH_010_004_000240	三月己卯朔，吳越王遣使來貢。
HCH_010_004_000241	甲申，梅里喘引來歸。
HCH_010_004_000242	戊子，南唐遣使奉蠟丸書。
HCH_010_004_000243	丁未，晉至汴，遣使來謝。
HCH_010_004_000244	夏四月戊申朔，日有食之。
HCH_010_004_000245	五月己亥，遣使如晉致生辰禮。
HCH_010_004_000246	六月丁未朔，鐵驪來貢。
HCH_010_004_000247	己未，奚鋤骨里部進白麝。
HCH_010_004_000248	辛酉，莫州進白鵲。
HCH_010_004_000249	晉遣使貢金。
HCH_010_004_000250	秋八月丁未朔，晉復貢金。
HCH_010_004_000251	己未，如奉聖州。
