HCH_015_018_000103	屐有兩齒有聲，是為明兩之齒至四十二而行即真矣。
HCH_015_018_000104	及在郢州，夢人從天飛下，頭插筆來畫上衣兩邊，不言而去。
HCH_015_018_000105	庾溫釋云：「畫者，山龍華蟲也。」
HCH_015_018_000106	世祖宋元嘉十七年六月己未夜生，無火，婢吹灰而火自燃。
HCH_015_018_000107	世祖於南康郡內作伎，有絃無管，於是空中有篪聲，調節相應。
HCH_015_018_000108	世祖為廣興相，嶺下積旱水涸不通船，上部伍至，水忽暴長。
HCH_015_018_000109	庾溫云：「易利涉大川之義也。」
HCH_015_018_000110	世祖頓盆城，城內無水，欲鑿引江流，試掘井，得伏泉九處，皆湧出。
HCH_015_018_000111	建元元年四月，有司奏：「延陵令戴景度稱所領季子廟，舊有涌井二所，廟祝列云舊井北忽聞金石聲，即掘，深三尺，得沸泉。其東忽有聲錚錚，又掘得泉，沸湧若浪。泉中得一銀木簡，長一尺，廣二寸，隱起文曰『〔廬〕山道人張陵再拜謁詣起居』。簡木堅白而字色黃。」
HCH_015_018_000112	謹案瑞應圖，「浪井不鑿自成，王者清靜，則仙人主之」。
HCH_015_018_000113	孔氏世錄云：「叶精帝道，孔書明巧，當在張陵。」
HCH_015_018_000114	宋均注云：「張陵佐封禪。一云陵，仙人也。」
HCH_015_018_000115	元徽三年，太祖在青溪宅，齋前池中忽揚波起浪，湧水如山，有金石響，須臾有青龍從池中出，左右皆見之。
HCH_015_018_000116	昇明元年，青龍見齊郡。
HCH_015_018_000117	建元四年，青龍見從陽郡清水縣平泉湖中。
HCH_015_018_000118	永明七年，黃龍見曲江縣黃池中，一宿二日。
HCH_015_018_000119	中興二年，山上雲障四塞，頃有玄黃五色如龍，長十餘丈，從西北升天。
HCH_015_018_000120	宋泰始末，武進舊塋有獸見，一角，羊頭，龍翼，馬足，父老咸見，莫之識也。
HCH_015_018_000121	永明十年，鄱陽郡獻一角獸，麟首，鹿形，龍鸞共色。
HCH_015_018_000122	瑞應圖云：「天子萬福允集，則一角獸至。」
HCH_015_018_000123	十一年，白象九頭見武昌。
