HCH_012_020_000299	十八年春正月甲辰朔，召見大學士申時行等於毓德宮，出皇長子見之。
HCH_012_020_000300	夏四月甲申，振湖廣饑。
HCH_012_020_000301	六月己卯，免畿內被災夏稅。
HCH_012_020_000302	甲申，青海部長火落赤犯舊洮州，副總兵李聯芳敗沒。
HCH_012_020_000303	乙酉，更定宗藩事例，始聽無爵者得自便。
HCH_012_020_000304	秋七月庚子朔，日有食之。
HCH_012_020_000305	乙丑，召見閣臣議邊事，命廷臣舉將材。
HCH_012_020_000306	己巳，兵部尚書鄭雒經略陝西四鎮及山西、宣、大邊務。
HCH_012_020_000307	是月，火落赤再犯河州、臨洮，總兵官劉承嗣敗績。
HCH_012_020_000308	八月癸酉，停撦力克市賞。
HCH_012_020_000309	冬十月戊寅，振臨洮被兵軍民。
HCH_012_020_000310	十二月甲申，遣廷臣九人閱邊。
HCH_012_020_000311	是年，安南入貢。
HCH_012_020_000312	十九年春正月，緬甸寇永昌、騰越。
HCH_012_020_000313	二月乙酉，總兵官尤繼先敗火落赤餘眾於莽剌川。
HCH_012_020_000314	閏三月丁丑，以彗星見，敕修省。
HCH_012_020_000315	己卯，責給事中、御史風聞訕上，各奪俸一年。
HCH_012_020_000316	夏四月丙申，享太廟。
HCH_012_020_000317	是後廟祀皆遣代。
HCH_012_020_000318	五月壬午，四川四哨番作亂，巡撫都御史李尚思討平之。
HCH_012_020_000319	六月壬子，王錫爵歸省。
HCH_012_020_000320	秋七月癸未，諭廷臣，國是紛紜，致大臣爭欲乞身，此後有肆行誣衊者重治。
HCH_012_020_000321	八月丁酉，免河南被災田賦。
HCH_012_020_000322	九月壬申，許國致仕。
HCH_012_020_000323	甲戌，申時行致仕。
HCH_012_020_000324	丁丑，吏部侍郎趙志皐為禮部尚書，前禮部侍郎張位為吏部侍郎，並兼東閣大學士，預機務。
HCH_012_020_000325	冬十月癸巳，京營軍官譁於長安門。
HCH_012_020_000326	十二月甲午，詔定戚臣莊田。
HCH_012_020_000327	癸丑，河套部敵犯榆林、延綏，總兵官杜桐敗之。
HCH_012_020_000328	是年，畿內蝗，南畿、浙江大水，蠲振有差。
HCH_012_020_000329	琉球入貢。
HCH_012_020_000330	二十年春正月丙戌，給事中孟養浩以言建儲杖闕下，削籍。
HCH_012_020_000331	三月戊辰，寧夏致仕副總兵哱拜殺巡撫都御史黨馨、副使石繼芳，據城反。
HCH_012_020_000332	辛未，王家屏致仕。
HCH_012_020_000333	壬申，總督軍務兵部尚書魏學曾討寧夏賊。
HCH_012_020_000334	戊寅，賜翁正春等進士及第、出身有差。
HCH_012_020_000335	夏四月甲辰，總兵官李如松提督陝西討賊軍務。
HCH_012_020_000336	甲寅，甘肅巡撫都御史葉夢熊帥師會魏學曾討賊。
HCH_012_020_000337	撦力克擒賊，叩關獻俘，復還二年市賞。
HCH_012_020_000338	五月，倭犯朝鮮，陷王京，朝鮮王李昖奔義州求救。
HCH_012_020_000339	六月丁未，諸軍進次寧夏，賊誘河套部入犯，官軍擊卻之。
HCH_012_020_000340	秋七月癸酉，免陝西逋賦。
HCH_012_020_000341	甲戌，副總兵祖承訓帥師援朝鮮，與倭戰於平壤，敗績。
HCH_012_020_000342	甲申，罷三邊總督魏學曾，以葉夢熊代之，尋逮學曾下獄。
HCH_012_020_000343	八月乙巳，兵部右侍郎宋應昌經略備倭軍務。
HCH_012_020_000344	己酉，詔天下督撫舉將材。
HCH_012_020_000345	九月壬申，寧夏賊平。
HCH_012_020_000346	冬十月壬寅，李如松提督薊、遼、保定、山東軍務。
HCH_012_020_000347	充防海禦倭總兵官，救朝鮮。
HCH_012_020_000348	是月，振畿內、浙江、河南被災諸府蠲租有差。
HCH_012_020_000349	十一月戊辰，御午門，受寧夏俘。
HCH_012_020_000350	十二月甲午，以寧夏賊平，告天下。
HCH_012_020_000351	是年，暹羅、土魯番入貢。
HCH_012_020_000352	二十一年春正月甲戌，李如松攻倭於平壤，克之。
HCH_012_020_000353	辛未，王錫爵還朝。
HCH_012_020_000354	辛巳，詔並封三皇子為王，廷臣力爭，尋報罷。
HCH_012_020_000355	壬午，李如松進攻王京，遇倭於碧蹄館，敗績。
HCH_012_020_000356	二月甲寅，敕勞東征將士。
HCH_012_020_000357	夏四月癸卯，倭棄王京遁。
HCH_012_020_000358	六月丁酉，詔天下每歲夏月錄囚，減釋輕繫，如兩京例。
HCH_012_020_000359	癸卯，倭使小西飛請欵。
HCH_012_020_000360	秋七月癸丑，召援朝鮮諸邊鎮兵還。
