HCH_009_025_000174	有伊、洛、璟、澗、金水，銅駝街、金粟山，金穀。
HCH_009_025_000175	鎮一龍門。
HCH_009_025_000176	澠池有天壇山、廣陽山、黃河、澠河。
HCH_009_025_000177	登封有太室山、箕山、陽城山、少室山，宣宗置禦寨其上。
HCH_009_025_000178	舊有潁陽鎮，後廢。
HCH_009_025_000179	孟津貞祐三年七月升為陶州，十二月複為縣。
HCH_009_025_000180	鎮一長泉。
HCH_009_025_000181	舊有河清鎮，後廢。
HCH_009_025_000182	芝田宋名永安，貞元元年更。
HCH_009_025_000183	有轘轅山、青龍山。
HCH_009_025_000184	新安有闕門山、長石山、金水、谷水、陂水。
HCH_009_025_000185	偃師有北邙山、緱氏山、半石山、景山、黃河、洛水。
HCH_009_025_000186	鎮一緱氏。
HCH_009_025_000187	宜陽有錦屏山、鹿蹄山、憩鶴山、女幾山、洛水，昌水，少水。
HCH_009_025_000188	鞏有侯山、九山、黃河、洛水。
HCH_009_025_000189	鎮一洛口。
HCH_009_025_000190	嵩州，中，刺史。
HCH_009_025_000191	舊名順州，天德三年更。
HCH_009_025_000192	戶二萬六千六百四十九。
HCH_009_025_000193	縣四、鎮四：伊陽宋隸河南府。
HCH_009_025_000194	有三塗山、陸渾山、鼓鐘山，伊水、淯陽水。
HCH_009_025_000195	鎮一鳴皋。
HCH_009_025_000196	舊有伊闕鎮，後廢。
HCH_009_025_000197	永甯宋隸河南府，正隆六年以前寄治於府，後即鎮為縣。
HCH_009_025_000198	有三肴山、熊耳山、嶕嶢山、天柱山、黃河、杜陽水。
HCH_009_025_000199	鎮一府店。
HCH_009_025_000200	福昌宋隸河南府。
HCH_009_025_000201	有女幾山、金門山。
HCH_009_025_000202	鎮二韓城、三鄉。
HCH_009_025_000203	長水宋隸河南府。
HCH_009_025_000204	有壇山、松陽山、洛水、松陽水。
HCH_009_025_000205	汝州，上，刺史。
HCH_009_025_000206	宋臨汝郡陸海軍度使，國初為刺郡，貞祐三年八月升為防禦。
HCH_009_025_000207	戶三萬五千二百五十四。
HCH_009_025_000208	縣四、鎮三：梁有霍陽山、崆峒山、紫邏山、汝水、廣潤河。
HCH_009_025_000209	正隆六年，敕環汝州百五十裏內州縣商賈，赴溫湯置市。
HCH_009_025_000210	郟城宋隸許州。
HCH_009_025_000211	有汝水、扈澗河。
HCH_009_025_000212	鎮一黃道。
HCH_009_025_000213	魯山有堯山、𣹑水、鴉河。
HCH_009_025_000214	寶豐有豢龍城。
HCH_009_025_000215	鎮一汝南。
HCH_009_025_000216	許州，下，昌武軍節度使。
HCH_009_025_000217	宋潁昌府許昌郡忠武軍。
HCH_009_025_000218	戶四萬五千五百八十七。
HCH_009_025_000219	縣五、鎮七：長社倚。
HCH_009_025_000220	有潩水、潁水。
HCH_009_025_000221	鎮二許田、椹澗。
HCH_009_025_000222	郾城有長沙河、五溝水。
HCH_009_025_000223	鎮二駝口、新寨。
HCH_009_025_000224	長葛有小陘、洧水。
HCH_009_025_000225	臨潁鎮二合流、繁城。
HCH_009_025_000226	襄城本隸汝州，泰和七年來屬。
HCH_009_025_000227	鎮一潁橋。
HCH_009_025_000228	鈞州，中，刺史。
HCH_009_025_000229	舊陽翟縣，偽齊升為潁順軍。
HCH_009_025_000230	大定二十二升為州，仍名潁順，二十四年更今名。
HCH_009_025_000231	戶一萬八千五百一十。
HCH_009_025_000232	縣二、鎮一：陽翟倚。
HCH_009_025_000233	有具茨山、三封山、荊山、潁水。
HCH_009_025_000234	新鄭宋隸鄭州。
HCH_009_025_000235	有溱、洧、潩三水。
HCH_009_025_000236	鎮一郭店。
HCH_009_025_000237	亳州，上，防禦使。
HCH_009_025_000238	宋譙郡集慶軍，隸揚州。
HCH_009_025_000239	貞祐三年升為節鎮，軍名集慶。
HCH_009_025_000240	戶六萬五百三十五。
HCH_009_025_000241	縣六、鎮五：舊有福寧、馬頭二鎮。
HCH_009_025_000242	譙倚。
HCH_009_025_000243	有渦水、泡水。
HCH_009_025_000244	鎮一雙溝。
HCH_009_025_000245	鹿邑有渦水、明水。
HCH_009_025_000246	鎮一戰城。
HCH_009_025_000247	衛真有洵水、沙水。
HCH_009_025_000248	鎮一谷陽。
HCH_009_025_000249	城父有渦水、淝水、殳水。
HCH_009_025_000250	酂有睢水、汴河、白龍潭。
HCH_009_025_000251	鎮一酂陽。
HCH_009_025_000252	永城興定五年十二月升為永州，以下邑、碭山、酂縣隸焉。
HCH_009_025_000253	有芒山、汴河。
HCH_009_025_000254	鎮一保安。
HCH_009_025_000255	陳州，下，防禦使。
HCH_009_025_000256	宋淮甯府淮陽郡鎮安軍。
HCH_009_025_000257	戶二萬六千一百四十五。
HCH_009_025_000258	縣五、鎮二：宛丘有蔡河、潁水、洧水。
HCH_009_025_000259	項城有潁水、百尺堰。
HCH_009_025_000260	南頓鎮一殄寇。
HCH_009_025_000261	商水本激水，宋避宣祖諱改。
HCH_009_025_000262	有商水、潁水。
HCH_009_025_000263	西華有宜陽山、蔡河、潁水。
HCH_009_025_000264	鎮一長平。
HCH_009_025_000265	蔡州，中，防禦使。
HCH_009_025_000266	宋汝南郡淮康軍，泰和八年升為節度，軍曰鎮南，嘗置榷場。
HCH_009_025_000267	戶三萬六千九十三。
HCH_009_025_000268	縣六、鎮二：汝陽有溱水、澺水。
HCH_009_025_000269	鎮一保城。
HCH_009_025_000270	遂平有吳房山、吳城山、龍泉水、瀙水。
HCH_009_025_000271	西平有九頭山、滾水、鄧艾陂。
HCH_009_025_000272	確山有確山、沒水、溱水。
HCH_009_025_000273	鎮一毛宗。
HCH_009_025_000274	息州，本新息縣，泰和八年升為息州，以新息為倚郭，割真陽、褎信、新蔡隸焉，為蔡州支郡。
HCH_009_025_000275	戶九千六百八十五。
HCH_009_025_000276	縣四、鎮一：新息倚。
HCH_009_025_000277	鎮一王務。
HCH_009_025_000278	真陽本隸蔡州，泰和八年來屬。
HCH_009_025_000279	有淮水、汝水、石塘陂。
HCH_009_025_000280	褎信本隸蔡州，泰和八年來屬。
HCH_009_025_000281	有汝水、葛陂。
HCH_009_025_000282	新蔡本隸蔡州，泰和八年來屬。
HCH_009_025_000283	有汝水。
HCH_009_025_000284	鄭州，中，防禦，宋滎陽郡奉寧軍節度。
HCH_009_025_000285	戶四萬五千六百五十七。
HCH_009_025_000286	縣七、鎮三：管城倚。
HCH_009_025_000287	貞祐四年更名故市。
HCH_009_025_000288	有圃田澤。
HCH_009_025_000289	滎陽有鴻溝，京、索二水。
HCH_009_025_000290	密有大騩山、溱水、洧水。
HCH_009_025_000291	鎮二大騩、鎖水。
HCH_009_025_000292	原武鎮一陳橋。
HCH_009_025_000293	汜水有虎牢關。
HCH_009_025_000294	滎澤有廣武澗。
HCH_009_025_000295	舊有許橋、賈穀二鎮，在鄭境。
HCH_009_025_000296	潁州，下，防禦。
HCH_009_025_000297	宋順昌府汝陰郡。
HCH_009_025_000298	嘗置榷場，正隆四年罷榷場。
HCH_009_025_000299	戶一萬六千七百一十四。
HCH_009_025_000300	縣四、鎮十一：舊有萬善鎮，後廢。
HCH_009_025_000301	汝陰倚。
HCH_009_025_000302	有潁水、淮水、淝水、汝水。
HCH_009_025_000303	潁上元光二年十一月改隸壽州。
HCH_009_025_000304	有潁水、淮水。
HCH_009_025_000305	鎮十永寧、漕口、王家市、櫟頭、永清、椒陂、正陽、江陂、界溝、斤溝。
HCH_009_025_000306	泰和有潁水。
HCH_009_025_000307	沈丘有武丘。
HCH_009_025_000308	鎮一永安。
HCH_009_025_000309	宿州，中，防禦。
HCH_009_025_000310	宋符離郡保靜軍節度，隸揚州。
HCH_009_025_000311	國初隸山東西路，大定六年來屬。
HCH_009_025_000312	貞祐三年升為節鎮，軍曰保靜。
HCH_009_025_000313	戶五萬五千五十八。
HCH_009_025_000314	縣四、鎮八：舊有荊山鎮。
HCH_009_025_000315	符離倚。
HCH_009_025_000316	有諸陽山、汴河、睢水、陴湖。
HCH_009_025_000317	鎮三曲溝、符離、黃團。
HCH_009_025_000318	臨渙有嵇山、汴河、肥水。
HCH_009_025_000319	鎮三柳子、蘄澤、桐墟。
HCH_009_025_000320	靈壁宋元祐元年置。
HCH_009_025_000321	鎮一西固蘄有渙水、渦水、蘄水。
HCH_009_025_000322	鎮一靜安。
HCH_009_025_000323	泗州，中，防禦使。
HCH_009_025_000324	宋臨淮郡。
HCH_009_025_000325	正隆四年正月罷鳳翔府、唐、鄧、潁、蔡、鞏、洮等州並膠西縣諸榷場，但置榷場於泗州。
HCH_009_025_000326	先隸山東西路，大定六年來屬。
HCH_009_025_000327	戶八千九十二。
HCH_009_025_000328	縣四、鎮六：淮平舊盱眙縣，明昌六年以宋有盱眙軍，故更。
HCH_009_025_000329	虹有硃山、汴河、淮水、廣濟渠。
HCH_009_025_000330	鎮二千仙、通海。
HCH_009_025_000331	臨淮鎮四安省、吳城、青陽、翟家灣。
HCH_009_025_000332	睢寧興定二年四月以宿遷縣之古城置。
HCH_009_025_000333	又有淮濱，興定二年四月以桃園置，元光二年四月廢。
