HCH_012_016_000255	十二月癸亥，羣臣赴行在請還宮，不得出關而還。
HCH_012_016_000256	閏月丁亥，迎春於宣府。
HCH_012_016_000257	是年，琉球、烏斯藏入貢。
HCH_012_016_000258	十三年春正月辛丑朔，帝在宣府。
HCH_012_016_000259	丙午，至自宣府，命羣臣具綵帳、羊酒郊迎，御帳殿受賀。
HCH_012_016_000260	丁未，罷南郊致齋。
HCH_012_016_000261	庚戌，大祀天地於南郊，遂獵於南海子。
HCH_012_016_000262	辛亥，還宮。
HCH_012_016_000263	辛酉，復如宣府。
HCH_012_016_000264	是月，振兩畿、山東水災。
HCH_012_016_000265	給京師流民米，人三斗。
HCH_012_016_000266	瘞死者。
HCH_012_016_000267	二月己卯，太皇太后崩。
HCH_012_016_000268	壬午，至自宣府。
HCH_012_016_000269	三月戊辰，如昌平。
HCH_012_016_000270	夏四月己巳朔，謁六陵，遂幸密雲。
HCH_012_016_000271	五月己亥朔，日有食之。
HCH_012_016_000272	駐蹕喜峯口。
HCH_012_016_000273	戊申，至自喜峯口。
HCH_012_016_000274	六月庚辰，太皇太后梓宮發京師，帝戎服從。
HCH_012_016_000275	甲申，葬孝貞純皇后。
HCH_012_016_000276	乙酉，至自昌平。
HCH_012_016_000277	秋七月己亥，錄應州功，敍廕陞賞者五萬餘人。
HCH_012_016_000278	丙午，復如宣府。
HCH_012_016_000279	八月乙酉，如大同。
HCH_012_016_000280	九月庚子，次偏頭關。
HCH_012_016_000281	癸丑，敕曰：「總督軍務威武大將軍總兵官朱壽親統六師，肅清邊境，特加封鎮國公，歲支祿米五千石。吏部如敕奉行。」
HCH_012_016_000282	甲寅，封朱彬為平虜伯，朱泰為安邊伯。
HCH_012_016_000283	冬十月戊辰，渡河。
HCH_012_016_000284	己卯，次榆林。
HCH_012_016_000285	十一月庚子，調西官廳及四衞營兵赴宣、大。
HCH_012_016_000286	壬子，次綏德，幸總兵官戴欽第。
HCH_012_016_000287	十二月戊寅，渡河，幸石州。
HCH_012_016_000288	戊子，次太原。
HCH_012_016_000289	是年，琉球、天方、瓦剌入貢。
HCH_012_016_000290	十四年春正月丙申朔，帝在太原。
HCH_012_016_000291	甲辰，改卜郊。
HCH_012_016_000292	壬子，還宣府。
HCH_012_016_000293	二月壬申，至自宣府。
HCH_012_016_000294	丁丑，大祀天地於南郊，遂獵於南海子。
HCH_012_016_000295	是日，京師地震。
HCH_012_016_000296	己丑，帝自加太師，諭禮部曰：「總督軍務威武大將軍總兵官太師鎮國公朱壽將巡兩畿、山東，祀神祈福，其具儀以聞。」
HCH_012_016_000297	三月癸丑，以諫巡幸，下兵部郎中黃鞏六人於錦衣衞獄，跪修撰舒芬百有七人於午門五日。
HCH_012_016_000298	金吾衞都指揮僉事張英自刃以諫，衞士奪刃，得不死，鞫治，杖殺之。
HCH_012_016_000299	乙卯，下寺正周敍、行人司副余廷瓚、主事林大輅三十三人於錦衣衞獄。
HCH_012_016_000300	戊午，杖舒芬等百有七人於闕下。
HCH_012_016_000301	是日，風霾晝晦。
HCH_012_016_000302	夏四月甲子，免南畿被災稅糧。
HCH_012_016_000303	戊寅，杖黃鞏等三十九人於闕下，先後死者十一人。
HCH_012_016_000304	五月己亥，詔山東、山西、陝西、河南、湖廣流民歸業者，官給廩食、廬舍、牛種，復五年。
HCH_012_016_000305	六月丙子，寧王宸濠反，巡撫江西右副都御史孫燧、南昌兵備副使許逵死之。
