HCH_012_019_000131	冬十月己亥，河南、山東大水，申飭河防。
HCH_012_019_000132	十一月己巳，殷士儋致仕。
HCH_012_019_000133	是年，琉球、土魯番入貢。
HCH_012_019_000134	六年春正月辛未，築徐州至宿遷隄三百七十里。
HCH_012_019_000135	二月丙申，倭寇廣東，陷神電衞，大掠。
HCH_012_019_000136	山寇復起。
HCH_012_019_000137	閏月丁卯，御皇極殿門，疾作，遽還宮。
HCH_012_019_000138	乙亥，倭寇高、雷，官軍擊敗之。
HCH_012_019_000139	夏四月戊辰，禮部尚書高儀兼文淵閣大學士，預機務。
HCH_012_019_000140	五月壬辰，免廣東用兵諸郡逋賦。
HCH_012_019_000141	己酉，大漸，召大學士高拱、張居正、高儀受顧命。
HCH_012_019_000142	庚戌，崩於乾清宮，年三十有六。
HCH_012_019_000143	七月丙戌，上尊諡，廟號穆宗，葬昭陵。
HCH_012_019_000144	贊曰：穆宗在位六載，端拱寡營，躬行儉約，尚食歲省巨萬。
HCH_012_019_000145	許俺答封貢，減賦息民，邊陲寧謐。
HCH_012_019_000146	繼體守文，可稱令主矣。
HCH_012_019_000147	第柄臣相軋，門戶漸開，而帝未能振肅乾綱，矯除積習。
HCH_012_019_000148	蓋亦寬恕有餘，而剛明不足者歟。
