HCH_009_068_000092	時已下西京，闍母攻應州未下，退營於州北十餘裏，夜遣阿魯補率兵四百伺敵，城中果出兵三千平襲，阿魯補道與之遇，斬首百余，獲馬六十。
HCH_009_068_000093	後遼兵三萬出馬邑之境，以千兵擊之，斬其將於陣。
HCH_009_068_000094	天會初，宋王宗望討張覺于平州，聞應州有兵萬餘來援，遣阿魯補與阿裏帶迎擊之，斬馘數千而還。
HCH_009_068_000095	複從其兄虞劃，率兵三千攻乾州，虞劃道病卒，代領其眾，至乾州，降其軍及營帳三十，獲印四十，與僕虺攻下義州。
HCH_009_068_000096	宗望伐宋，與郭藥師戰于白河。
HCH_009_068_000097	宗望命阿魯補以二謀克先登，奮戰，賞賚特異。
HCH_009_068_000098	至汴，破淮南援兵，斬其二將。
HCH_009_068_000099	大軍退次孟陽。
HCH_009_068_000100	姚平仲夜以重兵來襲，阿魯補適當其中，力戰敗之。
HCH_009_068_000101	既還，聞大名、開德合兵十余萬來爭河。
HCH_009_068_000102	至河上，知去敵尚遠，乃以輕兵夜發，詰旦至衛縣，遇敵，斬首數千級，餘皆潰去。
HCH_009_068_000103	師次邢州，滹沱橋已焚，阿魯補先以偏師營于水上，比軍至而橋成。
HCH_009_068_000104	宗望嘉其功，出真定庫物賞之，為長勝軍千戶。
HCH_009_068_000105	及再伐宋，從宗望破敵于井陘，遂下欒城。
HCH_009_068_000106	師自大名濟河，阿魯補屯於洺州之境。
HCH_009_068_000107	時康王留相州，大名府以兵來攻我營，阿魯補乘夜以騎二百潛出其後，反擊敗之。
HCH_009_068_000108	居數日，敵複來，蘇統制以兵二萬先至，阿魯補乘其未集，以三百騎出戰，大敗其眾，生擒蘇統制，殺之。
HCH_009_068_000109	大軍既克汴京，攻洺州，敗大名救兵，遂下洺州。
HCH_009_068_000110	從撻懶文攻恩州還，洺人複叛，阿魯補先至城下，城中出兵來戰，敗之，執其守佐，，遂與蒲魯懽取信德軍。
HCH_009_068_000111	梁王宗弼取開德，阿魯補以步兵五千赴之。
HCH_009_068_000112	大名境內多盜，命阿魯補留屯其地。
