HCH_012_026_000152	二十四年七月戊子，太白、荧惑、填星聚于翼。
HCH_012_026_000153	十一月乙未，辰星、岁星合于斗。
HCH_012_026_000154	十二月甲子，荧惑、辰星合于箕。
HCH_012_026_000155	二十五年正月辛丑，荧惑、岁星合于牛。
HCH_012_026_000156	二十六年十月壬辰，太白、填星同度。
HCH_012_026_000157	永乐元年五月甲辰，五星俱见东方。
HCH_012_026_000158	二年四月戊子，太白、荧惑合于井。
HCH_012_026_000159	正统十四年九月壬寅，太白、填星、荧惑聚于翼。
HCH_012_026_000160	十二月辛未，太白、岁星合于尾。
HCH_012_026_000161	景泰元年十月壬申，太白、岁星合于箕。
HCH_012_026_000162	十二月己丑，辰星、岁星同度。
HCH_012_026_000163	二年九月庚申，太白、荧惑、填星聚于轸。
HCH_012_026_000164	四年三月乙丑，太白、岁星合于壁。
HCH_012_026_000165	五年正月戊辰，太白、岁星合于奎。
HCH_012_026_000166	六月己酉，荧惑、岁星合于胃。
HCH_012_026_000167	十一月己未，太白、填星合于氐。
HCH_012_026_000168	七年三月戊戌，太白、荧惑合于奎。
HCH_012_026_000169	十月戊申，岁星、荧惑合于鬼。
HCH_012_026_000170	天顺元年五月乙丑，太白、岁星合于井。
HCH_012_026_000171	十二月丙辰，太白、填星合于心。
HCH_012_026_000172	二年九月甲寅，太白、填星合于斗。
HCH_012_026_000173	三年九月乙巳，太白、岁星合于角。
HCH_012_026_000174	四年十月壬申，岁星、荧惑、辰星、太白聚于氐。
HCH_012_026_000175	五年十一月己亥，填星、荧惑合于牛。
HCH_012_026_000176	甲子，太白、荧惑合于虚。
HCH_012_026_000177	六年九月甲午，太白、荧惑合于张。
HCH_012_026_000178	七年十月庚寅，岁星、荧惑合于女。
HCH_012_026_000179	庚戌，太白、岁星合于女。
HCH_012_026_000180	八年二月丙午，填星、岁星、太白聚于危。
HCH_012_026_000181	成化四年四月癸巳，岁星、荧惑合于井。
HCH_012_026_000182	壬子及七年七月庚子，太白、岁星合于井。
HCH_012_026_000183	十一年八月甲午，荧惑、填星同度。
HCH_012_026_000184	弘治十三年四月癸丑，荧惑、太白、辰星聚于井。
HCH_012_026_000185	十六年八月庚申，荧惑、岁星、填星聚于井。
HCH_012_026_000186	十八年五月丙申，太白、岁星合于星。
HCH_012_026_000187	九月乙未，太白、岁星同度。
HCH_012_026_000188	正德二年九月戊辰，辰星、岁星、太白聚于亢。
HCH_012_026_000189	嘉靖三年正月壬午，五星聚于营室。
HCH_012_026_000190	十九年九月乙卯，太白、辰星、填星聚于角。
HCH_012_026_000191	二十三年正月癸卯，荧惑、岁星、填星聚于房。
HCH_012_026_000192	四十二年七月戊戌，太白、岁星、填星聚于井。
HCH_012_026_000193	四十三年四月庚子，岁星、填星、荧惑、太白聚于柳。
HCH_012_026_000194	万历十七年十二月辛卯，太白、荧惑同度。
HCH_012_026_000195	二十年六月壬子，太白、辰星、填星聚于井。
HCH_012_026_000196	三十二年九月辛酉，岁星、填星、荧惑聚于危。
HCH_012_026_000197	天启四年七月丙寅，五星聚于张。
HCH_012_026_000198	崇祯七年闰八月丙午至九月壬申，填星、荧惑、太白聚于尾。
HCH_012_026_000199	十年十一月己卯，岁星、荧惑合于亢。
HCH_012_026_000200	甲午，填星、辰星同度。
HCH_012_026_000201	洪武六年九月庚申，犯鬼。
HCH_012_026_000202	十一月壬子，退行犯鬼。
HCH_012_026_000203	七年八月乙巳，犯轩辕大星。
HCH_012_026_000204	九年二月乙丑，退入太微，犯左执法。
HCH_012_026_000205	十年六月戊寅及戊戌，犯亢。
HCH_012_026_000206	十一月甲辰，犯房。
HCH_012_026_000207	十一年四月戊申，犯键闭。
HCH_012_026_000208	七月甲申，犯牛。
HCH_012_026_000209	八月丙午，犯房。
HCH_012_026_000210	十四年四月壬戌，犯垒壁。
HCH_012_026_000211	十七年闰十月癸卯，犯井。
HCH_012_026_000212	十九年四月丙申，入鬼。
HCH_012_026_000213	八月壬辰，犯轩辕。
HCH_012_026_000214	二十一年四月丁未，留太微垣。
HCH_012_026_000215	十一月甲戌，入亢。
HCH_012_026_000216	二十二年三月辛卯，退入亢。
HCH_012_026_000217	九月丁卯，犯氐。
HCH_012_026_000218	十一月甲午，入房。
HCH_012_026_000219	十二月壬戌，犯东咸。
HCH_012_026_000220	二十三年五月己未，守房。
HCH_012_026_000221	八月乙丑，犯东咸。
HCH_012_026_000222	二十六年二月丙子朔，犯垒壁。
HCH_012_026_000223	二十九年六月庚子，犯井钺。
HCH_012_026_000224	七月丙辰朔，入井。
HCH_012_026_000225	十月癸卯，退入井。
HCH_012_026_000226	三十年八月庚辰朔，入鬼。
HCH_012_026_000227	建文四年七月乙未，退犯东咸。
HCH_012_026_000228	十月丙辰，犯天江。
HCH_012_026_000229	永乐元年正月丁未，犯建。
HCH_012_026_000230	十二月己丑，犯罗堰。
HCH_012_026_000231	六年三月己巳，犯诸王西第二星。
HCH_012_026_000232	四月甲午，犯东第一星。
HCH_012_026_000233	六月丙申，犯井。
HCH_012_026_000234	八年九月乙亥，犯灵台。
HCH_012_026_000235	十八年七月己丑，犯天樽西北星。
HCH_012_026_000236	八月庚子，犯东北星。
HCH_012_026_000237	二十一年正月庚戌，犯上将。
HCH_012_026_000238	二十二年十一月戊寅，入氐。
HCH_012_026_000239	宣德三年闰四月己酉，犯垒壁西第六星。
HCH_012_026_000240	十一月丙寅，又犯。
HCH_012_026_000241	七年七月丙寅，犯天樽。
HCH_012_026_000242	九年五月庚子，犯轩辕大星。
HCH_012_026_000243	正统五年六月甲寅，犯垒壁。
HCH_012_026_000244	十一年十月戊戌，犯右执法。
HCH_012_026_000245	十四年正月丙申，犯房北第一星。
HCH_012_026_000246	二月丙子，退犯房。
HCH_012_026_000247	九月己卯，犯进贤。
HCH_012_026_000248	丙戌，犯房。
HCH_012_026_000249	景泰元年闰正月庚午，与荧惑递入斗杓。
HCH_012_026_000250	八月戊子，犯秦。
HCH_012_026_000251	二年二月庚午朔，犯牛。
HCH_012_026_000252	三年十月辛丑，犯亢。
HCH_012_026_000253	六年六月庚子，犯诸王。
HCH_012_026_000254	八月庚申，犯井钺。
HCH_012_026_000255	七年九月癸未，入鬼。
HCH_012_026_000256	天顺元年九月癸亥，犯轩辕大星。
HCH_012_026_000257	二年八月癸未，犯右执法。
HCH_012_026_000258	十月己丑，三年正月辛卯，俱犯左执法。
HCH_012_026_000259	六月辛未，犯右执法。
HCH_012_026_000260	十二月癸亥，犯亢。
HCH_012_026_000261	四年闰十一月丙寅，犯房北第一星。
HCH_012_026_000262	庚午，犯钩钤。
HCH_012_026_000263	五年三月丁卯，退犯房上星。
HCH_012_026_000264	八月癸酉，犯钩钤。
HCH_012_026_000265	七年二月庚申朔，犯牛。
HCH_012_026_000266	八年二月丙午，犯垒壁。
HCH_012_026_000267	三月辛巳，又犯。
HCH_012_026_000268	成化二年六月丁未，守昴。
HCH_012_026_000269	五年七月己酉，犯轩辕大星。
HCH_012_026_000270	六年三月癸卯，留守轩辕。
HCH_012_026_000271	七年三月丁丑，退入太微垣，犯执法。
HCH_012_026_000272	四月乙卯，入太微垣，留守端门。
HCH_012_026_000273	六月甲寅，犯右执法。
HCH_012_026_000274	十一月己亥，犯亢。
HCH_012_026_000275	八年十一月辛亥，犯房北第一星。
HCH_012_026_000276	癸丑，犯钩钤。
HCH_012_026_000277	九年三月丙辰，犯东咸。
HCH_012_026_000278	五月己酉，犯钩钤。
HCH_012_026_000279	六月乙丑，犯房第一星。
HCH_012_026_000280	十二年三月丁巳，犯垒壁。
HCH_012_026_000281	十三年闰二月己未，犯外屏。
HCH_012_026_000282	十五年三月甲子，犯天街。
HCH_012_026_000283	九月乙卯，犯井。
HCH_012_026_000284	辛巳，守井。
HCH_012_026_000285	十七年正月己卯，犯鬼。
HCH_012_026_000286	三月甲午，入鬼。
HCH_012_026_000287	庚子，犯积尸。
HCH_012_026_000288	十八年五月庚戌，犯灵台。
HCH_012_026_000289	闰八月壬辰，犯左执法。
HCH_012_026_000290	二十年五月乙巳，守亢。
HCH_012_026_000291	八月癸酉，犯氐。
HCH_012_026_000292	弘治四年七月癸巳，犯井。
HCH_012_026_000293	十一月壬辰，又犯。
HCH_012_026_000294	六年八月庚寅，犯灵台。
HCH_012_026_000295	七年正月癸卯，犯垒壁。
HCH_012_026_000296	五月甲辰，犯灵台。
HCH_012_026_000297	八年二月丁巳，犯进贤。
HCH_012_026_000298	七月辛丑，又犯。
HCH_012_026_000299	十月丁卯，犯亢。
HCH_012_026_000300	十一月己酉，犯氐。
HCH_012_026_000301	九年二月至三月庚寅，守氐。
HCH_012_026_000302	十二年五月己亥，犯垒壁。
HCH_012_026_000303	十三年八月戊申，又犯。
HCH_012_026_000304	十五年七月丙子，犯诸王。
HCH_012_026_000305	十六年七月己巳，犯井。
HCH_012_026_000306	八月壬子，犯天樽。
HCH_012_026_000307	十八年九月丁未，犯太微垣上相。
HCH_012_026_000308	正德元年二月壬子，退犯右执法及上将。
HCH_012_026_000309	三月壬午，犯灵台。
HCH_012_026_000310	十一月戊辰，犯牛。
HCH_012_026_000311	六年四月丁未，十二月壬午，俱犯垒壁。
HCH_012_026_000312	九年八月丙辰，犯诸王。
HCH_012_026_000313	十四年十月癸未，犯氐。
HCH_012_026_000314	嘉靖元年四月戊寅，犯牛。
HCH_012_026_000315	十一月丙寅，犯罗堰。
HCH_012_026_000316	二年十一月壬辰，犯垒壁。
HCH_012_026_000317	二十年十一月庚寅，二十一年正月丁未，俱犯左执法。
HCH_012_026_000318	二十二年十二月丁亥，犯房北第一星。
HCH_012_026_000319	二十三年四月戊寅，又犯。
HCH_012_026_000320	三十五年五月壬戌，退行又犯。
HCH_012_026_000321	四十五年五月辛卯，退留守左执法。
HCH_012_026_000322	隆庆元年二月戊午，退守亢。
