HCH_010_041_000155	軍亂，殺存矩於祁州，擁大將盧文進亡歸。
HCH_010_041_000156	太祖克新州，莊宗遣李嗣源復取之。
HCH_010_041_000157	同光二年升威塞軍。
HCH_010_041_000158	石晉高祖割獻，太宗改升。
HCH_010_041_000159	有兩河會、溫泉、龍門山、涿鹿山。
HCH_010_041_000160	東南至南京三百里，西北至西京四百四十里。
HCH_010_041_000161	兵事屬西京都部署司。
HCH_010_041_000162	統州三、縣四：永興縣。
HCH_010_041_000163	本漢涿鹿縣地。
HCH_010_041_000164	黃帝與蚩尤戰於此。
HCH_010_041_000165	戶八千。
HCH_010_041_000166	礬山縣。
HCH_010_041_000167	本漢軍都縣。
HCH_010_041_000168	山出白綠礬，故名。
HCH_010_041_000169	有礬山、桑乾河。
HCH_010_041_000170	在州南六十里。
HCH_010_041_000171	戶三千。
HCH_010_041_000172	龍門縣。
HCH_010_041_000173	有龍門山，石壁對峙，高數百尺，望之若門。
HCH_010_041_000174	僥外諸河及沙漠潦水，皆於此趣海。
HCH_010_041_000175	雨則俄頃水逾十仞，睛則清淺可涉，實塞北控扼之沖要也。
HCH_010_041_000176	在州東北二百八十里，戶四千。
HCH_010_041_000177	望雲縣。
HCH_010_041_000178	本望雲川地。
HCH_010_041_000179	景宗於此建潛邸，因而成井肆。
HCH_010_041_000180	穆宗崩，景宗入紹國統，號禦莊。
HCH_010_041_000181	後置望雲縣，直隸彰湣宮，附庸於此。
HCH_010_041_000182	在州東北二百六十里。
HCH_010_041_000183	戶一千。
HCH_010_041_000184	歸化州，雄武軍，上，刺史。
HCH_010_041_000185	本漢下洛縣。
HCH_010_041_000186	元魏改文德縣。
HCH_010_041_000187	唐升武州，僖宗改毅州。
HCH_010_041_000188	後唐太祖復武州，明宗又為毅州，潞王仍為武州。
HCH_010_041_000189	晉高祖割獻於遼，改今名。
HCH_010_041_000190	有桑乾河；會河川；愛陽川；炭山，又謂之陘頭。
HCH_010_041_000191	有涼殿，承天皇后納涼於此，山東北三十里有新涼殿，景宗納涼於此，唯松棚數陘而已。
HCH_010_041_000192	斷雲嶺，極高峻，故名。
HCH_010_041_000193	州西北至西京四百五十里，統縣一：文德縣。
HCH_010_041_000194	本漢女祁縣地。
HCH_010_041_000195	元魏置，戶一萬。
HCH_010_041_000196	可汗州，清平軍，下，刺史。
HCH_010_041_000197	本漢潘縣，元魏廢。
HCH_010_041_000198	北齊置北燕郡，改懷戎縣。
HCH_010_041_000199	隋廢郡，屬涿郡。
HCH_010_041_000200	唐武德中復置北燕州，縣仍舊。
HCH_010_041_000201	貞觀八年改媯州。
