HCH_011_055_000092	遺正德書曰：「今天子年尊，姦臣亂國，憲章錯謬，政令顛倒，以景觀之，計日必敗。況大王屬當儲貳，中被廢辱，天下義士，竊所痛心，在景愚忠，能無忿慨？今四海業業，歸心大王，大王豈得顧此私情，棄茲億兆！景雖不武，實思自奮。願王允副蒼生，鑒斯誠款。」
HCH_011_055_000093	正德覽書大喜曰：「侯景意暗與我同，此天贊也。」
HCH_011_055_000094	遂許之。
HCH_011_055_000095	及景至江，正德潛運空舫，詐稱迎荻，以濟景焉。
HCH_011_055_000096	朝廷未知其謀，猶遣正德守朱雀航。
HCH_011_055_000097	景至，正德乃引軍與景俱進，景推正德爲天子，改年爲正平元年，景爲丞相。
HCH_011_055_000098	臺城沒，復太清之號，降正德爲大司馬。
HCH_011_055_000099	正德有怨言，景聞之，慮其爲變，矯詔殺之。
HCH_011_055_000100	河東王譽字重孫，昭明太子第二子也。
HCH_011_055_000101	普通二年，封枝江縣公。
HCH_011_055_000102	中大通三年，改封河東郡王，邑二千戶。
HCH_011_055_000103	除寧遠將軍、石頭戍軍事。
HCH_011_055_000104	出爲琅邪、彭城二郡太守。
HCH_011_055_000105	還除侍中、輕車將軍，置佐史。
HCH_011_055_000106	出爲南中郎將、湘州刺史。
HCH_011_055_000107	未幾，侯景寇京邑，譽率軍入援，至青草湖，臺城沒，有詔班師，譽還湘鎮。
HCH_011_055_000108	時世祖軍于武城，新除雍州刺史張纘密報世祖曰：「河東起兵，岳陽聚米，共爲不逞，將襲江陵。」
HCH_011_055_000109	世祖甚懼，因步道間還，遣諮議周弘直至譽所，督其糧衆。
HCH_011_055_000110	譽曰：「各自軍府，何忽隸人？」
HCH_011_055_000111	前後使三反，譽並不從。
HCH_011_055_000112	世祖大怒，乃遣世子方等征之，反爲譽所敗死。
HCH_011_055_000113	又令信州刺史鮑泉討譽，幷與書陳示禍福，許其遷善。
HCH_011_055_000114	譽不答，修浚城池，爲拒守之計。
HCH_011_055_000115	謂鮑泉曰：「敗軍之將，勢豈語勇？欲前卽前，無所多說。」
HCH_011_055_000116	泉軍于石槨寺，譽帥衆逆擊之，不利而還。
HCH_011_055_000117	泉進軍于橘洲，譽又盡銳攻之，不剋。
HCH_011_055_000118	會已暮，士卒疲弊，泉因出擊，大敗之，斬首三千級，溺死者萬餘人。
HCH_011_055_000119	譽於是焚長沙郭邑，驅居民於城內，鮑泉度軍圍之。
HCH_011_055_000120	譽幼而驍勇，兼有膽氣，能撫循士卒，甚得衆心。
HCH_011_055_000121	及被圍旣久，雖外內斷絕，而備守猶固。
HCH_011_055_000122	後世祖又遣領軍將軍王僧辯代鮑泉攻譽，僧辯築土山以臨城內，日夕苦攻，矢石如雨，城中將士死傷者太半。
HCH_011_055_000123	譽窘急，乃潛裝海船，將潰圍而出。
HCH_011_055_000124	會其麾下將慕容華引僧辯入城，譽顧左右皆散，遂被執，謂守者曰：「勿殺我！得一見七官，申此讒賊，死亦無恨。」
HCH_011_055_000125	主者曰：「奉命不許。」
HCH_011_055_000126	遂斬之，傳首荊鎮，世祖反其首以葬焉。
HCH_011_055_000127	初，譽之將敗也，私引鏡照面，不見其頭；又見長人蓋屋，兩手據地瞰其齋；又見白狗大如驢，從城而出，不知所在。
HCH_011_055_000128	譽甚惡之，俄而城陷。
HCH_011_055_000129	史臣曰：蕭綜、蕭正德並悖逆倡狂，自致夷滅，宜矣。
HCH_011_055_000130	太清之寇，蕭紀據庸、蜀之資，遂不勤王赴難，申臣子之節；及賊景誅剪，方始起兵，師出無名，成其釁禍。
HCH_011_055_000131	嗚呼！
HCH_011_055_000132	身當管、蔡之罰，蓋自貽哉。
HCH_011_055_000133	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
