HCH_012_154_000137	懋三發連中，賜金帶。
HCH_012_154_000138	歷掌營府，累加至太師。
HCH_012_154_000139	嘗上言防邊事宜，諫止發京營兵作圓通寺。
HCH_012_154_000140	弘治中，御史李興、彭程下獄，懋論救。
HCH_012_154_000141	復請罷作真武觀，免織造，召還中官董織者。
HCH_012_154_000142	武宗即位，與群小狎遊，懋率文武大臣諫，其言皆切直。
HCH_012_154_000143	然性豪侈，又頗朘削軍士，屢為言者所糾。
HCH_012_154_000144	嗣公凡六十六年，握兵柄者四十年，尊寵為勛臣冠。
HCH_012_154_000145	正德十年卒，年亦七十五。
HCH_012_154_000146	贈寧陽王，謚恭靖。
HCH_012_154_000147	萬曆十一年與朱希忠並削王號。
HCH_012_154_000148	孫侖嗣。
HCH_012_154_000149	傳爵至世澤，流寇陷京師，遇害。
HCH_012_154_000150	初，輔之定交阯也，先後百餘戰。
HCH_012_154_000151	其從征死事最著者，有高士文、徐政。
HCH_012_154_000152	士文，咸陽人。
HCH_012_154_000153	洪武中，以小校從征雲南及金山有功，為燕山左護衛百戶。
HCH_012_154_000154	質直剛果，善騎謝。
HCH_012_154_000155	從成祖起兵，累官都督僉事。
HCH_012_154_000156	從張輔征交阯。
HCH_012_154_000157	黎季犛既擒，余黨竄山谷中，出沒為寇。
HCH_012_154_000158	五年八月，士文帥所部敗之廣源，進圍其寨。
HCH_012_154_000159	晝夜急攻，垂破，賊突走。
HCH_012_154_000160	士文追與戰，中飛石死。
HCH_012_154_000161	所部復追賊，賊失巢潰散，遂為指揮程玚所滅。
HCH_012_154_000162	朝廷念士文功，追封建平伯，令其子福嗣，祿千三百石，予世券。
HCH_012_154_000163	三傳至孫霳，無子，以義子為嗣。
HCH_012_154_000164	事覺，爵除。
HCH_012_154_000165	徐政，儀真人。
HCH_012_154_000166	建文時，為揚州衛副千戶，以城降成祖，累遷都指揮同知。
HCH_012_154_000167	從征交阯，奪船於三帶江以濟大軍。
HCH_012_154_000168	拔西都，戰咸子關，皆有功。
HCH_012_154_000169	陳季擴反，盤灘地最要沖，張輔遣政守之。
HCH_012_154_000170	七年八月，賊黨阮景異來攻，與戰，飛槍貫脅，猶督兵力戰，竟敗賊。
HCH_012_154_000171	賊退，腹潰而死。
HCH_012_154_000172	黃福，字如錫，昌邑人。
