HCH_012_165_000080	遭喪去官，所部諸長官司及番民百八十人詣闕奏言：「州僻處邊僥萬山中，與松藩、疊溪諸番鄰，歲被其患。自敏蒞州，撫馭有方，民得安業。今以憂去職，軍民失所依。乞矜念遠方，還此良牧。」
HCH_012_165_000081	帝立報可。
HCH_012_165_000082	正統中，九載滿，軍民復請留。
HCH_012_165_000083	進成都府同知，視茂州事。
HCH_012_165_000084	都司徐甫言，敏及指揮孫敬在職公勤，群番信服。
HCH_012_165_000085	章下都御史王翺等核實，進敏右參議，仍視州事。
HCH_012_165_000086	以監司秩蒞州，前此未有也。
HCH_012_165_000087	黑虎寨番掠近境，為官軍所獲。
HCH_012_165_000088	敏從其俗，與誓而遣之。
HCH_012_165_000089	既復出掠，為巡按御史陳員韜所劾。
HCH_012_165_000090	詔貰之。
HCH_012_165_000091	提督都御史寇深器其才，言敏往來撫恤番人，贊理軍政，乞別除知州，俾敏專戎務。
HCH_012_165_000092	吏部以敏蒞茂久，別除恐未悉番情，猝難馴服，宜增設同知一人佐之。
HCH_012_165_000093	報可。
HCH_012_165_000094	敏既以參議治州，其體儷監司。
HCH_012_165_000095	遂劾按察使陳泰無故杖死番人。
HCH_012_165_000096	泰亦訐敏，帝不問。
HCH_012_165_000097	而泰下獄論罪。
HCH_012_165_000098	景泰改元，參議滿九載，進右參政，視州事如前。
HCH_012_165_000099	蒞州二十餘年，威信大行，番民胥悅。
HCH_012_165_000100	秩漸高，諸監司郡守反位其下，同事多忌之者。
HCH_012_165_000101	為按察使張淑所劾，罷去。
HCH_012_165_000102	丁瑄，不知何許人。
HCH_012_165_000103	正統間為御史。
HCH_012_165_000104	初，福建多礦盜，命御史柳華捕之。
HCH_012_165_000105	華令村聚皆置望樓，編民為甲，擇其豪為長，得自置兵仗，督民巡僥。
HCH_012_165_000106	沙縣佃人鄧茂七素無賴，既為甲長，益以氣役屬鄉民。
HCH_012_165_000107	其俗佃人輸租外，例饋田主。
HCH_012_165_000108	茂七倡其黨令毋饋，而田主自往受粟。
