HCH_013_018_000119	或傳善款伏，已得宥，鉞復瞪目曰：「吾知善決無二心，且少俟之，脫善果不死，吾將下報希直。」
HCH_013_018_000120	希直，方孝孺字也。
HCH_013_018_000121	乃稍稍食。
HCH_013_018_000122	已而善就刑，報至，鉞登翏川橋，西向再拜，祀而哭之曰：「吾與君同受國恩，國有難，義同許身，今君與希直同死，吾忍背義獨生乎！」
HCH_013_018_000123	祀畢，紿家人歸祭具，遂從容整衣冠，奮身入水死。
HCH_013_018_000124	時家人俱竄伏，有友楊福日夜泣橋側，求鉞屍不得，更數日，屍忽自出立水中，成禮葬之。
HCH_013_018_000125	翰林修譔王叔英，奉詔募兵，行至廣德，聞建文帝遜位，大慟。
HCH_013_018_000126	會齊泰來奔，叔英曰：「泰二心矣！」
HCH_013_018_000127	令執之。
HCH_013_018_000128	泰告之故，乃相抱慟哭，與泰圖後舉。
HCH_013_018_000129	已知事不可為，沐浴衣冠，書絕命辭，藏衣間，詞曰：「人生穹壤間，忠孝貴克全。嗟余事君父，自省多過愆。有志未及竟，奇疾忽見纏。肥甘空在案，對之不能嚥。意在造化神，有命歸九泉。嘗念夷與齊，餓死首陽巔。周粟豈不佳，所見良獨偏。高蹤邈難繼，偶爾無足傳。千秋史官筆，慎勿稱希賢。」
HCH_013_018_000130	又題其案曰：「生既久矣，未有補于當時；死亦徒然，庶無慚于後世。」
HCH_013_018_000131	遂自縊于玄妙觀銀杏樹下。
HCH_013_018_000132	夫人金氏亦自經死，二女俱赴井死。
HCH_013_018_000133	翰林王艮，初聞北平兵起，輒憂憤不食，及渡淮，與妻子訣曰：「吾不可復生矣，安能顧若等哉！」
HCH_013_018_000134	北師入城，胡靖、解縉、吳溥為艮鄉人，皆集溥舍。
HCH_013_018_000135	縉陳說大義，靖亦憤激慷慨，艮獨流涕不言。
HCH_013_018_000136	溥曰：「三子受知最深，事在頃刻，若溥去就，固可從容也。」
HCH_013_018_000137	隨別去。
HCH_013_018_000138	溥子與弼尚幼，嘆曰：「胡叔能仗義，大是佳事。」
HCH_013_018_000139	溥曰：「不然，獨王叔死耳！」
