HCH_012_312_000243	時總督尚書程信亦奏：「都掌地勢險要，必得土兵響道。請敕東川、芒部、烏蒙、烏撒諸府兵，並速調湖廣永順、保靖兵，以備征遣。」
HCH_012_312_000244	又請南京戰馬一千應用。
HCH_012_312_000245	皆報可。
HCH_012_312_000246	四年，信奏：「永寧宣撫奢貴開通運道，擒獲賊首，宜降璽書獎賚。」
HCH_012_312_000247	從之。
HCH_012_312_000248	十六年，白羅羅羿子與都掌大壩蠻相攻，禮部侍郎周洪謨言：「臣敘人也，知敘蠻情。戎、珙、筠、高諸縣，在前代皆土官，國朝始代以流，言語性情不相習，用激變。洪、永、宣、正四朝，四命將徂征，隨服隨叛。景泰初，益滋蔓，至今為梗。臣向嘗言仍立土官治之，為久遠計。而都御史汪浩僥幸邊功，誣殺所保土官及寨主二百餘人，諸蠻怨入骨髓，轉肆劫掠。及尚書程信統大兵，僅能克之。臣以謂及今順蠻人之情，擇其眾所推服者，許為大寨主，俾世襲，庶可相安。」
HCH_012_312_000249	又言：「白羅羅者，相傳為廣西流蠻，有眾數千，無統屬。景泰中，糾戎、珙苗，攻破長寧九縣，今又侵擾都掌。其所居，崖險箐深，既難剪滅，亦宜立長官司治之。地近芒部，宜即隸之。羿子者，永寧宣撫所轄。而永寧乃雲、貴要沖，南跨赤水、畢節六七百里，以一柔婦人制數萬強梁之眾，故每肆劫掠。臣以為宣撫土僚，仍令宣撫奢貴治之。其南境寨蠻近赤水、畢節要路者，宜立二長官司，仍隸永寧宣撫。夫土官有職無俸，無損國儲，有益邊備。」
HCH_012_312_000250	從之。
HCH_012_312_000251	二十五年，永寧宣撫司女土官奢祿獻大木，給誥如例。
HCH_012_312_000252	萬歷元年，四川巡撫曾省吾奏：「都蠻叛逆，發兵征討，土官奢效忠首在調，但與貴州土官安國亨有仇。請並令總兵官劉顯節制，使不得藉口復仇，妄有騷動。」
HCH_012_312_000253	從之。
HCH_012_312_000254	初，烏撒與永寧、烏蒙、水西、沾益諸土官境相連，復以世戚親厚。
HCH_012_312_000255	既而安國亨殺安信，信兄智結永寧宣撫奢效忠報仇，彼此相攻。
HCH_012_312_000256	而安國亨部下吏目與智有親，恐為國亨所殺，因投安路墨。
HCH_012_312_000257	墨詐稱為土知府安承祖，赴京代奏。
HCH_012_312_000258	已而國亨亦令其子安民陳訴，與奢效忠俱奉命聽勘於川貴巡撫。
HCH_012_312_000259	議照蠻俗罰牛贖罪，報可。
HCH_012_312_000260	效忠死，妻世統無子，妾世續有幼子崇周。
HCH_012_312_000261	世統以嫡欲奪印，相仇殺。
HCH_012_312_000262	方奏報間，總兵郭成、參將馬呈文利其所有，遽發兵千餘，深入落紅。
HCH_012_312_000263	奢氏九世所積，搜掠一空。
HCH_012_312_000264	世續亦發兵尾其後。
HCH_012_312_000265	效忠弟沙卜出拒戰，且邀水西兵報仇。
HCH_012_312_000266	成兵敗績，乃檄取沙卜於世統，統不應，復殺把總三人，聚苗兵萬餘，欲攻永寧泄怨。
HCH_012_312_000267	巡按劾成等邀利起釁，宜逮；而議予二土婦冠帶，仍分地各管所屬，其宣撫司印俟奢崇周成立，赴襲理事。
HCH_012_312_000268	報可。
HCH_012_312_000269	十四年，奢崇周代職，未幾死。
HCH_012_312_000270	奢崇明者，效忠親弟盡忠子也。
HCH_012_312_000271	幼孤，依世統撫養一十三年。
HCH_012_312_000272	至是，送之永寧，世續遺之氈馬，許出印給之。
HCH_012_312_000273	事已定，而諸奸閻宗傳等自以昔從世續逐世統，殺沙卜，懼崇明立，必復前恨，遂附水西，立阿利以自固。
HCH_012_312_000274	安疆臣陰陽其間，蠻兵四出，焚劫屯堡，官兵不能禁。
HCH_012_312_000275	總督以聞，朝議命奢崇明暫管宣撫事，冀崇明蠲夙恨，以收人心。
HCH_012_312_000276	而閻宗傳等攻掠永寧、普市、麾尼如故。
HCH_012_312_000277	崇明承襲幾一載，世續印竟不與，且以印私安疆臣妻弟阿利。
HCH_012_312_000278	巡撫遣都司張神武執世續索印，世續言印在鎮雄隴澄處。
HCH_012_312_000279	隴澄者，水西安堯臣也。
HCH_012_312_000280	隴氏垂絕，堯臣入贅，遂冒隴姓，稱隴澄。
HCH_012_312_000281	敘平播州、敘州功，澄與焉，中朝不知其為堯臣也。
HCH_012_312_000282	堯臣外怙播功，內仗水西，有據鎮雄制永寧心。
HCH_012_312_000283	蜀撫按以堯臣非隴氏種，無授鎮雄意。
HCH_012_312_000284	堯臣以是懷兩端，陰助世續。
HCH_012_312_000285	意世續得授阿利，則己據鎮雄益堅。
