HCH_012_201_000186	發巡按御史朱誌榮罪至謫戍。
HCH_012_201_000187	遷山東右布政使。
HCH_012_201_000188	旋調浙江，改左。
HCH_012_201_000189	錢寧以鈔二萬鬻於浙，良永上疏曰：「四方盜甫息，瘡痍未瘳，浙東西雨雹。寧廝養賤流，假義子名，躋公侯之列。賜予無算，納賄不貲，乃敢攫民財，戕邦本。有司奉行急於詔旨，胥吏緣為奸，椎膚剝髓，民不堪命。鎮守太監王堂、劉璟畏寧威，受役使。臣何敢愛一死，不以聞。乞陛下下寧詔獄，明正典刑，並治其黨，以謝百姓。」
HCH_012_201_000190	寧懼，留疏不下。
HCH_012_201_000191	謀遣校尉捕假勢鬻鈔者，以自飾於帝，而請以鈔直還之民，陰召還前所遣使。
HCH_012_201_000192	寧初欲散鈔遍天下，先行之浙江、山東，山東為巡撫趙璜所格，而良永白髮其奸，寧自是不敢鬻鈔矣。
HCH_012_201_000193	寧方得誌，公卿、臺諫無敢出一語。
HCH_012_201_000194	良永以外僚訟言誅之，聞者震悚。
HCH_012_201_000195	良永念母老，恐中禍，三疏乞休去。
HCH_012_201_000196	世宗即位，中外交薦。
HCH_012_201_000197	拜右副都御史，撫治鄖陽。
HCH_012_201_000198	以母老，再疏乞終養。
HCH_012_201_000199	都御史姚鏌請破格褒寵。
HCH_012_201_000200	尚書喬宇、孫交言，良永家無贏貲，宜用侍郎潘禮、御史陳茂烈故事，賜廩米。
HCH_012_201_000201	詔月給三石。
HCH_012_201_000202	久之，母卒，詔賜祭葬。
HCH_012_201_000203	皆異數也。
HCH_012_201_000204	服除，以故官巡撫應天，即家賜敕。
HCH_012_201_000205	至衢州疾作，連疏乞致仕，未報遽歸，卒。
HCH_012_201_000206	卒後有南京刑部尚書之命。
HCH_012_201_000207	暨訃聞，賜恤如制，謚簡肅。
HCH_012_201_000208	良永侍父疾，衣不解帶者三月。
HCH_012_201_000209	母病，良永年六十餘矣，手進湯藥無少怠。
HCH_012_201_000210	居倚廬哀毀，稱純孝焉。
HCH_012_201_000211	素善王守仁，而論學與之異。
HCH_012_201_000212	嘗語人曰：「近世專言心學，自謂超悟獨到，推其說以自附於象山，而上達於孔子。目賢聖教人次第為小子無用之學，程、朱而下無不受擯，而不知其入於妄。」
HCH_012_201_000213	弟良節，官廣東左布政使，亦有治行。
HCH_012_201_000214	子重傑，舉於鄉，以孝聞。
HCH_012_201_000215	王爌，字存納，黃巖人。
HCH_012_201_000216	弘治十五年進士。
HCH_012_201_000217	除太常博士。
HCH_012_201_000218	正德時，屢遷刑科都給事中。
HCH_012_201_000219	武定侯郭勛鎮兩廣，行事乖謬。
HCH_012_201_000220	詔自陳，勛強辨，爌等駁之。
HCH_012_201_000221	都察院覆奏，不錄爌言，爌並劾都御史彭澤。
HCH_012_201_000222	帝責澤，置勛不問。
HCH_012_201_000223	御史林有年直言下獄，浙江僉事韓邦奇忤中官被逮，爌皆救之。
HCH_012_201_000224	帝幸大同久不反，爌力請回鸞。
HCH_012_201_000225	又與工科石天柱救彭澤，忤王瓊。
HCH_012_201_000226	中旨調兩人於外，爌得惠州推官。
HCH_012_201_000227	世宗立，召復都給事中。
HCH_012_201_000228	旋擢太僕少卿，改太常。
HCH_012_201_000229	嘉靖三年遷應天府尹。
HCH_012_201_000230	歲大祲，奏免其賦。
HCH_012_201_000231	居四年，遷南京刑部右侍郎，以母老歸養。
HCH_012_201_000232	家居十年，起故官。
HCH_012_201_000233	尋擢南京右都御史。
HCH_012_201_000234	守備中官進表，率以兩御史監禮。
HCH_012_201_000235	爌曰：「中官安得役御史？」
HCH_012_201_000236	止之。
HCH_012_201_000237	舉賀入朝，謁內閣夏言。
HCH_012_201_000238	言倨甚，大臣多隅坐，爌獨引坐正之。
HCH_012_201_000239	言不悅，爌遂謝病歸。
HCH_012_201_000240	爌與御史潘壯不相能。
HCH_012_201_000241	壯坐大獄，詔爌提問。
HCH_012_201_000242	爌力白壯罪，至忤旨。
HCH_012_201_000243	人以此稱爌長者。
HCH_012_201_000244	卒，贈工部尚書。
HCH_012_201_000245	王軏，開平衛人，弘治十二年進士。
HCH_012_201_000246	正德初，歷工部員外郎，屢遷山東左布政使。
HCH_012_201_000247	嘉靖初，入為順天府尹。
HCH_012_201_000248	房山地震，軏言召災有由，語多指斥。
HCH_012_201_000249	忤旨切責。
HCH_012_201_000250	尋遷副都御史，巡撫四川。
HCH_012_201_000251	芒部土官知府隴慰死，庶子政與嫡子壽爭立，朝議立壽。
HCH_012_201_000252	政倚烏撒，數構兵，使人誘殺壽，奪其印。
HCH_012_201_000253	軏請討之。
HCH_012_201_000254	乃會貴州兵分道進，擒政於水西，招降四十九寨。
HCH_012_201_000255	璽書獎勞。
HCH_012_201_000256	時將營仁壽宮，就拜軏工部右侍郎，督采大木。
HCH_012_201_000257	工罷，召還，改戶部。
HCH_012_201_000258	核九門苜蓿地，以余地歸之民。
HCH_012_201_000259	勘禦馬監草場，厘地二萬餘頃，募民以佃。
HCH_012_201_000260	房山民以牧馬地獻中官韋恒，軏厘歸之官。
HCH_012_201_000261	奸人馮賢等復獻中官李秀，秀為請於帝，軏抗疏劾之。
HCH_012_201_000262	帝雖宥秀，竟治賢等如律。
HCH_012_201_000263	出核勛戚莊田，請如周制，計品秩，別親疏，以定多寡，非詔賜而隱占者俱追斷。
HCH_012_201_000264	戶部尚書梁材采其言，兼並者悉歸官。
HCH_012_201_000265	稍進左侍郎。
HCH_012_201_000266	初，軏之平隴政也，以隴氏無後，請改設流官，兵部尚書李鉞等然之。
HCH_012_201_000267	遂改芒部為鎮雄府，分置四長官司，授隴氏疏屬阿濟等為長官，而擢重慶通判程洸為試知府。
HCH_012_201_000268	隴氏舊部沙保等攻執洸，奪其印，欲復立隴氏後。
HCH_012_201_000269	巡撫王廷相等破保，洸得還。
HCH_012_201_000270	保子普奴復連烏撒、水西苗攻剽畢節諸衛。
HCH_012_201_000271	帝命伍文定圖之。
HCH_012_201_000272	以朝議不合，召還。
HCH_012_201_000273	御史戴金因言：「芒部改流之議，諸司鹹執不可。軏徇洸邪說，違眾獨行，致疆場不靖。」
HCH_012_201_000274	遂罷軏官。
HCH_012_201_000275	以兵部尚書李承勛薦，起故官，總督倉場。
HCH_012_201_000276	再遷南京戶部尚書。
HCH_012_201_000277	御史龔湜劾軏老悖；吏部言軏居官儉素，搢紳儀表。
HCH_012_201_000278	帝乃責湜妄言。
HCH_012_201_000279	久之，就改兵部，參贊機務。
HCH_012_201_000280	詔舉將材，薦鄭卿、沈希儀等二十一人，皆擢用。
HCH_012_201_000281	居四年，以老乞罷。
HCH_012_201_000282	疏中言享年若干，帝以為非告君體，勒為民。
HCH_012_201_000283	久之卒。
HCH_012_201_000284	徐問，字用中，武進人。
HCH_012_201_000285	弘治十五年進士。
HCH_012_201_000286	授廣平推官。
HCH_012_201_000287	遷刑部主事，歷兵部，出為登州知府。
HCH_012_201_000288	地濱海多盜，問盡捕之。
HCH_012_201_000289	調臨江。
HCH_012_201_000290	修築壞堤七十二。
HCH_012_201_000291	轉長蘆鹽運使。
HCH_012_201_000292	運司故利藪，自好者不樂居。
HCH_012_201_000293	問曰：「吾欲清是官也。」
HCH_012_201_000294	終任不取一錢。
HCH_012_201_000295	累遷廣東左布政使。
HCH_012_201_000296	嘉靖十一年以治行卓異，拜右副都御史，巡撫貴州。
HCH_012_201_000297	獨山州賊蒙鉞弒父為亂。
HCH_012_201_000298	問聞南丹、泗城欲助逆，檄廣西撫按伐其謀。
HCH_012_201_000299	又檄鉞弟釗復父仇，事平得承襲。
HCH_012_201_000300	鉞援絕。
HCH_012_201_000301	問督大兵分道入，誅之。
HCH_012_201_000302	捷聞，賜金綺，召為兵部右侍郎。
HCH_012_201_000303	疏陳武備八事。
HCH_012_201_000304	又言：「兩廣、雲、貴半土司，深山密菁，瑤、僮、羅、僰所窟穴。邊將喜功召釁，好為掃穴之舉。王師每入，巨憝潛蹤，所誅戮率無辜赤子。興大兵，費厚餉，以易無辜命，非陛下好生意。宜敕邊臣布威信，嚴厄塞，謹哨探，使各安邊境，以絕禍萌。」
HCH_012_201_000305	帝深納其言。
HCH_012_201_000306	尋引疾歸。
HCH_012_201_000307	二十一年，召為南京禮部侍郎。
HCH_012_201_000308	久之，就遷戶部尚書。
HCH_012_201_000309	復引疾去，卒於家。
HCH_012_201_000310	問清節自勵。
HCH_012_201_000311	居官四十年，敝廬蕭然，田不滿百畝。
HCH_012_201_000312	好學不倦，粹然深造，為士類所宗。
HCH_012_201_000313	隆慶初，謚莊裕。
HCH_012_201_000314	張邦奇，字常甫，鄞人。
HCH_012_201_000315	年十五作《易解》及《釋國語》。
HCH_012_201_000316	登弘治末年進士，改庶吉士，授檢討。
HCH_012_201_000317	出為湖廣提學副使。
HCH_012_201_000318	下教曰：「學不孔、顏，行不曾、閔，雖文如雄、褒，吾且斥之。」
HCH_012_201_000319	在任三四年，諸生競勸。
HCH_012_201_000320	時世宗方為興世子，獻皇遣就試。
HCH_012_201_000321	乃特設兩案，己居北而使世子居南。
HCH_012_201_000322	文成，送入學。
HCH_012_201_000323	世宗由此知邦奇。
HCH_012_201_000324	嘉靖初，提學四川，以親孝乞歸。
HCH_012_201_000325	久之，桂萼掌銓，去留天下提學官，起邦奇福建。
HCH_012_201_000326	未幾，選外僚入坊局，改右庶子，遷南京祭酒。
HCH_012_201_000327	以身為教，學規整肅。
HCH_012_201_000328	就遷吏部侍郎。
HCH_012_201_000329	丁外艱歸。
HCH_012_201_000330	帝嘗奉太后謁天壽諸陵，語及擇相。
HCH_012_201_000331	太后曰：「先皇嘗言提學張邦奇器識，他日可為宰相，其人安在？」
HCH_012_201_000332	帝憬然曰：「尚未用也。」
HCH_012_201_000333	服闋，即召為吏部右侍郎，掌部事。
HCH_012_201_000334	推轂善類，人不可幹以私。
HCH_012_201_000335	銓部升除，多受教政府，邦奇獨否，大學士李時銜之。
HCH_012_201_000336	郭勛家人犯法，舁重賄請寬，邦奇不從。
HCH_012_201_000337	帝欲即授邦奇尚書，為兩人沮止。
HCH_012_201_000338	尋改掌翰林院事，充日講官，加太子賓客，改掌詹事府。
HCH_012_201_000339	九載考績，晉禮部尚書。
HCH_012_201_000340	以母老欲便養，乃改南京吏部。
HCH_012_201_000341	復改兵部，參贊機務。
HCH_012_201_000342	帝猶念邦奇，時與嚴嵩語及之。
HCH_012_201_000343	嵩曰：「邦奇性至孝，母老，不樂北來。」
HCH_012_201_000344	帝信其言，遂不召。
HCH_012_201_000345	二十三年卒，年六十一。
HCH_012_201_000346	贈太子太保，謚文定。
HCH_012_201_000347	邦奇之學以程、朱為宗。
HCH_012_201_000348	宗王守仁友善，而語每不合。
HCH_012_201_000349	躬修力踐，跬步必謹。
HCH_012_201_000350	晝之所為，夕必書於冊。
HCH_012_201_000351	性篤孝，以養親故，屢起輒退。
HCH_012_201_000352	其母後邦奇卒，壽至百歲。
HCH_012_201_000353	邦奇事寡嫂如事母。
HCH_012_201_000354	所著《學庸傳》、《五經說》及文集，粹然一出於正。
HCH_012_201_000355	族父時徹，少邦奇二十歲，受業於邦奇。
HCH_012_201_000356	仕至南京兵部尚書。
HCH_012_201_000357	有文名。
HCH_012_201_000358	韓邦奇，字汝節，朝邑人。
HCH_012_201_000359	父紹宗，福建副使。
HCH_012_201_000360	邦奇登正德三年進士，除吏部主事，進員外郎。
HCH_012_201_000361	六年冬，京師地震，上疏陳時政闕失。
HCH_012_201_000362	忤旨，不報。
HCH_012_201_000363	會給事中孫禎等劾臣僚不職者，並及邦奇。
HCH_012_201_000364	吏部已議留，帝竟以前疏故，黜為平陽通判。
HCH_012_201_000365	遷浙江僉事，轄杭、嚴二府。
HCH_012_201_000366	宸濠令內豎假飯僧，聚千人於杭州天竺寺，邦奇立散遣之。
HCH_012_201_000367	其儀賓托進貢假道衢州，邦奇詰之曰：「入貢當沿江下，奚自假道？歸語王，韓僉事不可誑也。」
HCH_012_201_000368	時中官在浙者凡四人，王堂為鎮守，晁進督織造，崔泬主市舶，張玉管營造。
HCH_012_201_000369	爪牙四出，民不聊生。
HCH_012_201_000370	邦奇疏請禁止，又數裁抑堂。
HCH_012_201_000371	邦奇閔中官采富陽茶魚為民害，作歌哀之。
HCH_012_201_000372	堂遂奏邦奇沮格上供，作歌怨謗。
HCH_012_201_000373	帝怒，逮至京，下詔獄。
HCH_012_201_000374	廷臣論救，皆不聽，斥為民。
HCH_012_201_000375	嘉靖初，起山東參議。
HCH_012_201_000376	乞休去。
HCH_012_201_000377	尋用薦，以故官蒞山西。
HCH_012_201_000378	再乞休去。
HCH_012_201_000379	起四川提學副使，入為春坊右庶子。
HCH_012_201_000380	七年偕同官方鵬主應天鄉試，坐試錄謬誤，謫南京太僕丞。
HCH_012_201_000381	復乞歸。
HCH_012_201_000382	起山東副使，遷大理丞，進少卿，以右僉都御史巡撫宣府。
HCH_012_201_000383	入佐院事，進右副都御史，巡撫遼東。
HCH_012_201_000384	時遼陽兵變，侍郎黃宗明言邦奇素有威望，請假以便宜，速往定亂。
HCH_012_201_000385	帝方事姑息，不從，命與山西巡撫任洛換官。
HCH_012_201_000386	至山西，為政嚴肅，有司供具悉不納，間日出俸米易肉一斤。
HCH_012_201_000387	居四年，引疾歸。
HCH_012_201_000388	中外交薦，以故官起督河道。
HCH_012_201_000389	遷刑部右侍郎，改吏部。
HCH_012_201_000390	拜南京右都御史，進兵部尚書，參贊機務。
HCH_012_201_000391	致仕歸。
HCH_012_201_000392	三十四年，陜西地大震，邦奇隕焉。
HCH_012_201_000393	贈太子少保，謚恭簡。
HCH_012_201_000394	邦奇性嗜學。
HCH_012_201_000395	自諸經、子、史及天文、地理、樂律、術數、兵法之書，無不通究。
HCH_012_201_000396	著述甚富。
HCH_012_201_000397	所撰《誌樂》，尤為世所稱。
HCH_012_201_000398	弟邦靖，字汝度。
HCH_012_201_000399	年十四舉於鄉。
HCH_012_201_000400	與邦奇同登進士，授工部主事。
HCH_012_201_000401	榷木浙江，額不充，被劾，以守官廉得免。
HCH_012_201_000402	進員外郎。
HCH_012_201_000403	乾清宮災，指斥時政甚切。
HCH_012_201_000404	武宗大怒，下之詔獄。
HCH_012_201_000405	給事中李鐸等以為言，乃奪職為民。
HCH_012_201_000406	世宗即位，起山西左參議，分守大同。
HCH_012_201_000407	歲饑，人相食，奏請發帑，不許。
HCH_012_201_000408	復抗疏千餘言，不報。
HCH_012_201_000409	乞歸，不待命輒行。
HCH_012_201_000410	軍民遮道泣留。
HCH_012_201_000411	抵家病卒，年三十六。
HCH_012_201_000412	未幾，邦奇亦以參議蒞大同。
HCH_012_201_000413	父老因邦靖故，前迎，皆泣下。
HCH_012_201_000414	邦奇亦泣。
HCH_012_201_000415	邦奇嘗廬居，病歲餘不能起。
HCH_012_201_000416	邦靖藥必分嘗，食飲皆手進。
HCH_012_201_000417	後邦靖病亟，邦奇日夜持弟泣，不解衣者三月。
HCH_012_201_000418	及歿，衰绖蔬食，終喪弗懈。
HCH_012_201_000419	鄉人為立「孝弟碑」。
HCH_012_201_000420	周金，字子庚，武進人。
HCH_012_201_000421	正德三年進士。
HCH_012_201_000422	授工科給事中。
HCH_012_201_000423	累遷戶科都給事中。
HCH_012_201_000424	疏言：「京糧歲入三百五萬，而食者乃四百三萬，當痛為澄汰。中官迎佛及監織造者濫乞引鹽，暴橫道路，當罷。都督馬昂納有妊女弟，當誅昂而還其女。」
HCH_012_201_000425	朝議用兵土魯番，復哈密。
HCH_012_201_000426	金言西邊虛憊，而土魯番險遠，且青海之寇窺伺西寧，不宜計哈密。
HCH_012_201_000427	已，卒從金議。
HCH_012_201_000428	嘉靖元年由太僕寺少卿遷都察院右僉都御史，巡撫延綏。
HCH_012_201_000429	邊人貧甚。
