HCH_015_038_000095	穎冑曰：「朝廷盛禮，莫過三元。此一器旣是舊物，不足爲侈。」
HCH_015_038_000096	帝不悅。
HCH_015_038_000097	後預曲宴，銀器滿席。
HCH_015_038_000098	穎冑曰：「陛下前欲壞酒鎗，恐宜移在此器也。」
HCH_015_038_000099	帝甚有慚色。
HCH_015_038_000100	冠軍江夏王寶玄鎮石頭，以穎冑爲長史，行石頭戍事。
HCH_015_038_000101	復爲衞尉。
HCH_015_038_000102	出爲冠軍將軍、廬陵王後軍長史、廣陵太守、行南兖州府州事。
HCH_015_038_000103	是年虜動，揚聲當飲馬長江。
HCH_015_038_000104	帝懼，敕穎冑移居民入城，百姓驚恐，席卷欲南渡。
HCH_015_038_000105	穎冑以賊勢尚遠，不卽施行，虜亦尋退。
HCH_015_038_000106	仍爲持節、督南兖兖徐青冀五州諸軍事、輔國將軍、南兖州刺史。
HCH_015_038_000107	和帝爲荊州，以穎冑爲冠軍將軍、西中郎長史、南郡太守、行荊州府、州事。
HCH_015_038_000108	東昏侯誅戮羣公，委任廝小，崔、陳敗後，方鎮各懷異計。
HCH_015_038_000109	永元二年十月，尚書令臨湘侯蕭懿及弟衞尉暢見害，先遣輔國將軍、巴西梓潼二郡太守劉山陽領三千兵受旨之官，就穎冑共襲雍州。
HCH_015_038_000110	雍州刺史梁王將起義兵，慮穎冑不識機變，遣使王天虎詣江陵，聲云山陽西上，竝襲荊、雍。
HCH_015_038_000111	書與穎冑，勸同義舉。
HCH_015_038_000112	穎冑意猶未決。
HCH_015_038_000113	初，山陽出南州，謂人曰：「朝廷以白虎幡追我，亦不復還矣。」
HCH_015_038_000114	席卷妓妾，盡室而行。
HCH_015_038_000115	至巴陵，遲回十餘日不進。
HCH_015_038_000116	梁王復遣天虎書與穎冑，陳設其略。
HCH_015_038_000117	是時或云山陽謀殺穎冑，以荊州同義舉，穎冑乃與梁王定契，斬王天虎首，送示山陽。
HCH_015_038_000118	發百姓車牛，聲云起步軍征襄陽。
HCH_015_038_000119	十一月十八日，山陽至江津，單車白服，從左右數十人，詣穎冑，穎冑使前汶陽太守劉孝慶、前永平太守劉熙曅、鎧曹參軍蕭文照、前建威將軍陳秀、輔國將軍孫末伏兵城內。
HCH_015_038_000120	山陽入門，卽於車中亂斬之。
HCH_015_038_000121	副軍主李元履收餘衆歸附。
HCH_015_038_000122	遣使蔡道猷馳驛送山陽首於梁王，乃發教纂嚴，分部購募。
HCH_015_038_000123	東昏聞山陽死，發詔討荊、雍。
HCH_015_038_000124	贈山陽寧朔將軍、梁州刺史。
HCH_015_038_000125	穎冑有器局，旣唱大事，虛心委己，衆情歸之。
HCH_015_038_000126	加穎冑右將軍，都督行留諸軍事，置佐史，本官如故。
HCH_015_038_000127	西中郎司馬夏侯詳加征虜將軍。
HCH_015_038_000128	遣寧朔將軍王法度向巴陵。
HCH_015_038_000129	穎冑獻錢二十萬，米千斛，鹽五百斛。
HCH_015_038_000130	諮議宗塞、別駕宗夬獻穀二千斛，牛二頭。
HCH_015_038_000131	換借富貲，以助軍費。
HCH_015_038_000132	長沙寺僧業富，沃鑄黃金爲龍數千兩，埋土中，歷相傳付，稱爲下方黃鐵，莫有見者，乃取此龍，以充軍實。
HCH_015_038_000133	遣冠軍將軍楊公則向湘州。
HCH_015_038_000134	王法度不進軍，免官。
HCH_015_038_000135	公則進剋巴陵，仍向湘州。
HCH_015_038_000136	遣寧朔將軍劉坦行湘州事。
HCH_015_038_000137	穎冑遣人謂梁王曰：「時月未利，當須來年二月。今便進兵，恐非良策。」
HCH_015_038_000138	梁王曰：「今坐甲十萬，糧用自竭。況藉以義心，一時驍銳。且太白出西方，杖義而動，天時人謀，無有不利。昔武王伐紂，行逆太歲，豈復待年月邪？」
HCH_015_038_000139	穎冑乃從。
HCH_015_038_000140	遣西中郎參軍鄧元起率衆向夏口。
HCH_015_038_000141	三年正月，和帝爲相國，穎冑領左長史，進號鎮軍將軍。
HCH_015_038_000142	於是始選用方伯。
HCH_015_038_000143	梁王屢表勸和帝卽尊號，梁州刺史柳惔、竟陵太守曹景宗竝勸進。
HCH_015_038_000144	穎冑使別駕宗夬撰定禮儀，上尊號，改元，於江陵立宗廟、南北郊，州府城門悉依建康宮，置尚書五省，以城南射堂爲蘭臺，南郡太守爲尹。
HCH_015_038_000145	建武中，荊州大風雨，龍入柏齋中，柱壁上有爪足處，刺史蕭遙欣恐畏，不敢居之。
HCH_015_038_000146	至是以爲嘉祐殿。
HCH_015_038_000147	中興元年三月，穎冑爲侍中、尚書令，假節、都督如故。
HCH_015_038_000148	尋領吏部尚書，監八州軍事，行荊州刺史，本官如故。
HCH_015_038_000149	左丞樂藹奏曰：「敕旨以軍旅務殷，且停朝直。竊謂匪懈于位，義昭夙興，國容舊典，不可頓闕。與兼右丞江詮等參議，八座丞郎以下宜五日一朝，有事郎坐侍下鼓，無事許從實還外。」
HCH_015_038_000150	奏可。
HCH_015_038_000151	梁王義師出沔口，郢州刺史張沖據城拒守。
HCH_015_038_000152	楊公則定湘州，行事張寶積送江陵，率軍會夏口。
HCH_015_038_000153	巴西太守魯休烈、巴東太守蕭惠訓遣子璝拒義師。
HCH_015_038_000154	穎冑遣汶陽太守劉孝慶進峽口，與巴東太守任漾之、宜都太守鄭法紹禦之。
HCH_015_038_000155	時軍旅之際，人情未安，穎冑府長史張熾從絳衫左右三十餘人，入千秋門，城內驚恐，疑有同異。
HCH_015_038_000156	御史中丞奏彈熾，詔以贖論。
HCH_015_038_000157	穎冑弟穎孚在京師，廬陵人脩靈祐竊將南上，於西昌縣山中聚兵二千人，襲郡，內史謝篹奔豫章。
HCH_015_038_000158	穎孚、靈祐據郡求援，穎冑遣寧朔將軍范僧簡入湘州南道援之。
HCH_015_038_000159	僧簡進剋安成，仍以爲輔國將軍、安成內史。
HCH_015_038_000160	拜穎孚爲冠軍將軍、廬陵內史。
HCH_015_038_000161	合二郡兵，出彭蠡口。
HCH_015_038_000162	東昏侯遣軍主彭盆、劉希祖三千人受江州刺史陳伯之節度，南討二郡義兵，仍進取湘州。
HCH_015_038_000163	南康太守王丹保郡應盆等。
HCH_015_038_000164	穎孚聞兵至，望風奔走。
HCH_015_038_000165	前內史謝篹復還郡。
HCH_015_038_000166	劉希祖至安成，攻戰七日，城陷，范僧簡見殺。
HCH_015_038_000167	希祖仍爲安成內史。
HCH_015_038_000168	穎孚收散卒據西昌，謝篹又遣軍攻之，衆敗，奔湘州。
HCH_015_038_000169	以穎孚爲督湘東衡陽零陵桂陽營陽五郡、湘東內史，假節、將軍如故。
HCH_015_038_000170	尋病卒。
HCH_015_038_000171	後脩靈祐又合餘衆攻篹，篹復敗走豫章，劉希祖亦以郡降。
HCH_015_038_000172	湘東內史王僧粲亦拒義，自稱平西將軍、湘州刺史，以南平鎮軍主周敷爲長史，率前軍襲湘州，去州百餘里。
HCH_015_038_000173	楊公則長史劉坦守州城，遣軍主尹法略拒之，屢戰不勝。
HCH_015_038_000174	及聞建康城平，僧粲散走，乃斬之。
HCH_015_038_000175	南康太守王丹亦爲郡人所殺。
HCH_015_038_000176	郢城降，義師衆軍東下。
HCH_015_038_000177	八月，魯休烈蕭璝破汶陽太守劉孝慶等於峽口，巴東太守任漾之見殺，遂至上明，江陵大震。
HCH_015_038_000178	穎冑恐，馳告梁王曰：「劉孝慶爲蕭璝所敗，宜遣楊公則還援根本。」
HCH_015_038_000179	梁王曰：「公則今泝流上荊，鞭長之義耳。蕭璝、魯休烈烏合之衆，尋自退散。政須荊州少時持重。良須兵力，兩弟在雍，指遣往徵，不爲難至。」
HCH_015_038_000180	穎冑乃追贈任漾之輔國將軍、梁州刺史。
