HCH_012_213_000150	邊鎮大臣小不當帝指，輒逮下獄誅竄，閣臣復竊顏色為威福。
HCH_012_213_000151	階當國後，緹騎省減，詔獄漸虛，任事者亦得以功名終。
HCH_012_213_000152	於是論者翕然推階為名相。
HCH_012_213_000153	嚴訥請告歸，命郭樸、高拱入閣，與春芳同輔政，事仍決於階。
HCH_012_213_000154	階數請立太子，不報。
HCH_012_213_000155	已而景王之籓，病薨，階奏奪景府所占陂田數萬頃還之民，楚人大悅。
HCH_012_213_000156	帝欲建雩壇及興都宮殿，階力止之。
HCH_012_213_000157	鄢懋卿驟增鹽課四十萬金，階風御史請復故額。
HCH_012_213_000158	方士胡大順等勸帝餌金丹，階力陳其矯誣狀，大順等尋伏法。
HCH_012_213_000159	帝服餌病躁，戶部主事海瑞極陳帝失，帝恚甚，欲即殺之，階力救得系。
HCH_012_213_000160	帝病甚，忽欲幸興都，階力爭乃止。
HCH_012_213_000161	未幾，帝崩。
HCH_012_213_000162	階草遺詔，凡齋醮、土木、珠寶、織作悉罷，「大禮」大獄、言事得罪諸臣悉牽復之。
HCH_012_213_000163	詔下，朝野號慟感激，比之楊廷和所擬登極詔書，為世宗始終盛事雲。
HCH_012_213_000164	同列高拱、郭樸以階不與共謀，不樂。
HCH_012_213_000165	樸曰：「徐公謗先帝，可斬也。」
HCH_012_213_000166	拱初侍穆宗裕邸，階引之輔政，然階獨柄國，拱心不平。
HCH_012_213_000167	世宗不豫時，給事中胡應嘉嘗劾拱，拱疑階嗾之。
HCH_012_213_000168	隆慶元年，應嘉以救考察被黜者削籍去，言者謂拱修舊郤，脅階，斥應嘉。
HCH_012_213_000169	階復請薄應嘉罰，言者又劾拱。
HCH_012_213_000170	拱欲階擬杖，階從容譬解，拱益不悅。
HCH_012_213_000171	令御史齊康劾階，言其二子多干請及家人橫里中狀。
HCH_012_213_000172	階疏辯，乞休。
HCH_012_213_000173	九卿以下交章劾拱譽階，拱遂引疾歸。
HCH_012_213_000174	康竟斥，樸亦以言者攻之，乞身去。
HCH_012_213_000175	給事、御史多起廢籍，恃階而強，言多過激。
HCH_012_213_000176	帝不能堪，諭階等處之。
HCH_012_213_000177	同列欲擬譴，階曰：「上欲譴，我曹當力爭，乃可導之譴乎。」
HCH_012_213_000178	請傳諭令省改。
HCH_012_213_000179	帝亦勿之罪。
HCH_012_213_000180	是年，詔翰林撰中秋宴致語，階言：「先帝未撤几筵，不可宴樂。」
HCH_012_213_000181	帝為罷宴。
HCH_012_213_000182	帝命中官分督團營，階力陳不可而止。
HCH_012_213_000183	南京振武營兵屢嘩，階欲汰之。
HCH_012_213_000184	慮其據孝陵不可攻也，先令操江都御史唐繼錄督江防兵駐陵傍，而徐下兵部分散之。
HCH_012_213_000185	事遂定。
HCH_012_213_000186	群小璫毆御史於午門，都御史王廷將糾之，階曰：「不得主名，劾何益？且慮彼先誣我。」
HCH_012_213_000187	乃使人以好語誘大璫，先錄其主名。
HCH_012_213_000188	廷疏上，乃分別逮治有差。
HCH_012_213_000189	階之持正應變，多此類也。
HCH_012_213_000190	階所持諍，多宮禁事，行者十八九，中官多側目。
HCH_012_213_000191	會帝幸南海子，階諫，不從。
HCH_012_213_000192	方乞休，而給事中張齊以私怨劾階，階因請歸。
HCH_012_213_000193	帝意亦漸移，許之。
HCH_012_213_000194	賜馳驛。
HCH_012_213_000195	以春芳請，給夫廩，璽書褒美，行人導行，如故事。
HCH_012_213_000196	陛辭，賜白金、寶鈔、彩幣、襲衣。
HCH_012_213_000197	舉朝皆疏留，報聞而已。
HCH_012_213_000198	王廷後刺得張齊納賄事，劾戍之邊。
HCH_012_213_000199	階既行，春芳為首輔，未幾亦歸。
HCH_012_213_000200	拱再出，扼階不遺餘力。
HCH_012_213_000201	郡邑有司希拱指，爭齮晷階，盡奪其田，戍其二子。
HCH_012_213_000202	會拱復為居正所傾而罷，事乃解。
HCH_012_213_000203	萬曆十年，階年八十，詔遣行人存問，賜璽書、金幣。
HCH_012_213_000204	明年卒。
HCH_012_213_000205	贈太師，諡文貞。
HCH_012_213_000206	階立朝有相度，保全善類。
HCH_012_213_000207	嘉、隆之政，多所匡救。
HCH_012_213_000208	間有委蛇，亦不失大節。
HCH_012_213_000209	階弟陟，嘉靖二十六年進士。
HCH_012_213_000210	累官南京刑部侍郎。
HCH_012_213_000211	子璠，以廕官太常卿；琨、瑛，尚寶卿。
HCH_012_213_000212	孫元春，進士，亦官太常卿。
HCH_012_213_000213	元春孫本高，官錦衣千戶，天啟中拒魏忠賢建祠奪職。
HCH_012_213_000214	崇禎改元，以薦起，累官左都督。
HCH_012_213_000215	諸生念祖，國變城破，與妻張，二妾陸、李，皆自縊。
HCH_012_213_000216	高拱，字肅卿，新鄭人。
HCH_012_213_000217	嘉靖二十年進士。
HCH_012_213_000218	選庶吉士。
HCH_012_213_000219	逾年，授編修。
HCH_012_213_000220	穆宗居裕邸，出閣請讀，拱與檢討陳以勤併為侍講。
HCH_012_213_000221	世宗諱言立太子，而景王未之國，中外危疑。
HCH_012_213_000222	拱侍裕邸九年，啟王益敦孝謹，敷陳剴切。
HCH_012_213_000223	王甚重之，手書「懷賢忠貞」字賜焉。
HCH_012_213_000224	累遷侍講學士。
HCH_012_213_000225	嚴嵩、徐階遞當國，以拱他日當得重，薦之世宗。
HCH_012_213_000226	拜太常卿，掌國子監祭酒事。
HCH_012_213_000227	四十一年，擢禮部左侍郎。
HCH_012_213_000228	尋改吏部，兼學士，掌詹事府事。
HCH_012_213_000229	進禮部尚書，召入直廬。
HCH_012_213_000230	撰齋詞，賜飛魚服。
HCH_012_213_000231	四十五年，拜文淵閣大學士，與郭樸同入閣。
HCH_012_213_000232	拱與樸皆階所薦也。
HCH_012_213_000233	世宗居西苑，閣臣直廬在苑中。
HCH_012_213_000234	拱未有子，移家近直廬，時竊出。
HCH_012_213_000235	一日，帝不豫，誤傳非常，拱遽移具出。
HCH_012_213_000236	始階甚親拱，引入直。
HCH_012_213_000237	拱驟貴，負氣頗忤階。
HCH_012_213_000238	給事中胡應嘉，階鄉人也，以劾拱姻親自危。
HCH_012_213_000239	且瞷階方與拱郤，遂劾拱不守直廬，移器用於外。
HCH_012_213_000240	世宗病，勿省也。
HCH_012_213_000241	拱疑應嘉受階指，大憾之。
HCH_012_213_000242	穆宗即位，進少保兼太子太保。
HCH_012_213_000243	階雖為首輔，而拱自以帝舊臣，數與之抗，樸復助之，階漸不能堪。
HCH_012_213_000244	而是時以勤與張居正皆入閣，居正亦侍裕邸講。
HCH_012_213_000245	階草遺詔，獨與居正計，拱心彌不平。
HCH_012_213_000246	會議登極賞軍及請上裁去留大臣事，階悉不從拱議，嫌益深。
HCH_012_213_000247	應嘉掌吏科，佐部院考察，事將竣，忽有所論救。
HCH_012_213_000248	帝責其牴牾，下閣臣議罰。
HCH_012_213_000249	樸奮然曰：「應嘉無人臣禮，當編氓。」
HCH_012_213_000250	階旁睨拱，見拱方怒，勉從之。
HCH_012_213_000251	言路謂拱以私怨逐應嘉，交章劾之。
HCH_012_213_000252	給事中歐陽一敬劾拱尤力。
HCH_012_213_000253	階於拱辯疏，擬旨慰留，而不甚譴言者。
HCH_012_213_000254	拱益怒，相與忿詆閣中。
HCH_012_213_000255	御史齊康為拱劾階，康坐黜。
HCH_012_213_000256	於是言路論拱者無虛日，南京科道至拾遺及之。
HCH_012_213_000257	拱不自安，乞歸，遂以少傅兼太子太傅、尚書、大學士養病去。
HCH_012_213_000258	隆慶元年五月也。
HCH_012_213_000259	拱以舊學蒙眷注，性強直自遂，頗快恩怨，卒不安其位去。
HCH_012_213_000260	既而階亦乞歸。
HCH_012_213_000261	三年冬，帝召拱以大學士兼掌吏部事。
HCH_012_213_000262	拱乃盡反階所為，凡先朝得罪諸臣以遺詔錄用贈恤者，一切報罷。
