HCH_012_232_000209	因言：「諸臣只以議論意見一觸當途，遂永棄不收，要之於陛下無忤。今乃假天子威以錮諸臣，復假忤主之名以文己過。負國負君，罪莫大此。」
HCH_012_232_000210	意為憲成諸人發。
HCH_012_232_000211	已，復極陳朝政廢壞，請帝奮然有為，與天下更始。
HCH_012_232_000212	且力言遼左阽危，必難永保狀。
HCH_012_232_000213	帝皆置不省。
HCH_012_232_000214	三才揮霍有大略，在淮久，以折稅監得民心。
HCH_012_232_000215	及淮、徐歲侵，又請振恤，蠲馬價。
HCH_012_232_000216	淮人深德之。
HCH_012_232_000217	屢加至戶部尚書。
HCH_012_232_000218	會內閣缺人，建議者謂不當專用詞臣，宜與外僚參用，意在三才。
HCH_012_232_000219	及都御史缺，需次內召。
HCH_012_232_000220	由是忌者日眾，謗議紛然。
HCH_012_232_000221	工部郎中邵輔忠遂劾三才大奸似忠，大詐似直，列具貪偽險橫四大罪，御史徐兆魁繼之。
HCH_012_232_000222	三才四疏力辨，且乞休。
HCH_012_232_000223	給事中馬從龍、御史董兆舒、彭端吾、南京給事中金士衡相繼為三才辨。
HCH_012_232_000224	大學士葉向高言三才已杜門待罪，宜速定去留，為漕政計。
HCH_012_232_000225	皆不報。
HCH_012_232_000226	已而南京兵部郎中錢策，南京給事中劉時俊，御史劉國縉、喬應甲，給事中王紹徵、徐紹吉、周永春、姚宗文、朱一桂、李瑾，南京御史張邦俊、王萬祚，復連章劾三才。
HCH_012_232_000227	而給事中胡忻、曹於汴，南京給事中段然，御史史學遷、史記事、馬孟禎、王基洪，又交章論救。
HCH_012_232_000228	朝端聚訟，迄數月未已。
HCH_012_232_000229	憲成乃貽書向高，力稱三才廉直，又貽書孫丕揚力辨之。
HCH_012_232_000230	御史吳亮素善三才，即以兩書附傳邸報中，由是議者益嘩。
HCH_012_232_000231	應甲復兩疏力訐，至列其十貪五奸。
HCH_012_232_000232	帝皆不省。
HCH_012_232_000233	三才亦力請罷，疏至十五上。
HCH_012_232_000234	久不得命，遂自引去。
HCH_012_232_000235	帝亦不罪也。
HCH_012_232_000236	三才既家居，忌者慮其復用。
HCH_012_232_000237	四十二年，御史劉光復劾其盜皇木營建私第至二十二萬有奇。
HCH_012_232_000238	且言三才與於玉立遙執相權，意所欲用，銓部輒為推舉。
HCH_012_232_000239	三才疏辨，請遣中官按問。
HCH_012_232_000240	給事中劉文炳、御史李徵儀、工部郎中聶心湯、大理丞王士昌，助光復力攻三才。
HCH_012_232_000241	徵儀、心湯，三才嘗舉吏也。
