HCH_012_239_000197	土蠻、黑石炭等以萬餘騎犯一片石，總兵官胡鎮禦之，一元功最，超俸三級，遷石門寨參將。
HCH_012_239_000198	隆慶初，破敵棒槌崖，功復最。
HCH_012_239_000199	再進二級，遷副總兵，駐防古北口。
HCH_012_239_000200	移守宣府。
HCH_012_239_000201	萬曆十一年以都督僉事為昌平總兵官，尋徙宣府。
HCH_012_239_000202	十五年徙薊州。
HCH_012_239_000203	久之，劾罷。
HCH_012_239_000204	鄭洛經略洮、河，命一元練兵西寧。
HCH_012_239_000205	火落赤入犯，一元擊之西川，多所斬獲。
HCH_012_239_000206	尋以副總兵協守寧夏，擢延綏總兵官。
HCH_012_239_000207	哱拜之亂，套中諸部長悉助之。
HCH_012_239_000208	一元乘其西掠，輕騎搗土昧巢，獲首功百三十，驅其畜產而還，寇內顧引去。
HCH_012_239_000209	進署都督同知，入為中府僉事。
HCH_012_239_000210	遼東自李成梁後，代以楊紹勳，一歲三失事。
HCH_012_239_000211	尤繼先繼之，半歲病去。
HCH_012_239_000212	廷議擇帥，乃以命一元。
HCH_012_239_000213	泰寧速把亥為官軍所殺，其次子把兔兒常欲復讐。
HCH_012_239_000214	從父炒花及姑壻花大助之，勢益強。
HCH_012_239_000215	西部卜言台周，故插漢土蠻子也，部衆十餘萬，與把兔兒東西相倚，數侵邊。
HCH_012_239_000216	至是卜言合一克灰正、腦毛大諸部，聲犯廣寧。
HCH_012_239_000217	而把兔兒以炒花、花大、煖兔、伯言兒之衆營舊遼陽，將入掠鎮武、錦、義。
HCH_012_239_000218	一元與巡撫李化龍策曰：「卜言雖衆，然去邊遠，我特患把兔兒及炒花耳。今其衆不過萬騎，破之則西部將不戰走。」
HCH_012_239_000219	乃遣副將孫守廉馳右屯禦西部，而親將大軍匿鎮武外，為空營待之。
HCH_012_239_000220	寇騎馳入營，大笑，以為怯，乃深入。
HCH_012_239_000221	官軍忽從中起，奮呼陷陣，自午至酉。
HCH_012_239_000222	寇大奔，逐北七十餘里，至白沙堝。
HCH_012_239_000223	俘斬五百四十有奇，獲馬駝二千計。
HCH_012_239_000224	伯言兒中矢死，把兔兒亦傷，餘衆終夜馳，天明駐馬環哭。
HCH_012_239_000225	其明日，卜言台周入右屯，攻五日夜。
HCH_012_239_000226	守廉等固守，乃引去。
HCH_012_239_000227	時二十二年十月也。
HCH_012_239_000228	捷聞，帝大喜，祭告郊廟，宣捷行賞，進一元左都督，加太子太保，廕本衞世指揮使。
HCH_012_239_000229	兵部尚書石星以下亦進秩有差。
HCH_012_239_000230	伯言兒最慓悍，諸部倚以為強。
HCH_012_239_000231	嘗誘殺慶雲守備王鳳翔，坐革歲賞。
HCH_012_239_000232	至是被殲，諸部為奪氣，其部下遂納款。
HCH_012_239_000233	把兔兒、炒花及卜言台周、瓜兔兒、歹青復臨邊駐牧，期以明年正月略遼、瀋東西。
HCH_012_239_000234	一元慮歲晏不備，為寇所乘，乃先西巡以遏其鋒。
HCH_012_239_000235	化龍亦留弱卒廣寧，數西發以疑寇。
HCH_012_239_000236	一元提健卒，踏冰渡河，監軍楊鎬與之俱。
HCH_012_239_000237	度墨山，天大雪，將士氣益奮。
HCH_012_239_000238	行四百里，三日夜乃抵其巢。
HCH_012_239_000239	斬首百二十級，獲牛馬甲仗無算，全師而還。
HCH_012_239_000240	把兔兒以鎮武創重，歎曰：「我竟不獲報父讐乎？」
HCH_012_239_000241	未幾死，其衆散亂，諸部悉遠遁。
HCH_012_239_000242	一元以功進世廕二秩。
HCH_012_239_000243	久之，以病歸，命王保代。
HCH_012_239_000244	朝鮮再用師，詔一元隸總督邢玠麾下，參贊軍事。
HCH_012_239_000245	尋代李如梅為禦倭總兵官。
HCH_012_239_000246	時兵分四路。
HCH_012_239_000247	一元由中路，禦石曼子於泗州，先拔晉州，下望晉，乘勝濟江，連毀永春、昆陽二寨。
HCH_012_239_000248	賊退保泗州老營，攻下之，遊擊盧得功陣歿。
HCH_012_239_000249	前逼新寨。
HCH_012_239_000250	寨三面臨江，一面通陸，引海為濠，海艘泊寨下千計，築金海、固城為左右翼。
HCH_012_239_000251	一元分馬步夾攻。
HCH_012_239_000252	步兵遊擊彭信古用大棓擊寨，碎其數處。
HCH_012_239_000253	衆軍進逼賊濠，毀其柵。
HCH_012_239_000254	忽營中礮裂，煙燄漲天。
HCH_012_239_000255	賊乘勢衝擊，固城援賊亦至。
HCH_012_239_000256	騎兵諸將先奔，一元亦還晉州。
HCH_012_239_000257	事聞，詔斬遊擊馬呈文、郝三聘，落信古等職，充為事官；一元亦奪宮保，貶秩三等。
HCH_012_239_000258	會關白死，倭遁走。
HCH_012_239_000259	石曼子為陳璘所殲，一元得還故秩，賚銀幣。
HCH_012_239_000260	久之卒。
HCH_012_239_000261	一元歷鎮衝邊，並著勞績。
HCH_012_239_000262	與麻貴、張臣、杜桐、達雲為邊將選云。
HCH_012_239_000263	王保，榆林衞人。
HCH_012_239_000264	驍勇絕倫，起行伍，積功為延綏參將。
HCH_012_239_000265	萬曆十六年遷延綏、定邊副總兵。
HCH_012_239_000266	十九年冬，擢署都督僉事，充昌平總兵官，尋改山西。
HCH_012_239_000267	薊鎮總兵官張邦奇被劾，命保與易任。
HCH_012_239_000268	自嘉靖庚戌後，薊鎮重於他鎮。
HCH_012_239_000269	穆宗有詔，獲大小部長者破格酬，他鎮不得比。
HCH_012_239_000270	迨俺答款塞，宣、大、山西三鎮烽煙寂然。
HCH_012_239_000271	陝西四鎮以火落赤敗盟，始復用兵，然寇弱易禦。
HCH_012_239_000272	獨泰寧、插漢諸部時時犯遼東。
HCH_012_239_000273	而薊門密邇王畿，與遼帥俱慎選。
