HCH_009_113_000235	俄而兵果至，合喜督兵搏戰，卻之，殺數千人。
HCH_009_113_000236	攻益急，將士殊死戰，殺傷者以萬計。
HCH_009_113_000237	夏人焚其攻具，拔柵而去。
HCH_009_113_000238	合喜已先伏甲要地邀之，復率衆躡其後，斬首甚衆。
HCH_009_113_000239	十月，以功遙授平西軍節度使。
HCH_009_113_000240	元光元年，大將萌古不花攻鳳翔，朝廷以主將完顏仲元孤軍不足守禦，命合喜將兵援之。
HCH_009_113_000241	二年二月，木華黎國王、斜里吉不花等及夏人步騎數十萬圍鳳翔，東自扶風、岐山，西連汧、隴，數百里間皆其營柵，攻城甚急，合喜盡力，僅能禦之。
HCH_009_113_000242	於是，合喜以同知臨洮府事顏盞蝦蟆戰尤力，遂以便宜升爲通遠軍節度使，上嘉其功，許之。
HCH_009_113_000243	是歲，升簽樞密院事。
HCH_009_113_000244	哀宗即位，拜參知政事，權樞密副使。
HCH_009_113_000245	正大八年十一月，鄧州馳報大元兵破嶢峰關，由金州東下。
HCH_009_113_000246	報至時日已暮，省院官入奏，上曰：「事至於此，奈何？」
HCH_009_113_000247	上即位至是八年，從在東宮日立十三都尉，每尉不下萬人，強壯矯捷，極爲精練。
HCH_009_113_000248	步卒負擔器甲糧糗重至六七斗，一日夜行二百里。
HCH_009_113_000249	忠孝軍萬八千人，皆回紇、河西及中州人夜掠而逃歸者，人有從馬，以騎射選之乃得補。
HCH_009_113_000250	親衛、騎兵、武衛、護衛，遷外諸軍又二十余萬。
HCH_009_113_000251	故頻年有大昌原、倒回穀之捷，士氣既振，遂有一戰之資。
HCH_009_113_000252	至是，院官同奏：「北軍冒萬里之險，曆二年之久，方入武休，其勞苦已極。爲吾計者，以兵屯睢、鄭、昌武、歸德及京畿諸縣，以大將守洛陽、潼關、懷、孟等處，嚴兵備之。京師積糧數百萬斛，令河南州郡堅壁清野，百姓不能入城者聚保山砦。彼深入之師，欲攻不能，欲戰不得，師老食盡，不擊自歸矣。」
HCH_009_113_000253	上太息曰：「南渡二十年，所在之民破田宅、鬻妻子以養軍士。且諸軍無慮二十余萬，今敵至不能迎戰，徒以自保，京城雖存，何以爲國，天下其謂我何！」
HCH_009_113_000254	又曰：「存亡天命，惟不負民可也。」
HCH_009_113_000255	乃詔合達、蒲阿等屯軍襄、鄧。
HCH_009_113_000256	九年正月，兩省軍潰於三峰山，北兵進薄京師。
HCH_009_113_000257	三月庚子，議曹王出質。
HCH_009_113_000258	大兵北行，留速不泬攻城，攻具已辦，既有納質之請，即又云：「有我受命攻城，但曹王出則退，不然不罷也。」
HCH_009_113_000259	壬寅，曹王入辭，宴于宮中。
HCH_009_113_000260	癸卯，北兵立攻具，沿壕列木柵，以薪草填壕，頃刻平十余步。
HCH_009_113_000261	主兵者以議和之故不敢與戰，但於城上坐視而已。
