HCH_012_320_000216	八年八月，陪臣柳溥上言：「國祖李旦係本國全州人。二十八世祖瀚仕新羅為司空。新羅亡，六世孫兢休入高麗。十三世孫安社仕元為南京千戶所達魯花赤。元季兵興，安曾孫子春與男成桂避地東遷。至正辛丑，當恭愍王之十年，有紅巾賊入境，成桂擊賊有功，授武班職事，時尚未知名。恭愍無嗣，陰蓄寵臣辛肫之子禑為子，晚為嬖臣洪倫、內豎崔萬生所弒。權臣李仁人誅倫、萬生而立禑，擢成桂為門下侍中。禑遣成桂侵遼東，成桂不從，返兵。禑懼，遜位於子昌。昌以偽姓見黜，復立王氏裔定昌君瑤，竄仁人於外。瑤復不道，國人戴成桂，請於高皇帝，立為王，更名旦，贍瑤別邸，終其身，實未嘗為弒。前永樂、正德間屢經奏請，俱蒙俞允，而迄未改正。今遇重修會典，乞賜昭雪。」
HCH_012_320_000217	詔送史館編纂。
HCH_012_320_000218	十八年二月，睿宗祔太廟，配享明堂禮成，懌表賀。
HCH_012_320_000219	帝特御奉天門引見，賜宴禮部。
HCH_012_320_000220	二十三年冬，懌卒。
HCH_012_320_000221	二十四年正月來訃，賜諡恭僖。
HCH_012_320_000222	詔立其子峼。
HCH_012_320_000223	峼未踰年卒，賜諡榮靖。
HCH_012_320_000224	九月，峼弟權國事峘遣使謝祭諡，幷請襲封，詔許之。
HCH_012_320_000225	二十五年，峘遣使送下海番人六百餘至邊，賜金幣。
HCH_012_320_000226	二十六年正月，峘咨稱：「福建人從無泛海至本國者，因往日本市易，為風所漂，前後共獲千人以上，皆挾軍器貨物，致中國火礮亦為倭有，恐起兵端。」
HCH_012_320_000227	詔：「頃年沿海奸民犯禁，福建尤甚，往往為外國所獲，有傷國體。海道官員令巡按御史察參。仍賜王銀幣，以旌其忠。」
HCH_012_320_000228	三十一年冬，以洪武、永樂間所賜樂器敝壞，奏求律管，更乞遣樂官赴京校習，許之。
HCH_012_320_000229	三十五年五月有倭船四自浙、直敗還，漂入朝鮮境。
HCH_012_320_000230	峘遣兵擊殲之，得中國被俘及助逆者三十餘人來獻，因賀冬至節，帝賜璽書褒諭。
HCH_012_320_000231	三十八年十一月奏：「今年五月，有倭寇駕船二十五隻來抵海岸，臣命將李鐸等剿殺殆盡，獲中國民陳春等三百餘人，內招通倭嚮導陳得等十六人，俱獻闕下。」
HCH_012_320_000232	復降敕奬勵，厚賚銀幣，幷賜鐸等有差。
HCH_012_320_000233	四十二年九月，峘復上書辨先世非李仁人後，今修會典雖蒙釐正，乞著始祖旦、父子春之名，帝令附錄會典。
HCH_012_320_000234	隆慶元年六月遣官頒即位詔。
HCH_012_320_000235	時帝將幸太學，來使乞留觀禮，許之。
HCH_012_320_000236	是年冬，峘卒，賜諡恭憲，命其姪昖襲封。
HCH_012_320_000237	萬曆元年正月上穆宗尊諡、兩宮徽號禮成，昖表賀，獻方物馬匹。
HCH_012_320_000238	時昖屢請賜皇明會典，為其先康獻王旦雪冤。
HCH_012_320_000239	十六年正月，會典成，適貢使愈泓在京，請給前書，以終前命。
HCH_012_320_000240	許之。
HCH_012_320_000241	十七年十一月，陪臣奇芩等入賀冬至，奏稱本年六月，大琉球國船遭風至海岸，所有男婦合解京，給文放歸。
HCH_012_320_000242	從之。
HCH_012_320_000243	十九年十一月奏，倭酋關白平秀吉聲言明年三月來犯，詔兵部申飭海防。
HCH_012_320_000244	平秀吉者，薩摩州人，初隨倭關白信長。
HCH_012_320_000245	會信長為其下所弒，秀吉遂統信長兵，自號關白，劫降六十餘州。
HCH_012_320_000246	朝鮮與日本對馬島相望，時有倭夷往來互市。
HCH_012_320_000247	二十年夏五月，秀吉遂分渠帥行長、清正等率舟師逼釜山鎮，潛渡臨津。
HCH_012_320_000248	時朝鮮承平久，兵不習戰，昖又湎酒，弛備，猝島夷作難，望風皆潰。
HCH_012_320_000249	昖棄王城，令次子琿攝國事，奔平壤。
HCH_012_320_000250	已，復走義州，願內屬。
HCH_012_320_000251	七月，兵部議令駐劄險要，以待天兵；號召通國勤王，以圖恢復。
HCH_012_320_000252	而是時倭已入王京，毀墳墓，劫王子、陪臣，剽府庫，八道幾盡沒，旦暮且渡鴨綠江，請援之使絡繹於道。
HCH_012_320_000253	廷議以朝鮮為國藩籬，在所必爭。
HCH_012_320_000254	遣行人薛潘諭昖以興復大義，揚言大兵十萬且至。
HCH_012_320_000255	而倭業抵平壤，朝鮮君臣益急，出避愛州。
HCH_012_320_000256	遊擊史儒等率師至平壤，戰死。
HCH_012_320_000257	副總兵祖承訓統兵渡鴨綠江援之，僅以身免。
HCH_012_320_000258	中朝震動，以宋應昌為經略。
HCH_012_320_000259	八月，倭入豐德等郡，兵部尚書石星計無所出，議遣人偵探之，於是嘉興人沈惟敬應募。
HCH_012_320_000260	惟敬者，市中無賴也。
HCH_012_320_000261	是時秀吉次對馬島，分其將行長等守要害為聲援。
HCH_012_320_000262	惟敬至平壤，執禮甚卑。
HCH_012_320_000263	行長紿曰：「天朝幸按兵不動，我不久當還。以大同江為界，平壤以西盡屬朝鮮耳。」
