HCH_012_028_000117	六年八月己巳，長子雨雹，大者如拳，傷禾稼，人有擊死者。
HCH_012_028_000118	辛未，雨雹，大如彈丸，平地壅積。
HCH_012_028_000119	八年二月壬申，永嘉暴風雨，雨雹，大如雞卵，小如彈丸，積地尺餘，白霧四起，毀屋殺黍，禽鳥多死。
HCH_012_028_000120	三月己亥，桐城雨雹，深五尺，殺二麥。
HCH_012_028_000121	己酉，淮、鳳州縣暴風雨雹，殺麥。
HCH_012_028_000122	四月乙亥，常州、泗、邳雨雹，深五寸，殺麥及菜。
HCH_012_028_000123	丙子，沂州雨雹，大者如盤，小者如碗，人畜多擊死。
HCH_012_028_000124	六月乙卯，雨雹。
HCH_012_028_000125	七月乙酉，洮州衛雨冰雹，殺禾。
HCH_012_028_000126	暴水至，人畜多溺死者。
HCH_012_028_000127	丙戌，甘肅西寧大雨雹，殺禾及畜。
HCH_012_028_000128	九年五月丙辰，雨雹。
HCH_012_028_000129	十年二月己卯，江西新城雨冰雹，民有凍死者。
HCH_012_028_000130	三月丁卯，北通州雨冰，深一尺。
HCH_012_028_000131	十三年八月戊子，雨雹。
HCH_012_028_000132	丙午，又雨雹。
HCH_012_028_000133	九月壬戌，又雨雹。
HCH_012_028_000134	十四年四月丁酉，徐州、清河、桃源、宿遷雨冰雹，平地五寸，夏麥盡爛。
HCH_012_028_000135	五月乙亥，登、萊二府雨雹殺禾。
HCH_012_028_000136	七月辛卯，雨雹。
HCH_012_028_000137	正德元年六月戊辰，宣府馬營堡大雨雹，深二尺，禾稼盡傷。
HCH_012_028_000138	三年四月辛未，涇州雨雹，大如雞卵，壞廬舍菽麥。
HCH_012_028_000139	四年五月甲午，費縣大雨雹，深一尺，壞麥谷。
HCH_012_028_000140	八年十月戊戌，平陽、太原、沁、汾諸屬邑，大雨雹，平地水深丈餘，沖毀人畜廬舍。
HCH_012_028_000141	十一年六月甲戌，宣府大雨雹，禾稼盡死。
HCH_012_028_000142	九月丙申，貴州大雨雹。
HCH_012_028_000143	十二年五月己亥，安肅大雨雹，平地水深三尺，傷禾，民有擊死者。
HCH_012_028_000144	十三年四月壬午，衡州疾風迅雷，雨雹，大如鵝子，棱利如刀，碎屋，斷樹木如剪。
HCH_012_028_000145	嘉靖元年四月甲申，雲南左衛各屬雨雹，大如雞子，禾苗房屋被傷者無算。
HCH_012_028_000146	五月己未，蓬溪雨雹，大如鵝子，傷亦如之。
HCH_012_028_000147	二年五月丁丑，大同前衛雨雹。
HCH_012_028_000148	四年四月丁未，大同衛雨雹。
HCH_012_028_000149	五月戊子，固安雨雹。
HCH_012_028_000150	五年五月甲辰，滿城雨雹。
HCH_012_028_000151	六月丁巳，大同縣雨冰雹，俱大如雞子。
HCH_012_028_000152	丁卯，萬全都司及宣府皆雨雹，大者如甌，深尺餘。
HCH_012_028_000153	七月癸未，南豐雨雹，大如碗，形如人面。
HCH_012_028_000154	遂昌雨雹，頃刻二尺，大殺麻豆。
HCH_012_028_000155	六年六月癸丑，鎮番衛大雨雹，殺傷三十餘人。
HCH_012_028_000156	十四年三月辛巳，漢中雨雹隕霜殺麥。
HCH_012_028_000157	四月庚子，開封、彰德雨雹殺麥。
HCH_012_028_000158	十八年五月壬辰，慶都、安肅、河間雨冰雹，大如拳，平地五寸，人有死傷者。
HCH_012_028_000159	二十八年三月庚寅，臨清大冰雹，損房舍禾苗。
HCH_012_028_000160	六月丁卯，延川雨雹如鬥，壞廬舍，傷人畜。
HCH_012_028_000161	三十四年五月庚子，鳳陽大冰雹，壞民田舍。
HCH_012_028_000162	三十六年三月癸未，沂州雨雹，大如盂，小如雞卵，平地尺餘，徑八十里，人畜傷損無算。
HCH_012_028_000163	四十三年閏二月甲申，雨雹。
HCH_012_028_000164	四月庚寅，又雨雹。
HCH_012_028_000165	隆慶元年七月辛巳，紫荊關雨雹，殺稼七十里。
HCH_012_028_000166	三年三月辛未，平溪衛雨雹。
HCH_012_028_000167	平地水涌三尺，漂沒廬舍。
HCH_012_028_000168	四月己丑，鄖陽縣雨雹。
HCH_012_028_000169	平地水深二尺。
HCH_012_028_000170	五月癸丑，延綏口北馬營堡雨雹，殺稼七十里。
HCH_012_028_000171	四年四月辛酉，宣府、大同雨雹，厚三尺餘，大如卵，禾苗盡傷。
HCH_012_028_000172	五年四月戊午，大雨雹。
HCH_012_028_000173	六年八月乙丑，祁、定二州大雨雹，傷損禾菽，擊斃三人。
HCH_012_028_000174	萬曆元年五月辛巳，雨雹。
HCH_012_028_000175	四年四月丙午，博興大雨雹，如拳如卵，明日又如之，擊死男婦五十餘人，牛馬無算，禾麥毀盡。
HCH_012_028_000176	兗州相繼損禾。
HCH_012_028_000177	五月乙巳，定襄雨雹，大者如卵，禾苗盡損。
HCH_012_028_000178	九年八月庚子，遼東等衛雨雹，如雞卵，禾盡傷。
HCH_012_028_000179	十一年閏二月丁卯，泰州、寶應雨雹如雞子，殺飛鳥無算。
HCH_012_028_000180	五月庚子，大雨雹。
HCH_012_028_000181	十三年五月乙酉，宛平大雨雹，傷人畜千計。
HCH_012_028_000182	十五年五月癸巳，喜峯口大雨雹，如棗慄，積尺餘，田禾瓜果盡傷。
HCH_012_028_000183	十九年四月壬子，雨雹。
HCH_012_028_000184	二十一年二月庚寅，貴陽府大雨雹。
HCH_012_028_000185	十月丙戌，武進、江陰大冰雹，傷五穀。
HCH_012_028_000186	二十三年五月乙酉，臨邑雨雹，盡作男女鳥獸形。
HCH_012_028_000187	二十五年八月壬戌，風雹。
HCH_012_028_000188	二十八年六月，山東大風雹，擊死人畜，傷禾苗。
HCH_012_028_000189	河南亦雨冰雹，傷禾麥。
HCH_012_028_000190	三十年四月己未，大雨雹。
