HCH_012_018_000176	六月癸酉，俺答犯大同，總兵官岳懋戰死。
HCH_012_018_000177	己丑，侍郎陳儒振大同軍士。
HCH_012_018_000178	秋八月癸未，倭犯嘉定，官軍敗之。
HCH_012_018_000179	庚寅，復戰，敗績。
HCH_012_018_000180	九月丁卯，俺答犯古北口，總督楊博禦卻之。
HCH_012_018_000181	是年，暹羅、土魯番、天方、撒馬兒罕、烏斯藏入貢。
HCH_012_018_000182	三十四年春正月丁酉朔，倭陷崇德，攻德清。
HCH_012_018_000183	二月丙戌，工部侍郎趙文華祭海，兼區處防倭。
HCH_012_018_000184	是月，俺答犯薊鎮，參將趙傾葵等戰死。
HCH_012_018_000185	三月甲寅，蘇松兵備副使任環敗倭於南沙。
HCH_012_018_000186	夏四月戊子，俺答犯宣府，參將李光啟被執，不屈死。
HCH_012_018_000187	五月甲午，總督侍郎張經、副總兵俞大猷擊倭於王江涇，大破之。
HCH_012_018_000188	乙巳，倭分道掠蘇州屬縣。
HCH_012_018_000189	己酉，逮張經下獄。
HCH_012_018_000190	六月壬午，兵部侍郎楊宜總督軍務，討倭。
HCH_012_018_000191	秋七月乙巳，倭陷南陵，流劫蕪湖、太平。
HCH_012_018_000192	丙辰，犯南京。
HCH_012_018_000193	八月壬辰，蘇松巡撫都御史曹邦輔敗倭於滸墅。
HCH_012_018_000194	九月乙未，趙文華及巡按御史胡宗憲擊倭於陶宅，敗績。
HCH_012_018_000195	丙午，俺答犯大同、宣府。
HCH_012_018_000196	戊午，犯懷來，京師戒嚴。
HCH_012_018_000197	辛酉，參將馬芳敗寇於保安。
HCH_012_018_000198	是秋，免江北、山東被災秋糧。
HCH_012_018_000199	冬十月庚寅，殺張經及巡撫浙江副都御史李天寵、兵部員外郎楊繼盛。
HCH_012_018_000200	辛卯，倭掠寧波、台州，犯會稽。
HCH_012_018_000201	十一月壬辰朔，日有食之。
HCH_012_018_000202	庚申，倭犯興化、泉州。
HCH_012_018_000203	閏月丁丑，免畿內水災稅糧。
HCH_012_018_000204	十二月甲午，開山東、四川銀礦。
HCH_012_018_000205	壬寅，山西、陝西、河南地大震，河、渭溢，死者八十三萬有奇。
HCH_012_018_000206	是年，琉球入貢。
HCH_012_018_000207	三十五年春正月壬午，官軍擊倭於松江，敗績。
HCH_012_018_000208	二月甲午，振平陽、延安災。
HCH_012_018_000209	己亥，楊宜罷。
HCH_012_018_000210	戊午，吏部尚書李默坐誹謗下錦衣衞獄，論死。
HCH_012_018_000211	巡撫侍郎胡宗憲總督軍務，討倭。
HCH_012_018_000212	三月丁丑，賜諸大綬等進士及第、出身有差。
HCH_012_018_000213	夏四月丙申，振陝西災。
HCH_012_018_000214	甲辰，倭寇無為州，同知齊恩戰死。
HCH_012_018_000215	辛亥，遊擊宗禮擊倭於崇德，敗沒。
HCH_012_018_000216	五月乙丑，趙文華提督江南、浙江軍務。
HCH_012_018_000217	丁亥，左通政王槐採礦銀於玉旺峪。
HCH_012_018_000218	六月丙申，總兵官俞大猷敗倭於黃浦。
HCH_012_018_000219	辛丑，俺答犯宣府，殺遊擊張紘。
HCH_012_018_000220	秋七月辛巳，胡宗憲破倭於乍浦。
HCH_012_018_000221	八月壬寅，詔採芝。
HCH_012_018_000222	辛亥，胡宗憲襲破海賊徐海於梁莊。
HCH_012_018_000223	九月乙丑，徽王載埨有罪，廢為庶人。
HCH_012_018_000224	免南畿被災稅糧。
HCH_012_018_000225	壬午，以平浙江倭，祭告郊廟社稷。
HCH_012_018_000226	冬十月丙戌朔，日有食之。
HCH_012_018_000227	十一月戊午，打來孫犯廣寧，總兵官殷尚質等戰死。
HCH_012_018_000228	十二月丁未，犯環慶。
HCH_012_018_000229	三十六年春二月，俺答犯大同。
HCH_012_018_000230	三月壬午，把都兒寇遷安，副總兵蔣承勛力戰死。
HCH_012_018_000231	是月，吉能寇延綏，殺副總兵陳鳳。
HCH_012_018_000232	夏四月丙申，奉天、華蓋、謹身三殿災。
HCH_012_018_000233	壬寅，下詔引咎修齋五日，止諸司封事，停刑。
HCH_012_018_000234	五月癸丑，倭犯揚、徐，入山東界。
HCH_012_018_000235	癸亥，採木於四川、湖廣。
HCH_012_018_000236	辛未，倭犯天長、盱眙，遂攻泗州。
HCH_012_018_000237	丙子，犯淮安。
HCH_012_018_000238	六月乙酉，兵備副使于德昌、參將劉顯敗倭於安東。
HCH_012_018_000239	甲午，罷陝西礦。
HCH_012_018_000240	秋七月庚午，詔廣東採珠。
HCH_012_018_000241	九月，俺答子辛愛寇應、朔，毀七十餘堡。
HCH_012_018_000242	冬十一月丁丑，辛愛圍右衞城。
HCH_012_018_000243	是冬，免山東、浙江被災稅糧。
HCH_012_018_000244	是年，琉球入貢。
HCH_012_018_000245	三十七年春正月癸亥，罷河南礦。
HCH_012_018_000246	三月辛未，始免三大營聽征官軍營造工役。
HCH_012_018_000247	夏四月癸未，振遼東饑。
HCH_012_018_000248	辛巳，倭分犯浙江、福建。
HCH_012_018_000249	秋八月己未，吉能犯永昌、涼州，圍甘州。
HCH_012_018_000250	冬十月癸丑，禮部進瑞芝一千八百六十本，詔廣求徑尺以上者。
HCH_012_018_000251	十一月丁亥，諭法司恤刑。
HCH_012_018_000252	是年，琉球、暹羅入貢。
HCH_012_018_000253	三十八年春二月庚午，把都兒犯潘家口，渡灤河，逼三屯營。
HCH_012_018_000254	三月己卯，掠遷安、薊州、玉田。
HCH_012_018_000255	庚寅，賜丁士美等進士及第、出身有差。
HCH_012_018_000256	癸巳，倭犯浙東，海道副使譚綸敗之。
HCH_012_018_000257	甲午，逮浙江總兵官俞大猷。
HCH_012_018_000258	夏四月丁未，倭犯通州。
HCH_012_018_000259	甲寅，倭攻福州。
HCH_012_018_000260	庚申，倭攻淮安，巡撫鳳陽都御史李遂敗之於姚家蕩，倭退據廟灣。
HCH_012_018_000261	丙寅，副使劉景韶大破倭於印莊。
HCH_012_018_000262	五月辛巳，逮總督薊遼右都御史王忬下獄。
HCH_012_018_000263	甲午，劉景韶破倭於廟灣，江北倭平。
HCH_012_018_000264	六月乙巳，辛愛犯大同。
HCH_012_018_000265	秋八月己未，李遂、胡宗憲破倭於劉家莊。
HCH_012_018_000266	甲子，振遼東饑，給牛種。
HCH_012_018_000267	是月，俺答犯土木，遊擊董國忠等戰死。
HCH_012_018_000268	九月，犯宣府。
HCH_012_018_000269	是年，土魯番、天方、撒馬兒罕、魯迷、哈密、暹羅入貢。
HCH_012_018_000270	三十九年春正月丙戌，俺答犯宣府。
HCH_012_018_000271	二月丁巳，南京振武營兵變，殺總督糧儲侍郎黃懋官。
HCH_012_018_000272	戊午，振順天、永平饑。
HCH_012_018_000273	倭犯潮州。
HCH_012_018_000274	三月癸未，大同總兵官劉漢襲敗兀慎於灰河。
HCH_012_018_000275	丁亥，打來孫犯廣寧，陷中前所，殺守備武守爵、黃廷勛。
HCH_012_018_000276	夏五月壬午，振山西三關饑。
HCH_012_018_000277	壬辰，盜入廣東博羅縣，殺知縣舒顓。
HCH_012_018_000278	秋七月乙丑朔，把都兒犯薊西，遊擊胡鎮禦卻之。
HCH_012_018_000279	庚午，劉漢襲俺答於豐州，破之。
HCH_012_018_000280	九月己巳，俺答犯朔州、廣武。
HCH_012_018_000281	冬十二月，土蠻犯海州東勝堡。
HCH_012_018_000282	是月，閩、廣賊犯江西。
HCH_012_018_000283	是年，免畿內、山西、山東、湖廣、陝西被災稅糧。
HCH_012_018_000284	暹羅入貢。
HCH_012_018_000285	四十年春二月辛卯朔，日當食，不見。
HCH_012_018_000286	振山東饑。
HCH_012_018_000287	丁未，景王之國。
HCH_012_018_000288	三月壬戌，振京師饑。
HCH_012_018_000289	夏四月丁未，振山西饑。
HCH_012_018_000290	五月乙亥，李本以憂去。
HCH_012_018_000291	閏月丙辰，賊犯泰和，殺副使汪一中、指揮王應鵬。
HCH_012_018_000292	秋七月己丑朔，日有食之。
HCH_012_018_000293	庚戌，俺答犯宣府，副總兵馬芳禦卻之。
HCH_012_018_000294	九月庚子，犯居庸關，參將胡鎮禦卻之。
HCH_012_018_000295	辛丑，振南畿災。
HCH_012_018_000296	冬十一月甲午，禮部尚書袁煒為戶部尚書兼武英殿大學士，預機務。
HCH_012_018_000297	庚戌，吉能犯寧夏，進逼固原。
HCH_012_018_000298	辛亥，萬壽宮災。
HCH_012_018_000299	十二月丙寅，把都兒犯遼東蓋州。
HCH_012_018_000300	是年，烏斯藏入貢。
HCH_012_018_000301	四十一年春三月辛卯，白兔生子，禮部請告廟，許之，羣臣表賀。
HCH_012_018_000302	壬寅，賜申時行等進士及第、出身有差。
