HCH_012_321_000102	師次芹站，遂造浮橋於昌江以濟。
HCH_012_321_000103	前鋒抵富良江北嘉林縣，而輔由芹站西取他道至北江府新福縣，諜晟、彬軍亦自雲南至白鶴，乃遣驃騎將軍朱榮往會之。
HCH_012_321_000104	時輔等分道進兵，所至皆克。
HCH_012_321_000105	賊乃緣江樹柵，增築土城於多邦隘，城柵連九百餘里，大發江北民二百餘萬守之。
HCH_012_321_000106	諸江海口皆下木樁，所居東都，嚴守備，水陸兵號七百萬，欲持久以老官軍。
HCH_012_321_000107	輔等乃移營三帶州箇招市江口，造戰艦。
HCH_012_321_000108	帝慮賊緩師以待瘴癘，敕輔等必以明年春滅賊。
HCH_012_321_000109	十二月，晟次洮江北岸，與多邦城對壘。
HCH_012_321_000110	輔遣旭攻洮江州，造浮橋濟師，遂俱抵城下，攻拔之。
HCH_012_321_000111	賊所恃惟此城，既破，膽裂。
HCH_012_321_000112	大軍循富良江南下，遂擣東都。
HCH_012_321_000113	賊棄城走，大軍入據之，薄西都。
HCH_012_321_000114	賊大燒宮室，駕舟入海。
HCH_012_321_000115	郡縣相繼納款，抗拒者輒擊破之。
HCH_012_321_000116	士民上書陳黎氏罪惡，日以百數。
HCH_012_321_000117	五年正月大破季犛於木丸江，宣詔訪求陳氏子孫。
HCH_012_321_000118	於是耆老千一百二十餘人詣軍門，言：「陳氏為黎賊殺盡，無可繼者。安南本中國地，乞仍入職方，同內郡。」
HCH_012_321_000119	輔等以聞。
HCH_012_321_000120	尋大破賊於富良江，季犛父子以數舟遁去。
HCH_012_321_000121	諸軍水陸並追，次茶籠縣，知季犛走乂安，遂循舉厥江，追至日南州奇羅海口，命柳升出海追之。
HCH_012_321_000122	賊數敗，不能軍。
HCH_012_321_000123	五月獲季犛及偽太子於高望山，安南盡平。
HCH_012_321_000124	羣臣請如耆老言，設郡縣。
HCH_012_321_000125	六月朔，詔告天下，改安南為交阯，設三司：以都督僉事呂毅掌都司事，黃中副之，前工部侍郎張顯宗、福建布政司左參政王平為左、右布政使，前河南按察使阮友彰為按察使，裴伯耆授右參議，又命尚書黃福兼掌布、按二司事。
HCH_012_321_000126	設交州、北江、諒江、三江、建平、新安、建昌、奉化、清化、鎮蠻、諒山、新平、演州、乂安、順化十五府，分轄三十六州，一百八十一縣。
HCH_012_321_000127	又設太原、宣化、嘉興、歸化、廣威五州，直隸布政司，分轄二十九縣。
HCH_012_321_000128	其他要害，咸設衞所控制之。
HCH_012_321_000129	乃敕有司，陳氏諸王被弒者咸予贈謚，建祠治塚，各置灑掃二十戶。
HCH_012_321_000130	宗族被害者贈官，軍民死亡暴露者瘞埋之。
HCH_012_321_000131	居官者仍其舊，與新除者參治。
HCH_012_321_000132	黎氏苛政一切蠲除，遭刑者悉放免。
HCH_012_321_000133	禮待高年碩德。
HCH_012_321_000134	鰥寡孤獨無告者設養濟院。
HCH_012_321_000135	懷才抱德之彥敦遣赴京。
HCH_012_321_000136	又詔訪求山林隱逸、明經博學、賢良方正、孝弟力田、聰明正直、廉能幹濟、練達吏事、精通書算、明習兵法及容貌魁岸、語言便利、膂力勇敢、陰陽術數、醫藥方脈諸人，悉以禮敦致，送京錄用。
HCH_012_321_000137	於是張輔等先後奏舉九千餘人。
HCH_012_321_000138	九月，季犛、蒼父子俘至闕下，與偽將相胡杜等悉屬吏。
HCH_012_321_000139	赦蒼弟衞國大王澄、子芮，所司給衣食。
HCH_012_321_000140	六年六月，輔等振旅還京，上交阯地圖，東西一千七百六十里，南北二千八百里。
HCH_012_321_000141	安撫人民三百一十二萬有奇，獲蠻人二百八萬七千五百有奇，象、馬、牛二十三萬五千九百有奇，米粟一千三百六十萬石，船八千六百七十餘艘，軍器二百五十三萬九千八百。
HCH_012_321_000142	於是大行封賞，輔進英國公，晟黔國公，餘敍賚有差。
HCH_012_321_000143	時中朝所置吏，務以寬厚輯新造，而蠻人自以非類，數相驚恐。
HCH_012_321_000144	陳氏故官簡定者，先降，將遣詣京師，偕其黨陳希葛逃去，與化州偽官鄧悉、阮帥等謀亂。
HCH_012_321_000145	定乃僭大號，紀元興慶，國曰大越。
HCH_012_321_000146	出沒乂安、化州山中，伺大軍還，即出攻盤灘鹹子關，扼三江府往來孔道，寇交州近境。
HCH_012_321_000147	慈廉、威蠻、上洪、天堂、應平、石室諸州縣皆嚮應，守將屢出討，皆無功。
HCH_012_321_000148	事聞，命沐晟為征夷將軍，統雲南、貴州、四川軍四萬人，由雲南征討。
HCH_012_321_000149	而遣使齎敕招降者予世官。
HCH_012_321_000150	賊不應，晟與戰生厥江，大敗，呂毅及參贊尚書劉儁死之。
HCH_012_321_000151	七年，敗書聞，益發南畿、浙江、江西、福建、湖廣、廣東、廣西軍四萬七千人，從英國公輔征之。
HCH_012_321_000152	輔以賊負江海，不利陸師，乃駐北江仙游，大造戰艦，而撫諸遭寇逋播者，遂連破慈廉、廣威諸營柵。
HCH_012_321_000153	偵其黨鄧景異扼南策州盧渡江太平橋，乃進軍鹹子關。
HCH_012_321_000154	偽金吾將軍阮世每眾二萬，對岸立寨柵，列船六百餘艘，樹樁東南以扞蔽。
HCH_012_321_000155	時八月，西北風急，輔督陳旭、朱廣、俞讓、方政等舟齊進，礮矢飆發，斬首三千級，生擒偽監門將軍潘低等二百餘人，獲船四百餘艘。
HCH_012_321_000156	遂進擊景異，景異先走，乃定交州、北江、諒江、新安、建昌、鎮蠻諸府。
HCH_012_321_000157	追破景異太平海口，獲其黨范必栗。
HCH_012_321_000158	時阮帥等推簡定為太上皇，別立陳季擴為帝，紀元重光。
HCH_012_321_000159	乃遣使自稱前安南王孫，求封爵。
HCH_012_321_000160	輔叱斬之，由黃江、阿江、大安海口至福成江，轉入神投海口，盡去賊所樹樁柵。
HCH_012_321_000161	十餘日抵清化，水陸畢會。
HCH_012_321_000162	定已奔演州，季擴走乂安，帥、景異等亦散亡。
HCH_012_321_000163	於是駐軍，捕餘黨。
HCH_012_321_000164	定走美良縣吉利柵，輔等窮追及之。
HCH_012_321_000165	定走入山，大索不得，遂圍之，幷其偽將相陳希葛、阮汝勵、阮晏等俱就擒。
HCH_012_321_000166	先是，賊黨阮師檜僭王，與偽金吾上將軍杜元措等據東潮州安老縣之宜陽社，眾二萬餘人。
HCH_012_321_000167	八年正月，輔進擊之，斬首四千五百餘級，擒其黨范支、陳原卿、阮人柱等二千餘人，悉斬之，築京觀。
HCH_012_321_000168	輔將班師，言：「季擴及黨阮帥、胡具、鄧景異等尚在演州、乂安，逼清化。而鄧鎔塞神投福成江口，據清化要路，出沒乂安諸處。若諸軍盡還，恐沐晟兵少不敵。請留都督江浩，都指揮俞讓、花英、師祐等軍，佐晟守禦。」
HCH_012_321_000169	從之。
HCH_012_321_000170	五月，晟追季擴至虞江，賊棄柵遁。
HCH_012_321_000171	追至古靈縣及會潮、靈長海口，斬首三千餘級，獲偽將軍黎弄。
HCH_012_321_000172	季擴大蹙，奉表乞降。
HCH_012_321_000173	帝心知其詐，姑許之，詔授交阯布政使，阮帥、胡具、鄧景異、鄧鎔並都指揮，陳原樽右參政，潘季祐按察副使。
HCH_012_321_000174	詔既下，念賊無悛心，九年復命輔督軍二萬四千，合晟軍討之。
HCH_012_321_000175	賊據月常江，樹樁四十餘丈，兩崖置柵二三里，列船三百餘艘，設伏山右。
HCH_012_321_000176	秋，輔、晟等水陸並進，阮帥、胡具、鄧景異、鄧鎔等來拒。
HCH_012_321_000177	輔令朱廣等連艦拔樁以進，自率方政等以步隊剿其伏兵，水陸夾攻。
HCH_012_321_000178	賊大敗，帥等皆散走。
HCH_012_321_000179	生擒偽將軍鄧宗稷、黎德彝、阮忠、阮軒等，獲船百二十艘。
HCH_012_321_000180	輔乃督水軍剿季擴，聞石室、福安諸州縣，偽龍虎將軍黎蕊等斷銳江浮橋阻生厥江交州後衞道路，遂往征之。
HCH_012_321_000181	蕊及范慷來拒，蕊中矢死。
HCH_012_321_000182	斬偽將軍阮陁，獲偽將軍楊汝梅、防禦使馮翕，斬首千五百級，追殺餘賊殆盡。
HCH_012_321_000183	慷及杜箇旦、鄧明、阮思瑊等亦就擒。
HCH_012_321_000184	十年，輔督方政等擊賊舟於神投海，大敗之，擒偽將軍陳磊、鄧汝戲等。
HCH_012_321_000185	阮帥等遠遁，追之不及。
HCH_012_321_000186	輔軍至乂安土黃，偽少保潘季祐等請降，率偽官十七人上謁。
HCH_012_321_000187	輔承制授季祐按察副使，署乂安府事。
HCH_012_321_000188	於是偽將軍、觀察、安撫、招討諸使陳敏、阮士勤、陳全勖、陳全敏等相繼降。
HCH_012_321_000189	明年，輔及晟合軍至順州。
HCH_012_321_000190	阮帥等設伏愛子江，而據昆傳山險，列象陣迎敵。
HCH_012_321_000191	諸軍大破之，生擒偽將軍潘徑、阮徐等五十六人，追至愛母江。
HCH_012_321_000192	賊潰散，鄧鎔弟偽侯鐵及將軍潘魯、潘勤等盡降。
HCH_012_321_000193	明年春，進軍政和。
HCH_012_321_000194	賊帥胡同降，言偽大將軍景異率黨黎蟾等七百人逃暹蠻昆蒲柵。
HCH_012_321_000195	遂進羅蒙江，舍騎步行，比至，賊已遁。
HCH_012_321_000196	追至叱蒲捺柵，又遁。
HCH_012_321_000197	昏夜行二十餘里，聞更鼓聲，輔率政等銜枚疾趨，黎明抵叱蒲幹柵，江北賊猶寨南岸。
HCH_012_321_000198	官軍渡江圍之，矢中景異脇，擒之。
HCH_012_321_000199	鎔及弟鈗亡走，追擒之，盡獲其眾。
