HCH_010_019_000152	三月己卯，宋以伐夏師還，遣使來賀。
HCH_010_019_000153	四月辛亥，高麗遣使來貢。
HCH_010_019_000154	閏五月癸丑，清暑永安山。
HCH_010_019_000155	六月丁卯，謁慶陵。
HCH_010_019_000156	己卯，阻卜大王屯禿古斯率諸酋長來朝。
HCH_010_019_000157	庚辰，夏國遣使來貢。
HCH_010_019_000158	辛巳，以西南面招討使蕭普達戰歿，贈同中書門下平章事。
HCH_010_019_000159	秋七月戊申，駐蹕中會川。
HCH_010_019_000160	冬十月甲子，望祀木葉山。
HCH_010_019_000161	十一月壬午朔，回鶻阿薩蘭遣使來貢。
HCH_010_019_000162	甲辰，以同知北院宣徽事蕭阿剌為北府宰相。
HCH_010_019_000163	十二月癸丑，觀漢軍習炮射擊刺。
HCH_010_019_000164	癸亥，決滯獄。
HCH_010_019_000165	十五年春正月乙酉，如混同江。
HCH_010_019_000166	禁契丹以奴婢鬻與漢人。
HCH_010_019_000167	二月乙卯，如長春河。
HCH_010_019_000168	丙寅，蒲盧毛朵界曷懶河戶來附，詔撫之。
HCH_010_019_000169	三月甲申，朝皇太后。
HCH_010_019_000170	乙酉，以應聖節，減死罪，釋徒以下。
HCH_010_019_000171	辛卯，朝皇太后。
HCH_010_019_000172	丁酉，高麗遣使來貢。
HCH_010_019_000173	詔諸道歲具獄訟以聞。
HCH_010_019_000174	夏四月辛亥朔，禁五京吏民擊鞠。
HCH_010_019_000175	戊午，罷遙輦帳戍軍。
HCH_010_019_000176	壬戌，以北女直詳穩蕭高六為奚六部大王。
HCH_010_019_000177	甲子，清暑永安山。
HCH_010_019_000178	甲戌，蒲盧毛朵曷懶河百八十戶來附。
HCH_010_019_000179	六月癸丑，以西京留守耶律馬六為漢人行宮都部署，參知政事楊佶出為武定軍節度使。
HCH_010_019_000180	戊辰，禦清涼殿，放進士王棠等六十八人。
HCH_010_019_000181	甲戌，西北路招討使耶律敵魯古坐贓免官。
HCH_010_019_000182	秋七月乙酉，豳王遂哥薨。
HCH_010_019_000183	戊子，觀獲。
