HCH_015_029_000132	義郷縣長風廟神姓鄧，先經爲縣令，死遂發靈。
HCH_015_029_000133	山圖啓乞加神位輔國將軍。
HCH_015_029_000134	上答曰：「足狗肉便了事，何用階級爲？」
HCH_015_029_000135	轉黃門郎，領羽林四廂直衞。
HCH_015_029_000136	山圖於新林立墅舍，晨夜往還。
HCH_015_029_000137	上謂之曰：「卿罷萬人都督，而輕行郊外。自今往墅，可以仗身自隨，以備不虞。」
HCH_015_029_000138	及疾，上手敕參問，遣醫給藥。
HCH_015_029_000139	永明元年，卒，年六十四。
HCH_015_029_000140	詔賜朝服一具，衣一襲。
HCH_015_029_000141	周盤龍，北蘭陵蘭陵人也。
HCH_015_029_000142	宋世土斷，屬東平郡。
HCH_015_029_000143	盤龍膽氣過人，尤便弓馬。
HCH_015_029_000144	泰始初，隨軍討赭圻賊，躬自鬬戰，陷陣先登。
HCH_015_029_000145	累至龍驤將軍、積射將軍，封晉安縣子，邑四百戶。
HCH_015_029_000146	元徽二年，桂陽賊起，盤龍時爲冗從僕射、騎官主、領馬軍主，隨太祖頓新亭，與屯騎校尉黃回出城南，與賊對陣，尋引還城中，合力拒戰。
HCH_015_029_000147	事寧，除南東莞太守，加前軍將軍，稍至驍騎將軍。
HCH_015_029_000148	昇明元年，出爲假節、督交廣二州軍事、征虜將軍、平越中郎將、廣州刺史，未之官，預平石頭。
HCH_015_029_000149	二年，沈攸之平，司州刺史姚道和懷貳被徵，以盤龍督司州軍事、司州刺史、假節，將軍如故。
HCH_015_029_000150	改封沌陽縣。
HCH_015_029_000151	太祖卽位，進號右將軍。
HCH_015_029_000152	建元二年，虜寇壽春，以盤龍爲軍主、假節，助豫州刺史垣崇祖決水漂漬。
HCH_015_029_000153	盤龍率輔國將軍張倪馬步軍於西澤中奮擊，殺傷數萬人，獲牛馬輜重。
HCH_015_029_000154	上聞之喜，詔曰：「醜虜送死，敢寇壽春，崇祖、盤龍正勒義勇，乘機電奮，水陸斬擊，填川蔽野。師不淹晨，西蕃剋定。斯實將率用命之功，文武爭伐之力。凡厥勳勤，宜時銓序，可符列上。」
HCH_015_029_000155	盤龍愛妾杜氏，上送金鑷二十枚，手敕曰「餉周公阿杜」。
HCH_015_029_000156	轉太子左率。
HCH_015_029_000157	改授持節，軍主如故。
HCH_015_029_000158	明年，虜寇淮陽，圍角城。
HCH_015_029_000159	先是上遣軍主成買戍角城，謂人曰：「我今作角城戍，我兒當得一子。」
HCH_015_029_000160	或問其故？
HCH_015_029_000161	買曰「：角城與虜同岸，危險具多，我豈能使虜不敢南向。我若不沒虜，則應破虜。兒不作孝子，便當作世子也。」
HCH_015_029_000162	至虜圍買數重，上遣領軍將軍李安民爲都督救之。
HCH_015_029_000163	敕盤龍曰：「角城漣口，賊始復進，西道便是無賊，卿可率馬步下淮陰就李領軍。鍾離船少，政可致衣仗數日糧，軍人扶淮步下也。」
HCH_015_029_000164	買與虜拒戰，手所傷殺無數。
HCH_015_029_000165	晨朝早起，手中忽見有數升血，其日遂戰死。
HCH_015_029_000166	盤龍子奉叔單馬率二百餘人陷陣，虜萬餘騎張左右翼圍繞之，一騎走還，報奉叔已沒，盤龍方食，棄箸，馳馬奮槊，直奔虜陣，自稱「周公來！」
HCH_015_029_000167	虜素畏盤龍驍名，卽時披靡。
HCH_015_029_000168	時奉叔已大殺虜，得出在外，盤龍不知，乃衝東擊西，奔南突北，賊衆莫敢當。
HCH_015_029_000169	奉叔見其父久不出，復躍馬入陣。
HCH_015_029_000170	父子兩匹騎，縈攪數萬人，虜衆大敗。
HCH_015_029_000171	盤龍父子由是名播北國。
HCH_015_029_000172	形甚羸訥，而臨軍勇果，諸將莫逮。
HCH_015_029_000173	永明元年，遷征虜將軍、南琅邪太守。
HCH_015_029_000174	三年，遷右衞將軍，加給事中。
HCH_015_029_000175	五年，轉大司馬，加征虜將軍、濟陽太守。
HCH_015_029_000176	世祖數講武，常令盤龍領馬軍，校騎騁槊。
HCH_015_029_000177	後以疾爲光祿大夫。
HCH_015_029_000178	尋出爲持節、都督兖州緣淮諸軍事、平北將軍、兖州刺史。
HCH_015_029_000179	進爵爲侯。
HCH_015_029_000180	角城戍將張蒲，與虜潛相構結，因大霧乘船入清中採樵，載虜二十餘人，藏仗纖下，直向城東門，防門不禁，仍登岸拔白爭門。
HCH_015_029_000181	戍主皇甫仲賢率軍主孟靈寶等三十餘人於門拒戰，斬三人，賊衆被創赴水，而虜軍馬步至城外已三千餘人，阻塹不得進。
HCH_015_029_000182	淮陰軍主王僧慶等領五百人赴救，虜衆乃退。
HCH_015_029_000183	坐爲有司所奏，詔白衣領職。
HCH_015_029_000184	八座尋奏復位。
HCH_015_029_000185	加領東平太守。
HCH_015_029_000186	盤龍表年老才弱，不可鎮邊，求解職，見許，還爲散騎常侍、光祿大夫。
HCH_015_029_000187	世祖戲之曰：「卿著貂蟬，何如兜鍪？」
HCH_015_029_000188	盤龍曰：「此貂蟬從兜鍪中出耳。」
HCH_015_029_000189	十一年，病卒，年七十九。
HCH_015_029_000190	贈安北將軍、兖州刺史。
HCH_015_029_000191	子奉叔，勇力絕人，隨盤龍征討，所在爲暴掠。
HCH_015_029_000192	世祖使領軍東討唐宇之，奉叔畏上威嚴，檢勒部下，不敢侵斥。
HCH_015_029_000193	爲東宮直閤。
