HCH_012_155_000130	永樂九年坐曠職謫交阯，立功，已而宥之。
HCH_012_155_000131	數從出塞，有功，封安陽侯，祿千一百石，亦授奉天靖難武臣號。
HCH_012_155_000132	時義在南京，疾革，聞命而卒。
HCH_012_155_000133	金玉，江浦人。
HCH_012_155_000134	襲父官為羽林衛百戶，調燕山護衛。
HCH_012_155_000135	從起兵有功，累遷河南都指揮使。
HCH_012_155_000136	永樂三年進都督僉事。
HCH_012_155_000137	八年充鷹揚將軍從北征。
HCH_012_155_000138	師旋，為殿。
HCH_012_155_000139	至長秀川，收敵所棄牛羊雜畜亙數十里。
HCH_012_155_000140	十四年討平山西妖賊劉子進。
HCH_012_155_000141	論前後功，封惠安伯，祿九百石。
HCH_012_155_000142	十九年卒。
HCH_012_155_000143	妾田氏自經以殉，贈淑人。
HCH_012_155_000144	劉榮，宿遷人。
HCH_012_155_000145	初冒父名江。
HCH_012_155_000146	從魏國公徐達戰灰山、黑松林。
HCH_012_155_000147	為總旗，給事燕邸。
HCH_012_155_000148	雄偉多智略，成祖深器之，授密雲衛百戶。
HCH_012_155_000149	從起兵為前鋒，屢立戰功。
HCH_012_155_000150	徇山東，與朱榮帥精騎三千，夜襲南軍於滑口，斬數千人，獲馬三千，擒都指揮唐禮等。
HCH_012_155_000151	累授都指揮僉事。
HCH_012_155_000152	戰滹沱河，奪浮橋，掠館陶、曹州，大獲。
HCH_012_155_000153	還軍救北平，敗平安軍於平村。
HCH_012_155_000154	楊文以遼東兵圍永平，江往援，文引卻。
HCH_012_155_000155	江聲言還北平，行二十餘里，卷甲夜入永平。
HCH_012_155_000156	文聞江去，復來攻。
HCH_012_155_000157	江突出掩擊，大敗之。
HCH_012_155_000158	斬首數千，擒指揮王雄等七十一人。
HCH_012_155_000159	遷都指揮使。
HCH_012_155_000160	從至淝河，與白義、王真以輕騎誘致平安，敗之。
HCH_012_155_000161	時南軍駐宿州，積糧為持久計。
HCH_012_155_000162	成祖患之，議絕其餉道。
HCH_012_155_000163	命江將三千人往，趑趄不行。
HCH_012_155_000164	成祖大怒，欲斬之。
HCH_012_155_000165	諸將叩首請，乃免。
HCH_012_155_000166	渡江策功，以前罪不封，止授都督僉事。
HCH_012_155_000167	遷中府右都督。
HCH_012_155_000168	永樂八年從北征，以遊擊將軍督前哨。
HCH_012_155_000169	乘夜據清水源，敗敵斡難河，復敗阿魯臺於靖虜鎮。
HCH_012_155_000170	師還為殿，即軍中進左都督，遣鎮遼東。
HCH_012_155_000171	敵闌入殺官軍。
HCH_012_155_000172	帝怒，命斬江，既而宥之。
HCH_012_155_000173	九年復鎮遼東。
HCH_012_155_000174	十二年再從北征，仍為前鋒，將勁騎偵敵於飲馬河。
HCH_012_155_000175	見敵騎東走，追至康哈裏孩，擊斬數十人。
HCH_012_155_000176	復與大軍合擊馬哈木於忽失溫，下馬持短兵突陣，斬獲多，受上賞。
HCH_012_155_000177	復充總兵官，鎮遼東。
HCH_012_155_000178	倭數寇海上，北抵遼，南訖浙、閩，瀕海郡邑多被害。
HCH_012_155_000179	江度形勢，請於金線島西北望海堝築城堡，設烽堠，嚴兵以待。
HCH_012_155_000180	十七年六月，瞭者言東南海島中舉火。
HCH_012_155_000181	江急引兵赴堝上。
HCH_012_155_000182	倭三十餘舟至，泊馬雄島，登岸奔望海堝。
HCH_012_155_000183	江依山設伏，別遣將斷其歸路，以步卒迎戰，佯卻。
HCH_012_155_000184	賊入伏中，炮舉伏起，自辰至酉，大破賊。
HCH_012_155_000185	賊走櫻桃園空堡中，江開西壁縱之走。
HCH_012_155_000186	復分兩路夾擊，盡覆之，斬首千餘級，生擒百三十人。
HCH_012_155_000187	自是倭大創，不敢復入遼東。
HCH_012_155_000188	詔封廣寧伯，祿千二百石，予世券，始更名榮。
HCH_012_155_000189	尋遣還鎮。
HCH_012_155_000190	明年四月卒。
HCH_012_155_000191	榮為將，常為軍鋒，所向無堅陣。
HCH_012_155_000192	馭士卒有紀律，恩信嚴明。
HCH_012_155_000193	諸款塞者，撫輯備至。
HCH_012_155_000194	既卒，人鹹思之。
HCH_012_155_000195	贈侯，謚忠武。
HCH_012_155_000196	子湍嗣。
HCH_012_155_000197	卒，無子，弟安嗣。
HCH_012_155_000198	正統十四年與郭登鎮大同。
HCH_012_155_000199	也先擁英宗至城下，邀登出見，登不可。
HCH_012_155_000200	安出見，伏哭帝前。
HCH_012_155_000201	景帝降敕切責。
HCH_012_155_000202	安馳至京師，言奉上皇命來告敵情，且言進己為侯。
HCH_012_155_000203	群臣交劾，下獄論死。
HCH_012_155_000204	會京師戒嚴，釋安充總兵官，陣東直門。
HCH_012_155_000205	寇退，進都督同知，守備白羊口，復伯爵。
HCH_012_155_000206	英宗復位，予世侯，再益祿三百石。
HCH_012_155_000207	曹欽反，安被創，加太子少傅。
HCH_012_155_000208	成化中卒。
HCH_012_155_000209	贈嶧國公，謚忠僖。
HCH_012_155_000210	傳爵至明亡。
HCH_012_155_000211	朱榮，字仲華，沂人。
HCH_012_155_000212	洪武十四年，以總旗從西平侯沐英征雲南。
HCH_012_155_000213	累官副千戶。
HCH_012_155_000214	守大寧，降於成祖。
HCH_012_155_000215	襲孫霖於滑口，圍定州，斷南軍餉道，大小二十餘戰，論功授都督僉事。
HCH_012_155_000216	永樂四年從新城侯張輔征交阯，破雞陵關，會沐晟於白鶴。
HCH_012_155_000217	輔等議於嘉林江上流濟師，遣榮陣下流十八里，日增其數以惑賊。
HCH_012_155_000218	又作舟筏為欲濟狀，以牽制之。
HCH_012_155_000219	賊果分兵渡江登岸。
HCH_012_155_000220	榮等奮擊，大破之。
HCH_012_155_000221	大軍進克多邦城，榮功為多。
HCH_012_155_000222	帝以榮嘗怠事，師還論功，僅擢右都督，賜白金鈔幣。
HCH_012_155_000223	七年復從輔討賊余黨，平之。
HCH_012_155_000224	明年督右掖，從征阿魯臺，與劉榮並進左都督。
HCH_012_155_000225	十二年復從北征，與榮俱為前鋒。
HCH_012_155_000226	其冬充總兵官，鎮大同。
HCH_012_155_000227	修忙牛嶺、兔毛河、赤山、榆楊口、來勝諸城，寇不敢近。
HCH_012_155_000228	居三年，召還。
HCH_012_155_000229	十八年，代劉榮鎮遼東。
HCH_012_155_000230	二十年復從北征，為前鋒。
HCH_012_155_000231	駐雕鶚诇寇，以五千騎視敵所向。
HCH_012_155_000232	大軍次玉沙泉。
HCH_012_155_000233	榮帥銳士三百人，人三馬，賫二十日糧深入。
HCH_012_155_000234	敵已棄牛羊馬駝北走，悉收之，焚其輜重，移師破兀良哈。
HCH_012_155_000235	師還，封武進伯，祿千二百石，仍鎮遼東。
HCH_012_155_000236	二十二年復從北征。
HCH_012_155_000237	已，還鎮。
HCH_012_155_000238	洪熙元年，佩征虜前將軍印，鎮如故。
HCH_012_155_000239	其年七月卒於鎮。
HCH_012_155_000240	贈侯，謚忠靖。
HCH_012_155_000241	子冕嗣。
HCH_012_155_000242	以晉王濟熿新廢，命鎮山西，尋召還。
HCH_012_155_000243	六年命輸餉獨石，因巡其地。
HCH_012_155_000244	正統四年，佩征西將軍印，鎮大同。
HCH_012_155_000245	十四年從北征，戰於陽和，死之。
HCH_012_155_000246	謚忠愨。
HCH_012_155_000247	子瑛嗣。
