HCH_013_053_000126	守仁復薦布政使林富為巡撫都御史，張佑為總兵官鎮廣西，守仁乃往南寧。
HCH_013_053_000127	三月，王守仁檄盧蘇、王受等攻斷籐峽八寨盜賊，盡平之，兩江底定。
HCH_013_053_000128	守仁上言，盛稱蘇、受等功，大獲賞賚。
HCH_013_053_000129	時兵部侍郎張璁及桂萼言守仁處田州非是，上頗疑之。
HCH_013_053_000130	十三年秋九月，巡檢盧蘇殺田州判官岑邦相。
HCH_013_053_000131	先是，林富代王守仁為提督，奏言：「思恩改設流官，二十年兵不得罷，田州決非流官所能控禦。」
HCH_013_053_000132	竟主守仁前議，降田州為州治，以邦相為判官。
HCH_013_053_000133	命副總兵張佑鎮之，許以三年而代。
HCH_013_053_000134	時邦相年十五六，張佑兒子畜之。
HCH_013_053_000135	盧蘇自矜功大專橫，邦相不能平，遂有隙。
HCH_013_053_000136	會張佑將代去，望邦相厚賂己。
HCH_013_053_000137	邦相賄之不滿意，佑遂與盧蘇比，欲沮奪邦相。
HCH_013_053_000138	乃購得邦彥子芝，育之別所。
HCH_013_053_000139	邦相時時欲殺芝，佑不果代，留鎮庇芝，得免。
HCH_013_053_000140	尋佑中邦相毒，卒。
HCH_013_053_000141	芝奔梧州，督府都御史陶諧畜之。
HCH_013_053_000142	至是，盧蘇遣其黨刺邦相不克，邦相與土目羅玉等伐盧蘇。
HCH_013_053_000143	事覺，蘇伏甲擒斬羅玉。
HCH_013_053_000144	遂劫諸土目攻邦相，執而殺之，燔其屍。
HCH_013_053_000145	賂陶諧，言：「邦相病死無後。」
HCH_013_053_000146	乃立芝，遣歸田州。
HCH_013_053_000147	於是猛仲子邦佐爭立。
HCH_013_053_000148	而鄰府諸土官皆不平盧蘇弒主也，合兵助邦佐攻田州，入之，蘇走免。
HCH_013_053_000149	亂復大作，兩江震駭。
HCH_013_053_000150	諧遣人諭諸土官曰：「邦相實病死，盧蘇何與？而爾等自相殘害也？」
HCH_013_053_000151	亡何，諧以憂去，都御史潘旦、蔡經相繼代，皆曰：「思、田苦兵革久矣。朝廷今復以盧蘇故，興問罪之師，征伐當何時已乎？」
HCH_013_053_000152	朝議下核實，副使葉俛、參議陳大珊曰：「盧蘇稱亂弒主，罪安可盡赦也！縱宥之不誅，當以上聞，令立功贖罪耳。」
HCH_013_053_000153	經不聽，上言：「邦相不孝，奪其母田，又虐殺其部下，盧蘇因眾怨殺之。」
HCH_013_053_000154	朝廷遂置蘇不問，仍官芝等如故。
HCH_013_053_000155	於是兩江土官聞之，莫不解體。
