HCH_012_306_000102	厚賄瑾，內批授庶吉士，逾年遷編修。
HCH_012_306_000103	時許進為吏部尚書，宇讒於瑾，遂代其位，而曹元代宇為兵部。
HCH_012_306_000104	宇在兵部時，賄賂狼籍。
HCH_012_306_000105	及為吏部，權歸選郎張綵，而文史贈遺又不若武弁，嘗悒悒嘆曰：「兵部自佳，何必吏部也。」
HCH_012_306_000106	後瑾欲用綵代宇，乃令宇以原官兼文淵閣大學士。
HCH_012_306_000107	宇宴瑾閣中，極歡，大喜過望。
HCH_012_306_000108	明日將入閣辦事。
HCH_012_306_000109	瑾曰：「爾真欲相耶？此地豈可再入。」
HCH_012_306_000110	宇不得已，乃乞省墓去。
HCH_012_306_000111	逾年瑾誅，科道交章劾奏，削官致仕，子仁黜為民。
HCH_012_306_000112	曹元，字以貞，大寧前衛人。
HCH_012_306_000113	柔佞滑稽，不修士行。
HCH_012_306_000114	舉成化十一年進士。
HCH_012_306_000115	授工部主事。
HCH_012_306_000116	正德二年累遷右副都御史，巡撫甘肅。
HCH_012_306_000117	分守中官張昭奉命捕虎豹，元以軍士出境搜捕，恐啟邊釁，上疏請止，不從。
HCH_012_306_000118	改撫陜西。
HCH_012_306_000119	逾年，召為兵部右侍郎，轉左，尋代宇為尚書兼督團營，加太子少保。
HCH_012_306_000120	將校遷除，皆惟瑾命。
HCH_012_306_000121	元所入亦不貲。
HCH_012_306_000122	五年拜吏部尚書兼文淵閣大學士。
HCH_012_306_000123	元與劉瑾有連，自瑾侍東宮，即與相結。
HCH_012_306_000124	及瑾得誌，遂夤緣躐至卿相，然瑣刺無能，在閣中飲酒諧謔而已。
HCH_012_306_000125	瑾敗，元即日上疏請罪，詞極哀。
HCH_012_306_000126	詔許致仕，言官交劾，黜為民。
HCH_012_306_000127	元無子，病中自作墓誌，嘆曰：「我死，誰銘我者！」
HCH_012_306_000128	當劉瑾時，廷臣黨附者甚眾。
HCH_012_306_000129	瑾誅，言官交劾。
HCH_012_306_000130	內閣則焦芳、劉宇、曹元。
