HCH_010_035_000001	漢武帝多行幸之事，置期門、佽飛、羽林之目，天子始有親軍。
HCH_010_035_000030	文忠王府：正丁一萬，蕃漢轉丁一萬六千，騎兵一萬。
HCH_010_035_000031	十二宮一府，自上京至南京總要之地，各置提轄司，重地每宮皆置，內地一二而已。
HCH_010_035_000032	太和、永昌二宮宜與興聖、延慶同，舊史不見提轄司，蓋闕文也。
HCH_010_035_000033	南京：弘義宮提轄司。
HCH_010_035_000034	長寧宮提轄司。
HCH_010_035_000035	永興宮提轄司。
HCH_010_035_000036	積慶宮提轄司。
HCH_010_035_000037	延昌宮提轄司。
HCH_010_035_000038	彰湣宮提轄司。
HCH_010_035_000039	崇德宮提轄司。
HCH_010_035_000040	興聖宮提轄司。
HCH_010_035_000041	延慶宮提轄司。
HCH_010_035_000042	敦睦宮提轄司。
HCH_010_035_000043	文忠王府提轄司。
HCH_010_035_000044	西京：弘義宮提轄司。
HCH_010_035_000045	長寧宮提轄司。
HCH_010_035_000046	永興宮提轄司。
HCH_010_035_000047	積慶宮提轄司。
HCH_010_035_000048	彰湣宮提轄司。
HCH_010_035_000049	崇德宮提轄司。
HCH_010_035_000050	延慶宮提轄司。
HCH_010_035_000051	文忠王府提轄司。
HCH_010_035_000052	奉聖州：弘義宮提轄司。
HCH_010_035_000053	長寧宮提轄司。
HCH_010_035_000054	永興宮提轄司。
HCH_010_035_000055	積慶宮提轄司。
HCH_010_035_000056	彰湣宮提轄司。
HCH_010_035_000057	崇德宮提轄司。
HCH_010_035_000058	興聖宮提轄司。
HCH_010_035_000059	延慶宮提轄司。
HCH_010_035_000060	文忠王府提轄司。
HCH_010_035_000061	平州：弘義宮提轄司。
HCH_010_035_000062	長寧宮提轄司。
HCH_010_035_000063	永興宮提轄司。
HCH_010_035_000064	積慶宮提轄司。
HCH_010_035_000065	延昌宮提轄司。
HCH_010_035_000066	彰湣宮提轄司。
HCH_010_035_000067	興聖宮提轄司。
HCH_010_035_000068	延慶宮提轄司。
HCH_010_035_000069	文忠王府提轄司。
HCH_010_035_000070	中京：延昌宮提轄司。
HCH_010_035_000071	文忠王府提轄司。
HCH_010_035_000072	上京：文忠王府提轄司。
HCH_010_035_000073	凡諸宮衛，丁四十萬八千，出騎軍十萬一千。
HCH_010_035_000074	大首領部族軍遼親王大臣，體國如家，征伐之際，往往置私甲以從王事。
HCH_010_035_000075	大者千餘騎，小者數百人，著籍皇府。
HCH_010_035_000076	國有戎政，量借三五千騎，常留餘兵為部族根本。
HCH_010_035_000077	太子軍。
HCH_010_035_000078	偉王軍。
HCH_010_035_000079	永康王軍。
HCH_010_035_000080	於越王軍。
HCH_010_035_000081	麻答軍。
HCH_010_035_000082	五押軍。
HCH_010_035_000083	眾部族軍眾部族分隸南北府，守衛四邊，各有司法，具如左。
HCH_010_035_000084	北府凡二十八部。
HCH_010_035_000085	侍從宮帳：奚王府部。
HCH_010_035_000086	鎮南境：五院部。
HCH_010_035_000087	六院部。
HCH_010_035_000088	東北路招討司：烏隗部。
HCH_010_035_000089	東北路統軍司：遙裏部。
HCH_010_035_000090	伯德部。
HCH_010_035_000091	奧德部。
HCH_010_035_000092	南克部。
HCH_010_035_000093	北克部。
HCH_010_035_000094	圖盧部。
HCH_010_035_000095	術者達魯虢部。
HCH_010_035_000096	河西部。
HCH_010_035_000097	西北路招討司：突呂不部。
HCH_010_035_000098	奧衍女直部。
HCH_010_035_000099	室韋部。
HCH_010_035_000100	西南路招討司：涅剌部。
HCH_010_035_000101	烏古涅剌部。
HCH_010_035_000102	涅剌越兀部。
HCH_010_035_000103	梅古悉部。
HCH_010_035_000104	頡的部。
HCH_010_035_000105	匿訖唐古部。
HCH_010_035_000106	鶴剌唐古部。
HCH_010_035_000107	黃龍府都部署司：隗衍突厥部。
HCH_010_035_000108	奧衍突厥部。
HCH_010_035_000109	北唐左部。
HCH_010_035_000110	五國部。
HCH_010_035_000111	烏古敵烈統軍司：叠魯敵烈部。
HCH_010_035_000112	戍隗烏石部：北敵烈部。
HCH_010_035_000113	南府凡一十六部。
HCH_010_035_000114	鎮駐西南境：乙室部。
HCH_010_035_000115	西南路招討司：品部。
HCH_010_035_000116	叠達叠剌部。
HCH_010_035_000117	品達魯虢部。
HCH_010_035_000118	乙典女直部。
HCH_010_035_000119	西北路招討司：楮特部。
HCH_010_035_000120	東北路統軍司：達馬鼻古德部。
HCH_010_035_000121	東北路女直兵馬司：乙室奧隗部。
HCH_010_035_000122	東京都部署司：楮特奧隗部。
HCH_010_035_000123	窈爪部。
HCH_010_035_000124	稍瓦部。
HCH_010_035_000125	曷術部。
HCH_010_035_000126	戌倒塌嶺：訛仆括部。
HCH_010_035_000127	屯駐本境：撒裏葛部。
HCH_010_035_000128	南唐古部。
HCH_010_035_000129	薛特部。
HCH_010_035_000130	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
