HCH_012_024_000143	戊子，免天下十二年以前逋賦。
HCH_012_024_000144	是月，山東賊陷張秋、東平，劫漕艘。
HCH_012_024_000145	太監王裕民、劉元斌帥禁兵會兗東官軍討平之。
HCH_012_024_000146	二月戊申，振山東就撫亂民。
HCH_012_024_000147	癸丑，總督陝西都御史汪喬年次襄城，遇賊，賀人龍等奔入關，喬年被圍。
HCH_012_024_000148	丁巳，城陷，被執死之。
HCH_012_024_000149	戊午，大清兵克松山，洪承疇降，巡撫都御史丘民仰，總兵官曹變蛟、王廷臣，副總兵江翥、饒勳等死之。
HCH_012_024_000150	是月，孫傳庭總督三邊軍務。
HCH_012_024_000151	三月，李自成陷陳州。
HCH_012_024_000152	丁丑，魏照乘致仕。
HCH_012_024_000153	己卯，祖大壽以錦州降於大清。
HCH_012_024_000154	辛卯，李自成陷睢州、太康、寧陵、考城。
HCH_012_024_000155	壬辰，封皇子慈炤為永王。
HCH_012_024_000156	丙申，李自成陷歸德。
HCH_012_024_000157	是春，江北賊陷含山、和州，南京戒嚴。
HCH_012_024_000158	夏四月癸亥，李自成復圍開封。
HCH_012_024_000159	乙丑，削謝陞籍。
HCH_012_024_000160	五月己巳，孫傳庭入關，誅賀人龍。
HCH_012_024_000161	甲戌，張獻忠陷廬州。
HCH_012_024_000162	丁亥，王樸棄市。
HCH_012_024_000163	六月戊申，賀逢聖致仕。
HCH_012_024_000164	癸丑，張四知致仕。
HCH_012_024_000165	甲寅，詔天下停刑三年。
HCH_012_024_000166	己未，詹事蔣德璟、黃景昉，戎政侍郎吳甡，俱禮部尚書兼東閣大學士，預機務。
HCH_012_024_000167	庚申，詔孫傳庭出關。
HCH_012_024_000168	兵部侍郎侯恂督左良玉軍援開封。
HCH_012_024_000169	壬戌，以會推閣臣下吏部尚書李日宣六人於獄，謫戍有差。
HCH_012_024_000170	甲子，祀地於北郊。
HCH_012_024_000171	是月，築壇親祭死事文武大臣。
HCH_012_024_000172	山西總兵官許定國援開封，潰於沁水，寧武兵潰於覃懷。
HCH_012_024_000173	秋七月己巳，左良玉、虎大威、楊德政、方國安四鎮兵潰於朱仙鎮。
HCH_012_024_000174	八月庚戌，安慶兵變，殺都指揮徐良憲，官軍討定之。
HCH_012_024_000175	乙丑，釋黃道周於戍所，復其官。
HCH_012_024_000176	丁卯，兵部尚書陳新甲下獄，尋棄市。
HCH_012_024_000177	九月壬午，賊決河灌開封。
HCH_012_024_000178	癸未，城圮，士民溺死者數十萬人。
HCH_012_024_000179	己丑，孫傳庭帥師赴河南。
HCH_012_024_000180	辛卯，鳳陽總兵官黃得功、劉良佐大敗張獻忠於潛山。
HCH_012_024_000181	冬十月辛酉，孫傳庭敗績於郟縣，走入關。
HCH_012_024_000182	十一月丁卯，援汴總兵官劉超據永城反。
HCH_012_024_000183	庚午，發帑振開封被難宗室兵民。
HCH_012_024_000184	壬申，大清兵分道入塞，京師戒嚴。
HCH_012_024_000185	命勳臣分守九門，太監王承恩督察城守。
HCH_012_024_000186	詔舉堪督師大將者。
HCH_012_024_000187	戊寅，徵諸鎮入援。
HCH_012_024_000188	庚辰，大清兵克薊州。
HCH_012_024_000189	丁亥，薊鎮總督趙光抃提調援兵。
HCH_012_024_000190	戊子，張獻忠陷無為。
HCH_012_024_000191	己丑，遼東督師侍郎范志完入援。
HCH_012_024_000192	閏月癸卯，下詔罪己，求直言。
HCH_012_024_000193	壬寅，大清兵南下，畿南郡邑多不守。
HCH_012_024_000194	丁巳，起廢將。
HCH_012_024_000195	是月，李自成陷汝寧，前總督侍郎楊文岳、僉事王世琮不屈死。
HCH_012_024_000196	十二月，大清兵趨曹、濮，山東州縣相繼下，魯王以派自殺。
HCH_012_024_000197	己巳，李自成陷襄陽，據之。
HCH_012_024_000198	左良玉奔承天，尋走武昌。
HCH_012_024_000199	賊分兵下德安、彝陵，荊門，遂陷荊州。
HCH_012_024_000200	癸巳，焚獻陵。
HCH_012_024_000201	十六年春正月丁酉，李自成陷承天，巡撫都御史宋一鶴、留守沈壽崇等死之。
HCH_012_024_000202	庚申，張獻忠陷蘄州。
HCH_012_024_000203	二月乙丑朔，日有食之。
HCH_012_024_000204	己巳，范志完、趙光抃會師於平原。
HCH_012_024_000205	三月庚子，李自成殺羅汝才，併其眾。
HCH_012_024_000206	壬寅，命大學士吳甡督師討賊。
HCH_012_024_000207	丁未，賊陷武岡，殺岷王企𨰘。
HCH_012_024_000208	張獻忠陷黃州。
HCH_012_024_000209	夏四月丁卯，周延儒自請督師，許之。
HCH_012_024_000210	辛卯，大清兵北歸，戰於螺山，總兵官張登科、和應薦敗沒，八鎮兵皆潰。
HCH_012_024_000211	是月，劉超平。
HCH_012_024_000212	五月癸巳朔，張獻忠陷漢陽。
HCH_012_024_000213	壬寅，周延儒還京師。
HCH_012_024_000214	丙午，修撰魏藻德為少詹事兼東閣大學士，預機務。
HCH_012_024_000215	戊申，吳甡罷。
HCH_012_024_000216	丁巳，周延儒罷。
HCH_012_024_000217	壬戌，張獻忠陷武昌，沈楚王華奎於江，在籍大學士賀逢聖等死之。
HCH_012_024_000218	六月癸亥，詔免直省殘破州縣三餉及一切常賦二年。
HCH_012_024_000219	己卯，逮范志完下獄。
HCH_012_024_000220	丙戌，雷震奉先殿獸吻，敕修省。
HCH_012_024_000221	秋七月丁酉，親鞫范志完於中左門。
HCH_012_024_000222	乙卯，親鞫前文選郎中吳昌時於中左門，徵周延儒聽勘。
HCH_012_024_000223	己未，戒廷臣私謁閣臣。
HCH_012_024_000224	京師自二月至於是月大疫，詔釋輕犯，發帑療治，瘞五城暴骸。
HCH_012_024_000225	八月壬戌朔，左良玉復武昌、漢陽。
HCH_012_024_000226	丙寅，張獻忠陷岳州。
HCH_012_024_000227	丙戌，陷長沙。
HCH_012_024_000228	庚寅，陷衡州。
HCH_012_024_000229	九月丙申，張獻忠陷寶慶。
HCH_012_024_000230	己亥，黃景昉致仕。
HCH_012_024_000231	辛丑，孫傳庭復寶豐，進次郟縣，李自成迎戰，擊敗之。
