HCH_009_071_000097	徙成、川州人於同、銀二州居之。
HCH_009_071_000098	捏裏再以書來請和，斡魯古承前詔，以阿疏為言，答之。
HCH_009_071_000099	駐軍顯州以聽命。
HCH_009_071_000100	賜斡魯古等馬十匹，詔曰：「汝等力摧大敵，攻下諸城，朕甚嘉之。遼主未獲，人心易搖，不可恃戰勝而失備禦。」
HCH_009_071_000101	遼雙州節度使張崇降，斡魯古以便宜命複其職，仍令世襲。
HCH_009_071_000102	斡魯古久在鹹州，多立功，亦多自恣，劾裏保、雙古等告斡魯古不法事：遼帝在中京可追襲而不追襲，鹹州糧草豐足而奏數不以實，攻顯州獲生口財畜多自取。
HCH_009_071_000103	捏裏、孛刺束等亦告孛堇瞢葛、麻吉、窩論、赤閏、阿刺本、乙刺等多取生口財畜。
HCH_009_071_000104	遂以闍哥代為咸州路都銑。
HCH_009_071_000105	闍哥亦宗室子也，既代斡魯古治鹹州。
HCH_009_071_000106	初，迪古乃、婁室奏，攻顯州新降附之民，可遷其富者于咸州路，其貧者徙內地。
HCH_009_071_000107	於是，詔使闍哥擇其才可幹事者授之謀克，其豪右誠心歸附者擬為猛安，錄其姓名以聞，饑貧之民，官賑給之，而使闍母為其副統雲。
HCH_009_071_000108	久之，遼通、祺、雙、遼四州之民八百餘家，詣鹹州都統降。
HCH_009_071_000109	上曰：「遼人賦斂無度，民不堪命，相率求生，不可使失望，分置諸部，擇善地以處之。」
HCH_009_071_000110	太祖召斡魯古自問之，斡魯古引伏。
HCH_009_071_000111	闍哥鞫窩論等。
HCH_009_071_000112	詔降斡魯古為謀克，而禁錮窩論等。
HCH_009_071_000113	天輔六年，討賊于牛心山，道病卒。
HCH_009_071_000114	天眷中，贈特進。
HCH_009_071_000115	天德二年，配享太祖廟廷。
HCH_009_071_000116	大定十五年，諡莊翼。
HCH_009_071_000117	婆盧火，安帝五代孫。
HCH_009_071_000118	太祖伐遼，使婆盧火征迪古乃兵，失期，杖之。
HCH_009_071_000119	後與渾黜以四千人，往助婁室、銀術哥攻黃龍府。
HCH_009_071_000120	辭勒罕、撒孛得兄弟，直攧裏部人，嘗寇耶懶路，穆宗遣婆盧火討之。
HCH_009_071_000121	至阿裏門河，辭勒罕偽降，遂略馬畜三百而去，複掠兀勒部二十五寨。
HCH_009_071_000122	太祖複使婆盧火討之。
HCH_009_071_000123	婆盧火渡蘇袞河，招降旁近諸部，因籍丁壯為軍，至特滕吳水，轍孛得偽降，複叛去，執而殺之。
HCH_009_071_000124	婆盧火至特鄰城，圍之，辭勒罕遁去。
HCH_009_071_000125	婆盧火破其城，執其妻子，辭勒罕遂降，曰：「我之馬牛財貨盡矣，何以為生。」
HCH_009_071_000126	婆盧火與之馬十匹。
HCH_009_071_000127	直攧裏部產良馬，太祖使紇石烈阿習罕掌其畜牧，婆盧火及子婆速，俱為謀克。
HCH_009_071_000128	天輔五年，摘取諸路猛安中萬餘家，屯田於泰州，婆盧火為都統，賜耕牛五十。
HCH_009_071_000129	婆盧火舊居按出虎水，自是徙居泰州，而遣拾得、查端、阿裏徒歡、奚撻罕等俱徙焉。
HCH_009_071_000130	唯族子撒刺喝嘗為世祖養子，獨得不徙。
HCH_009_071_000131	太祖取燕京，婆盧火為右翼，兵出居庸關，大敗遼兵，遂取居庸。
HCH_009_071_000132	蕭妃遁去，都監高六等來送款乞降。
HCH_009_071_000133	習古乃追蕭妃至古北口，蕭妃已過三日，不及而還。
HCH_009_071_000134	上令婆盧火、胡實賚率輕騎追之，蕭妃已遠去，獲其從官統軍察刺、宣徽查刺，並其家族，及銀牌二、印十有一。
HCH_009_071_000135	及迭刺叛，婆盧火、石古乃討平之，其群官率眾降者，就使領其所部。
HCH_009_071_000136	太宗以空名宣頭及銀牌給之。
HCH_009_071_000137	同時有婆盧火者，婁室平陝西，婆盧火、繩果監戰。
HCH_009_071_000138	後為平陽尹，西南路招討使，終於慶陽尹。
HCH_009_071_000139	泰州婆盧火守邊屢有功，太宗賜衣一襲，並賜其子剖叔。
HCH_009_071_000140	八年，以甲胄賜所部諸謀克。
HCH_009_071_000141	天會十三年，加同中書門下平章事。
HCH_009_071_000142	天眷元年，駐烏骨迪烈地，薨。
HCH_009_071_000143	贈開府儀同三司，諡剛毅。
HCH_009_071_000144	子剖叔，襲猛安，天眷二年，為泰州副都統，子斡帶，廣威將軍。
HCH_009_071_000145	婆速，官特進，子吾紮忽。
HCH_009_071_000146	吾紮忽，善騎射，年二十，以本班祗候郎君都管，從征伐有功，授修武校尉。
HCH_009_071_000147	皇統二年，權領泰州軍。
HCH_009_071_000148	平陝西，至涇州，大破宋兵于馬西鎮，超遷甯遠大將軍，襲猛安。
HCH_009_071_000149	複以本部軍從宗弼，權都統。
HCH_009_071_000150	正隆末，從海陵伐宋。
HCH_009_071_000151	契丹反，與德昌軍節度使移至懣同討契丹，許以便宜從事。
HCH_009_071_000152	大定初，除咸平尹，駐軍泰州。
HCH_009_071_000153	俄改臨潢尹，攝元帥左都監。
HCH_009_071_000154	與廣甯尹僕散渾坦俱從元帥右都監神土懣解臨潢之圍。
HCH_009_071_000155	契丹引眾東行，吾紮忽追及於窊曆山。
HCH_009_071_000156	押軍猛安契丹忽刺叔以所部助敵，攻官軍，官軍失利。
HCH_009_071_000157	泰州節度使烏裏雅來救，未至臨潢與敵遇，烏裏雅敗，僅以數騎脫歸。
HCH_009_071_000158	敵攻泰州，其勢大振，城中震駭，將士不敢出戰，敵四面登城。
HCH_009_071_000159	押軍猛安烏古孫阿裏補率軍士數人持钅算刀循城，應敵力戰，斫刈甚眾，敵乃退，泰州得完。
HCH_009_071_000160	吾紮忽乃使謀克蒲盧渾徙百姓旁邑及險厄之地，以俟大軍。
HCH_009_071_000161	明年，聚甲士萬三千於濟州，會元帥謀衍，敗窩斡於長濼。
HCH_009_071_000162	戰霿{箣松}河，戰陷泉，皆有功，改胡裏改節度使，卒。
HCH_009_071_000163	吾紮忽性聰敏，有才智，善用軍，常出敵之不意，故能以寡敵眾，而所往無不克，號為「鶻軍」雲。
HCH_009_071_000164	闍母，世祖第十一子，太祖異母弟也。
HCH_009_071_000165	高永昌據東京，斡魯往伐之，闍母等為之佐。
