HCH_009_054_000099	大定二十七年前，嘗令六十以上者為之。
HCH_009_054_000100	後，台官以年老者多廢事為言，乃敕尚書省於六品七品內取六十以下廉幹者備選。
HCH_009_054_000101	二十九年，令台官得自辟舉。
HCH_009_054_000102	明昌三年，複命尚書省擬注，每一闕則具三人或五人之名，取旨授之。
HCH_009_054_000103	承安三年，敕監察給由必經部而後呈省。
HCH_009_054_000104	泰和四年，制以給由具所察事之大小多寡定其優劣。
HCH_009_054_000105	八年，定制，事有失糾察者以怠慢治罪。
HCH_009_054_000106	貞祐二年，定制以所察大事至五、小事至十為稱職，數不及且無切務者為庸常，數內有二事不實者為不稱職。
HCH_009_054_000107	四年，命台官辟舉，以名申省，定其可否。
HCH_009_054_000108	廉察之制，始見於海陵時，故正隆二年六月有廉能官複與差除之令。
HCH_009_054_000109	大定三年，命廉到廉能官第一等進官一階升一等，其次約量注授。
HCH_009_054_000110	汙濫官第一等殿三年降二等，次二年，又次一年，皆降一等。
HCH_009_054_000111	詔廉問猛安謀克，廉能者第一等遷兩官，其次遷一官。
HCH_009_054_000112	汙濫者第一等決杖百，罷去，擇其兄弟代之。
HCH_009_054_000113	第二等杖八十，第三等杖七十，皆令複職。
HCH_009_054_000114	蒲輦決則罷去，永不補差。
HCH_009_054_000115	八年，省臣奏御史中丞移剌道所廉之官，上曰：「職官多貪污，以致罪廢，其餘亦有因循以苟歲月者。今所察能實可甄獎，若即與升除，恐無以慰民愛留之意，且可遷加，候秩滿日升除。」
HCH_009_054_000116	十年正月，上謂宰臣曰：「今天下州縣之職多闕員，朕欲不限資歷用人，何以遍知其能。擬欲遣使廉問，又慮擾民而未得其真。若令行辟舉之法，複恐久則生弊。不若選人暗察明廉，如其相同，然後升黜之，何如？」
HCH_009_054_000117	宰臣曰：「當如聖訓。」
HCH_009_054_000118	十一年，奏所廉善惡官，上曰：「罪重者遣官就治，所犯細微者蓋不能禁制妻拏耳，其誡勵而釋之。凡廉能官，四品以下委官覆實，同則升擢。三品以上以聞，朕自處之。」
HCH_009_054_000119	時陳言者有雲：「每三年委宰執一員廉問者。」
HCH_009_054_000120	上以大臣出則郡縣動搖，誰複敢行事者。
HCH_009_054_000121	今默察明問之制，蓋得其中矣。
