HCH_012_177_000159	諭門達從公問事。
HCH_012_177_000160	果無驗，乃令致仕。
HCH_012_177_000161	明年，以廷臣薦，起南京兵部右侍郎，未上，改戶部，巡撫山東。
HCH_012_177_000162	道聞屬邑蝗，馳疏以聞。
HCH_012_177_000163	改左副都御史，巡撫如故。
HCH_012_177_000164	官吏習富威名，望之詟服，豪猾屏跡。
HCH_012_177_000165	四年春，戶部缺尚書，李賢舉富。
HCH_012_177_000166	左右巧阻之。
HCH_012_177_000167	帝語賢曰：「戶部非富不可，人多不喜富，此富所以為賢也。」
HCH_012_177_000168	特召任之。
HCH_012_177_000169	富酌贏縮，謹出納，躬親會計，吏不能欺。
HCH_012_177_000170	事關利害者，僚屬或不敢任，富曰：「第行之，吾當其責，諸君毋署名可也。」
HCH_012_177_000171	由是部事大理。
HCH_012_177_000172	丁父憂，奪哀如初。
HCH_012_177_000173	憲宗立，富以陜西頻用兵，而治餉者非人，請黜左布政孫毓，用右布政楊璿、參政婁良、西安知府余子俊。
HCH_012_177_000174	吏部尚書王翺論富侵官，請下於理。
HCH_012_177_000175	富力辯曰：「薦賢為國，非有所私也。」
HCH_012_177_000176	因乞骸骨。
HCH_012_177_000177	帝慰留之，為黜毓。
HCH_012_177_000178	頃之，病疽卒。
HCH_012_177_000179	賜謚恭定。
HCH_012_177_000180	富廉正強直，始終不渝，與王翺同稱名臣。
HCH_012_177_000181	初，英宗嘗諭李賢曰：「戶部如年富不易得。」
HCH_012_177_000182	賢對曰：「若他日繼翺為吏部，非富不可。」
HCH_012_177_000183	然性好疑，尤惡幹請。
HCH_012_177_000184	屬吏黠者，故反其意嘗之。
HCH_012_177_000185	欲事行，故言不可，即不行，故言可。
HCH_012_177_000186	富輒為所賣。
HCH_012_177_000187	王竑，字公度，其先江夏人。
HCH_012_177_000188	祖俊卿，坐事戍河州，遂著籍。
HCH_012_177_000189	竑登正統四年進士。
HCH_012_177_000190	十一年授戶科給事中，豪邁負氣節，正色敢言。
HCH_012_177_000191	英宗北狩，郕王攝朝午門，群臣劾王振誤國罪。
HCH_012_177_000192	讀彈文未起，王使出待命。
HCH_012_177_000193	眾皆伏地哭，請族振。
HCH_012_177_000194	錦衣指揮馬順者，振黨也，厲聲叱言者去。
