HCH_012_310_000135	白俚俾恨之，賊殺其父及其弟。
HCH_012_310_000136	事聞，下鎮巡官驗治，磔死。
HCH_012_310_000137	土官唐勝富、張世英等為白俚俾奏辨，罪亦當坐。
HCH_012_310_000138	詔以蠻僚異類，難盡繩以法，免其並坐，戒飭之。
HCH_012_310_000139	十五年，容美宣撫司同知田世瑛，奏獲鎮南軍民府古印，為始祖田始進開熙二年頒給，乞改升宣撫司為軍民府。
HCH_012_310_000140	禮部議，以開設宣撫，頒印已久，不當更，古印宜繳，從之。
HCH_012_310_000141	嘉靖七年，容美宣撫司、龍潭安撫司每朝貢率領千人，所過擾害，鳳陽巡撫唐龍以聞。
HCH_012_310_000142	禮部按舊制，進貢不過百人，赴京不過二十人，命所司申飭。
HCH_012_310_000143	忠孝安撫司把事田春者數十人稱入貢，偽造關文，騷擾驛傳，應天巡撫以聞。
HCH_012_310_000144	兵部議，土司違例入貢，且所過橫索，恐有他虞，宜嚴禁諭。
HCH_012_310_000145	二十六年，臘壁峒等長官司入貢，禮部驗印文詐偽，詔革其賞，並下按臣勘問。
HCH_012_310_000146	三十三年詔湖廣川貴總督並節制容美十四司。
HCH_012_310_000147	初，容美土官田世爵與土官向元楫累世相仇。
HCH_012_310_000148	元楫幼，世爵佯為講好，以女嫁之，謀奪其產，因誣元楫以奸。
HCH_012_310_000149	有司恐激變，令自捕元楫，下獄論死。
HCH_012_310_000150	世爵遂發兵，盡俘向氏，並籍其土，皆沒入之。
HCH_012_310_000151	久之，撫按知其謀，責與元楫對狀，世爵不出，陰與羅峒土舍黃中等謀叛。
HCH_012_310_000152	於是湖廣巡按御史周如鬥請移荊南道分巡施州衛，以便控制，調廣西清浪等戍軍，以實行伍。
HCH_012_310_000153	疏下督臣馮嶽等議，嶽等言：「施州地勢孤懸，不可久居，戍軍亦非一時可集。當移荊瞿守備於施州，九永守備於九谿，上荊南道備巡歷。至世爵驕橫，有司不能攝治，獨久系元楫何為。宜假督臣以節制容美之權，問世爵抗違之罪，如不悛，即繩以法。」
HCH_012_310_000154	從之。
HCH_012_310_000155	時龍潭安撫黃俊素貪暴，據支羅洞寨，以睚爔殺人，繫獄。
